Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Reference
"=""4d6""","=""5D""","=""4""","=""""","=""0.00000""","=""""","=""0""","=""""","=""L3466"""
"=""4d6""","=""5D""","=""3""","=""""","=""0.14367""","=""""","=""""","=""0.14367""","="""""
"=""4d6""","=""5D""","=""2""","=""""","=""0.22643""","=""""","=""""","=""0.0828""","="""""
"=""4d6""","=""5D""","=""1""","=""""","=""0.28099""","=""""","=""""","=""0.0546""","="""""
"=""4d6""","=""5D""","=""0""","=""""","=""0.30698""","=""""","=""""","=""0.0260""","="""""
"=""4d5.(6S).5s""","=""7S""","=""3""","=""""","=""3.36776""","=""""","=""""","=""3.0608""","="""""
"=""4d5.(6S).5s""","=""5S""","=""2""","=""""","=""5.09720""","=""""","=""""","=""1.7294""","="""""
"=""4d5.(6S).5p""","=""7P*""","=""2""","=""""","=""9.42975""","=""""","=""""","=""4.3326""","="""""
"=""4d5.(6S).5p""","=""7P*""","=""3""","=""""","=""9.53632""","=""""","=""""","=""0.1066""","="""""
"=""4d5.(6S).5p""","=""7P*""","=""4""","=""""","=""9.75427""","=""""","=""""","=""0.2180""","="""""
"=""4d5.(6S).5p""","=""5P*""","=""3""","=""""","=""10.41441""","=""""","=""""","=""0.6601""","="""""
"=""4d5.(6S).5p""","=""5P*""","=""2""","=""""","=""10.47507""","=""""","=""""","=""0.0607""","="""""
"=""4d5.(6S).5p""","=""5P*""","=""1""","=""""","=""10.51670""","=""""","=""""","=""0.0416""","="""""
"=""4d5.(6S).5d""","=""7D""","=""1""","=""""","=""17.01294""","=""?""","=""""","=""6.4962""","="""""
"=""4d5.(6S).5d""","=""7D""","=""2""","=""""","=""17.01696""","=""""","=""""","=""0.0040""","="""""
"=""4d5.(6S).5d""","=""7D""","=""3""","=""""","=""17.02348""","=""""","=""""","=""0.0065""","="""""
"=""4d5.(6S).5d""","=""7D""","=""4""","=""""","=""17.03342""","=""""","=""""","=""0.0099""","="""""
"=""4d5.(6S).5d""","=""7D""","=""5""","=""""","=""17.04815""","=""""","=""""","=""0.0147""","="""""
"=""4d5.(6S).6s""","=""7S""","=""3""","=""""","=""17.04563""","=""""","=""""","=""-0.0025""","="""""
"=""4d5.(6S).6s""","=""5S""","=""2""","=""""","=""17.31964""","=""""","=""""","=""0.2740""","="""""
"=""4d5.(6S).5d""","=""5D""","=""0""","=""""","=""""","=""""","=""""","=""""","="""""
"=""4d5.(6S).5d""","=""5D""","=""1""","=""""","=""17.40066""","=""?""","=""""","=""""","="""""
"=""4d5.(6S).5d""","=""5D""","=""4""","=""""","=""17.40980""","=""""","=""""","=""0.0091""","="""""
"=""4d5.(6S).5d""","=""5D""","=""3""","=""""","=""17.41323""","=""""","=""""","=""0.0034""","="""""
"=""4d5.(6S).5d""","=""5D""","=""2""","=""""","=""17.41824""","=""""","=""""","=""0.0050""","="""""
"=""Ru IV (4d5 6S<5/2>)""","=""Limit""","=""---""","=""[""","=""28.47""","=""]""","=""""","=""""","=""L3466,L17276"""
