Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Leading percentages,Reference
"=""3s2.3p3""","=""4S*""","=""3/2""","=""""","=""0.000000""","=""""","=""0.000000""","=""""","="" 100                                       ""","=""L7237"""
"=""3s2.3p3""","=""2D*""","=""3/2""","=""""","=""1.841535""","=""""","=""0.000006""","=""1.841535""","="" 100                                       ""","="""""
"=""3s2.3p3""","=""2D*""","=""5/2""","=""""","=""1.845474""","=""""","=""0.000006""","=""0.003939""","="" 100                                       ""","="""""
"=""3s2.3p3""","=""2P*""","=""1/2""","=""""","=""3.040696""","=""""","=""0.000011""","=""1.19522""","=""  99         :     1  3p5             2P*  ""","="""""
"=""3s2.3p3""","=""2P*""","=""3/2""","=""""","=""3.046485""","=""""","=""0.000009""","=""0.00579""","=""  98         :     1  3p5             2P*  ""","="""""
"=""3s.3p4""","=""4P""","=""5/2""","=""""","=""9.843790""","=""""","=""0.000006""","=""6.79730""","=""  85         :    13  3s.3p4          4P   ""","="""""
"=""3s.3p4""","=""4P""","=""3/2""","=""""","=""9.888590""","=""""","=""0.000014""","=""0.04480""","=""  85         :    13  3s2.3p2.(3P).3d 4P   ""","="""""
"=""3s.3p4""","=""4P""","=""1/2""","=""""","=""9.914103""","=""""","=""0.000014""","=""0.02551""","=""  85         :    13  3s2.3p2.(3P).3d 4P   ""","="""""
"=""3s.3p4""","=""2D""","=""3/2""","=""""","=""12.136905""","=""""","=""0.000017""","=""2.22280""","=""  67         :    26  3s2.3p2.(1D).3d 2D   ""","="""""
"=""3s.3p4""","=""2D""","=""5/2""","=""""","=""12.140386""","=""""","=""0.000017""","=""0.00348""","=""  67         :    26  3s2.3p2.(1D).3d 2D   ""","="""""
"=""3s2.3p2.(3P).3d""","=""2P""","=""3/2""","=""""","=""13.092612""","=""""","=""0.000016""","=""0.95223""","=""  72         :    17  3s.3p4          2P   ""","="""""
"=""3s2.3p2.(3P).3d""","=""2P""","=""1/2""","=""""","=""13.147809""","=""""","=""0.000016""","=""0.05520""","=""  71         :    17  3s.3p4          2P   ""","="""""
"=""3s2.3p2.(3P).4s""","=""4P""","=""1/2""","=""""","=""13.583797""","=""""","=""0.000016""","=""0.43599""","=""  99                                       ""","="""""
"=""3s2.3p2.(3P).4s""","=""4P""","=""3/2""","=""""","=""13.617382""","=""""","=""0.000016""","=""0.03358""","=""  99                                       ""","="""""
"=""3s2.3p2.(3P).4s""","=""4P""","=""5/2""","=""""","=""13.671564""","=""""","=""0.000016""","=""0.05418""","="" 100                                       ""","="""""
"=""3s2.3p2.(3P).3d""","=""4F""","=""3/2""","=""""","=""13.660211""","=""""","=""0.000016""","=""-0.01135""","=""  98         :     1  3s2.3p2.(3P).4d 4F   ""","="""""
"=""3s2.3p2.(3P).3d""","=""4F""","=""5/2""","=""""","=""13.677118""","=""""","=""0.000016""","=""0.01691""","=""  98         :     1  3s2.3p2.(3P).4d 4F   ""","="""""
"=""3s2.3p2.(3P).3d""","=""4F""","=""7/2""","=""""","=""13.701330""","=""""","=""0.000016""","=""0.02421""","=""  98         :     1  3s2.3p2.(3P).4d 4F   ""","="""""
"=""3s2.3p2.(3P).3d""","=""4F""","=""9/2""","=""""","=""13.733307""","=""""","=""0.000016""","=""0.03198""","=""  98         :     1  3s2.3p2.(3P).4d 4F   ""","="""""
"=""3s2.3p2.(3P).4s""","=""2P""","=""1/2""","=""""","=""14.002471""","=""""","=""0.000016""","=""0.26916""","=""  95         :     2  3s2.3p2.(3P).3d 2P   ""","="""""
"=""3s2.3p2.(3P).4s""","=""2P""","=""3/2""","=""""","=""14.067438""","=""""","=""0.000016""","=""0.06497""","=""  96         :     1  3s2.3p2.(3P).3d 2P   ""","="""""
"=""3s2.3p2.(3P).3d""","=""4D""","=""1/2""","=""""","=""14.154323""","=""""","=""0.000016""","=""0.08689""","=""  99         :     1  3s2.3p2.(3P).4d 4D   ""","="""""
"=""3s2.3p2.(3P).3d""","=""4D""","=""3/2""","=""""","=""14.159064""","=""""","=""0.000016""","=""0.00474""","=""  99         :     1  3s2.3p2.(3P).4d 4D   ""","="""""
"=""3s2.3p2.(3P).3d""","=""4D""","=""5/2""","=""""","=""14.162847""","=""""","=""0.000016""","=""0.00378""","=""  98         :     1  3s2.3p2.(3P).4d 4D   ""","="""""
"=""3s2.3p2.(3P).3d""","=""4D""","=""7/2""","=""""","=""14.168830""","=""""","=""0.000016""","=""0.00598""","=""  97         :     1  3s2.3p2.(1D).3d 2F   ""","="""""
"=""3s2.3p2.(3P).3d""","=""2F""","=""5/2""","=""""","=""14.233927""","=""""","=""0.000016""","=""0.06510""","=""  49         :    49  3s2.3p2.(1D).3d 2F   ""","="""""
"=""3s2.3p2.(3P).3d""","=""2F""","=""7/2""","=""""","=""14.293594""","=""""","=""0.000016""","=""0.05967""","=""  47         :    49  3s2.3p2.(1D).3d 2F   ""","="""""
"=""3s.3p4""","=""2S""","=""1/2""","=""""","=""14.851293""","=""""","=""0.000017""","=""0.55770""","=""  62         :    37  3s2.3p2.(1D).3d 2S   ""","="""""
"=""3s2.3p2.(1D).4s""","=""2D""","=""3/2""","=""""","=""15.067638""","=""""","=""0.000017""","=""0.21635""","=""  98         :     1  3s2.3p2.(3P).3d 2D   ""","="""""
"=""3s2.3p2.(1D).4s""","=""2D""","=""5/2""","=""""","=""15.067799""","=""""","=""0.000017""","=""0.00016""","=""  99                                       ""","="""""
"=""3s2.3p2.(3P).4p""","=""2S*""","=""1/2""","=""""","=""15.558192""","=""""","=""0.000016""","=""0.49039""","=""  98         :     2  3s2.3p2.(3P).5p 2S*  ""","="""""
"=""3s2.3p2.(1D).3d""","=""2G""","=""7/2""","=""""","=""15.761749""","=""""","=""0.000017""","=""0.20356""","="" 100                                       ""","="""""
"=""3s2.3p2.(1D).3d""","=""2G""","=""9/2""","=""""","=""15.761907""","=""""","=""0.000017""","=""0.00016""","="" 100                                       ""","="""""
"=""3s2.3p2.(3P).4p""","=""4D*""","=""1/2""","=""""","=""15.848291""","=""""","=""0.000016""","=""0.08638""","=""  99                                       ""","="""""
"=""3s2.3p2.(3P).4p""","=""4D*""","=""3/2""","=""""","=""15.867045""","=""""","=""0.000016""","=""0.01875""","=""  98         :     1  3s2.3p2.(3P).4p 4P*  ""","="""""
"=""3s2.3p2.(3P).4p""","=""4D*""","=""5/2""","=""""","=""15.898891""","=""""","=""0.000016""","=""0.03185""","=""  98         :     1  3s2.3p2.(3P).4p 4P*  ""","="""""
"=""3s2.3p2.(3P).4p""","=""4D*""","=""7/2""","=""""","=""15.944265""","=""""","=""0.000016""","=""0.04537""","=""  99                                       ""","="""""
"=""3s2.3p2.(3P).4p""","=""4P*""","=""1/2""","=""""","=""16.091641""","=""""","=""0.000016""","=""0.14738""","=""  99                                       ""","="""""
"=""3s2.3p2.(3P).4p""","=""4P*""","=""3/2""","=""""","=""16.100363""","=""""","=""0.000016""","=""0.00872""","=""  89         :     8  3s2.3p2.(3P).4p 4S*  ""","="""""
"=""3s2.3p2.(3P).4p""","=""4P*""","=""5/2""","=""""","=""16.134579""","=""""","=""0.000016""","=""0.03422""","=""  94         :     4  3s2.3p2.(3P).4p 2D*  ""","="""""
