Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Leading percentages,Reference
"=""3s2.3p2""","=""3P""","=""0""","=""""","=""0.000000""","=""""","=""0""","=""""","=""                                     ""","=""L7237"""
"=""3s2.3p2""","=""3P""","=""1""","=""""","=""0.037033""","=""""","=""""","=""0.037033""","=""                                     ""","="""""
"=""3s2.3p2""","=""3P""","=""2""","=""""","=""0.103289""","=""""","=""""","=""0.06626""","=""                                     ""","="""""
"=""3s2.3p2""","=""1D""","=""2""","=""""","=""1.40384""","=""""","=""""","=""1.30055""","=""                                     ""","="""""
"=""3s2.3p2""","=""1S""","=""0""","=""""","=""3.36753""","=""""","=""""","=""1.9637""","=""                                     ""","="""""
"=""3s.3p3""","=""5S*""","=""2""","=""""","=""7.274391""","=""""","=""""","=""3.90686""","=""  99                                 ""","="""""
"=""3s.3p3""","=""3D*""","=""1""","=""""","=""10.41707""","=""""","=""""","=""3.14268""","=""  81         :    16  3s2.3p.3d 3D*  ""","="""""
"=""3s.3p3""","=""3D*""","=""2""","=""""","=""10.42046""","=""""","=""""","=""0.0034""","=""  81         :    16  3s2.3p.3d 3D*  ""","="""""
"=""3s.3p3""","=""3D*""","=""3""","=""""","=""10.42700""","=""""","=""""","=""0.0065""","=""  81         :    16  3s2.3p.3d 3D*  ""","="""""
"=""3s.3p3""","=""3P*""","=""2""","=""""","=""12.24286""","=""""","=""""","=""1.8159""","=""  77         :    19  3s2.3p.3d 3P*  ""","="""""
"=""3s.3p3""","=""3P*""","=""1""","=""""","=""12.24541""","=""""","=""""","=""0.0025""","=""  78         :    19  3s2.3p.3d 3P*  ""","="""""
"=""3s.3p3""","=""3P*""","=""0""","=""""","=""12.24619""","=""""","=""""","=""0.0008""","=""  78         :    19  3s2.3p.3d 3P*  ""","="""""
"=""3s2.3p.3d""","=""1D*""","=""2""","=""""","=""12.91416""","=""""","=""""","=""0.6680""","=""  61         :    34  3s.3p3    1D*  ""","="""""
"=""3s2.3p.3d""","=""3F*""","=""2""","=""""","=""15.14076""","=""""","=""""","=""2.2266""","=""                                     ""","="""""
"=""3s2.3p.3d""","=""3F*""","=""3""","=""""","=""15.17616""","=""""","=""""","=""0.0354""","=""                                     ""","="""""
"=""3s2.3p.3d""","=""3F*""","=""4""","=""""","=""15.22509""","=""""","=""""","=""0.0489""","=""                                     ""","="""""
"=""3s.3p3""","=""1P*""","=""1""","=""""","=""16.966466""","=""""","=""""","=""1.74138""","=""  68         :    28  3s2.3p.3d 1P*  ""","="""""
"=""3s.3p3""","=""3S*""","=""1""","=""""","=""17.11808""","=""""","=""""","=""0.15161""","=""  92                                 ""","="""""
"=""3s2.3p.3d""","=""3P*""","=""0""","=""""","=""17.741777""","=""""","=""""","=""0.62370""","=""  61         :    21  3s2.3p.4s 3P*  ""","="""""
"=""3s2.3p.3d""","=""3P*""","=""1""","=""""","=""17.744297""","=""""","=""""","=""0.00252""","=""  63         :    21  3s2.3p.4s 3P*  ""","="""""
"=""3s2.3p.3d""","=""3P*""","=""2""","=""""","=""17.745273""","=""""","=""""","=""0.00098""","=""  66         :    16  3s.3p3    3P*  ""","="""""
"=""3s2.3p.4s""","=""3P*""","=""0""","=""""","=""18.188156""","=""""","=""""","=""0.44288""","=""                                     ""","="""""
"=""3s2.3p.4s""","=""3P*""","=""1""","=""""","=""18.193138""","=""""","=""""","=""0.00498""","=""                                     ""","="""""
"=""3s2.3p.4s""","=""3P*""","=""2""","=""""","=""18.243916""","=""""","=""""","=""0.05078""","=""                                     ""","="""""
"=""3s2.3p.3d""","=""3D*""","=""1""","=""""","=""18.294067""","=""""","=""""","=""0.05015""","=""  69         :    14  3s2.3p.3d 3P*  ""","="""""
"=""3s2.3p.3d""","=""3D*""","=""2""","=""""","=""18.311500""","=""""","=""""","=""0.01743""","=""  61         :    21  3s2.3p.4s 3P*  ""","="""""
"=""3s2.3p.3d""","=""3D*""","=""3""","=""""","=""18.318132""","=""""","=""""","=""0.00663""","=""  79         :    16  3s.3p3    3D*  ""","="""""
"=""3s2.3p.4s""","=""1P*""","=""1""","=""""","=""18.399127""","=""""","=""""","=""0.08100""","=""  79                                 ""","="""""
"=""3s.3p3""","=""1D*""","=""2""","=""""","=""18.842937""","=""""","=""""","=""0.44381""","=""  59         :    34  3s2.3p.3d 1D*  ""","="""""
"=""3s2.3p.3d""","=""1F*""","=""3""","=""""","=""19.541188""","=""""","=""""","=""0.69825""","=""                                     ""","="""""
"=""3s2.3p.3d""","=""1P*""","=""1""","=""""","=""20.350887""","=""""","=""""","=""0.80970""","=""                                     ""","="""""
"=""3s2.3p.4p""","=""1P""","=""1""","=""""","=""20.773958""","=""""","=""""","=""0.42307""","=""                                     ""","="""""
"=""3s2.3p.4p""","=""3D""","=""1""","=""""","=""21.048975""","=""""","=""""","=""0.27502""","=""                                     ""","="""""
"=""3s2.3p.4p""","=""3D""","=""2""","=""""","=""21.085835""","=""""","=""""","=""0.03686""","=""                                     ""","="""""
"=""3s2.3p.4p""","=""3D""","=""3""","=""""","=""21.157972""","=""""","=""""","=""0.07214""","=""                                     ""","="""""
"=""3s2.3p.4p""","=""3P""","=""0""","=""""","=""21.403738""","=""""","=""""","=""0.24577""","=""                                     ""","="""""
"=""3s2.3p.4p""","=""3P""","=""1""","=""""","=""21.422890""","=""""","=""""","=""0.01915""","=""                                     ""","="""""
"=""3s2.3p.4p""","=""3P""","=""2""","=""""","=""21.473213""","=""""","=""""","=""0.05032""","=""                                     ""","="""""
"=""3s2.3p.4p""","=""3S""","=""1""","=""""","=""21.577923""","=""""","=""""","=""0.10471""","=""                                     ""","="""""
