Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Leading percentages,Reference
"=""3s2.3p""","=""2P*""","=""1/2""","=""""","=""0.000000""","=""""","=""0""","=""""","=""  96                  :     2  3p3               2P*  ""","=""L7237"""
"=""3s2.3p""","=""2P*""","=""3/2""","=""""","=""0.117962""","=""""","=""""","=""0.117962""","=""  96                  :     2  3p3               2P*  ""","="""""
"=""3s.3p2""","=""4P""","=""1/2""","=""""","=""8.82570""","=""""","=""""","=""8.70774""","=""  99                                                  ""","="""""
"=""3s.3p2""","=""4P""","=""3/2""","=""""","=""8.86843""","=""""","=""""","=""0.0427""","=""  99                                                  ""","="""""
"=""3s.3p2""","=""4P""","=""5/2""","=""""","=""8.93609""","=""""","=""""","=""0.0677""","=""  99                                                  ""","="""""
"=""3s.3p2""","=""2D""","=""3/2""","=""""","=""11.66730""","=""""","=""""","=""2.7312""","=""  82                  :    16  3s2.3d            2D   ""","="""""
"=""3s.3p2""","=""2D""","=""5/2""","=""""","=""11.67315""","=""""","=""""","=""0.0059""","=""  82                  :    16  3s2.3d            2D   ""","="""""
"=""3s.3p2""","=""2S""","=""1/2""","=""""","=""15.31320""","=""""","=""""","=""3.6401""","=""  97                  :     2  3s.3d2.(1S)       2S   ""","="""""
"=""3s.3p2""","=""2P""","=""1/2""","=""""","=""16.56672""","=""""","=""""","=""1.2535""","=""  95                  :     3  3p2.(1D).3d       2P   ""","="""""
"=""3s.3p2""","=""2P""","=""3/2""","=""""","=""16.64431""","=""""","=""""","=""0.0776""","=""  95                  :     3  3p2.(1D).3d       2P   ""","="""""
"=""3s2.3d""","=""2D""","=""3/2""","=""""","=""18.86211""","=""""","=""""","=""2.2178""","=""  80                  :    15  3s.3p2.(1D)       2D   ""","="""""
"=""3s2.3d""","=""2D""","=""5/2""","=""""","=""18.86380""","=""""","=""""","=""0.0017""","=""  80                  :    15  3s.3p2.(1D)       2D   ""","="""""
"=""3s2.4s""","=""2S""","=""1/2""","=""""","=""22.49671""","=""""","=""""","=""3.6329""","=""  96                  :     3  3p2.(1S).4s       2S   ""","="""""
"=""3p3""","=""2D*""","=""3/2""","=""""","=""22.94392""","=""""","=""""","=""0.4472""","=""  59                  :    40  3s.3p.(3P*).3d    2D*  ""","="""""
"=""3p3""","=""2D*""","=""5/2""","=""""","=""22.95543""","=""""","=""""","=""0.0115""","=""  59                  :    40  3s.3p.(3P*).3d    2D*  ""","="""""
"=""3p3""","=""4S*""","=""3/2""","=""""","=""24.35737""","=""""","=""""","=""1.4019""","=""  99                  :     1  3p.(2P*).3d2.(3P) 4S*  ""","="""""
"=""3s.3p.(3P*).3d""","=""4F*""","=""3/2""","=""""","=""25.22369""","=""""","=""""","=""0.8663""","="" 100                                                  ""","="""""
"=""3s.3p.(3P*).3d""","=""4F*""","=""5/2""","=""""","=""25.24725""","=""""","=""""","=""0.0236""","="" 100                                                  ""","="""""
