Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Leading percentages,Reference
"=""2p6.3s2""","=""1S""","=""0""","=""""","=""0.00000""","=""""","=""0""","=""""","=""  96         :     4  3p2   1S   ""","=""L7237"""
"=""3s.3p""","=""3P*""","=""0""","=""""","=""10.29366""","=""""","=""""","=""10.29366""","=""  99                             ""","="""""
"=""3s.3p""","=""3P*""","=""1""","=""""","=""10.33948""","=""""","=""""","=""0.0458""","=""  99                             ""","="""""
"=""3s.3p""","=""3P*""","=""2""","=""""","=""10.43392""","=""""","=""""","=""0.0944""","=""  99                             ""","="""""
"=""3s.3p""","=""1P*""","=""1""","=""""","=""15.76468""","=""""","=""""","=""5.3308""","=""  96         :     4  3p.3d 1P*  ""","="""""
"=""3p2""","=""1D""","=""2""","=""""","=""24.02059""","=""""","=""""","=""8.2559""","=""  69         :    30  3s.3d 1D   ""","="""""
"=""3p2""","=""3P""","=""0""","=""""","=""24.79277""","=""""","=""""","=""0.7722""","=""  99                             ""","="""""
"=""3p2""","=""3P""","=""1""","=""""","=""24.84279""","=""""","=""""","=""0.0500""","=""  99                             ""","="""""
"=""3p2""","=""3P""","=""2""","=""""","=""24.93893""","=""""","=""""","=""0.0961""","=""  98                             ""","="""""
"=""3s.3d""","=""3D""","=""1""","=""""","=""29.12903""","=""""","=""""","=""4.1901""","=""  99                             ""","="""""
"=""3s.3d""","=""3D""","=""2""","=""""","=""29.12973""","=""""","=""""","=""0.0007""","=""  99                             ""","="""""
"=""3s.3d""","=""3D""","=""3""","=""""","=""29.13083""","=""""","=""""","=""0.0011""","=""  99                             ""","="""""
"=""3p2""","=""1S""","=""0""","=""""","=""29.17968""","=""""","=""""","=""0.0489""","=""  92         :     4  3d2   1S   ""","="""""
"=""3s.3d""","=""1D""","=""2""","=""""","=""33.56257""","=""""","=""""","=""4.3829""","=""  68         :    28  3p2   1D   ""","="""""
"=""3s.4s""","=""3S""","=""1""","=""""","=""38.63287""","=""""","=""""","=""5.0703""","=""  98         :     1  3p.4p 3S   ""","="""""
"=""3s.4s""","=""1S""","=""0""","=""""","=""39.68833""","=""""","=""""","=""1.0555""","=""  97         :     2  3p.4p 1S   ""","="""""
"=""3p.3d""","=""3F*""","=""2""","=""""","=""40.06334""","=""""","=""""","=""0.3750""","=""  98                             ""","="""""
"=""3p.3d""","=""3F*""","=""3""","=""""","=""40.11475""","=""""","=""""","=""0.0514""","=""  98                             ""","="""""
"=""3p.3d""","=""3F*""","=""4""","=""""","=""40.18081""","=""""","=""""","=""0.0661""","=""                                 ""","="""""
"=""3p.3d""","=""1D*""","=""2""","=""""","=""40.72314""","=""""","=""""","=""0.5423""","=""  99                             ""","="""""
"=""3p.3d""","=""3P*""","=""2""","=""""","=""42.81648""","=""""","=""""","=""2.0933""","=""  95         :     2  3p.3d 3D*  ""","="""""
"=""3p.3d""","=""3P*""","=""1""","=""""","=""42.86292""","=""""","=""""","=""0.0464""","=""  95         :     2  3p.3d 3D*  ""","="""""
"=""3p.3d""","=""3P*""","=""0""","=""""","=""42.89271""","=""""","=""""","=""0.0298""","=""  97         :     1  3s.4p 3P*  ""","="""""
"=""3p.3d""","=""3D*""","=""1""","=""""","=""43.12680""","=""""","=""""","=""0.2341""","=""  97         :     2  3p.3d 3P*  ""","="""""
"=""3p.3d""","=""3D*""","=""2""","=""""","=""43.14777""","=""""","=""""","=""0.0210""","=""  96         :     2  3p.3d 3P*  ""","="""""
"=""3p.3d""","=""3D*""","=""3""","=""""","=""43.16280""","=""""","=""""","=""0.0150""","=""  99                             ""","="""""
"=""3s.4p""","=""3P*""","=""0""","=""""","=""43.28564""","=""""","=""""","=""0.1228""","=""  97         :     1  3p.3d 3P*  ""","="""""
"=""3s.4p""","=""3P*""","=""1""","=""""","=""43.29046""","=""""","=""""","=""0.0048""","=""  77         :    18  3s.4p 1P*  ""","="""""
"=""3s.4p""","=""3P*""","=""2""","=""""","=""43.32979""","=""""","=""""","=""0.0393""","=""  97         :     1  3p.3d 3P*  ""","="""""
"=""3s.4p""","=""1P*""","=""1""","=""""","=""43.33674""","=""""","=""""","=""0.0069""","=""  73         :    19  3s.4p 3P*  ""","="""""
"=""3p.3d""","=""1F*""","=""3""","=""""","=""45.48509""","=""""","=""""","=""2.1484""","=""  81         :    18  3s.nf 1F*  ""","="""""
"=""3s.4d""","=""3D""","=""1""","=""""","=""49.10090""","=""""","=""""","=""3.6158""","=""  90         :     7  3s.nd 3D   ""","="""""
"=""3s.4d""","=""3D""","=""2""","=""""","=""49.10264""","=""""","=""""","=""0.0017""","=""  90         :     7  3s.nd 3D   ""","="""""
"=""3s.4d""","=""3D""","=""3""","=""""","=""49.10526""","=""""","=""""","=""0.0026""","=""  90         :     7  3s.nd 3D   ""","="""""
"=""3s.4d""","=""1D""","=""2""","=""""","=""49.29676""","=""""","=""""","=""0.1915""","=""  87         :     9  3s.nd 1D   ""","="""""
"=""3s.4f""","=""3F*""","=""2""","=""""","=""50.94630""","=""""","=""""","=""1.6495""","=""  77         :    21  3s.nf 3F*  ""","="""""
"=""3s.4f""","=""3F*""","=""3""","=""""","=""50.94661""","=""""","=""""","=""0.0003""","=""  77         :    21  3s.nf 3F*  ""","="""""
"=""3s.4f""","=""3F*""","=""4""","=""""","=""50.94735""","=""""","=""""","=""0.0007""","=""                                 ""","="""""
"=""3s.4f""","=""1F*""","=""3""","=""""","=""51.82352""","=""""","=""""","=""0.8762""","=""  69         :    16  3p.3d 1F*  ""","="""""
"=""3p.4s""","=""3P*""","=""0""","=""""","=""52.16538""","=""""","=""""","=""0.3419""","=""  97                             ""","="""""
