Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Leading percentages,Reference
"=""5s2.5p2""","=""3P""","=""0""","=""""","=""0.00000""","=""""","=""0""","=""""","=""  95         :     5            1S   ""","=""L16325"""
"=""5s2.5p2""","=""3P""","=""1""","=""""","=""0.37872""","=""""","=""""","=""0.37872""","="" 100                                 ""","=""L16325"""
"=""5s2.5p2""","=""3P""","=""2""","=""""","=""0.70153""","=""""","=""""","=""0.3228""","=""  84         :    16            1D   ""","=""L16325"""
"=""5s2.5p2""","=""1D""","=""2""","=""""","=""1.58573""","=""""","=""""","=""0.8842""","=""  84         :    16            3P   ""","=""L16325"""
"=""5s2.5p2""","=""1S""","=""0""","=""""","=""2.96390""","=""""","=""""","=""1.3782""","=""  95         :     5            3P   ""","=""L16325"""
"=""5s.5p3""","=""5S*""","=""2""","=""""","=""6.41282""","=""""","=""""","=""3.4489""","=""  95         :     4            3P*  ""","=""L16325"""
"=""5s.5p3""","=""3D*""","=""1""","=""""","=""8.21911""","=""""","=""""","=""1.8063""","=""  74         :    16  5s2.5p.5d 3D*  ""","=""L16325"""
"=""5s.5p3""","=""3D*""","=""2""","=""""","=""8.24523""","=""""","=""""","=""0.0261""","=""  71         :    14  5s2.5p.5d 3D*  ""","=""L16325"""
"=""5s.5p3""","=""3D*""","=""3""","=""""","=""8.41698""","=""""","=""""","=""0.1718""","=""  82         :    17  5s2.5p.5d 3D*  ""","=""L16325"""
"=""5s2.5p.6s""","=""3P*""","=""0""","=""""","=""8.57193""","=""""","=""""","=""0.1549""","=""  99         :     1  5s.5p3    3P*  ""","=""L16325"""
"=""5s2.5p.6s""","=""3P*""","=""1""","=""""","=""8.62133""","=""""","=""""","=""0.0494""","=""  73         :    26            1P*  ""","=""L16325"""
"=""5s2.5p.6s""","=""3P*""","=""2""","=""""","=""9.33285""","=""""","=""""","=""0.7115""","=""  95         :     3  5s.5p3    3P*  ""","=""L16325"""
"=""5s2.5p.5d""","=""1D*""","=""2""","=""""","=""8.97518""","=""""","=""""","=""-0.3577""","=""  72         :    17            3F*  ""","=""L16325"""
"=""5s2.5p.6s""","=""1P*""","=""1""","=""""","=""9.41026""","=""""","=""""","=""0.4351""","=""  67         :    23            3P*  ""","=""L16325"""
"=""5s2.5p.5d""","=""3F*""","=""2""","=""""","=""9.50857""","=""""","=""""","=""0.0983""","=""  73         :    11            1D*  ""","=""L16325"""
"=""5s2.5p.5d""","=""3F*""","=""3""","=""""","=""9.63691""","=""""","=""""","=""0.1283""","=""  93         :     2            1F*  ""","=""L16325"""
"=""5s2.5p.5d""","=""3F*""","=""4""","=""""","=""10.05301""","=""""","=""""","=""0.4161""","="" 100                                 ""","=""L16325"""
"=""5s.5p3""","=""3P*""","=""0""","=""""","=""9.52915""","=""""","=""""","=""-0.5239""","=""  81         :    19  5s2.5p.5d 3P*  ""","=""L16325"""
"=""5s.5p3""","=""3P*""","=""1""","=""""","=""9.56407""","=""""","=""""","=""0.0349""","=""  66         :    17  5s2.5p.5d 3P*  ""","=""L16325"""
"=""5s.5p3""","=""3P*""","=""2""","=""""","=""9.71923""","=""""","=""""","=""0.1552""","=""  49         :    25  5s2.5p.5d 3P*  ""","=""L16325"""
"=""5s2.5p.6p""","=""3D""","=""1""","=""""","=""10.39315""","=""""","=""""","=""0.6739""","=""                                     ""","=""L16370"""
"=""5s2.5p.6p""","=""3D""","=""2""","=""""","=""10.68540""","=""""","=""""","=""0.2922""","=""                                     ""","=""L16370"""
"=""5s2.5p.6p""","=""3D""","=""3""","=""""","=""11.35487""","=""""","=""""","=""0.6695""","=""                                     ""","=""L16370"""
"=""5s2.5p.5d""","=""3D*""","=""1""","=""""","=""10.55032""","=""""","=""""","=""-0.8046""","=""  46         :    25            1D*  ""","=""L16325"""
"=""5s2.5p.5d""","=""3D*""","=""2""","=""""","=""10.66603""","=""""","=""""","=""0.1157""","=""  57         :    23            3P*  ""","=""L16325"""
"=""5s2.5p.5d""","=""3D*""","=""3""","=""""","=""10.94281""","=""""","=""""","=""0.2768""","=""  64         :    16            1F*  ""","=""L16325"""
"=""5s2.5p.6p""","=""3P""","=""0""","=""""","=""10.60576""","=""""","=""""","=""-0.3370""","=""                                     ""","=""L16370"""
"=""5s2.5p.6p""","=""3P""","=""1""","=""""","=""11.23873""","=""""","=""""","=""0.6330""","=""                                     ""","=""L16370"""
"=""5s2.5p.6p""","=""3P""","=""2""","=""""","=""11.37158""","=""""","=""""","=""0.1328""","=""                                     ""","=""L16370"""
"=""5s2.5p.6p""","=""1P""","=""1""","=""""","=""10.65616""","=""""","=""""","=""-0.7154""","=""                                     ""","=""L16370"""
"=""5s2.5p.5d""","=""1P*""","=""1""","=""""","=""11.19865""","=""""","=""""","=""0.5425""","=""  52         :    29            3D*  ""","=""L16325"""
"=""5s2.5p.5d""","=""3P*""","=""0""","=""""","=""11.29806""","=""""","=""""","=""0.0994""","=""  81         :    19  5s.5p3    3P*  ""","=""L16325"""
"=""5s2.5p.5d""","=""3P*""","=""2""","=""""","=""11.31248""","=""""","=""""","=""0.0144""","=""  48         :    23            3D*  ""","=""L16325"""
"=""5s2.5p.5d""","=""3P*""","=""1""","=""""","=""11.32721""","=""""","=""""","=""0.0147""","=""  70         :    17  5s.5p3    3P*  ""","=""L16325"""
"=""5s2.5p.5d""","=""1F*""","=""3""","=""""","=""11.31046""","=""""","=""""","=""-0.0167""","=""  80         :    16            3D*  ""","=""L16325"""
"=""5s2.5p.6p""","=""3S""","=""1""","=""""","=""11.53064""","=""""","=""""","=""0.2202""","=""                                     ""","=""L16370"""
"=""5s2.5p.6p""","=""1D""","=""2""","=""""","=""11.63631""","=""""","=""""","=""0.1057""","=""                                     ""","=""L16370"""
"=""5s.5p3""","=""3S*""","=""1""","=""""","=""12.10548""","=""""","=""""","=""0.4692""","=""  74         :    15            1P*  ""","=""L16325"""
"=""5s.5p3""","=""1D*""","=""2""","=""""","=""12.1567""","=""""","=""""","=""0.0512""","=""  83         :     9  5s2.5p.5d 1D*  ""","=""L16325"""
"=""5s2.5p.6p""","=""1S""","=""0""","=""""","=""12.16545""","=""""","=""""","=""0.0087""","=""                                     ""","=""L16370"""
"=""5s2.5p.7s""","=""3P*""","=""0""","=""""","=""12.56219""","=""""","=""""","=""0.3967""","="" 100                                 ""","=""L16325"""
"=""5s2.5p.7s""","=""3P*""","=""1""","=""""","=""12.58908""","=""""","=""""","=""0.0269""","=""  71         :    28            1P*  ""","=""L16325"""
"=""5s2.5p.7s""","=""3P*""","=""2""","=""""","=""13.36867""","=""""","=""""","=""0.7796""","=""  99         :     1  5s.5p3    3P*  ""","=""L16325"""
"=""5s2.5p.6d""","=""3D*""","=""2""","=""""","=""12.98396""","=""""","=""""","=""-0.3847""","=""                                     ""","=""L16325"""
"=""5s2.5p.6d""","=""3D*""","=""1""","=""""","=""13.04197""","=""""","=""""","=""0.0580""","=""                                     ""","=""L16325"""
"=""5s2.5p.6d""","=""3D*""","=""3""","=""""","=""13.67825""","=""""","=""""","=""0.6363""","=""                                     ""","=""L16370"""
"=""5s2.5p.4f""","=""1F""","=""3""","=""""","=""13.05153""","=""""","=""""","=""-0.6267""","=""                                     ""","=""L16370"""
"=""5s2.5p.4f""","=""3F""","=""3""","=""""","=""13.07697""","=""""","=""""","=""0.0254""","=""                                     ""","=""L16370"""
"=""5s2.5p.4f""","=""3F""","=""4""","=""""","=""13.08273""","=""""","=""""","=""0.0058""","=""                                     ""","=""L16370"""
"=""5s2.5p.4f""","=""3F""","=""2""","=""""","=""13.09163""","=""""","=""""","=""0.0089""","=""                                     ""","=""L16370"""
"=""5p4""","=""3P""","=""2""","=""""","=""13.18739""","=""""","=""""","=""0.0958""","=""                                     ""","=""L16370"""
"=""5p4""","=""3P""","=""0""","=""""","=""13.86648""","=""""","=""""","=""0.6791""","=""                                     ""","=""L16370"""
"=""5p4""","=""3P""","=""1""","=""""","=""13.86999""","=""""","=""""","=""0.0035""","=""                                     ""","=""L16370"""
"=""5s2.5p.7p""","=""3D""","=""1""","=""""","=""13.25488""","=""""","=""""","=""-0.6151""","=""                                     ""","=""L16370"""
"=""5s2.5p.7p""","=""3D""","=""2""","=""""","=""13.35873""","=""""","=""""","=""0.1038""","=""                                     ""","=""L16370"""
"=""5s2.5p.7p""","=""3D""","=""3""","=""""","=""14.12607""","=""""","=""""","=""0.7673""","=""                                     ""","=""L16370"""
"=""5s.5p3""","=""1P*""","=""1""","=""""","=""13.32415""","=""""","=""""","=""-0.8019""","=""  70         :    21            3S*  ""","=""L16325"""
"=""5s2.5p.7p""","=""3P""","=""0""","=""""","=""13.33626""","=""""","=""""","=""0.0121""","=""                                     ""","=""L16370"""
"=""5s2.5p.7p""","=""3P""","=""1""","=""""","=""14.03427""","=""""","=""""","=""0.6980""","=""                                     ""","=""L16370"""
"=""5s2.5p.7p""","=""3P""","=""2""","=""""","=""14.11476""","=""""","=""""","=""0.0805""","=""                                     ""","=""L16370"""
"=""5s2.5p.7p""","=""1P""","=""1""","=""""","=""13.34386""","=""""","=""""","=""-0.7709""","=""                                     ""","=""L16370"""
"=""5s2.5p.7s""","=""1P*""","=""1""","=""""","=""13.42860""","=""""","=""""","=""0.0847""","=""  71         :    28            3P*  ""","=""L16325"""
"=""5s2.5p.4f""","=""3G""","=""3""","=""""","=""13.79560""","=""""","=""""","=""0.3670""","=""                                     ""","=""L16370"""
"=""5s2.5p.4f""","=""3G""","=""4""","=""""","=""13.81581""","=""""","=""""","=""0.0202""","=""                                     ""","=""L16370"""
"=""5s2.5p.4f""","=""3G""","=""5""","=""""","=""13.93535""","=""""","=""""","=""0.1195""","=""                                     ""","=""L16370"""
"=""5s2.5p.4f""","=""3D""","=""3""","=""""","=""13.87719""","=""""","=""""","=""-0.0582""","=""                                     ""","=""L16370"""
"=""5s2.5p.4f""","=""3D""","=""2""","=""""","=""14.00618""","=""""","=""""","=""0.1290""","=""                                     ""","=""L16370"""
"=""5s2.5p.4f""","=""3D""","=""1""","=""""","=""14.00834""","=""""","=""""","=""0.0022""","=""                                     ""","=""L16370"""
"=""5s2.5p.4f""","=""1D""","=""2""","=""""","=""13.89367""","=""""","=""""","=""-0.1147""","=""                                     ""","=""L16370"""
"=""5s2.5p.4f""","=""1G""","=""4""","=""""","=""13.94137""","=""""","=""""","=""0.0477""","=""                                     ""","=""L16370"""
"=""5s2.5p.6d""","=""3P*""","=""2""","=""""","=""14.05029""","=""""","=""""","=""0.1089""","=""                                     ""","=""L16370"""
"=""5s2.5p.6d""","=""3P*""","=""1""","=""""","=""14.05340""","=""""","=""""","=""0.0031""","=""                                     ""","=""L16370"""
"=""5s2.5p.8s""","=""3P*""","=""0""","=""""","=""14.12207""","=""""","=""""","=""0.0687""","=""                                     ""","=""L16325"""
"=""5s2.5p.8s""","=""3P*""","=""1""","=""""","=""14.14061""","=""""","=""""","=""0.0185""","=""                                     ""","=""L16325"""
"=""5s2.5p.8s""","=""3P*""","=""2""","=""""","=""14.94351""","=""""","=""""","=""0.8029""","=""                                     ""","=""L16370"""
"=""5s2.5p.6d""","=""1D*""","=""2""","=""""","=""14.13933""","=""""","=""""","=""-0.8042""","=""                                     ""","=""L16370"""
"=""5s2.5p.7p""","=""3S""","=""1""","=""""","=""14.14813""","=""""","=""""","=""0.0088""","=""                                     ""","=""L16370"""
"=""5s2.5p.7p""","=""1D""","=""2""","=""""","=""14.20693""","=""""","=""""","=""0.0588""","=""                                     ""","=""L16370"""
