Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Reference
"=""5s2""","=""1S""","=""0""","=""""","=""0.0000""","=""""","=""0""","=""""","=""L3466"""
"=""5s.5p""","=""3P*""","=""0""","=""""","=""7.9889""","=""""","=""""","=""7.9889""","="""""
"=""5s.5p""","=""3P*""","=""1""","=""""","=""8.2697""","=""""","=""""","=""0.281""","="""""
"=""5s.5p""","=""3P*""","=""2""","=""""","=""8.9963""","=""""","=""""","=""0.727""","="""""
"=""5s.5p""","=""1P*""","=""1""","=""""","=""11.8965""","=""""","=""""","=""2.900""","="""""
"=""5p2""","=""3P""","=""0""","=""""","=""18.8550""","=""""","=""""","=""6.959""","="""""
"=""5p2""","=""3P""","=""1""","=""""","=""19.3896""","=""""","=""""","=""0.535""","="""""
"=""5p2""","=""3P""","=""2""","=""""","=""20.2744""","=""""","=""""","=""0.885""","="""""
"=""5p2""","=""1D""","=""2""","=""""","=""19.3361""","=""""","=""""","=""-0.938""","="""""
"=""5s.5d""","=""3D""","=""1""","=""""","=""22.1825""","=""""","=""""","=""2.846""","="""""
"=""5s.5d""","=""3D""","=""2""","=""""","=""22.2259""","=""""","=""""","=""0.043""","="""""
"=""5s.5d""","=""3D""","=""3""","=""""","=""22.2948""","=""""","=""""","=""0.069""","="""""
"=""5s.5d""","=""1D""","=""2""","=""""","=""22.6644""","=""""","=""""","=""0.370""","="""""
"=""5s.6s""","=""3S""","=""1""","=""""","=""23.3861""","=""""","=""""","=""0.722""","="""""
"=""5s.6p""","=""3P*""","=""0""","=""""","=""26.7045""","=""""","=""""","=""3.318""","="""""
"=""5s.6p""","=""3P*""","=""1""","=""""","=""26.7479""","=""""","=""""","=""0.043""","="""""
"=""5s.6p""","=""3P*""","=""2""","=""""","=""27.0040""","=""""","=""""","=""0.256""","="""""
"=""5s.6p""","=""1P*""","=""1""","=""""","=""27.1560""","=""""","=""""","=""0.152""","="""""
"=""5s.4f""","=""3F*""","=""2""","=""""","=""28.1517""","=""""","=""""","=""0.996""","="""""
"=""5s.4f""","=""3F*""","=""3""","=""""","=""28.1623""","=""""","=""""","=""0.011""","="""""
"=""5s.4f""","=""3F*""","=""4""","=""""","=""28.1821""","=""""","=""""","=""0.020""","="""""
"=""5s.4f""","=""1F*""","=""3""","=""""","=""28.4658""","=""""","=""""","=""0.284""","="""""
"=""5s.6d""","=""3D""","=""1""","=""""","=""31.5767""","=""""","=""""","=""3.111""","="""""
"=""5s.6d""","=""3D""","=""2""","=""""","=""31.5944""","=""""","=""""","=""0.018""","="""""
"=""5s.6d""","=""3D""","=""3""","=""""","=""31.6258""","=""""","=""""","=""0.031""","="""""
"=""5s.6d""","=""1D""","=""2""","=""""","=""31.6852""","=""""","=""""","=""0.059""","="""""
"=""5s.7s""","=""3S""","=""1""","=""""","=""31.9595""","=""""","=""""","=""0.274""","="""""
"=""5s.7s""","=""1S""","=""0""","=""""","=""32.5969""","=""""","=""""","=""0.637""","="""""
"=""Sb V (5s 2S<1/2>)""","=""Limit""","=""---""","=""""","=""43.804""","=""""","=""0.025""","=""""","=""L11767"""
