Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Lande,Leading percentages,Reference
"=""3p6.3d.4s""","=""3D""","=""1""","=""""","=""0.000000""","=""""","=""0""","=""""","=""0.501""","=""                                                  ""","=""L7185"""
"=""3p6.3d.4s""","=""3D""","=""2""","=""""","=""0.008396""","=""""","=""""","=""0.008396""","=""1.163""","=""                                                  ""","="""""
"=""3p6.3d.4s""","=""3D""","=""3""","=""""","=""0.022039""","=""""","=""""","=""0.01364""","=""1.330""","=""                                                  ""","="""""
"=""3p6.3d.4s""","=""1D""","=""2""","=""""","=""0.315038""","=""""","=""""","=""0.29300""","=""0.998""","=""                                                  ""","="""""
"=""3p6.3d2""","=""3F""","=""2""","=""""","=""0.595480""","=""""","=""""","=""0.28044""","=""0.665""","=""                                                  ""","="""""
"=""3p6.3d2""","=""3F""","=""3""","=""""","=""0.605486""","=""""","=""""","=""0.01001""","=""1.083""","=""                                                  ""","="""""
"=""3p6.3d2""","=""3F""","=""4""","=""""","=""0.618407""","=""""","=""""","=""0.01292""","=""""","=""                                                  ""","="""""
"=""3p6.3d2""","=""1D""","=""2""","=""""","=""1.356952""","=""""","=""""","=""0.73854""","=""""","=""                                                  ""","="""""
"=""3p6.4s2""","=""1S""","=""0""","=""""","=""1.455123""","=""""","=""""","=""0.09817""","=""""","=""                                                  ""","="""""
"=""3p6.3d2""","=""3P""","=""0""","=""""","=""1.496998""","=""""","=""""","=""0.04188""","=""""","=""                                                  ""","="""""
"=""3p6.3d2""","=""3P""","=""1""","=""""","=""1.500395""","=""""","=""""","=""0.00340""","=""1.487""","=""                                                  ""","="""""
"=""3p6.3d2""","=""3P""","=""2""","=""""","=""1.506956""","=""""","=""""","=""0.00656""","=""1.481""","=""                                                  ""","="""""
"=""3p6.3d2""","=""1G""","=""4""","=""""","=""1.768178""","=""""","=""""","=""0.26122""","=""""","=""                                                  ""","="""""
"=""3p6.3d2""","=""1S""","=""0""","=""""","=""3.21803""","=""""","=""""","=""1.44985""","=""""","=""                                                  ""","="""""
"=""3p6.3d.4p""","=""1D*""","=""2""","=""""","=""3.233674""","=""""","=""""","=""0.01564""","=""0.999""","=""  99                                              ""","="""""
"=""3p6.3d.4p""","=""3F*""","=""2""","=""""","=""3.402586""","=""""","=""""","=""0.16891""","=""0.671""","=""  99                                              ""","="""""
"=""3p6.3d.4p""","=""3F*""","=""3""","=""""","=""3.422268""","=""""","=""""","=""0.01968""","=""1.086""","=""  99                                              ""","="""""
"=""3p6.3d.4p""","=""3F*""","=""4""","=""""","=""3.451887""","=""""","=""""","=""0.02962""","=""1.233""","="" 100                                              ""","="""""
"=""3p6.3d.4p""","=""3D*""","=""1""","=""""","=""3.461364""","=""""","=""""","=""0.00948""","=""0.506""","="" 100                                              ""","="""""
"=""3p6.3d.4p""","=""3D*""","=""2""","=""""","=""3.474197""","=""""","=""""","=""0.01283""","=""1.162""","=""  99                                              ""","="""""
"=""3p6.3d.4p""","=""3D*""","=""3""","=""""","=""3.491540""","=""""","=""""","=""0.01734""","=""1.323""","=""  99                                              ""","="""""
