Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Reference
"=""3p6.3d""","=""2D""","=""3/2""","=""""","=""0.000000""","=""""","=""0""","=""""","=""L7185"""
"=""3p6.3d""","=""2D""","=""5/2""","=""""","=""0.024504""","=""""","=""""","=""0.024504""","="""""
"=""3p6.4s""","=""2S""","=""1/2""","=""""","=""3.166472""","=""""","=""""","=""3.14197""","="""""
"=""3p6.4p""","=""2P*""","=""1/2""","=""""","=""7.699952""","=""""","=""""","=""4.53348""","="""""
"=""3p6.4p""","=""2P*""","=""3/2""","=""""","=""7.758705""","=""""","=""""","=""0.05875""","="""""
"=""3p6.4d""","=""2D""","=""3/2""","=""""","=""13.918171""","=""""","=""""","=""6.15947""","="""""
"=""3p6.4d""","=""2D""","=""5/2""","=""""","=""13.923791""","=""""","=""""","=""0.00562""","="""""
"=""3p6.5s""","=""2S""","=""1/2""","=""""","=""14.241133""","=""""","=""""","=""0.31734""","="""""
"=""3p6.5p""","=""2P*""","=""1/2""","=""""","=""15.883259""","=""""","=""""","=""1.64213""","="""""
"=""3p6.5p""","=""2P*""","=""3/2""","=""""","=""15.905084""","=""""","=""""","=""0.02182""","="""""
"=""3p6.4f""","=""2F*""","=""5/2""","=""""","=""16.970197""","=""""","=""""","=""1.06511""","="""""
"=""3p6.4f""","=""2F*""","=""7/2""","=""""","=""16.970228""","=""""","=""""","=""0.00003""","="""""
"=""3p6.5d""","=""2D""","=""3/2""","=""""","=""18.365783""","=""""","=""""","=""1.39556""","="""""
"=""3p6.5d""","=""2D""","=""5/2""","=""""","=""18.368276""","=""""","=""""","=""0.00249""","="""""
"=""3p6.6s""","=""2S""","=""1/2""","=""""","=""18.497702""","=""""","=""""","=""0.12943""","="""""
"=""3p6.6p""","=""2P*""","=""1/2""","=""""","=""19.278276""","=""""","=""""","=""0.78057""","="""""
"=""3p6.6p""","=""2P*""","=""3/2""","=""""","=""19.288866""","=""""","=""""","=""0.01059""","="""""
"=""3p6.5f""","=""2F*""","=""5/2""","=""""","=""19.772038""","=""""","=""""","=""0.48317""","="""""
"=""3p6.5f""","=""2F*""","=""7/2""","=""""","=""19.772038""","=""""","=""""","=""0.00000""","="""""
"=""3p6.5g""","=""2G""","=""7/2""","=""""","=""19.846421""","=""""","=""""","=""0.07438""","="""""
"=""3p6.5g""","=""2G""","=""9/2""","=""""","=""19.846421""","=""""","=""""","=""0.00000""","="""""
"=""3p6.6d""","=""2D""","=""3/2""","=""""","=""20.530860""","=""""","=""""","=""0.68444""","="""""
"=""3p6.6d""","=""2D""","=""5/2""","=""""","=""20.532191""","=""""","=""""","=""0.00133""","="""""
"=""3p6.7s""","=""2S""","=""1/2""","=""""","=""20.600864""","=""""","=""""","=""0.06867""","="""""
"=""3p6.7p""","=""2P*""","=""1/2""","=""""","=""21.032426""","=""""","=""""","=""0.43156""","="""""
"=""3p6.7p""","=""2P*""","=""3/2""","=""""","=""21.03837""","=""""","=""""","=""0.00594""","="""""
"=""3p6.6f""","=""2F*""","=""7/2""","=""""","=""21.298953""","=""""","=""""","=""0.26058""","="""""
"=""3p6.6f""","=""2F*""","=""5/2""","=""""","=""21.298953""","=""""","=""""","=""0.00000""","="""""
"=""3p6.6g""","=""2G""","=""9/2""","=""""","=""21.347278""","=""""","=""""","=""0.04832""","="""""
"=""3p6.6g""","=""2G""","=""7/2""","=""""","=""21.347278""","=""""","=""""","=""0.00000""","="""""
"=""3p6.6h""","=""2H*""","=""9/2""","=""""","=""21.353125""","=""""","=""""","=""0.00585""","="""""
"=""3p6.6h""","=""2H*""","=""11/2""","=""""","=""21.353125""","=""""","=""""","=""0.00000""","="""""
"=""3p6.7d""","=""2D""","=""3/2""","=""""","=""21.753899""","=""""","=""""","=""0.40077""","="""""
"=""3p6.7d""","=""2D""","=""5/2""","=""""","=""21.754709""","=""""","=""""","=""0.00081""","="""""
"=""3p6.8s""","=""2S""","=""1/2""","=""""","=""21.795893""","=""""","=""""","=""0.04118""","="""""
"=""3p6.7f""","=""2F*""","=""5/2""","=""""","=""22.219791""","=""""","=""""","=""0.42390""","="""""
"=""3p6.7f""","=""2F*""","=""7/2""","=""""","=""22.219791""","=""""","=""""","=""0.00000""","="""""
"=""3p6.7g""","=""2G""","=""7/2""","=""""","=""22.252342""","=""""","=""""","=""0.03255""","="""""
"=""3p6.7g""","=""2G""","=""9/2""","=""""","=""22.252342""","=""""","=""""","=""0.00000""","="""""
"=""3p6.7h""","=""2H*""","=""9/2""","=""""","=""22.256201""","=""""","=""""","=""0.00386""","="""""
"=""3p6.7h""","=""2H*""","=""11/2""","=""""","=""22.256201""","=""""","=""""","=""0.00000""","="""""
"=""3p6.8g""","=""2G""","=""9/2""","=""""","=""22.839701""","=""""","=""""","=""0.58350""","="""""
"=""3p6.8g""","=""2G""","=""7/2""","=""""","=""22.839701""","=""""","=""""","=""0.00000""","="""""
"=""Sc IV (3p6 1S<0>)""","=""Limit""","=""---""","=""""","=""24.756839""","=""""","=""0.000012""","=""""","=""L1891,L7185"""
