Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Reference
"=""3s2.3p6""","=""1S""","=""0""","=""""","=""0.00000""","=""""","=""0""","=""""","=""L7185"""
"=""3s2.3p5.3d""","=""3P*""","=""0""","=""""","=""29.72189""","=""""","=""""","=""29.72189""","="""""
"=""3s2.3p5.3d""","=""3P*""","=""1""","=""""","=""29.80617""","=""""","=""""","=""0.0843""","="""""
"=""3s2.3p5.3d""","=""3P*""","=""2""","=""""","=""29.98111""","=""""","=""""","=""0.1749""","="""""
"=""3s2.3p5.3d""","=""3F*""","=""4""","=""""","=""31.08386""","=""""","=""""","=""1.1028""","="""""
"=""3s2.3p5.3d""","=""3F*""","=""3""","=""""","=""31.25745""","=""""","=""""","=""0.1736""","="""""
"=""3s2.3p5.3d""","=""3F*""","=""2""","=""""","=""31.41830""","=""""","=""""","=""0.1608""","="""""
"=""3s2.3p5.3d""","=""1D*""","=""2""","=""""","=""33.15640""","=""""","=""""","=""1.7381""","="""""
"=""3s2.3p5.3d""","=""3D*""","=""3""","=""""","=""33.23201""","=""""","=""""","=""0.0756""","="""""
"=""3s2.3p5.3d""","=""3D*""","=""1""","=""""","=""33.40463""","=""""","=""""","=""0.1726""","="""""
"=""3s2.3p5.3d""","=""3D*""","=""2""","=""""","=""33.40877""","=""""","=""""","=""0.0041""","="""""
"=""3s2.3p5.3d""","=""1F*""","=""3""","=""""","=""33.60659""","=""""","=""""","=""0.1978""","="""""
"=""3s2.3p5.4s""","=""3P*""","=""2""","=""""","=""41.29800""","=""""","=""""","=""7.6914""","="""""
"=""3s2.3p5.4s""","=""3P*""","=""1""","=""""","=""41.46095""","=""""","=""""","=""0.1629""","="""""
"=""3s2.3p5.4s""","=""3P*""","=""0""","=""""","=""41.82484""","=""""","=""""","=""0.3639""","="""""
"=""3s2.3p5.4s""","=""1P*""","=""1""","=""""","=""41.84262""","=""""","=""""","=""0.0178""","="""""
"=""3s2.3p5.3d""","=""1P*""","=""1""","=""""","=""42.77522""","=""""","=""""","=""0.9326""","="""""
"=""3s2.3p5.4p""","=""3S""","=""1""","=""""","=""46.08929""","=""""","=""""","=""3.3141""","="""""
"=""3s2.3p5.4p""","=""3D""","=""3""","=""""","=""46.87557""","=""""","=""""","=""0.7863""","="""""
"=""3s2.3p5.4p""","=""3D""","=""2""","=""""","=""46.91793""","=""""","=""""","=""0.0424""","="""""
"=""3s2.3p5.4p""","=""3D""","=""1""","=""""","=""47.13238""","=""""","=""""","=""0.2144""","="""""
"=""3s2.3p5.4p""","=""3P""","=""2""","=""""","=""47.32626""","=""""","=""""","=""0.1939""","="""""
"=""3s2.3p5.4p""","=""3P""","=""0""","=""""","=""47.71133""","=""""","=""""","=""0.3851""","="""""
"=""3s2.3p5.4p""","=""3P""","=""1""","=""""","=""47.80459""","=""""","=""""","=""0.0933""","="""""
"=""3s2.3p5.4p""","=""1P""","=""1""","=""""","=""47.55130""","=""""","=""""","=""-0.2533""","="""""
"=""3s2.3p5.4p""","=""1D""","=""2""","=""""","=""47.69192""","=""""","=""""","=""0.1406""","="""""
"=""3s2.3p5.4p""","=""1S""","=""0""","=""""","=""49.28505""","=""""","=""""","=""1.5931""","="""""
"=""3s.3p6.3d""","=""3D""","=""1""","=""""","=""53.27548""","=""""","=""""","=""3.9904""","="""""
"=""3s.3p6.3d""","=""3D""","=""2""","=""""","=""53.29367""","=""""","=""""","=""0.0182""","="""""
"=""3s.3p6.3d""","=""3D""","=""3""","=""""","=""53.32294""","=""""","=""""","=""0.0293""","="""""
"=""3s2.3p5.4d""","=""3P*""","=""0""","=""""","=""54.61726""","=""""","=""""","=""1.2943""","="""""
"=""3s2.3p5.4d""","=""3P*""","=""1""","=""""","=""54.67492""","=""""","=""""","=""0.0577""","="""""
"=""3s2.3p5.4d""","=""3P*""","=""2""","=""""","=""54.79200""","=""""","=""""","=""0.1171""","="""""
"=""3s.3p6.3d""","=""1D""","=""2""","=""""","=""54.80672""","=""""","=""""","=""0.0147""","="""""
"=""3s2.3p5.4d""","=""3F*""","=""4""","=""""","=""54.87027""","=""""","=""""","=""0.0635""","="""""
