Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Reference
"=""4s2.4p3""","=""4S*""","=""3/2""","=""""","=""0.00000""","=""""","=""0""","=""""","=""L3465"""
"=""4s2.4p3""","=""2D*""","=""3/2""","=""""","=""1.63265""","=""""","=""""","=""1.63265""","="""""
"=""4s2.4p3""","=""2D*""","=""5/2""","=""""","=""1.70905""","=""""","=""""","=""0.0764""","="""""
"=""4s2.4p3""","=""2P*""","=""1/2""","=""""","=""2.85639""","=""""","=""""","=""1.1473""","="""""
"=""4s2.4p3""","=""2P*""","=""3/2""","=""""","=""2.96258""","=""""","=""""","=""0.1062""","="""""
"=""4s.4p4""","=""4P""","=""5/2""","=""""","=""10.39939""","=""""","=""""","=""7.4368""","="""""
"=""4s.4p4""","=""4P""","=""3/2""","=""""","=""10.61051""","=""""","=""""","=""0.2111""","="""""
"=""4s.4p4""","=""4P""","=""1/2""","=""""","=""10.71691""","=""""","=""""","=""0.1064""","="""""
"=""4s2.4p2.(3P).5s""","=""4P""","=""1/2""","=""""","=""11.81197""","=""""","=""""","=""1.0951""","="""""
"=""4s2.4p2.(3P).5s""","=""4P""","=""3/2""","=""""","=""11.99588""","=""""","=""""","=""0.1839""","="""""
"=""4s2.4p2.(3P).5s""","=""4P""","=""5/2""","=""""","=""12.23407""","=""""","=""""","=""0.2382""","="""""
"=""""","=""1""","=""1/2""","=""""","=""11.96663""","=""""","=""""","=""-0.2674""","="""""
"=""""","=""2""","=""5/2""","=""""","=""11.98373""","=""""","=""""","=""0.0171""","="""""
"=""""","=""3""","=""1/2""","=""""","=""12.16511""","=""""","=""""","=""0.1814""","="""""
"=""4s2.4p2.(3P).5s""","=""2P""","=""1/2""","=""""","=""12.26155""","=""""","=""""","=""0.0964""","="""""
"=""4s2.4p2.(3P).5s""","=""2P""","=""3/2""","=""""","=""12.56654""","=""""","=""""","=""0.3050""","="""""
"=""""","=""4""","=""3/2""","=""""","=""12.32012""","=""""","=""""","=""-0.2464""","="""""
"=""4s.4p4""","=""2P""","=""3/2""","=""""","=""12.43501""","=""""","=""""","=""0.1149""","="""""
"=""""","=""5""","=""5/2""","=""""","=""12.60070""","=""""","=""""","=""0.1657""","="""""
"=""""","=""6""","=""3/2""","=""""","=""12.98045""","=""""","=""""","=""0.3797""","="""""
"=""""","=""7""","=""3/2""","=""""","=""13.00268""","=""""","=""""","=""0.0222""","="""""
"=""""","=""8""","=""1/2""","=""""","=""13.05033""","=""""","=""""","=""0.0477""","="""""
