Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Reference
"=""4s2.4p2""","=""3P""","=""0""","=""""","=""0.0000""","=""""","=""0""","=""""","=""L3465"""
"=""4s2.4p2""","=""3P""","=""1""","=""""","=""0.2159""","=""""","=""""","=""0.2159""","="""""
"=""4s2.4p2""","=""3P""","=""2""","=""""","=""0.4881""","=""""","=""""","=""0.272""","="""""
"=""4s2.4p2""","=""1D""","=""2""","=""""","=""1.6158""","=""""","=""""","=""1.128""","="""""
"=""4s2.4p2""","=""1S""","=""0""","=""""","=""3.5249""","=""+k""","=""""","=""1.909""","="""""
"=""4s.4p3""","=""3D*""","=""1""","=""""","=""11.2938""","=""""","=""""","=""7.769""","="""""
"=""4s.4p3""","=""3D*""","=""2""","=""""","=""11.4962""","=""""","=""""","=""0.202""","="""""
"=""4s.4p3""","=""3D*""","=""3""","=""""","=""11.9704""","=""""","=""""","=""0.474""","="""""
"=""4s.4p3""","=""3P*""","=""0""","=""""","=""13.2021""","=""""","=""""","=""1.232""","="""""
"=""4s.4p3""","=""3P*""","=""2""","=""""","=""13.2062""","=""""","=""""","=""0.004""","="""""
"=""4s.4p3""","=""3P*""","=""1""","=""""","=""13.2156""","=""""","=""""","=""0.009""","="""""
"=""4s.4p3""","=""1D*""","=""2""","=""""","=""13.9563""","=""""","=""""","=""0.741""","="""""
"=""4s2.4p.(2P*).4d""","=""3F*""","=""2""","=""""","=""15.38048""","=""""","=""""","=""1.4242""","="""""
"=""4s2.4p.(2P*).4d""","=""3F*""","=""3""","=""""","=""15.53644""","=""""","=""""","=""0.1560""","="""""
"=""4s2.4p.(2P*).4d""","=""3F*""","=""4""","=""""","=""15.79676""","=""""","=""""","=""0.2603""","="""""
"=""4s2.4p.(2P*).5s""","=""3P*""","=""0""","=""""","=""15.65634""","=""""","=""""","=""-0.1404""","="""""
"=""4s2.4p.(2P*).5s""","=""3P*""","=""1""","=""""","=""15.71889""","=""""","=""""","=""0.0625""","="""""
"=""4s2.4p.(2P*).5s""","=""3P*""","=""2""","=""""","=""16.16642""","=""""","=""""","=""0.4475""","="""""
"=""4s2.4p.(2P*).5s""","=""1P*""","=""1""","=""""","=""16.32325""","=""""","=""""","=""0.1568""","="""""
"=""4s2.4p.(2P*).4d""","=""1P*""","=""1""","=""""","=""16.97920""","=""""","=""""","=""0.6559""","="""""
"=""4s2.4p.(2P*).4d""","=""1D*""","=""2""","=""""","=""17.25906""","=""""","=""""","=""0.2799""","="""""
"=""4s2.4p.(2P*).4d""","=""3D*""","=""2""","=""""","=""17.28460""","=""""","=""""","=""0.0255""","="""""
"=""4s2.4p.(2P*).4d""","=""3D*""","=""1""","=""""","=""17.43710""","=""""","=""""","=""0.1525""","="""""
"=""4s2.4p.(2P*).4d""","=""3D*""","=""3""","=""""","=""17.60757""","=""""","=""""","=""0.1705""","="""""
"=""4s2.4p.(2P*).4d""","=""3P*""","=""0""","=""""","=""17.64491""","=""""","=""""","=""0.0373""","="""""
"=""4s2.4p.(2P*).4d""","=""3P*""","=""2""","=""""","=""17.69330""","=""""","=""""","=""0.0484""","="""""
"=""4s2.4p.(2P*).4d""","=""3P*""","=""1""","=""""","=""17.69976""","=""""","=""""","=""0.0065""","="""""
"=""""","=""x*""","=""1""","=""""","=""18.3273""","=""""","=""""","=""0.6275""","="""""
"=""4s2.4p.(2P*).4d""","=""1F*""","=""3""","=""""","=""18.4334""","=""""","=""""","=""0.106""","="""""
"=""4s2.4p.(2P*).5p""","=""1P""","=""1""","=""""","=""18.69199""","=""""","=""""","=""0.2586""","="""""
"=""4s2.4p.(2P*).5p""","=""3D""","=""1""","=""""","=""18.99579""","=""""","=""""","=""0.3038""","="""""
"=""4s2.4p.(2P*).5p""","=""3D""","=""2""","=""""","=""19.03417""","=""""","=""""","=""0.0384""","="""""
"=""4s2.4p.(2P*).5p""","=""3D""","=""3""","=""""","=""19.42744""","=""""","=""""","=""0.3933""","="""""
"=""4s2.4p.(2P*).5p""","=""3P""","=""0""","=""""","=""19.19065""","=""""","=""""","=""-0.2368""","="""""
"=""4s2.4p.(2P*).5p""","=""3P""","=""1""","=""""","=""19.38622""","=""""","=""""","=""0.1956""","="""""
"=""4s2.4p.(2P*).5p""","=""3P""","=""2""","=""""","=""19.57391""","=""""","=""""","=""0.1877""","="""""
"=""4s2.4p.(2P*).5p""","=""3S""","=""1""","=""""","=""19.75104""","=""""","=""""","=""0.1771""","="""""
"=""4s2.4p.(2P*).5p""","=""1D""","=""2""","=""""","=""19.98256""","=""""","=""""","=""0.2315""","="""""
"=""4s2.4p.(2P*).6s""","=""3P*""","=""0""","=""""","=""23.20596""","=""""","=""""","=""3.2234""","="""""
"=""4s2.4p.(2P*).6s""","=""3P*""","=""1""","=""""","=""23.23792""","=""""","=""""","=""0.0320""","="""""
"=""4s2.4p.(2P*).6s""","=""3P*""","=""2""","=""""","=""23.74583""","=""""","=""""","=""0.5079""","="""""
"=""4s2.4p.(2P*).5d""","=""3F*""","=""2""","=""""","=""23.36224""","=""""","=""""","=""-0.3836""","="""""
"=""4s2.4p.(2P*).5d""","=""3F*""","=""3""","=""""","=""23.51334""","=""""","=""""","=""0.1511""","="""""
"=""4s2.4p.(2P*).5d""","=""3F*""","=""4""","=""""","=""23.75458""","=""""","=""""","=""0.2412""","="""""
"=""4s2.4p.(2P*).5d""","=""3D*""","=""2""","=""""","=""23.55950""","=""""","=""""","=""-0.1951""","="""""
"=""4s2.4p.(2P*).5d""","=""3D*""","=""1""","=""""","=""23.66129""","=""""","=""""","=""0.1018""","="""""
"=""4s2.4p.(2P*).5d""","=""3D*""","=""3""","=""""","=""24.04240""","=""""","=""""","=""0.3811""","="""""
"=""4s2.4p.(2P*).6s""","=""1P*""","=""1""","=""""","=""23.82503""","=""""","=""""","=""-0.2174""","="""""
"=""4s2.4p.(2P*).5d""","=""1D*""","=""2""","=""""","=""23.96669""","=""""","=""""","=""0.1417""","="""""
"=""4s2.4p.(2P*).5d""","=""3P*""","=""2""","=""""","=""24.14307""","=""""","=""""","=""0.1764""","="""""
