Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Reference
"=""4s2.4p""","=""2P*""","=""1/2""","=""""","=""0.0000""","=""""","=""0""","=""""","=""L3465"""
"=""4s2.4p""","=""2P*""","=""3/2""","=""""","=""0.5426""","=""""","=""""","=""0.5426""","="""""
"=""4s.4p2""","=""4P""","=""1/2""","=""""","=""9.84378""","=""""","=""""","=""9.3012""","="""""
"=""4s.4p2""","=""4P""","=""3/2""","=""""","=""10.04028""","=""""","=""""","=""0.1965""","="""""
"=""4s.4p2""","=""4P""","=""5/2""","=""""","=""10.36374""","=""""","=""""","=""0.3235""","="""""
"=""4s.4p2""","=""2D""","=""3/2""","=""""","=""12.9205""","=""""","=""""","=""2.5568""","="""""
"=""4s.4p2""","=""2D""","=""5/2""","=""""","=""12.9819""","=""""","=""""","=""0.061""","="""""
"=""4s.4p2""","=""2S""","=""1/2""","=""""","=""15.9676""","=""""","=""""","=""2.986""","="""""
"=""4s.4p2""","=""2P""","=""1/2""","=""""","=""16.8785""","=""""","=""""","=""0.911""","="""""
"=""4s.4p2""","=""2P""","=""3/2""","=""""","=""17.1537""","=""""","=""""","=""0.275""","="""""
"=""4s2.4d""","=""2D""","=""3/2""","=""""","=""18.9965""","=""""","=""""","=""1.843""","="""""
"=""4s2.4d""","=""2D""","=""5/2""","=""""","=""19.0447""","=""""","=""""","=""0.048""","="""""
"=""4s2.5s""","=""2S""","=""1/2""","=""""","=""19.4954""","=""""","=""""","=""0.451""","="""""
"=""4p3""","=""4S*""","=""3/2""","=""""","=""19.76917""","=""""","=""""","=""0.2738""","="""""
"=""4p3""","=""2D*""","=""3/2""","=""""","=""23.52146""","=""""","=""""","=""3.7523""","="""""
"=""4p3""","=""2D*""","=""5/2""","=""""","=""24.41949""","=""""","=""""","=""0.8980""","="""""
"=""4s2.5p""","=""2P*""","=""1/2""","=""""","=""23.5462""","=""""","=""""","=""-0.8733""","="""""
"=""4s2.5p""","=""2P*""","=""3/2""","=""""","=""23.6947""","=""""","=""""","=""0.149""","="""""
"=""4p3""","=""2P*""","=""3/2""","=""""","=""27.19376""","=""""","=""""","=""3.4991""","="""""
"=""4p3""","=""2P*""","=""1/2""","=""""","=""28.08708""","=""""","=""""","=""0.8933""","="""""
"=""4s2.4f""","=""2F*""","=""7/2""","=""""","=""28.4772""","=""""","=""""","=""0.3901""","="""""
"=""4s2.4f""","=""2F*""","=""5/2""","=""""","=""28.4809""","=""""","=""""","=""0.004""","="""""
"=""4s2.5d""","=""2D""","=""3/2""","=""""","=""29.4769""","=""""","=""""","=""0.996""","="""""
"=""4s2.5d""","=""2D""","=""5/2""","=""""","=""29.4957""","=""""","=""""","=""0.019""","="""""
"=""4s2.6s""","=""2S""","=""1/2""","=""""","=""29.8486""","=""""","=""""","=""0.353""","="""""
"=""4s2.5g""","=""2G""","=""7/2""","=""""","=""34.2015""","=""""","=""""","=""4.353""","="""""
"=""4s2.5g""","=""2G""","=""9/2""","=""""","=""34.2015""","=""""","=""""","=""0.000""","="""""
"=""4s2.7s""","=""2S""","=""1/2""","=""""","=""34.94290""","=""""","=""""","=""0.7414""","="""""
"=""Se V (4s2 1S<0>)""","=""Limit""","=""---""","=""""","=""42.947""","=""""","=""0.003""","=""""","=""L925"""
