Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Leading percentages,Reference
"=""3s2.3p2""","=""3P""","=""0""","=""""","=""0.0000000""","=""""","=""0""","=""""","=""                                           ""","=""L5815"""
"=""3s2.3p2""","=""3P""","=""1""","=""""","=""0.0095610""","=""""","=""""","=""0.0095610""","=""                                           ""","=""L5815"""
"=""3s2.3p2""","=""3P""","=""2""","=""""","=""0.0276679""","=""""","=""""","=""0.018107""","=""                                           ""","=""L5815"""
"=""3s2.3p2""","=""1D""","=""2""","=""""","=""0.7809579""","=""""","=""""","=""0.753290""","=""                                           ""","=""L5815"""
"=""3s2.3p2""","=""1S""","=""0""","=""""","=""1.9086586""","=""""","=""""","=""1.127701""","=""                                           ""","=""L5815"""
"=""3s.3p3""","=""5S*""","=""2""","=""""","=""4.1319040""","=""""","=""""","=""2.223245""","="" 100                                       ""","=""L5815"""
"=""3s2.3p.4s""","=""3P*""","=""0""","=""""","=""4.9200852""","=""""","=""""","=""0.788181""","=""  99                                       ""","=""L5815"""
"=""3s2.3p.4s""","=""3P*""","=""1""","=""""","=""4.9296471""","=""""","=""""","=""0.009562""","=""  98                  :     1  3p.4s  1P*  ""","=""L5815"""
"=""3s2.3p.4s""","=""3P*""","=""2""","=""""","=""4.9537952""","=""""","=""""","=""0.024148""","=""  99                                       ""","=""L5815"""
"=""3s2.3p.4s""","=""1P*""","=""1""","=""""","=""5.0823459""","=""""","=""""","=""0.128551""","=""  97                  :     1  3p.3d  1P*  ""","=""L5815"""
"=""3s.3p3""","=""3D*""","=""1""","=""""","=""5.6135319""","=""""","=""""","=""0.531186""","=""  56                  :    39  3p.nd  3D*  ""","=""L5815"""
"=""3s.3p3""","=""3D*""","=""2""","=""""","=""5.6156943""","=""""","=""""","=""0.002162""","=""  56                  :    39  3p.nd  3D*  ""","=""L5815"""
"=""3s.3p3""","=""3D*""","=""3""","=""""","=""5.6191930""","=""""","=""""","=""0.003499""","=""  56                  :    39  3p.nd  3D*  ""","=""L5815"""
"=""3s2.3p.4p""","=""1P""","=""1""","=""""","=""5.8624764""","=""""","=""""","=""0.243283""","=""                                           ""","=""L5815"""
"=""3s2.3p.3d""","=""1D*""","=""2""","=""""","=""5.8708445""","=""""","=""""","=""0.008368""","=""  92                  :     4  3s.3p3 1D*  ""","=""L5815"""
"=""3s2.3p.4p""","=""3D""","=""1""","=""""","=""5.9537304""","=""""","=""""","=""0.082886""","=""                                           ""","=""L5815"""
"=""3s2.3p.4p""","=""3D""","=""2""","=""""","=""5.9639280""","=""""","=""""","=""0.010198""","=""                                           ""","=""L5815"""
