Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Leading percentages,Reference
"=""3s2.3p""","=""2P*""","=""1/2""","=""""","=""0.000000""","=""""","=""0""","=""""","=""  94         :     3  3p3            2P*  ""","=""L5815"""
"=""3s2.3p""","=""2P*""","=""3/2""","=""""","=""0.035613""","=""""","=""""","=""0.035613""","=""  94         :     3  3p3            2P*  ""","="""""
"=""3s.3p2""","=""4P""","=""1/2""","=""""","=""5.309535""","=""""","=""""","=""5.27392""","=""                                          ""","="""""
"=""3s.3p2""","=""4P""","=""3/2""","=""""","=""5.322966""","=""""","=""""","=""0.01343""","=""                                          ""","="""""
"=""3s.3p2""","=""4P""","=""5/2""","=""""","=""5.344700""","=""""","=""""","=""0.02173""","=""                                          ""","="""""
"=""3s.3p2""","=""2D""","=""3/2""","=""""","=""6.857485""","=""""","=""""","=""1.51279""","=""  66         :    30  3s2.3d         2D   ""","="""""
"=""3s.3p2""","=""2D""","=""5/2""","=""""","=""6.859448""","=""""","=""""","=""0.00196""","=""  66         :    30  3s2.3d         2D   ""","="""""
"=""3s2.4s""","=""2S""","=""1/2""","=""""","=""8.121023""","=""""","=""""","=""1.26157""","=""  95         :     5  3p2.(1S).4s    2S   ""","="""""
"=""3s.3p2""","=""2S""","=""1/2""","=""""","=""9.505292""","=""""","=""""","=""1.38427""","=""                                          ""","="""""
"=""3s2.3d""","=""2D""","=""3/2""","=""""","=""9.836720""","=""""","=""""","=""0.33143""","=""  68         :    26  3s.3p2         2D   ""","="""""
"=""3s2.3d""","=""2D""","=""5/2""","=""""","=""9.838769""","=""""","=""""","=""0.00205""","=""  68         :    26  3s.3p2         2D   ""","="""""
"=""3s2.4p""","=""2P*""","=""1/2""","=""""","=""10.066443""","=""""","=""""","=""0.22767""","=""  94         :     4  3p2.(1S).4p    2P*  ""","="""""
"=""3s2.4p""","=""2P*""","=""3/2""","=""""","=""10.073880""","=""""","=""""","=""0.00744""","=""  94         :     4  3p2.(1S).4p    2P*  ""","="""""
"=""3s.3p2""","=""2P""","=""1/2""","=""""","=""10.390118""","=""""","=""""","=""0.31624""","=""                                          ""","="""""
"=""3s.3p2""","=""2P""","=""3/2""","=""""","=""10.415201""","=""""","=""""","=""0.02508""","=""                                          ""","="""""
"=""3s2.5s""","=""2S""","=""1/2""","=""""","=""12.146991""","=""""","=""""","=""1.73179""","=""  95         :     5  3p2.(1S).5s    2S   ""","="""""
"=""3s2.4d""","=""2D""","=""3/2""","=""""","=""12.525262""","=""""","=""""","=""0.37827""","=""  92         :     4  3p2.(1S).4d    2D   ""","="""""
"=""3s2.4d""","=""2D""","=""5/2""","=""""","=""12.525423""","=""""","=""""","=""0.00016""","=""  92         :     4  3p2.(1S).4d    2D   ""","="""""
"=""3s2.4f""","=""2F*""","=""7/2""","=""""","=""12.839311""","=""""","=""""","=""0.31389""","=""  95         :     4  3p2.(1S).4f    2F*  ""","="""""
"=""3s2.4f""","=""2F*""","=""5/2""","=""""","=""12.839327""","=""""","=""""","=""0.00002""","=""  95         :     4  3p2.(1S).4f    2F*  ""","="""""
"=""3s2.5p""","=""2P*""","=""1/2""","=""""","=""12.877091""","=""""","=""""","=""0.03776""","=""                                          ""","="""""
"=""3s2.5p""","=""2P*""","=""3/2""","=""""","=""12.880129""","=""""","=""""","=""0.00304""","=""                                          ""","="""""
"=""3s.3p.(3P*).3d""","=""2D*""","=""3/2""","=""""","=""13.48684""","=""""","=""""","=""0.60671""","=""                                          ""","="""""
"=""3s.3p.(3P*).3d""","=""2D*""","=""5/2""","=""""","=""13.49203""","=""""","=""""","=""0.0052""","=""                                          ""","="""""
"=""3s2.6s""","=""2S""","=""1/2""","=""""","=""13.785116""","=""""","=""""","=""0.29309""","=""                                          ""","="""""
"=""3s2.5d""","=""2D""","=""3/2""","=""""","=""13.935149""","=""""","=""""","=""0.15003""","=""                                          ""","="""""
"=""3s2.5d""","=""2D""","=""5/2""","=""""","=""13.935169""","=""""","=""""","=""0.00002""","=""                                          ""","="""""
