Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Reference
"=""2p6.3s""","=""2S""","=""1/2""","=""""","=""0.000000""","=""""","=""0""","=""""","=""L5815"""
"=""2p6.3p""","=""2P*""","=""1/2""","=""""","=""8.838529""","=""""","=""""","=""8.838529""","="""""
"=""2p6.3p""","=""2P*""","=""3/2""","=""""","=""8.895698""","=""""","=""""","=""0.05717""","="""""
"=""2p6.3d""","=""2D""","=""5/2""","=""""","=""19.883893""","=""""","=""""","=""10.98820""","="""""
"=""2p6.3d""","=""2D""","=""3/2""","=""""","=""19.884040""","=""""","=""""","=""0.00015""","="""""
"=""2p6.4s""","=""2S""","=""1/2""","=""""","=""24.050317""","=""""","=""""","=""4.16628""","="""""
"=""2p6.4p""","=""2P*""","=""1/2""","=""""","=""27.061642""","=""""","=""""","=""3.01132""","="""""
"=""2p6.4p""","=""2P*""","=""3/2""","=""""","=""27.081704""","=""""","=""""","=""0.02006""","="""""
"=""2p6.4d""","=""2D""","=""5/2""","=""""","=""30.997044""","=""""","=""""","=""3.91534""","="""""
"=""2p6.4d""","=""2D""","=""3/2""","=""""","=""30.997059""","=""""","=""""","=""0.00002""","="""""
"=""2p6.4f""","=""2F*""","=""5/2""","=""""","=""31.507742""","=""""","=""""","=""0.51068""","="""""
"=""2p6.4f""","=""2F*""","=""7/2""","=""""","=""31.507984""","=""""","=""""","=""0.00024""","="""""
"=""2p6.5s""","=""2S""","=""1/2""","=""""","=""32.907632""","=""""","=""""","=""1.39965""","="""""
"=""2p6.5p""","=""2P*""","=""1/2""","=""""","=""34.282086""","=""""","=""""","=""1.37445""","="""""
"=""2p6.5p""","=""2P*""","=""3/2""","=""""","=""34.291429""","=""""","=""""","=""0.00934""","="""""
"=""2p6.5d""","=""2D""","=""3/2""","=""""","=""36.141084""","=""""","=""""","=""1.84965""","="""""
"=""2p6.5d""","=""2D""","=""5/2""","=""""","=""36.141096""","=""""","=""""","=""0.00001""","="""""
"=""2p6.5f""","=""2F*""","=""7/2""","=""""","=""36.416514""","=""""","=""""","=""0.27542""","="""""
"=""2p6.5f""","=""2F*""","=""5/2""","=""""","=""36.416514""","=""""","=""""","=""0.00000""","="""""
"=""2p6.5g""","=""2G""","=""9/2""","=""""","=""36.431259""","=""""","=""""","=""0.01474""","="""""
"=""2p6.5g""","=""2G""","=""7/2""","=""""","=""36.431259""","=""""","=""""","=""0.00000""","="""""
"=""2p6.6s""","=""2S""","=""1/2""","=""""","=""37.155206""","=""""","=""""","=""0.72395""","="""""
"=""2p6.6p""","=""2P*""","=""1/2""","=""""","=""37.894667""","=""""","=""""","=""0.73946""","="""""
"=""2p6.6p""","=""2P*""","=""3/2""","=""""","=""37.899771""","=""""","=""""","=""0.00510""","="""""
"=""2p6.6d""","=""2D""","=""5/2""","=""""","=""38.920490""","=""""","=""""","=""1.02072""","="""""
"=""2p6.6d""","=""2D""","=""3/2""","=""""","=""38.920490""","=""""","=""""","=""0.00000""","="""""
"=""2p6.6f""","=""2F*""","=""7/2""","=""""","=""39.083572""","=""""","=""""","=""0.16308""","="""""
"=""2p6.6f""","=""2F*""","=""5/2""","=""""","=""39.083572""","=""""","=""""","=""0.00000""","="""""
"=""2p6.6g""","=""2G""","=""9/2""","=""""","=""39.092872""","=""""","=""""","=""0.00930""","="""""
"=""2p6.6g""","=""2G""","=""7/2""","=""""","=""39.092872""","=""""","=""""","=""0.00000""","="""""
"=""2p6.6h""","=""2H*""","=""9/2""","=""""","=""39.094370""","=""""","=""""","=""0.00150""","="""""
