Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Leading percentages,Reference
"=""4f6""","=""7F""","=""0""","=""""","=""0.000000""","=""""","=""0""","=""""","=""  94         :     3   5D1  ""","=""L3974"""
"=""4f6""","=""7F""","=""1""","=""""","=""0.036383""","=""""","=""""","=""0.036383""","=""  95         :     2   5D1  ""","="""""
"=""4f6""","=""7F""","=""2""","=""""","=""0.100867""","=""""","=""""","=""0.06448""","=""  96         :     2   5D1  ""","="""""
"=""4f6""","=""7F""","=""3""","=""""","=""0.185066""","=""""","=""""","=""0.08420""","=""  94         :     1   5D3  ""","="""""
"=""4f6""","=""7F""","=""4""","=""""","=""0.282421""","=""""","=""""","=""0.09735""","=""  98         :     1   5F2  ""","="""""
"=""4f6""","=""7F""","=""5""","=""""","=""0.388261""","=""""","=""""","=""0.10584""","=""  98         :     1   5G1  ""","="""""
"=""4f6""","=""7F""","=""6""","=""""","=""0.499283""","=""""","=""""","=""0.11102""","=""  97         :     1   5G1  ""","="""""
"=""4f6""","=""5D3""","=""4""","=""""","=""""","=""""","=""""","=""""","=""  55         :    34   5D1  ""","="""""
"=""4f6""","=""5D3""","=""3""","=""""","=""""","=""""","=""""","=""""","=""  56         :    34   5D1  ""","="""""
"=""4f6""","=""5D3""","=""2""","=""""","=""""","=""""","=""""","=""""","=""  56         :    33   5D1  ""","="""""
"=""4f6""","=""5D3""","=""1""","=""""","=""""","=""""","=""""","=""""","=""  52         :    31   5D1  ""","="""""
"=""4f6""","=""5D3""","=""0""","=""[""","=""1.8019""","=""]+x""","=""""","=""""","=""  48         :    29   5D1  ""","="""""
"=""4f5.(6H*).5d""","=""7H*""","=""8""","=""""","=""""","=""""","=""""","=""""","=""                            ""","="""""
"=""4f5.(6H*).5d""","=""7H*""","=""7""","=""""","=""""","=""""","=""""","=""""","=""                            ""","="""""
"=""4f5.(6H*).5d""","=""7H*""","=""6""","=""""","=""""","=""""","=""""","=""""","=""                            ""","="""""
"=""4f5.(6H*).5d""","=""7H*""","=""4""","=""""","=""""","=""""","=""""","=""""","=""                            ""","="""""
"=""4f5.(6H*).5d""","=""7H*""","=""2""","=""""","=""3.258745""","=""""","=""""","=""""","=""                            ""","="""""
"=""4f5.(6H*).5d""","=""7H*""","=""3""","=""""","=""3.392400""","=""""","=""""","=""0.13366""","=""                            ""","="""""
"=""4f5.(6H*).5d""","=""7H*""","=""5""","=""""","=""3.642316""","=""""","=""""","=""0.24992""","=""                            ""","="""""
