Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Lande,Leading percentages,Reference
"=""4f5""","=""6H*""","=""5/2""","=""""","=""0.0000""","=""""","=""0""","=""""","=""""","=""  96             :     2   4G4* ""","=""L3974"""
"=""4f5""","=""6H*""","=""7/2""","=""[""","=""0.134""","=""]""","=""""","=""0.134""","=""0.79""","=""  97             :     2   4G4* ""","="""""
"=""4f5""","=""6H*""","=""9/2""","=""[""","=""0.284""","=""]""","=""""","=""0.15""","=""1.00""","=""  98             :     1   4G4* ""","="""""
"=""4f5""","=""6H*""","=""11/2""","=""[""","=""0.448""","=""]""","=""""","=""0.16""","=""""","=""  98             :     1   4I3* ""","="""""
"=""4f5""","=""6H*""","=""13/2""","=""[""","=""0.619""","=""]""","=""""","=""0.17""","=""""","=""  98             :     2   4I3* ""","="""""
"=""4f5""","=""6H*""","=""15/2""","=""[""","=""0.802""","=""]""","=""""","=""0.18""","=""""","=""  96             :     3   4I3* ""","="""""
"=""4f5""","=""6F*""","=""1/2""","=""[""","=""0.780""","=""]""","=""""","=""-0.02""","=""""","=""  97             :     1   4D2* ""","="""""
"=""4f5""","=""6F*""","=""3/2""","=""[""","=""0.811""","=""]""","=""""","=""0.03""","=""""","=""  96             :     1   4F3* ""","="""""
"=""4f5""","=""6F*""","=""5/2""","=""[""","=""0.874""","=""]""","=""""","=""0.06""","=""""","=""  95             :     2   4F3* ""","="""""
"=""4f5""","=""6F*""","=""7/2""","=""[""","=""0.981""","=""]""","=""""","=""0.11""","=""""","=""  95             :     2   4F3* ""","="""""
"=""4f5""","=""6F*""","=""9/2""","=""[""","=""1.126""","=""]""","=""""","=""0.14""","=""""","=""  96             :     2   4F3* ""","="""""
"=""4f5""","=""6F*""","=""11/2""","=""[""","=""1.298""","=""]""","=""""","=""0.17""","=""1.44""","=""  97             :     1   4G3* ""","="""""
"=""4f5""","=""*""","=""5/2""","=""[""","=""2.214""","=""]""","=""""","=""0.92""","=""0.79""","=""  29  4G4*       :    21   4F3* ""","="""""
"=""4f5""","=""4F3*""","=""3/2""","=""[""","=""2.338""","=""]""","=""""","=""0.12""","=""0.44""","=""  68             :    15   4F1* ""","="""""
"=""4f5""","=""*""","=""7/2""","=""[""","=""2.481""","=""]""","=""""","=""0.14""","=""1.08""","=""  34  4G4*       :    20   4F3* ""","="""""
"=""4f5""","=""4I3*""","=""15/2""","=""""","=""""","=""""","=""""","=""""","=""""","=""  47             :    15   4K1* ""","="""""
"=""4f5""","=""4I3*""","=""9/2""","=""[""","=""2.549""","=""]""","=""""","=""""","=""""","=""  80             :    15   4I1* ""","="""""
"=""4f5""","=""4I3*""","=""11/2""","=""[""","=""2.601""","=""]""","=""""","=""0.05""","=""""","=""  63             :    18   4K1* ""","="""""
"=""4f5""","=""4I3*""","=""13/2""","=""[""","=""2.672""","=""]""","=""""","=""0.07""","=""1.02""","=""  46             :    22   4K1* ""","="""""
"=""4f5""","=""4M*""","=""19/2""","=""""","=""""","=""""","=""""","=""""","=""""","=""  91             :     7   4L*  ""","="""""
"=""4f5""","=""4M*""","=""21/2""","=""""","=""""","=""""","=""""","=""""","=""""","=""  95             :     5   2N*  ""","="""""
"=""4f5""","=""4M*""","=""15/2""","=""[""","=""2.573""","=""]""","=""""","=""""","=""""","=""  74             :     8   4L*  ""","="""""
"=""4f5""","=""4M*""","=""17/2""","=""[""","=""2.793""","=""]""","=""""","=""0.22""","=""""","=""  86             :     9   4L*  ""","="""""
"=""Sm V (4f4.5s2.5p6 5I<4>)""","=""Limit""","=""---""","=""[""","=""41.64""","=""]""","=""0.11""","=""""","=""""","=""                                ""","=""L19883c180"""
