Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Lande,Leading percentages,Reference
"=""5s2.5p""","=""2P*""","=""1/2""","=""""","=""0.000000""","=""""","=""0.000006""","=""""","=""""","=""  97         :     2  5p3            2P*  ""","=""L3466"""
"=""5s2.5p""","=""2P*""","=""3/2""","=""""","=""0.5271181""","=""""","=""0.0000017""","=""0.527118""","=""""","=""  97         :     2  5p3            2P*  ""","=""L18891"""
"=""5s.5p2""","=""4P""","=""1/2""","=""""","=""5.7608378""","=""""","=""0.0000022""","=""5.233720""","=""2.6609(7)""","=""  98                                      ""","=""L18891,L4985"""
"=""5s.5p2""","=""4P""","=""3/2""","=""""","=""5.9968906""","=""""","=""0.0000009""","=""0.236053""","=""""","=""  99                                      ""","=""L18891"""
"=""5s.5p2""","=""4P""","=""5/2""","=""""","=""6.2897462""","=""""","=""0.0000006""","=""0.292856""","=""""","=""  97         :     3  5s.5p2         2D   ""","=""L18891"""
"=""5s2.6s""","=""2S""","=""1/2""","=""""","=""7.0530101""","=""""","=""0.0000004""","=""0.7632639""","=""""","="" 100                                      ""","=""L18891"""
"=""5s.5p2""","=""2D""","=""3/2""","=""""","=""7.2957486""","=""""","=""0.0000005""","=""0.2427385""","=""""","=""  41         :    58  5s2.5d         2D   ""","=""L18891"""
"=""5s.5p2""","=""2D""","=""5/2""","=""""","=""7.3725320""","=""""","=""0.0000006""","=""0.0767834""","=""""","=""  38         :    59  5s2.5d         2D   ""","=""L18891"""
"=""5s2.5d""","=""2D""","=""3/2""","=""""","=""8.8532333""","=""""","=""0.0000010""","=""1.480701""","=""""","=""  41         :    54  5s.5p2         2D   ""","=""L18891"""
"=""5s2.5d""","=""2D""","=""5/2""","=""""","=""8.9328458""","=""""","=""0.0000009""","=""0.079613""","=""""","=""  40         :    56  5s.5p2         2D   ""","=""L18891"""
"=""5s2.6p""","=""2P*""","=""1/2""","=""""","=""8.8640361""","=""""","=""0.0000004""","=""-0.0688097""","=""""","=""  99                                      ""","=""L18891"""
"=""5s2.6p""","=""2P*""","=""3/2""","=""""","=""8.97365992""","=""""","=""""","=""0.1096238""","=""""","=""  99                                      ""","=""L18891"""
"=""5s.5p2""","=""2S""","=""1/2""","=""""","=""9.41713""","=""""","=""0.00005""","=""0.44347""","=""""","=""  51         :    46  5s.5p2         2P   ""","=""L18891"""
"=""5s.5p2""","=""2P""","=""1/2""","=""""","=""9.97516""","=""""","=""0.00005""","=""0.55803""","=""""","=""  53         :    45  5s.5p2         2S   ""","=""L18891"""
"=""5s.5p2""","=""2P""","=""3/2""","=""""","=""10.13178""","=""""","=""0.00004""","=""0.15662""","=""""","=""  97         :     2  5s.5p2         2D   ""","=""L18891"""
"=""5s2.7s""","=""2S""","=""1/2""","=""""","=""10.6973961""","=""""","=""0.0000006""","=""0.56562""","=""""","=""  99                                      ""","=""L18891"""
"=""5s2.4f""","=""2F*""","=""7/2""","=""""","=""11.0703327""","=""""","=""0.0000009""","=""0.372937""","=""""","=""  96         :     3  4f.5p2         2F*  ""","=""L18891"""
"=""5s2.4f""","=""2F*""","=""5/2""","=""""","=""11.0710518""","=""""","=""0.0000007""","=""0.000719""","=""""","=""  96         :     3  4f.5p2         2F*  ""","=""L18891"""
"=""5s2.6d""","=""2D""","=""3/2""","=""""","=""11.1885267""","=""""","=""0.0000005""","=""0.1174749""","=""""","=""  97         :     2  5s.5p2         2D   ""","=""L18891"""
"=""5s2.6d""","=""2D""","=""5/2""","=""""","=""11.2022072""","=""""","=""0.0000006""","=""0.0136805""","=""""","=""  97         :     2  5s.5p2         2D   ""","=""L18891"""
"=""5s2.7p""","=""2P*""","=""1/2""","=""""","=""11.3946370""","=""""","=""0.0000019""","=""0.192430""","=""""","=""  99                                      ""","=""L18891"""
"=""5s2.7p""","=""2P*""","=""3/2""","=""""","=""11.4397872""","=""""","=""0.0000011""","=""0.045150""","=""""","=""  99                                      ""","=""L18891"""
"=""5s2.8s""","=""2S""","=""1/2""","=""""","=""12.2003442""","=""""","=""0.0000007""","=""0.760557""","=""""","="" 100                                      ""","=""L18891"""
"=""5s2.5f""","=""2F*""","=""7/2""","=""""","=""12.3563865""","=""""","=""0.0000007""","=""0.1560423""","=""""","=""  99                                      ""","=""L18891"""
"=""5s2.5f""","=""2F*""","=""5/2""","=""""","=""12.3570497""","=""""","=""0.0000007""","=""0.0006632""","=""""","=""  99                                      ""","=""L18891"""
"=""5s2.7d""","=""2D""","=""3/2""","=""""","=""12.4336451""","=""""","=""0.0000012""","=""0.076595""","=""""","=""  99                                      ""","=""L18891"""
"=""5s2.7d""","=""2D""","=""5/2""","=""""","=""12.4404439""","=""""","=""0.0000011""","=""0.006799""","=""""","=""  99                                      ""","=""L18891"""
"=""5s2.5g""","=""2G""","=""9/2""","=""""","=""12.4386045""","=""""","=""0.0000009""","=""-0.001839""","=""""","="" 100                                      ""","=""L18891"""
"=""5s2.5g""","=""2G""","=""7/2""","=""""","=""12.4386045""","=""""","=""0.0000009""","=""0.000000""","=""""","="" 100                                      ""","=""L18891"""
"=""5s2.8p""","=""2P*""","=""1/2""","=""""","=""12.54772""","=""""","=""0.00005""","=""0.10912""","=""""","=""  99                                      ""","=""L18891"""
"=""5s2.8p""","=""2P*""","=""3/2""","=""""","=""12.570432""","=""""","=""0.000020""","=""0.02271""","=""""","=""  99                                      ""","=""L18891"""
"=""5s2.9s""","=""2S""","=""1/2""","=""""","=""12.978469""","=""""","=""0.000012""","=""0.40804""","=""""","="" 100                                      ""","=""L18891"""
"=""5s2.6f""","=""2F*""","=""7/2""","=""""","=""13.06301""","=""""","=""0.00022""","=""0.0845""","=""""","=""  99                                      ""","=""L18891"""
"=""5s2.6f""","=""2F*""","=""5/2""","=""""","=""13.06443""","=""""","=""0.00004""","=""0.0014""","=""""","=""  99                                      ""","=""L18891"""
"=""5s2.8d""","=""2D""","=""3/2""","=""""","=""13.10901""","=""""","=""0.00004""","=""0.04458""","=""""","="" 100                                      ""","=""L18891"""
