Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Leading percentages,Reference
"=""4d10.5s2""","=""1S""","=""0""","=""""","=""0.000000""","=""""","=""0.000020""","=""""","=""  97                                  ""","=""L18161"""
"=""4d10.5s.5p""","=""3P*""","=""0""","=""""","=""6.639139""","=""""","=""0.000025""","=""6.63914""","="" 100                                  ""","=""L18161"""
"=""4d10.5s.5p""","=""3P*""","=""1""","=""""","=""6.843490""","=""""","=""0.000014""","=""0.20435""","=""  99                                  ""","=""L18161"""
"=""4d10.5s.5p""","=""3P*""","=""2""","=""""","=""7.343352""","=""""","=""0.000015""","=""0.49986""","="" 100                                  ""","=""L18161"""
"=""4d10.5s.5p""","=""1P*""","=""1""","=""""","=""9.907776""","=""""","=""""","=""2.56442""","=""  96                                  ""","=""L18161"""
"=""4d10.5p2""","=""3P""","=""0""","=""""","=""15.784359""","=""""","=""0.000021""","=""5.87658""","=""  96                                  ""","=""L18161"""
"=""4d10.5p2""","=""3P""","=""1""","=""""","=""16.132886""","=""""","=""0.000012""","=""0.34853""","="" 100                                  ""","=""L18161"""
"=""4d10.5p2""","=""3P""","=""2""","=""""","=""16.684282""","=""""","=""0.000010""","=""0.55140""","=""  87         :     7  4d10.5s.5d 1D   ""","=""L18161"""
"=""4d10.5p2""","=""1D""","=""2""","=""""","=""15.895506""","=""""","=""0.000010""","=""-0.78878""","=""  57         :    30  4d10.5s.5d 1D   ""","=""L18161"""
"=""4d10.5s.6s""","=""3S""","=""1""","=""""","=""17.313042""","=""""","=""0.000012""","=""1.41754""","="" 100                                  ""","=""L18161"""
"=""4d10.5s.5d""","=""3D""","=""1""","=""""","=""17.521624""","=""""","=""0.000011""","=""0.20858""","=""  99                                  ""","=""L18161"""
"=""4d10.5s.5d""","=""3D""","=""2""","=""""","=""17.547017""","=""""","=""0.000011""","=""0.02539""","=""  99                                  ""","=""L18161"""
"=""4d10.5s.5d""","=""3D""","=""3""","=""""","=""17.585668""","=""""","=""0.000014""","=""0.03865""","=""  99                                  ""","=""L18161"""
"=""4d10.5s.6s""","=""1S""","=""0""","=""""","=""17.803123""","=""""","=""0.000016""","=""0.21746""","="" 100                                  ""","=""L18161"""
