Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Reference
"=""4d10""","=""1S""","=""0""","=""""","=""0.00000""","=""""","=""0""","=""""","=""L3466"""
"=""4d9.5s""","=""3D""","=""3""","=""""","=""22.63689""","=""""","=""""","=""22.63689""","="""""
"=""4d9.5s""","=""3D""","=""2""","=""""","=""22.94427""","=""""","=""""","=""0.3074""","="""""
"=""4d9.5s""","=""3D""","=""1""","=""""","=""23.70603""","=""""","=""""","=""0.7618""","="""""
"=""4d9.5s""","=""1D""","=""2""","=""""","=""23.95744""","=""""","=""""","=""0.2514""","="""""
"=""4d9.5p""","=""3P*""","=""0""","=""""","=""""","=""""","=""""","=""""","="""""
"=""4d9.5p""","=""3P*""","=""2""","=""""","=""32.15804""","=""""","=""""","=""""","="""""
"=""4d9.5p""","=""3P*""","=""1""","=""""","=""33.22727""","=""""","=""""","=""1.0692""","="""""
"=""4d9.5p""","=""3F*""","=""3""","=""""","=""32.52309""","=""""","=""""","=""-0.7042""","="""""
"=""4d9.5p""","=""3F*""","=""4""","=""""","=""33.31841""","=""""","=""""","=""0.7953""","="""""
"=""4d9.5p""","=""3F*""","=""2""","=""""","=""33.88922""","=""""","=""""","=""0.5708""","="""""
"=""4d9.5p""","=""3D*""","=""2""","=""""","=""33.36365""","=""""","=""""","=""-0.5256""","="""""
"=""4d9.5p""","=""3D*""","=""3""","=""""","=""34.01839""","=""""","=""""","=""0.6547""","="""""
"=""4d9.5p""","=""3D*""","=""1""","=""""","=""34.86053""","=""""","=""""","=""0.8421""","="""""
"=""4d9.5p""","=""1P*""","=""1""","=""""","=""34.29272""","=""""","=""""","=""-0.5678""","="""""
"=""4d9.5p""","=""1F*""","=""3""","=""""","=""34.62193""","=""""","=""""","=""0.3292""","="""""
"=""4d9.5p""","=""1D*""","=""2""","=""""","=""35.04025""","=""""","=""""","=""0.4183""","="""""
"=""4d9.5d""","=""1""","=""2 or 3""","=""""","=""46.47072""","=""?""","=""""","=""11.4305""","="""""
"=""4d9.5d""","=""2""","=""1 or 2""","=""""","=""46.99621""","=""?""","=""""","=""0.5255""","="""""
"=""4d9.6s""","=""3D""","=""3""","=""""","=""47.14704""","=""""","=""""","=""0.1508""","="""""
"=""4d9.6s""","=""3D""","=""2""","=""""","=""47.28799""","=""""","=""""","=""0.1410""","="""""
"=""4d9.6s""","=""3D""","=""1""","=""""","=""48.26519""","=""""","=""""","=""0.9772""","="""""
"=""4d9.5d""","=""3""","=""3 or 4""","=""""","=""47.26604""","=""""","=""""","=""-0.9992""","="""""
"=""4d9.5d""","=""4""","=""3 or 4""","=""""","=""47.93039""","=""""","=""""","=""0.6644""","="""""
"=""4d9.6s""","=""1D""","=""2""","=""""","=""48.38278""","=""?""","=""""","=""0.4524""","="""""
"=""Sn VI (4d9 2D<5/2>)""","=""Limit""","=""---""","=""""","=""77.03""","=""""","=""0.04""","=""""","=""L11384"""
