Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Reference
"=""4p6.5s""","=""2S""","=""1/2""","=""""","=""0.000000""","=""""","=""0""","=""""","=""L3465"""
"=""4p6.4d""","=""2D""","=""3/2""","=""""","=""1.8047016""","=""""","=""0.0000012""","=""1.8047016""","=""L3465"""
"=""4p6.4d""","=""2D""","=""5/2""","=""""","=""1.8394593""","=""""","=""0.0000012""","=""0.034758""","=""L3465"""
"=""4p6.5p""","=""2P*""","=""1/2""","=""""","=""2.9403088""","=""""","=""0.0000012""","=""1.100850""","=""L3465"""
"=""4p6.5p""","=""2P*""","=""3/2""","=""""","=""3.0396772""","=""""","=""0.0000012""","=""0.099368""","=""L3465"""
"=""4p6.6s""","=""2S""","=""1/2""","=""""","=""5.9185754""","=""""","=""0.0000012""","=""2.878898""","=""L3465"""
"=""4p6.5d""","=""2D""","=""3/2""","=""""","=""6.6066604""","=""""","=""0.0000012""","=""0.688085""","=""L3465"""
"=""4p6.5d""","=""2D""","=""5/2""","=""""","=""6.6174049""","=""""","=""0.0000012""","=""0.010745""","=""L3465"""
"=""4p6.6p""","=""2P*""","=""1/2""","=""""","=""6.91456""","=""""","=""0.00004""","=""0.29716""","=""L3465"""
"=""4p6.6p""","=""2P*""","=""3/2""","=""""","=""6.95029""","=""""","=""0.00004""","=""0.03573""","=""L3465"""
"=""4p6.4f""","=""2F*""","=""7/2""","=""""","=""7.561801""","=""""","=""0.000012""","=""0.61151""","=""L9487"""
"=""4p6.4f""","=""2F*""","=""5/2""","=""""","=""7.561962""","=""""","=""0.000012""","=""0.00016""","=""L9487"""
"=""4p6.7s""","=""2S""","=""1/2""","=""""","=""8.0545219""","=""""","=""0.0000025""","=""0.492560""","=""L3465"""
"=""4p6.6d""","=""2D""","=""3/2""","=""""","=""8.3717689""","=""""","=""0.0000025""","=""0.317247""","=""L3465"""
"=""4p6.6d""","=""2D""","=""5/2""","=""""","=""8.3767630""","=""""","=""0.0000025""","=""0.004994""","=""L3465"""
"=""4p6.7p""","=""2P*""","=""1/2""","=""""","=""8.515153""","=""""","=""0.000025""","=""0.13839""","=""L13983"""
"=""4p6.7p""","=""2P*""","=""3/2""","=""""","=""8.532235""","=""""","=""0.000025""","=""0.01708""","=""L13983"""
"=""4p6.5f""","=""2F*""","=""5/2""","=""""","=""8.811036""","=""""","=""0.000012""","=""0.27880""","=""L3465"""
"=""4p6.5f""","=""2F*""","=""7/2""","=""""","=""8.811036""","=""""","=""0.000012""","=""0.00000""","=""L3465"""
"=""4p6.5g""","=""2G""","=""7/2""","=""""","=""8.847240""","=""""","=""0.000012""","=""0.03620""","=""L3465"""
"=""4p6.5g""","=""2G""","=""9/2""","=""""","=""8.847240""","=""""","=""0.000012""","=""0.00000""","=""L3465"""
