Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Leading percentages,Reference
"=""4p6""","=""1S""","=""0""","=""""","=""0.00000""","=""""","=""0.00015""","=""""","=""                                                                ""","=""L1771"""
"=""4p5.(2P*<3/2>).4d""","=""2[1/2]*""","=""0""","=""""","=""21.875124""","=""""","=""0.000006""","=""21.8751""","=""  99  4p5.(2P*).4d 3P*                                          ""","=""L1771,L2596"""
"=""4p5.(2P*<3/2>).4d""","=""2[1/2]*""","=""1""","=""""","=""22.031768""","=""""","=""0.000006""","=""0.156644""","=""  96  4p5.(2P*).4d 3P*                                          ""","=""L1771,L2596"""
"=""4p5.(2P*<3/2>).4d""","=""2[3/2]*""","=""2""","=""""","=""22.343623""","=""""","=""0.000006""","=""0.311855""","=""  89  4p5.(2P*).4d 3P*       :     5  4p5.(2P*<3/2>).5s 2[3/2]* ""","=""L1771,L2596"""
"=""4p5.(2P*<3/2>).4d""","=""2[3/2]*""","=""1""","=""""","=""24.452904""","=""""","=""0.000006""","=""2.109281""","=""  96  4p5.(2P*).4d 3D*                                          ""","=""L1771,L2596"""
"=""4p5.(2P*<3/2>).4d""","=""2[7/2]*""","=""4""","=""""","=""22.704410""","=""""","=""0.000006""","=""-1.748494""","="" 100  4p5.(2P*).4d 3F*                                          ""","=""L1771,L2596"""
"=""4p5.(2P*<3/2>).4d""","=""2[7/2]*""","=""3""","=""""","=""22.950203""","=""""","=""0.000006""","=""0.245793""","=""  88  4p5.(2P*).4d 3F*       :     7  4p5.(2P*).4d      1F*     ""","=""L1771,L2596"""
"=""4p5.(2P*<3/2>).4d""","=""2[5/2]*""","=""2""","=""""","=""23.255059""","=""""","=""0.000006""","=""0.304856""","=""  78  4p5.(2P*).4d 3F*       :    13  4p5.(2P*).4d      1D*     ""","=""L1771,L2596"""
"=""4p5.(2P*<3/2>).4d""","=""2[5/2]*""","=""3""","=""""","=""23.942126""","=""""","=""0.000006""","=""0.687067""","=""  62  4p5.(2P*).4d 3D*       :    38  4p5.(2P*).4d      1F*     ""","=""L1771,L2596"""
"=""4p5.(2P*<3/2>).5s""","=""2[3/2]*""","=""2""","=""""","=""23.886282""","=""""","=""0.000006""","=""-0.055844""","=""  94                                                            ""","=""L1771,L2596"""
"=""4p5.(2P*<3/2>).5s""","=""2[3/2]*""","=""1""","=""""","=""24.103949""","=""""","=""0.000006""","=""0.217667""","=""  95                                                            ""","=""L1771,L2596"""
"=""4p5.(2P*<1/2>).4d""","=""2[5/2]*""","=""2""","=""""","=""24.336873""","=""""","=""0.000006""","=""0.232924""","=""  48  4p5.(2P*).4d 1D*       :    30  4p5.(2P*).4d      3D*     ""","=""L1771,L2596"""
"=""4p5.(2P*<1/2>).4d""","=""2[5/2]*""","=""3""","=""""","=""24.786425""","=""""","=""0.000006""","=""0.449552""","=""  55  4p5.(2P*).4d 1F*       :    33  4p5.(2P*).4d      3D*     ""","=""L1771,L2596"""
"=""4p5.(2P*<1/2>).4d""","=""2[3/2]*""","=""2""","=""""","=""24.640389""","=""""","=""0.000006""","=""-0.146036""","=""  55  4p5.(2P*).4d 3D*       :    36  4p5.(2P*).4d      1D*     ""","=""L1771,L2596"""
"=""4p5.(2P*<1/2>).4d""","=""2[3/2]*""","=""1""","=""""","=""28.356269""","=""""","=""0.000006""","=""3.715880""","=""  98  4p5.(2P*).4d 1P*                                          ""","=""L1771,L2596"""
"=""4p5.(2P*<1/2>).5s""","=""2[1/2]*""","=""0""","=""""","=""25.054893""","=""""","=""0.000006""","=""-3.301376""","=""  99                                                            ""","=""L1771,L2596"""
"=""4p5.(2P*<1/2>).5s""","=""2[1/2]*""","=""1""","=""""","=""25.211195""","=""""","=""0.000006""","=""0.156302""","=""  96                                                            ""","=""L1771,L2596"""
"=""4p5.(2P*<3/2>).5p""","=""2[1/2]""","=""1""","=""""","=""27.499125""","=""""","=""0.000006""","=""2.287930""","=""  92                         :     7  4p5.(2P*<1/2>).5p 2[1/2]  ""","=""L1771,L2596"""
"=""4p5.(2P*<3/2>).5p""","=""2[1/2]""","=""0""","=""""","=""28.793669""","=""""","=""0.000006""","=""1.294544""","=""  83                         :    17  4p5.(2P*<1/2>).5p 2[1/2]  ""","=""L1771,L2596"""
"=""4p5.(2P*<3/2>).5p""","=""2[5/2]""","=""2""","=""""","=""27.934963""","=""""","=""0.000006""","=""-0.858706""","=""  89                         :    10  4p5.(2P*<3/2>).5p 2[3/2]  ""","=""L1771,L2596"""
"=""4p5.(2P*<3/2>).5p""","=""2[5/2]""","=""3""","=""""","=""28.000977""","=""""","=""0.000006""","=""0.066014""","="" 100                                                            ""","=""L1771,L2596"""
"=""4p5.(2P*<3/2>).5p""","=""2[3/2]""","=""1""","=""""","=""28.205832""","=""""","=""0.000006""","=""0.204855""","=""  96                                                            ""","=""L1771,L2596"""
"=""4p5.(2P*<3/2>).5p""","=""2[3/2]""","=""2""","=""""","=""28.335230""","=""""","=""0.000006""","=""0.129398""","=""  89                         :    11  4p5.(2P*<3/2>).5p 2[5/2]  ""","=""L1771,L2596"""
"=""4p5.(2P*<1/2>).5p""","=""2[3/2]""","=""1""","=""""","=""29.105717""","=""""","=""0.000006""","=""0.770487""","=""  93                                                            ""","=""L1771,L2596"""
"=""4p5.(2P*<1/2>).5p""","=""2[3/2]""","=""2""","=""""","=""29.339187""","=""""","=""0.000006""","=""0.233470""","=""  98                                                            ""","=""L1771,L2596"""
"=""4p5.(2P*<1/2>).5p""","=""2[1/2]""","=""1""","=""""","=""29.366352""","=""""","=""0.000006""","=""0.027165""","=""  90                         :     7  4p5.(2P*<3/2>).5p 2[1/2]  ""","=""L1771,L2596"""
"=""4p5.(2P*<1/2>).5p""","=""2[1/2]""","=""0""","=""""","=""29.880255""","=""""","=""0.000006""","=""0.513903""","=""  83                         :    17  4p5.(2P*<3/2>).5p 2[1/2]  ""","=""L1771,L2596"""
"=""4p5.(2P*<3/2>).5d""","=""2[1/2]*""","=""0""","=""""","=""33.283388""","=""""","=""0.000006""","=""3.403133""","="" 100                                                            ""","=""L1771,L2596"""
"=""4p5.(2P*<3/2>).5d""","=""2[1/2]*""","=""1""","=""""","=""33.346910""","=""""","=""0.000006""","=""0.063522""","=""  54                         :    30  4p5.(2P*<3/2>).5d 2[3/2]* ""","=""L1771,L2596"""
"=""4p5.(2P*<3/2>).6s""","=""2[3/2]*""","=""2""","=""""","=""33.309644""","=""""","=""0.000006""","=""-0.037266""","=""  97                                                            ""","=""L1771,L2596"""
"=""4p5.(2P*<3/2>).6s""","=""2[3/2]*""","=""1""","=""""","=""33.399897""","=""""","=""0.000006""","=""0.090253""","=""  85                         :    11  4p5.(2P*<3/2>).5d 2[1/2]* ""","=""L1771,L2596"""
"=""4p5.(2P*<3/2>).5d""","=""2[7/2]*""","=""4""","=""""","=""33.452258""","=""""","=""0.000006""","=""0.052361""","="" 100                                                            ""","=""L1771,L2596"""
"=""4p5.(2P*<3/2>).5d""","=""2[7/2]*""","=""3""","=""""","=""33.517963""","=""""","=""0.000006""","=""0.065705""","=""  85                         :    14  4p5.(2P*<3/2>).5d 2[5/2]* ""","=""L1771,L2596"""
"=""4p5.(2P*<3/2>).5d""","=""2[3/2]*""","=""2""","=""""","=""33.477162""","=""""","=""0.000006""","=""-0.040801""","=""  94                                                            ""","=""L1771,L2596"""
"=""4p5.(2P*<3/2>).5d""","=""2[3/2]*""","=""1""","=""""","=""34.109228""","=""""","=""0.000006""","=""0.632066""","=""  59                         :    24  4p5.(2P*<3/2>).5d 2[1/2]* ""","=""L1771,L2596"""
"=""4p5.(2P*<3/2>).5d""","=""2[5/2]*""","=""2""","=""""","=""33.620171""","=""""","=""0.000006""","=""-0.489057""","=""  99                                                            ""","=""L1771,L2596"""
"=""4p5.(2P*<3/2>).5d""","=""2[5/2]*""","=""3""","=""""","=""33.689404""","=""""","=""0.000006""","=""0.069233""","=""  85                         :    15  4p5.(2P*<3/2>).5d 2[7/2]* ""","=""L1771,L2596"""
"=""4p5.(2P*<1/2>).6s""","=""2[1/2]*""","=""0""","=""""","=""34.514131""","=""""","=""0.000006""","=""0.824727""","="" 100                                                            ""","=""L1771,L2596"""
"=""4p5.(2P*<1/2>).6s""","=""2[1/2]*""","=""1""","=""""","=""34.555160""","=""""","=""0.000006""","=""0.041029""","=""  99                                                            ""","=""L1771,L2596"""
"=""4p5.(2P*<1/2>).5d""","=""2[5/2]*""","=""2""","=""""","=""34.690107""","=""""","=""0.000006""","=""0.134947""","=""  98                                                            ""","=""L1771,L2596"""
"=""4p5.(2P*<1/2>).5d""","=""2[5/2]*""","=""3""","=""""","=""34.780528""","=""""","=""0.000006""","=""0.090421""","=""  99                                                            ""","=""L1771,L2596"""
"=""4p5.(2P*<3/2>).4f""","=""2[3/2]""","=""1""","=""""","=""34.693780""","=""""","=""0.000006""","=""-0.086748""","=""  98                                                            ""","=""L1771,L2596"""
"=""4p5.(2P*<3/2>).4f""","=""2[3/2]""","=""2""","=""""","=""34.737962""","=""""","=""0.000006""","=""0.044182""","=""  82                         :    14  4p5.(2P*<3/2>).4f 2[5/2]  ""","=""L1771,L2596"""
"=""4p5.(2P*<3/2>).6p""","=""2[1/2]""","=""1""","=""""","=""34.724134""","=""""","=""0.000006""","=""-0.013828""","=""  96                                                            ""","=""L1771,L2596"""
"=""4p5.(2P*<3/2>).6p""","=""2[1/2]""","=""0""","=""""","=""35.203210""","=""""","=""0.000006""","=""0.479076""","=""  98                                                            ""","=""L1771,L2596"""
"=""4p5.(2P*<1/2>).5d""","=""2[3/2]*""","=""2""","=""""","=""34.731246""","=""""","=""0.000006""","=""-0.471964""","=""  97                                                            ""","=""L1771,L2596"""
"=""4p5.(2P*<1/2>).5d""","=""2[3/2]*""","=""1""","=""""","=""35.260821""","=""""","=""0.000006""","=""0.529575""","=""  81                         :    11  4p5.(2P*<3/2>).5d 2[1/2]* ""","=""L1771,L2596"""
"=""4p5.(2P*<3/2>).4f""","=""2[9/2]""","=""5""","=""""","=""34.797692""","=""""","=""0.000006""","=""-0.463129""","="" 100                                                            ""","=""L1771,L2596"""
"=""4p5.(2P*<3/2>).4f""","=""2[9/2]""","=""4""","=""""","=""34.815610""","=""""","=""0.000006""","=""0.017918""","=""  99                                                            ""","=""L1771,L2596"""
"=""4p5.(2P*<3/2>).4f""","=""2[5/2]""","=""3""","=""""","=""34.829729""","=""""","=""0.000006""","=""0.014119""","=""  67                         :    31  4p5.(2P*<3/2>).6p 2[5/2]  ""","=""L1771,L2596"""
"=""4p5.(2P*<3/2>).4f""","=""2[5/2]""","=""2""","=""""","=""34.941397""","=""""","=""0.000006""","=""0.111668""","=""  78                         :    10  4p5.(2P*<3/2>).4f 2[3/2]  ""","=""L1771,L2596"""
"=""4p5.(2P*<3/2>).6p""","=""2[5/2]""","=""2""","=""""","=""34.843614""","=""""","=""0.000006""","=""-0.097783""","=""  84                         :     8  4p5.(2P*<3/2>).6p 2[3/2]  ""","=""L1771,L2596"""
"=""4p5.(2P*<3/2>).6p""","=""2[5/2]""","=""3""","=""""","=""34.896544""","=""""","=""0.000006""","=""0.052930""","=""  68                         :    31  4p5.(2P*<3/2>).4f 2[5/2]  ""","=""L1771,L2596"""
"=""4p5.(2P*<3/2>).4f""","=""2[7/2]""","=""3""","=""""","=""34.949458""","=""""","=""0.000006""","=""0.052914""","=""  99                                                            ""","=""L1771,L2596"""
"=""4p5.(2P*<3/2>).4f""","=""2[7/2]""","=""4""","=""""","=""34.958080""","=""""","=""0.000006""","=""0.008622""","=""  99                                                            ""","=""L1771,L2596"""
"=""4p5.(2P*<3/2>).6p""","=""2[3/2]""","=""1""","=""""","=""34.953501""","=""""","=""0.000006""","=""-0.004579""","=""  97                                                            ""","=""L1771,L2596"""
"=""4p5.(2P*<3/2>).6p""","=""2[3/2]""","=""2""","=""""","=""35.003805""","=""""","=""0.000006""","=""0.050304""","=""  82                         :    12  4p5.(2P*<3/2>).6p 2[5/2]  ""","=""L1771,L2596"""
"=""4p5.(2P*<1/2>).6p""","=""2[3/2]""","=""1""","=""""","=""36.032063""","=""""","=""0.000006""","=""1.028258""","=""  92                         :     8  4p5.(2P*<1/2>).6p 2[1/2]  ""","=""L1771,L2596"""
"=""4p5.(2P*<1/2>).6p""","=""2[3/2]""","=""2""","=""""","=""36.126238""","=""""","=""0.000006""","=""0.094175""","=""  98                                                            ""","=""L1771,L2596"""
"=""4p5.(2P*<1/2>).4f""","=""2[5/2]""","=""3""","=""""","=""36.046364""","=""""","=""0.000006""","=""-0.079874""","=""  97                                                            ""","=""L1771,L2596"""
"=""4p5.(2P*<1/2>).4f""","=""2[5/2]""","=""2""","=""""","=""36.105672""","=""""","=""0.000006""","=""0.059308""","=""  98                                                            ""","=""L1771,L2596"""
"=""4p5.(2P*<1/2>).4f""","=""2[7/2]""","=""3""","=""""","=""36.058497""","=""""","=""0.000006""","=""-0.047175""","=""  99                                                            ""","=""L1771,L2596"""
"=""4p5.(2P*<1/2>).4f""","=""2[7/2]""","=""4""","=""""","=""36.070300""","=""""","=""0.000006""","=""0.011803""","=""  99                                                            ""","=""L1771,L2596"""
"=""4p5.(2P*<1/2>).6p""","=""2[1/2]""","=""1""","=""""","=""36.111551""","=""""","=""0.000006""","=""0.041251""","=""  91                         :     8  4p5.(2P*<1/2>).6p 2[3/2]  ""","=""L1771,L2596"""
"=""4p5.(2P*<1/2>).6p""","=""2[1/2]""","=""0""","=""""","=""36.263145""","=""""","=""0.000006""","=""0.151594""","=""  98                                                            ""","=""L1771,L2596"""
"=""4p5.(2P*<3/2>).7s""","=""2[3/2]*""","=""2""","=""""","=""37.075035""","=""""","=""0.000006""","=""0.811890""","=""                                                                ""","=""L1771"""
"=""4p5.(2P*<3/2>).7s""","=""2[3/2]*""","=""1""","=""""","=""37.108924""","=""""","=""0.000006""","=""0.033889""","=""                                                                ""","=""L1771"""
"=""4p5.(2P*<3/2>).6d""","=""2[1/2]*""","=""0""","=""""","=""37.101751""","=""""","=""0.000006""","=""-0.007173""","=""                         or  :        4p5.6d            3P*     ""","=""L1771"""
"=""4p5.(2P*<3/2>).6d""","=""2[1/2]*""","=""1""","=""""","=""37.140152""","=""""","=""0.000006""","=""0.038401""","=""                         or  :        4p5.6d            3P*     ""","=""L1771"""
"=""4p5.(2P*<3/2>).6d""","=""2[7/2]*""","=""4""","=""""","=""37.173570""","=""""","=""0.000006""","=""0.033418""","=""                         or  :        4p5.6d            3F*     ""","=""L1771"""
"=""4p5.(2P*<3/2>).6d""","=""2[7/2]*""","=""3""","=""""","=""37.201107""","=""""","=""0.000006""","=""0.027537""","=""                         or  :        4p5.6d            3F*     ""","=""L1771"""
"=""4p5.(2P*<3/2>).6d""","=""2[3/2]*""","=""2""","=""""","=""37.191939""","=""""","=""0.000006""","=""-0.009168""","=""                         or  :        4p5.6d            3P*     ""","=""L1771"""
"=""4p5.(2P*<3/2>).6d""","=""2[3/2]*""","=""1""","=""""","=""37.495579""","=""""","=""0.000006""","=""0.303640""","=""                         or  :        4p5.6d            3D*     ""","=""L1771"""
"=""4p5.(2P*<3/2>).6d""","=""2[5/2]*""","=""2""","=""""","=""37.246554""","=""""","=""0.000006""","=""-0.249025""","=""                         or  :        4p5.6d            1D*     ""","=""L1771"""
"=""4p5.(2P*<3/2>).6d""","=""2[5/2]*""","=""3""","=""""","=""37.272328""","=""""","=""0.000006""","=""0.025774""","=""                         or  :        4p5.6d            3D*     ""","=""L1771"""
"=""4p5.(2P*<3/2>).5f""","=""2[3/2]""","=""1""","=""""","=""37.626038""","=""""","=""0.000006""","=""0.353710""","=""  99                                                            ""","=""L1771,L2596"""
"=""4p5.(2P*<3/2>).5f""","=""2[3/2]""","=""2""","=""""","=""37.661898""","=""""","=""0.000006""","=""0.035860""","=""  82                         :    16  4p5.(2P*<3/2>).5f 2[5/2]  ""","=""L1771,L2596"""
"=""4p5.(2P*<3/2>).5f""","=""2[9/2]""","=""5""","=""""","=""37.703838""","=""""","=""0.000006""","=""0.041940""","="" 100                                                            ""","=""L1771,L2596"""
"=""4p5.(2P*<3/2>).5f""","=""2[9/2]""","=""4""","=""""","=""37.716690""","=""""","=""0.000006""","=""0.012852""","=""  99                                                            ""","=""L1771,L2596"""
