Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Leading percentages,Reference
"=""4s2.4p5""","=""2P*""","=""3/2""","=""""","=""0.00000""","=""""","=""0.00007""","=""""","=""                                                 ""","=""L4311"""
"=""4s2.4p5""","=""2P*""","=""1/2""","=""""","=""1.20611""","=""""","=""0.00004""","=""1.20611""","=""                                                 ""","=""L4311"""
"=""4s.4p6""","=""2S""","=""1/2""","=""""","=""18.660130""","=""""","=""0.000025""","=""17.45402""","=""  70         :    30  4s2.4p4.(1D).4d      2S    ""","=""L4311"""
"=""4s2.4p4.(3P).4d""","=""4D""","=""7/2""","=""""","=""23.204923""","=""""","=""0.000006""","=""4.54479""","=""  94                                             ""","=""L4311"""
"=""4s2.4p4.(3P).4d""","=""4D""","=""5/2""","=""""","=""23.209934""","=""""","=""0.000006""","=""0.005011""","=""  91                                             ""","=""L4311"""
"=""4s2.4p4.(3P).4d""","=""4D""","=""3/2""","=""""","=""23.312019""","=""""","=""0.000006""","=""0.102085""","=""  90                                             ""","=""L4311"""
"=""4s2.4p4.(3P).4d""","=""4D""","=""1/2""","=""""","=""23.447847""","=""""","=""0.000006""","=""0.135828""","=""  90                                             ""","=""L4311"""
"=""4s2.4p4.(3P).4d""","=""4F""","=""9/2""","=""""","=""24.432330""","=""""","=""0.000006""","=""0.984483""","=""  92         :     8  4s2.4p4.(1D).4d      2G    ""","=""L4311"""
"=""4s2.4p4.(3P).4d""","=""4F""","=""7/2""","=""""","=""24.838998""","=""""","=""0.000006""","=""0.406668""","=""  78         :    12  4s2.4p4.(3P).4d      2F    ""","=""L4311"""
"=""4s2.4p4.(3P).4d""","=""4F""","=""5/2""","=""""","=""25.211495""","=""""","=""0.000006""","=""0.372497""","=""  95                                             ""","=""L4311"""
"=""4s2.4p4.(3P).4d""","=""4F""","=""3/2""","=""""","=""25.315058""","=""""","=""0.000006""","=""0.103563""","=""  77         :     8  4s2.4p4.(1S).4d      2D    ""","=""L4311"""
"=""4s2.4p4.(1D).4d""","=""2P""","=""1/2""","=""""","=""24.862458""","=""""","=""0.000006""","=""-0.452600""","=""  46         :    39  4s2.4p4.(3P).4d      2P    ""","=""L4311"""
"=""4s2.4p4.(1D).4d""","=""2P""","=""3/2""","=""""","=""25.938867""","=""""","=""0.000006""","=""1.076409""","=""  26         :    37  4s2.4p4.(3P).4d      4P    ""","=""L4311"""
"=""4s2.4p4.(3P).4d""","=""4P""","=""1/2""","=""""","=""25.384959""","=""""","=""0.000006""","=""-0.553908""","=""  91                                             ""","=""L4311"""
"=""4s2.4p4.(3P).4d""","=""4P""","=""3/2""","=""""","=""25.393073""","=""""","=""0.000006""","=""0.008114""","=""  53         :    19  4s2.4p4.(1D).4d      2P    ""","=""L4311"""
"=""4s2.4p4.(3P).4d""","=""4P""","=""5/2""","=""""","=""25.904986""","=""""","=""0.000006""","=""0.511913""","=""  80         :     6  4s2.4p4.(1S).4d      2D    ""","=""L4311"""
"=""4s2.4p4.(1D).4d""","=""2D""","=""3/2""","=""""","=""25.605727""","=""""","=""0.000006""","=""-0.299259""","=""  39         :    27  4s2.4p4.(3P).4d      2D    ""","=""L4311"""
"=""4s2.4p4.(1D).4d""","=""2D""","=""5/2""","=""""","=""26.281311""","=""""","=""0.000006""","=""0.675584""","=""  37         :    23  4s2.4p4.(3P).4d      2D    ""","=""L4311"""
