Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Leading percentages,Reference
"=""4s2.4p4""","=""3P""","=""2""","=""""","=""0.00000""","=""""","=""0.00012""","=""""","=""  94                                        ""","=""L6378"""
"=""4s2.4p4""","=""3P""","=""1""","=""""","=""1.030046""","=""""","=""0.000025""","=""1.03005""","="" 100                                        ""","=""L6378"""
"=""4s2.4p4""","=""3P""","=""0""","=""""","=""1.080953""","=""""","=""0.000025""","=""0.05091""","=""  91                                        ""","=""L6378"""
"=""4s2.4p4""","=""1D""","=""2""","=""""","=""2.518182""","=""""","=""0.000025""","=""1.43723""","=""  94                                        ""","=""L6378"""
"=""4s2.4p4""","=""1S""","=""0""","=""""","=""5.461555""","=""""","=""0.000025""","=""2.94337""","=""  91                                        ""","=""L6378"""
"=""4s.4p5""","=""3P*""","=""2""","=""""","=""19.097570""","=""""","=""0.000025""","=""13.63602""","=""  84         :    11  4s2.4p3.(2D*).4d 3P*  ""","=""L6378"""
"=""4s.4p5""","=""3P*""","=""1""","=""""","=""19.839644""","=""""","=""0.000025""","=""0.74207""","=""  82         :    11  4s2.4p3.(2D*).4d 3P*  ""","=""L6378"""
"=""4s.4p5""","=""3P*""","=""0""","=""""","=""20.335353""","=""""","=""0.000025""","=""0.49571""","=""  84         :    12  4s2.4p3.(2D*).4d 3P*  ""","=""L6378"""
"=""4s.4p5""","=""1P*""","=""1""","=""""","=""23.968485""","=""""","=""0.000025""","=""3.63313""","=""  58         :    34  4s2.4p3.(2D*).4d 1P*  ""","=""L6378"""
"=""4s2.4p3.(4S*).4d""","=""5D*""","=""0""","=""""","=""25.060760""","=""""","=""0.000025""","=""1.09227""","=""  97                                        ""","=""L6378"""
"=""4s2.4p3.(4S*).4d""","=""5D*""","=""1""","=""""","=""25.077686""","=""""","=""0.000025""","=""0.01693""","=""  97                                        ""","=""L6378"""
"=""4s2.4p3.(4S*).4d""","=""5D*""","=""2""","=""""","=""25.084660""","=""""","=""0.000025""","=""0.00697""","=""  96                                        ""","=""L6378"""
"=""4s2.4p3.(4S*).4d""","=""5D*""","=""3""","=""""","=""25.094213""","=""""","=""0.000025""","=""0.00955""","=""  94                                        ""","=""L6378"""
"=""4s2.4p3.(4S*).4d""","=""5D*""","=""4""","=""""","=""25.158001""","=""""","=""0.000025""","=""0.06379""","=""  96                                        ""","=""L6378"""
