Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Leading percentages,Reference
"=""4f9""","=""6H*""","=""15/2""","=""""","=""0.000000""","=""""","=""0""","=""""","=""  94         :     4          4I3*             ""","=""L3974"""
"=""4f9""","=""6H*""","=""13/2""","=""""","=""0.347735""","=""""","=""""","=""0.347735""","=""  97         :     2          4I3*             ""","="""""
"=""4f9""","=""6H*""","=""11/2""","=""""","=""0.587006""","=""""","=""""","=""0.23927""","=""  94         :     1          6F*              ""","="""""
"=""4f9""","=""6H*""","=""9/2""","=""""","=""0.775903""","=""""","=""""","=""0.18890""","=""  94         :     2          4G4*             ""","="""""
"=""4f9""","=""6H*""","=""7/2""","=""""","=""0.920237""","=""""","=""""","=""0.14433""","=""  94         :     3          4G4*             ""","="""""
"=""4f9""","=""6H*""","=""5/2""","=""""","=""1.0273188""","=""""","=""""","=""0.107082""","=""  93         :     4          4G4*             ""","="""""
"=""4f9""","=""6F*""","=""3/2""","=""""","=""""","=""""","=""""","=""""","=""  92         :     3          4D2*             ""","="""""
"=""4f9""","=""6F*""","=""1/2""","=""""","=""""","=""""","=""""","=""""","=""  92         :     4          4D2*             ""","="""""
"=""4f9""","=""6F*""","=""11/2""","=""""","=""0.802191""","=""""","=""""","=""""","=""  95         :     2          6H*              ""","="""""
"=""4f9""","=""6F*""","=""9/2""","=""""","=""0.9449536""","=""""","=""""","=""0.142763""","=""  90         :     6          4F3*             ""","="""""
"=""4f9""","=""6F*""","=""7/2""","=""""","=""1.133833""","=""""","=""""","=""0.188879""","=""  93         :     4          4F3*             ""","="""""
"=""4f9""","=""6F*""","=""5/2""","=""""","=""1.267166""","=""""","=""""","=""0.13333""","=""  93         :     2          4F3*             ""","="""""
"=""4f8.(7F).5d""","=""8G""","=""13/2""","=""""","=""1.112422""","=""""","=""""","=""-0.15474""","=""  73         :    23          (7F) 8F          ""","="""""
"=""4f8.(7F).5d""","=""8G""","=""11/2""","=""""","=""1.142964""","=""""","=""""","=""0.03054""","=""  47         :    30          (7F) 8F          ""","="""""
"=""4f8.(7F).5d""","=""8G""","=""15/2""","=""""","=""1.150006""","=""""","=""""","=""0.00704""","=""  96                                           ""","="""""
"=""4f8.(7F).5d""","=""8G""","=""9/2""","=""""","=""1.248568""","=""""","=""""","=""0.09856""","=""  51         :    28          (7F) 8F          ""","="""""
"=""4f8.(7F).5d""","=""8G""","=""7/2""","=""""","=""1.363331""","=""""","=""""","=""0.11476""","=""  70         :    21          (7F) 8F          ""","="""""
"=""4f8.(7F).5d""","=""8G""","=""5/2""","=""""","=""1.4479947""","=""""","=""""","=""0.084664""","=""  83         :    13          (7F) 8F          ""","="""""
"=""4f8.(7F).5d""","=""8G""","=""3/2""","=""""","=""1.5082870""","=""""","=""""","=""0.060292""","=""  92                                           ""","="""""
"=""4f8.(7F).5d""","=""8G""","=""1/2""","=""""","=""1.5441445""","=""""","=""""","=""0.035858""","=""  97                                           ""","="""""
"=""4f8.(7F).5d""","=""8D""","=""3/2""","=""""","=""""","=""""","=""""","=""""","=""  57         :    40          (7F) 8F          ""","="""""
"=""4f8.(7F).5d""","=""8D""","=""11/2""","=""""","=""1.3908281""","=""""","=""""","=""""","=""  54         :    38          (7F) 8G          ""","="""""
"=""4f8.(7F).5d""","=""8D""","=""9/2""","=""""","=""1.4570989""","=""""","=""""","=""0.066271""","=""  50         :    36          (7F) 8G          ""","="""""
"=""4f8.(7F).5d""","=""8D""","=""7/2""","=""""","=""1.583948""","=""""","=""""","=""0.126849""","=""  55         :    21          (7F) 8G          ""","="""""
"=""4f8.(7F).5d""","=""8D""","=""5/2""","=""""","=""1.6972959""","=""""","=""""","=""0.113348""","=""  52         :    34          (7F) 8F          ""","="""""
"=""4f8.(7F).5d""","=""8F""","=""1/2""","=""""","=""""","=""""","=""""","=""""","=""  97                                           ""","="""""
"=""4f8.(7F).5d""","=""8F""","=""13/2""","=""""","=""1.6101214""","=""""","=""""","=""""","=""  76         :    21          (7F) 8G          ""","="""""
"=""4f8.(7F).5d""","=""8F""","=""3/2""","=""""","=""1.799674""","=""""","=""""","=""0.189553""","=""  53         :    41          (7F) 8D          ""","="""""
"=""4f8.(7F).5d""","=""8F""","=""11/2""","=""""","=""1.831385""","=""""","=""""","=""0.03171""","=""  61         :    26          (7F) 8D          ""","="""""
"=""4f8.(7F).5d""","=""8F""","=""9/2""","=""""","=""1.894342""","=""""","=""""","=""0.06296""","=""  61         :    18          (7F) 8D          ""","="""""
"=""4f8.(7F).5d""","=""8F""","=""7/2""","=""""","=""1.961538""","=""""","=""""","=""0.06720""","=""  57         :    30          (7F) 8D          ""","="""""
"=""4f8.(7F).5d""","=""8F""","=""5/2""","=""""","=""1.9919903""","=""""","=""""","=""0.030452""","=""  51         :    42          (7F) 8D          ""","="""""
"=""4f8.(7F).5d""","=""8H""","=""3/2""","=""""","=""""","=""""","=""""","=""""","=""  98                                           ""","="""""
"=""4f8.(7F).5d""","=""8H""","=""17/2""","=""""","=""1.8461712""","=""""","=""""","=""""","="" 100                                           ""","="""""
"=""4f8.(7F).5d""","=""8H""","=""15/2""","=""""","=""1.9238300""","=""""","=""""","=""0.077659""","=""  76         :    19          (7F) 6H          ""","="""""
"=""4f8.(7F).5d""","=""8H""","=""13/2""","=""""","=""2.0162106""","=""""","=""""","=""0.092381""","=""  83         :    11          (7F) 6H          ""","="""""
"=""4f8.(7F).5d""","=""8H""","=""11/2""","=""""","=""2.0777030""","=""""","=""""","=""0.061492""","=""  85                                           ""","="""""
