Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Lande,Reference
"=""4d5.(6S).5s""","=""a 7S""","=""3""","=""""","=""0.000000""","=""""","=""0""","=""""","=""2.02""","=""L3466"""
"=""4d6""","=""a 5D""","=""4""","=""""","=""0.429143""","=""""","=""""","=""0.429143""","=""1.47""","="""""
"=""4d6""","=""a 5D""","=""3""","=""""","=""0.522862""","=""""","=""""","=""0.09372""","=""1.50""","="""""
"=""4d6""","=""a 5D""","=""2""","=""""","=""0.578909""","=""""","=""""","=""0.05605""","=""1.52""","="""""
"=""4d6""","=""a 5D""","=""1""","=""""","=""0.615103""","=""""","=""""","=""0.03619""","=""1.56""","="""""
"=""4d6""","=""a 5D""","=""0""","=""""","=""0.632441""","=""""","=""""","=""0.01734""","=""0""","="""""
"=""4d5.(6S).5s""","=""a 5S""","=""2""","=""""","=""1.564333""","=""""","=""""","=""0.93189""","=""2.04""","="""""
"=""4d5.(5G).5s""","=""a 5G""","=""2""","=""""","=""2.955584""","=""+x""","=""""","=""1.39125""","=""0.37""","="""""
"=""4d5.(5G).5s""","=""a 5G""","=""3""","=""""","=""2.965351""","=""+x""","=""""","=""0.00977""","=""0.89""","="""""
"=""4d5.(5G).5s""","=""a 5G""","=""4""","=""""","=""2.972974""","=""+x""","=""""","=""0.00762""","=""1.15""","="""""
"=""4d5.(5G).5s""","=""a 5G""","=""6""","=""""","=""2.975621""","=""+x""","=""""","=""0.00265""","=""1.32""","="""""
"=""4d5.(5G).5s""","=""a 5G""","=""5""","=""""","=""2.978705""","=""+x""","=""""","=""0.00308""","=""1.30""","="""""
"=""4d5.(6S).5p""","=""z 7P*""","=""2""","=""""","=""4.682537""","=""""","=""""","=""1.70383""","=""2.36""","="""""
"=""4d5.(6S).5p""","=""z 7P*""","=""3""","=""""","=""4.748942""","=""""","=""""","=""0.06641""","=""1.88""","="""""
"=""4d5.(6S).5p""","=""z 7P*""","=""4""","=""""","=""4.873618""","=""""","=""""","=""0.12468""","=""1.78""","="""""
"=""4d5.(6S).5p""","=""z 5P*""","=""3""","=""""","=""5.393432""","=""""","=""""","=""0.51981""","=""1.65""","="""""
"=""4d5.(6S).5p""","=""z 5P*""","=""2""","=""""","=""5.423234""","=""""","=""""","=""0.02980""","=""1.86""","="""""
"=""4d5.(6S).5p""","=""z 5P*""","=""1""","=""""","=""5.443526""","=""""","=""""","=""0.02029""","=""2.50""","="""""
"=""4d5.(4G).5p""","=""z 5G*""","=""2""","=""""","=""7.319369""","=""+x""","=""""","=""1.87584""","=""0.42""","="""""
"=""4d5.(4G).5p""","=""z 5G*""","=""3""","=""""","=""7.343305""","=""+x""","=""""","=""0.02394""","=""0.90""","="""""
"=""4d5.(4G).5p""","=""z 5G*""","=""4""","=""""","=""7.366174""","=""+x""","=""""","=""0.02287""","=""1.16""","="""""
"=""4d5.(4G).5p""","=""z 5G*""","=""5""","=""""","=""7.387125""","=""+x""","=""""","=""0.02095""","=""1.26""","="""""
"=""4d5.(4G).5p""","=""z 5G*""","=""6""","=""""","=""7.409004""","=""+x""","=""""","=""0.02188""","=""1.36""","="""""
"=""4d5.(4G).5p""","=""z 5H*""","=""3""","=""""","=""7.505463""","=""+x""","=""""","=""0.09646""","=""0.54""","="""""
"=""4d5.(4G).5p""","=""z 5H*""","=""4""","=""""","=""7.512795""","=""+x""","=""""","=""0.00733""","=""0.97""","="""""
"=""4d5.(4G).5p""","=""z 5H*""","=""5""","=""""","=""7.593229""","=""+x""","=""""","=""0.08043""","=""""","="""""
"=""4d5.(4G).5p""","=""z 5H*""","=""6""","=""""","=""7.651815""","=""+x""","=""""","=""0.05859""","=""1.24""","="""""
"=""4d5.(4G).5p""","=""z 5H*""","=""7""","=""""","=""7.679663""","=""+x""","=""""","=""0.02785""","=""1.31""","="""""
"=""4d5.(4G).5p""","=""z 5F*""","=""1""","=""""","=""7.526793""","=""+x""","=""""","=""-0.15287""","=""0.04""","="""""
"=""4d5.(4G).5p""","=""z 5F*""","=""2""","=""""","=""7.566661""","=""+x""","=""""","=""0.03987""","=""""","="""""
"=""4d5.(4G).5p""","=""z 5F*""","=""3""","=""""","=""7.606143""","=""+x""","=""""","=""0.03948""","=""1.15""","="""""
"=""4d5.(4G).5p""","=""z 5F*""","=""4""","=""""","=""7.615004""","=""+x""","=""""","=""0.00886""","=""1.34""","="""""
"=""4d5.(4G).5p""","=""z 5F*""","=""5""","=""""","=""7.662605""","=""+x""","=""""","=""0.04760""","=""1.41""","="""""
"=""Tc III (4d5 6S<5/2>)""","=""Limit""","=""---""","=""[""","=""15.26""","=""]""","=""""","=""""","=""""","=""L3466,L17503"""
