Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Lande,Leading percentages,Reference
"=""5s2.5p3""","=""4S*""","=""3/2""","=""""","=""0.0000000""","=""""","=""0""","=""""","=""1.93""","=""  92         :     6                   2P*  ""","=""L2581"""
"=""5s2.5p3""","=""2D*""","=""3/2""","=""""","=""1.2674142""","=""""","=""0.0000005""","=""1.2674142""","=""""","=""  81         :    14                   2P*  ""","=""L2581"""
"=""5s2.5p3""","=""2D*""","=""5/2""","=""""","=""1.5401136""","=""""","=""0.0000005""","=""0.2726994""","=""""","=""  99                                        ""","=""L2581"""
"=""5s2.5p3""","=""2P*""","=""1/2""","=""""","=""2.5474526""","=""""","=""0.0000005""","=""1.0073390""","=""""","=""  99                                        ""","=""L2581"""
"=""5s2.5p3""","=""2P*""","=""3/2""","=""""","=""2.9796000""","=""""","=""0.0000005""","=""0.4321474""","=""1.27""","=""  78         :    17                   2D*  ""","=""L2581"""
"=""5s.(2S).5p4.(3P)""","=""4P""","=""5/2""","=""""","=""8.8267483""","=""""","=""0.0000009""","=""5.847148""","=""1.59""","=""  77         :    17  5s2.5p2.(3P).5d  4P   ""","=""L2581"""
"=""5s.(2S).5p4.(3P)""","=""4P""","=""3/2""","=""""","=""9.285598""","=""""","=""0.000025""","=""0.45885""","=""1.71""","=""  75         :    19  5s2.5p2.(3P).5d  4P   ""","=""L3546"""
"=""5s.(2S).5p4.(3P)""","=""4P""","=""1/2""","=""""","=""9.460102""","=""""","=""0.000025""","=""0.17450""","=""2.63""","=""  67         :    18  5s2.5p2.(3P).5d  4P   ""","=""L3546"""
"=""5s2.5p2.(3P).6s""","=""4P""","=""1/2""","=""""","=""9.726340""","=""""","=""0.000025""","=""0.26624""","=""2.29""","=""  66         :    16  5s2.5p2.(3P).6s  2P   ""","=""L3546"""
"=""5s2.5p2.(3P).6s""","=""4P""","=""3/2""","=""""","=""10.258865""","=""""","=""0.000025""","=""0.53252""","=""1.45""","=""  71         :    15  5s2.5p2.(3P).5d  4F   ""","=""L3546"""
"=""5s2.5p2.(3P).6s""","=""4P""","=""5/2""","=""""","=""10.612034""","=""""","=""0.000025""","=""0.35317""","=""1.50""","=""  69         :    21  5s2.5p2.(1D).6s  2D   ""","=""L3546"""
"=""5s2.5p2.(3P).5d""","=""2P""","=""3/2""","=""""","=""10.153739""","=""""","=""0.000025""","=""-0.45829""","=""1.12""","=""  25         :    22  5s2.5p2.(3P).5d  4F   ""","=""L3546"""
"=""5s2.5p2.(3P).5d""","=""2P""","=""1/2""","=""""","=""11.009321""","=""""","=""0.000025""","=""0.85558""","=""0.35""","=""  34         :    47  5s2.5p2.(3P).5d  4D   ""","=""L3546"""
"=""5s2.5p2.(3P).6s""","=""2P""","=""1/2""","=""""","=""10.362278""","=""""","=""0.000025""","=""-0.64704""","=""1.06""","=""  65         :    20  5s2.5p2.(3P).6s  4P   ""","=""L3546"""
"=""5s2.5p2.(3P).6s""","=""2P""","=""3/2""","=""""","=""11.029769""","=""""","=""0.000025""","=""0.66749""","=""1.17""","=""  28         :    23  5s2.5p2.(3P).5d  4D   ""","=""L3546"""
"=""5s2.5p2.(3P).5d""","=""4F""","=""5/2""","=""""","=""10.544783""","=""""","=""0.000025""","=""-0.48499""","=""1.09""","=""  69         :     9  5s2.5p2.(3P).5d  4D   ""","=""L3546"""
"=""5s2.5p2.(3P).5d""","=""4F""","=""3/2""","=""""","=""10.558452""","=""""","=""0.000025""","=""0.01367""","=""0.88""","=""  48         :    28  5s2.5p2.(3P).5d  2P   ""","=""L3546"""
"=""5s2.5p2.(3P).5d""","=""4F""","=""7/2""","=""""","=""10.898194""","=""""","=""0.000025""","=""0.33974""","=""1.26""","=""  84         :    13  5s2.5p2.(3P).5d  4D   ""","=""L3546"""
"=""5s2.5p2.(3P).5d""","=""4F""","=""9/2""","=""""","=""11.223009""","=""""","=""0.000025""","=""0.32481""","=""1.31""","=""  89         :    10  5s2.5p2.(1D).5d  2G   ""","=""L3546"""
"=""5s.(2S).5p4.(1D)""","=""2D""","=""3/2""","=""""","=""10.756857""","=""""","=""0.000025""","=""-0.46615""","=""0.94""","=""  30         :    22  5s2.5p2.(1D).5d  2D   ""","=""L3546"""
"=""5s.(2S).5p4.(1D)""","=""2D""","=""5/2""","=""""","=""10.836782""","=""""","=""0.000025""","=""0.07992""","=""1.25""","=""  39         :    29  5s2.5p2.(1D).5d  2D   ""","=""L3546"""
"=""5s2.5p2.(3P).5d""","=""2F""","=""5/2""","=""""","=""11.025271""","=""""","=""0.000025""","=""0.18849""","=""0.94""","=""  39         :    35  5s2.5p2.(1D).5d  2F   ""","=""L3546"""
"=""5s2.5p2.(3P).5d""","=""2F""","=""7/2""","=""""","=""13.29661""","=""""","=""0.00012""","=""2.27134""","=""1.19""","=""  47         :    33  5s2.5p2.(1D).5d  2F   ""","=""L15043"""
"=""5s2.5p2.(1D).5d""","=""2F""","=""7/2""","=""""","=""11.257419""","=""""","=""0.000025""","=""-2.03919""","=""1.25""","=""  30         :    39  5s2.5p2.(3P).5d  4D   ""","=""L3546"""
"=""5s2.5p2.(1D).5d""","=""2F""","=""5/2""","=""""","=""13.49189""","=""""","=""0.00006""","=""2.23447""","=""""","=""  29         :    32  5s2.5p2.(3P).5d  2D   ""","=""L15043"""
"=""5s2.5p2.(3P).5d""","=""4D""","=""3/2""","=""""","=""11.430286""","=""""","=""0.000025""","=""-2.06160""","=""1.13""","=""  61         :    10  5s2.5p2.(3P).5d  2P   ""","=""L3546"""
"=""5s2.5p2.(3P).5d""","=""4D""","=""1/2""","=""""","=""11.492283""","=""""","=""0.000025""","=""0.06200""","=""0.42""","=""  51         :    35  5s2.5p2.(3P).5d  2P   ""","=""L3546"""
"=""5s2.5p2.(3P).5d""","=""4D""","=""5/2""","=""""","=""11.504893""","=""""","=""0.000025""","=""0.01261""","=""1.24""","=""  54         :    13  5s2.5p2.(3P).5d  2F   ""","=""L3546"""
"=""5s2.5p2.(3P).5d""","=""4D""","=""7/2""","=""""","=""11.96877""","=""""","=""0.00010""","=""0.46388""","=""1.24""","=""  43         :    30  5s2.5p2.(3P).5d  2F   ""","=""L15043"""
"=""5s2.5p2.(3P).6p""","=""4D*""","=""1/2""","=""""","=""11.651902""","=""""","=""0.000025""","=""-0.31687""","=""0.79""","=""  50         :    23  5s2.5p2.(3P).6p  2S*  ""","=""L3546"""
"=""5s2.5p2.(3P).6p""","=""4D*""","=""3/2""","=""""","=""11.920429""","=""""","=""0.000025""","=""0.26853""","=""1.32""","=""  49         :    22  5s2.5p2.(3P).6p  4P*  ""","=""L3546"""
"=""5s2.5p2.(3P).6p""","=""4D*""","=""5/2""","=""""","=""12.412318""","=""""","=""0.000025""","=""0.49189""","=""1.40""","=""  79         :    15  5s2.5p2.(3P).6p  4P*  ""","=""L3546"""
"=""5s2.5p2.(3P).6p""","=""4D*""","=""7/2""","=""""","=""12.783497""","=""""","=""0.000025""","=""0.37118""","=""1.38""","=""  82         :    17  5s2.5p2.(1D).6p  2F*  ""","=""L3546"""
"=""5s2.5p2.(1D).6s""","=""2D""","=""5/2""","=""""","=""11.761219""","=""""","=""0.000025""","=""-1.02228""","=""1.27""","=""  75         :    19  5s2.5p2.(3P).6s  4P   ""","=""L3546"""
"=""5s2.5p2.(1D).6s""","=""2D""","=""3/2""","=""""","=""11.804333""","=""""","=""0.000025""","=""0.04311""","=""0.98""","=""  60         :    27  5s2.5p2.(3P).6s  2P   ""","=""L3546"""
"=""5s2.5p2.(3P).6p""","=""2S*""","=""1/2""","=""""","=""12.123186""","=""""","=""0.000025""","=""0.31885""","=""1.26""","=""  52         :    40  5s2.5p2.(3P).6p  4D*  ""","=""L3546"""
"=""5s2.5p2.(3P).5d""","=""4P""","=""5/2""","=""""","=""12.302912""","=""""","=""0.000025""","=""0.17973""","=""1.51""","=""  66         :    11  5s.(2S).5p4.(3P) 4P   ""","=""L3546"""
"=""5s2.5p2.(3P).5d""","=""4P""","=""3/2""","=""""","=""12.490261""","=""""","=""0.000025""","=""0.18735""","=""1.56""","=""  58         :    13  5s.(2S).5p4.(3P) 4P   ""","=""L3546"""
"=""5s2.5p2.(3P).5d""","=""4P""","=""1/2""","=""""","=""12.662162""","=""""","=""0.000025""","=""0.17190""","=""2.26""","=""  53         :    15  5s.(2S).5p4.(1S) 2S   ""","=""L3546"""
"=""5s2.5p2.(3P).6p""","=""4S*""","=""3/2""","=""""","=""12.346916""","=""""","=""0.000025""","=""-0.31525""","=""1.26""","=""  16         :    43  5s2.5p2.(3P).6p  4D*  ""","=""L3546"""
"=""5s2.5p2.(1D).5d""","=""2G""","=""7/2""","=""""","=""12.50205""","=""""","=""0.00011""","=""0.15513""","=""0.98""","=""  74         :    22  5s2.5p2.(1D).5d  2F   ""","=""L15043"""
"=""5s2.5p2.(1D).5d""","=""2S""","=""1/2""","=""""","=""12.530509""","=""""","=""0.000025""","=""0.02846""","=""2.12""","=""  42         :    16  5s2.5p2.(3P).5d  4P   ""","=""L3546"""
"=""5s2.5p2.(3P).6p""","=""2D*""","=""3/2""","=""""","=""12.549801""","=""""","=""0.000025""","=""0.01929""","=""1.31""","=""  52         :    29  5s2.5p2.(3P).6p  4S*  ""","=""L3546"""
"=""5s2.5p2.(3P).6p""","=""2D*""","=""5/2""","=""""","=""13.090626""","=""""","=""0.000025""","=""0.54082""","=""1.29""","=""  46         :    32  5s2.5p2.(3P).6p  4P*  ""","=""L3546"""
"=""5s2.5p2.(3P).6p""","=""4P*""","=""1/2""","=""""","=""12.568385""","=""""","=""0.000025""","=""-0.52224""","=""2.33""","=""  79         :    10  5s2.5p2.(3P).6p  2P*  ""","=""L3546"""
"=""5s2.5p2.(3P).6p""","=""4P*""","=""5/2""","=""""","=""12.686620""","=""""","=""0.000025""","=""0.11824""","=""1.31""","=""  33         :    25  5s2.5p2.(3P).6p  2D*  ""","=""L3546"""
"=""5s2.5p2.(3P).6p""","=""4P*""","=""3/2""","=""""","=""12.886409""","=""""","=""0.000025""","=""0.19979""","=""1.74""","=""  44         :    37  5s2.5p2.(3P).6p  4S*  ""","=""L3546"""
