Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Lande,Reference
"=""5s2.5p""","=""2P*""","=""1/2""","=""""","=""0.0000""","=""""","=""0""","=""""","=""""","=""L3466"""
"=""5s2.5p""","=""2P*""","=""3/2""","=""""","=""1.1435""","=""""","=""""","=""1.1435""","=""""","="""""
"=""5s.5p2""","=""2D""","=""3/2""","=""""","=""11.5023""","=""""","=""""","=""10.359""","=""""","="""""
"=""5s.5p2""","=""2D""","=""5/2""","=""""","=""11.7551""","=""""","=""""","=""0.253""","=""""","="""""
"=""5s.5p2""","=""2S""","=""1/2""","=""""","=""13.5807""","=""""","=""""","=""1.826""","=""""","="""""
"=""5s.5p2""","=""2P""","=""1/2""","=""""","=""14.7552""","=""""","=""""","=""1.175""","=""""","="""""
"=""5s.5p2""","=""2P""","=""3/2""","=""""","=""14.8726""","=""""","=""""","=""0.117""","=""""","="""""
"=""5s2.5d""","=""2D""","=""3/2""","=""""","=""15.80117""","=""""","=""""","=""0.9286""","=""""","="""""
"=""5s2.5d""","=""2D""","=""5/2""","=""""","=""15.89682""","=""""","=""""","=""0.0956""","=""""","="""""
"=""5s2.6s""","=""2S""","=""1/2""","=""""","=""16.54644""","=""""","=""""","=""0.6496""","=""2.02""","="""""
"=""5s2.6p""","=""2P*""","=""1/2""","=""""","=""20.00354""","=""""","=""""","=""3.4571""","=""0.66""","="""""
"=""5s2.6p""","=""2P*""","=""3/2""","=""""","=""20.32833""","=""""","=""""","=""0.3248""","=""""","="""""
"=""5s2.6d""","=""2D""","=""3/2""","=""""","=""25.16153""","=""""","=""""","=""4.8332""","=""""","="""""
"=""5s2.6d""","=""2D""","=""5/2""","=""""","=""25.21253""","=""""","=""""","=""0.0510""","=""""","="""""
"=""5s2.7s""","=""2S""","=""1/2""","=""""","=""25.45936""","=""""","=""""","=""0.2468""","=""""","="""""
"=""Te V (5s2 1S<0>)""","=""Limit""","=""---""","=""""","=""37.4155""","=""""","=""0.0012""","=""""","=""""","=""L16261"""
