Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Leading percentages,Reference
"=""5s2""","=""1S""","=""0""","=""""","=""0.0000""","=""""","=""0""","=""""","=""  98                             ""","=""L11821"""
"=""5s.5p""","=""3P*""","=""0""","=""""","=""9.3126""","=""""","=""""","=""9.3126""","="" 100                             ""","="""""
"=""5s.5p""","=""3P*""","=""1""","=""""","=""9.6739""","=""""","=""""","=""0.361""","=""  97                             ""","="""""
"=""5s.5p""","=""3P*""","=""2""","=""""","=""10.6631""","=""""","=""""","=""0.989""","="" 100                             ""","="""""
"=""5s.5p""","=""1P*""","=""1""","=""""","=""13.8499""","=""""","=""""","=""3.187""","=""  96                             ""","="""""
"=""5p2""","=""3P""","=""0""","=""""","=""21.8528""","=""""","=""""","=""8.003""","=""                                 ""","="""""
"=""5p2""","=""3P""","=""1""","=""""","=""22.6173""","=""""","=""""","=""0.765""","="" 100                             ""","="""""
"=""5p2""","=""3P""","=""2""","=""""","=""23.8790""","=""""","=""""","=""1.262""","=""  69         :    23        1D   ""","="""""
"=""5p2""","=""1D""","=""2""","=""""","=""22.6648""","=""""","=""""","=""-1.214""","=""  58         :    30        3P   ""","="""""
"=""5p2""","=""1S""","=""0""","=""""","=""26.6642""","=""""","=""""","=""3.999""","=""  90         :     7        3P   ""","="""""
"=""5s.5d""","=""3D""","=""1""","=""""","=""26.7324""","=""""","=""""","=""0.068""","="" 100                             ""","="""""
"=""5s.5d""","=""3D""","=""2""","=""""","=""26.7976""","=""""","=""""","=""0.065""","="" 100                             ""","="""""
"=""5s.5d""","=""3D""","=""3""","=""""","=""26.9036""","=""""","=""""","=""0.106""","="" 100                             ""","="""""
"=""5s.5d""","=""1D""","=""2""","=""""","=""28.7710""","=""""","=""""","=""1.867""","=""  79         :    18  5p2   1D   ""","="""""
"=""5s.6s""","=""3S""","=""1""","=""""","=""29.8602""","=""""","=""""","=""1.089""","="" 100                             ""","="""""
"=""5s.6s""","=""1S""","=""0""","=""""","=""30.5932""","=""""","=""""","=""0.733""","="" 100                             ""","="""""
"=""5s.6p""","=""3P*""","=""0""","=""""","=""33.9713""","=""""","=""""","=""3.378""","=""  99                             ""","="""""
"=""5s.6p""","=""3P*""","=""1""","=""""","=""34.0224""","=""""","=""""","=""0.051""","=""  83         :    16        1P*  ""","="""""
"=""5s.6p""","=""3P*""","=""2""","=""""","=""34.4066""","=""""","=""""","=""0.384""","=""  99                             ""","="""""
"=""5s.6p""","=""1P*""","=""1""","=""""","=""34.5548""","=""""","=""""","=""0.148""","=""  81         :    16        3P*  ""","="""""
"=""5p.5d""","=""3F*""","=""2""","=""""","=""37.3383""","=""""","=""""","=""2.783""","=""  75         :    22        1D*  ""","="""""
"=""5p.5d""","=""3F*""","=""3""","=""""","=""37.9508""","=""""","=""""","=""0.613""","=""  90         :     6        3D*  ""","="""""
"=""5p.5d""","=""3F*""","=""4""","=""""","=""38.7792""","=""""","=""""","=""0.828""","=""  99                             ""","="""""
