Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Lande,Leading percentages,Reference
"=""6d.7s2""","=""2D""","=""3/2""","=""""","=""0.000000000""","=""""","=""0.000000007""","=""""","=""0.639""","=""  43  6d2.(3F).7s 4F              :    27  6d.7s2            2D    ""","=""L18702,L15851"""
"=""6d2.(3F).7s""","=""4F""","=""5/2""","=""""","=""0.188691095""","=""""","=""0.000000012""","=""0.18869110""","=""1.076""","=""  65                              :    17  6d2.(1D).7s       2D    ""","=""L18702,L15851"""
"=""6d2.(3F).7s""","=""4F""","=""3/2""","=""""","=""0.230602975""","=""""","=""0.000000014""","=""0.04191188""","=""0.586""","=""  52                              :    36  6d.7s2            2D    ""","=""L18702,L7612"""
"=""6d2.(3F).7s""","=""4F""","=""7/2""","=""""","=""0.514110036""","=""""","=""0.000000014""","=""0.28350706""","=""1.232""","=""  96                                                               ""","=""L18702,L15851"""
"=""6d2.(3F).7s""","=""4F""","=""9/2""","=""""","=""0.770374622""","=""""","=""0.000000015""","=""0.25626459""","=""1.312""","=""  89                              :     9  6d2.(1G).7s       2G    ""","=""L18702,L15851"""
"=""6d.(2D).7s2""","=""""","=""5/2""","=""""","=""0.509991558""","=""""","=""0.000000014""","=""-0.26038306""","=""1.163""","=""  36  6d.(2D).7s2 2D              :    30  6d2.(3F).7s       4F    ""","=""L18702,L7529"""
"=""5f.7s2""","=""2F*""","=""5/2""","=""""","=""0.556721494""","=""""","=""0.000000014""","=""0.04672994""","=""0.856""","=""  89                              :     3  5f.(2F*).6d2.(1S) (1S)* ""","=""L18702,L15851"""
"=""5f.7s2""","=""2F*""","=""7/2""","=""""","=""1.038846135""","=""""","=""0.000000017""","=""0.48212464""","=""1.132""","=""  85                              :     3  5f.(2F*).6d2.(1S) (1S)* ""","=""L18702,L15851"""
"=""5f.6d.(3H*).7s""","=""4H*""","=""7/2""","=""""","=""0.764778652""","=""""","=""0.000000016""","=""-0.27406748""","=""0.718""","=""  78                              :    17  5f.6d.(1G*).7s    2G    ""","=""L18702,L15851"""
"=""5f.6d.(3H*).7s""","=""4H*""","=""11/2""","=""""","=""1.26328328""","=""""","=""0.00000003""","=""0.49850463""","=""1.128""","=""  81                              :    13  5f.6d.(3H*).7s    2H    ""","=""L18702,L15851"""
"=""5f.6d.(3H*).7s""","=""4H*""","=""13/2""","=""""","=""1.66218584""","=""""","=""0.00000005""","=""0.39890256""","=""1.231""","=""  96                              :     2  5f.(2F*).6d2.(3F) (3F)* ""","=""L18702,L7612"""
"=""6d2.(3P).7s""","=""4P""","=""1/2""","=""""","=""0.77419390""","=""""","=""0.00000003""","=""-0.88799194""","=""2.112""","=""  70                              :    13  6d2.(3P).7s       2P    ""","=""L18702,L15851"""
"=""6d2.(3P).7s""","=""4P""","=""3/2""","=""""","=""0.994129208""","=""""","=""0.000000022""","=""0.21993531""","=""1.608""","=""  89                              :     3  6d3               4F    ""","=""L18702,L15851"""
"=""6d2.(3P).7s""","=""4P""","=""5/2""","=""""","=""1.123433659""","=""""","=""0.000000019""","=""0.12930445""","=""1.419""","=""  71                              :    12  6d2.(3F).7s       2F    ""","=""L18702,L15851"""
"=""5f.6d.(3F*).7s""","=""4F*""","=""3/2""","=""""","=""0.829626291""","=""""","=""0.000000016""","=""-0.29380737""","=""0.492""","=""  74                              :    20  5f.6d.(1D*).7s    2D    ""","=""L18702,L15851"""
"=""5f.6d.(3F*).7s""","=""4F*""","=""5/2""","=""""","=""0.908988342""","=""""","=""0.000000016""","=""0.07936205""","=""1.061""","=""  54                              :    25  5f.6d.(1D*).7s    2D    ""","=""L18702,L15851"""
"=""5f.6d.(3F*).7s""","=""4F*""","=""7/2""","=""""","=""1.205163326""","=""""","=""0.000000017""","=""0.29617498""","=""1.173""","=""  60                              :    11  5f.6d.(3G*).7s    4G    ""","=""L18702,L15851"""
"=""5f.6d.(3F*).7s""","=""4F*""","=""9/2""","=""""","=""1.548350422""","=""""","=""0.000000019""","=""0.34318710""","=""1.245""","=""  53                              :    30  5f.6d.(3G*).7s    4G    ""","=""L18702,L15928"""
