Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Lande,Leading percentages,Reference
"=""5f.6d""","=""3H*""","=""4""","=""""","=""0.00000000""","=""""","=""0.00000003""","=""""","=""0.885 ""","=""  64                        :    32  5f.6d 1G*        ""","=""L18702,L17367"""
"=""5f.6d""","=""3H*""","=""5""","=""""","=""0.55664454""","=""""","=""0.00000005""","=""0.55664454""","=""1.04""","=""  99                        :     1  5f.6d 3G*        ""","=""L18702,L17367"""
"=""5f.6d""","=""3H*""","=""6""","=""""","=""1.04603306""","=""""","=""0.00000006""","=""0.48938852""","=""1.17 ""","="" 100                                                  ""","=""L18702,L17367"""
"=""6d2""","=""3F""","=""2""","=""""","=""0.00784408""","=""""","=""0.00000004""","=""-1.03818898""","=""0.744 ""","=""  65                        :    21  6d2   1D         ""","=""L18702,L17367"""
"=""6d2""","=""3F""","=""3""","=""""","=""0.50288183""","=""""","=""0.00000004""","=""0.49503775""","=""1.083 ""","=""  91                        :     8  5f2   3F         ""","=""L18702,L17367"""
"=""6d2""","=""3F""","=""4""","=""""","=""0.81058603""","=""""","=""0.00000004""","=""0.30770420""","=""1.20""","=""  69                        :    17  6d2   1G         ""","=""L18702,L7524"""
"=""5f.6d""","=""3F*""","=""2""","=""""","=""0.06332595""","=""""","=""0.00000004""","=""-0.74726008""","=""0.739 ""","=""  60                        :    23  5f.6d 1D*        ""","=""L18702,L17367"""
"=""5f.7s""","=""*""","=""3""","=""""","=""0.31331991""","=""""","=""0.00000004""","=""0.24999396""","=""1.071 ""","=""  47  5f.7s 3F*             :    24  5f.6d 3F*        ""","=""L18702,L17367"""
"=""5f.7s""","=""3F*""","=""2""","=""""","=""0.39445602""","=""""","=""0.00000005""","=""0.08113611""","=""0.725 ""","=""  80                        :    14  5f.6d 1D*        ""","=""L18702,L17367"""
"=""5f.7s""","=""3F*""","=""4""","=""""","=""0.78244044""","=""""","=""0.00000004""","=""0.38798442""","=""1.22 ""","=""  60                        :    26  5f.6d 3F*        ""","=""L18702,L17367"""
"=""5f.6d""","=""*""","=""4""","=""""","=""0.39529895""","=""""","=""0.00000004""","=""-0.38714149""","=""0.976""","=""  49  5f.6d 1G*             :    34  5f.6d 3H*        ""","=""L18702,L17367"""
"=""6d2""","=""""","=""2""","=""""","=""0.57980369""","=""""","=""0.00000004""","=""0.18450474""","=""1.020 ""","=""  32  6d2 1D                :    22  6d2   3F         ""","=""L18702,L17367"""
"=""5f.6d""","=""*""","=""3""","=""""","=""0.59845018""","=""""","=""0.00000003""","=""0.01864649""","=""1.003 ""","=""  40  5f.6d 3F*             :    31  5f.6d 3G*        ""","=""L18702,L17367"""
"=""5f.6d""","=""3G*""","=""3""","=""""","=""0.62742747""","=""""","=""0.00000003""","=""0.02897729""","=""0.869 ""","=""  52                        :    28  5f.6d 3F*        ""","=""L18702,L17367"""
"=""5f.6d""","=""3G*""","=""4""","=""""","=""1.00944826""","=""""","=""0.00000004""","=""0.38202079""","=""1.103 ""","=""  75                        :    14  5f.7s 3F         ""","=""L18702,L17367"""
"=""5f.6d""","=""3G*""","=""5""","=""""","=""1.39814588""","=""""","=""0.00000004""","=""0.38869762""","=""1.186 ""","=""  96                        :     3  5f.6d 1G*        ""","=""L18702,L17367"""
"=""6d2""","=""3P""","=""0""","=""""","=""0.63108656""","=""""","=""0.00000007""","=""-0.76705932""","=""0.0""","=""  65                        :    16  6d2   1S         ""","=""L18702,L17367"""
"=""6d2""","=""3P""","=""1""","=""""","=""0.97647778""","=""""","=""0.00000005""","=""0.34539122""","=""1.50""","=""  84                        :    15  5f2   3P         ""","=""L18702,L17367"""
"=""6d2""","=""3P""","=""2""","=""""","=""1.29442444""","=""""","=""0.00000005""","=""0.31794666""","=""1.36""","=""  64                        :    13  5f2   3P         ""","=""L18702,L17367"""
"=""6d.7s""","=""3D""","=""1""","=""""","=""0.68487395""","=""""","=""0.00000004""","=""-0.60955049""","=""0.50 ""","=""  97                        :     2  5f.7p 3D         ""","=""L18702,L17367"""
"=""6d.7s""","=""3D""","=""2""","=""""","=""0.88972383""","=""""","=""0.00000004""","=""0.20484988""","=""1.180 ""","=""  75                        :     7  6d2   3P         ""","=""L18702,L17367"""
"=""6d.7s""","=""3D""","=""3""","=""""","=""1.23408676""","=""""","=""0.00000004""","=""0.34436293""","=""1.339 ""","=""  96                        :     3  5f.7p 3D         ""","=""L18702,L17367"""
"=""5f.6d""","=""*""","=""2""","=""""","=""0.77964007""","=""""","=""0.00000006""","=""-0.45444669""","=""0.908 ""","=""  49  5f.6d 1D*             :    35  5f.6d 3F*        ""","=""L18702,L17367"""
"=""5f.7s""","=""*""","=""3""","=""""","=""0.92995653""","=""""","=""0.00000004""","=""0.15031646""","=""1.027 ""","=""  43  5f.7s 1F*             :    39  5f.7s 3F         ""","=""L18702,L17367"""
"=""5f.6d""","=""3D*""","=""1""","=""""","=""0.98208972""","=""""","=""0.00000004""","=""0.05213319""","=""0.622 ""","=""  83                        :     8  5f.6d 1P*        ""","=""L18702,L17367"""
