Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Lande,Leading percentages,Reference
"=""3d2.4s2""","=""a 3F""","=""2""","=""""","=""0.00000000""","=""""","=""0.00000025""","=""""","=""0.666""","="" 100                                            ""","=""L17885"""
"=""3d2.4s2""","=""a 3F""","=""3""","=""""","=""0.02109378""","=""""","=""0.00000024""","=""0.0210938""","=""1.083""","="" 100                                            ""","=""L17885"""
"=""3d2.4s2""","=""a 3F""","=""4""","=""""","=""0.04796626""","=""""","=""0.00000025""","=""0.0268725""","=""1.250""","="" 100                                            ""","=""L17885"""
"=""3d3.(4F).4s""","=""a 5F""","=""1""","=""""","=""0.8129437""","=""""","=""0.0000004""","=""0.7649774""","=""0.00""","="" 100                                            ""","=""L17885"""
"=""3d3.(4F).4s""","=""a 5F""","=""2""","=""""","=""0.8181426""","=""""","=""0.0000004""","=""0.0051989""","=""0.99""","="" 100                                            ""","=""L17885"""
"=""3d3.(4F).4s""","=""a 5F""","=""3""","=""""","=""0.82585949""","=""""","=""0.00000025""","=""0.0077169""","=""1.25""","="" 100                                            ""","=""L17885"""
"=""3d3.(4F).4s""","=""a 5F""","=""4""","=""""","=""0.83599520""","=""""","=""0.00000025""","=""0.0101357""","=""1.35""","="" 100                                            ""","=""L17885"""
"=""3d3.(4F).4s""","=""a 5F""","=""5""","=""""","=""0.8484192""","=""""","=""0.0000004""","=""0.0124240""","=""1.41""","="" 100                                            ""","=""L17885"""
"=""3d2.4s2""","=""a 1D""","=""2""","=""""","=""0.8995494""","=""""","=""0.0000004""","=""0.0511302""","=""1.02""","=""  96                                            ""","=""L17885"""
"=""3d2.4s2""","=""a 3P""","=""0""","=""""","=""1.0460073""","=""""","=""0.0000005""","=""0.1464579""","=""""","=""  92         :     7  3d3.(2P).4s          3P   ""","=""L17885"""
