Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Lande,Leading percentages,Reference
"=""3d2.(3F).4s""","=""a 4F""","=""3/2""","=""""","=""0.00000000""","=""""","=""0.00000007""","=""""","=""""","="" 100                                            ""","=""L17885"""
"=""3d2.(3F).4s""","=""a 4F""","=""5/2""","=""""","=""0.01166867""","=""""","=""0.00000015""","=""0.0116687""","=""""","="" 100                                            ""","=""L17885"""
"=""3d2.(3F).4s""","=""a 4F""","=""7/2""","=""""","=""0.02798372""","=""""","=""0.00000007""","=""0.0163150""","=""""","="" 100                                            ""","=""L17885"""
"=""3d2.(3F).4s""","=""a 4F""","=""9/2""","=""""","=""0.04878107""","=""""","=""0.00000009""","=""0.0207974""","=""""","="" 100                                            ""","=""L17885"""
"=""3d3""","=""b 4F""","=""3/2""","=""""","=""0.11257359""","=""""","=""0.00000010""","=""0.0637925""","=""""","="" 100                                            ""","=""L17885"""
"=""3d3""","=""b 4F""","=""5/2""","=""""","=""0.12199000""","=""""","=""0.00000007""","=""0.0094164""","=""""","="" 100                                            ""","=""L17885"""
"=""3d3""","=""b 4F""","=""7/2""","=""""","=""0.13481497""","=""""","=""0.00000007""","=""0.01282497""","=""""","="" 100                                            ""","=""L17885"""
"=""3d3""","=""b 4F""","=""9/2""","=""""","=""0.15074407""","=""""","=""0.00000009""","=""0.0159291""","=""""","="" 100                                            ""","=""L17885"""
"=""3d2.(3F).4s""","=""a 2F""","=""5/2""","=""""","=""0.57388034""","=""""","=""0.00000021""","=""0.4231363""","=""""","=""  99                                            ""","=""L17885"""
"=""3d2.(3F).4s""","=""a 2F""","=""7/2""","=""""","=""0.60723963""","=""""","=""0.00000007""","=""0.0333593""","=""""","=""  99                                            ""","=""L17885"""
"=""3d2.(1D).4s""","=""a 2D""","=""3/2""","=""""","=""1.07997273""","=""""","=""0.00000009""","=""0.4727331""","=""0.80""","=""  72         :    17  3d3                 b 2D2 ""","=""L17885"""
"=""3d2.(1D).4s""","=""a 2D""","=""5/2""","=""""","=""1.08416006""","=""""","=""0.00000009""","=""0.0041873""","=""""","=""  74         :    16  3d3                 b 2D2 ""","=""L17885"""
"=""3d3""","=""a 2G""","=""7/2""","=""""","=""1.11558346""","=""""","=""0.00000011""","=""0.0314234""","=""""","=""  96                                            ""","=""L17885"""
"=""3d3""","=""a 2G""","=""9/2""","=""""","=""1.13052324""","=""""","=""0.00000014""","=""0.0149398""","=""""","=""  96                                            ""","=""L17885"""
"=""3d3""","=""a 4P""","=""1/2""","=""""","=""1.16095611""","=""""","=""0.00000015""","=""0.0304329""","=""2.63""","=""  96                                            ""","=""L17885"""
"=""3d3""","=""a 4P""","=""3/2""","=""""","=""1.16493098""","=""""","=""0.00000020""","=""0.0039749""","=""1.74""","=""  93                                            ""","=""L17885"""
"=""3d3""","=""a 4P""","=""5/2""","=""""","=""1.18010040""","=""""","=""0.00000014""","=""0.0151694""","=""""","="" 100                                            ""","=""L17885"""
"=""3d3""","=""a 2P""","=""1/2""","=""""","=""1.22137014""","=""""","=""0.00000012""","=""0.0412697""","=""0.66""","=""  62         :    24  3d2.(3P).4s         b 2P  ""","=""L17885"""
