Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Leading percentages,Reference
"=""3s2.3p6""","=""1S""","=""0""","=""""","=""0.0000""","=""""","=""0""","=""""","=""                                                        ""","=""L7185"""
"=""3s2.3p5.3d""","=""3P*""","=""0""","=""""","=""34.02619""","=""""","=""""","=""34.02619""","="" 100                                                    ""","="""""
"=""3s2.3p5.3d""","=""3P*""","=""1""","=""""","=""34.14176""","=""""","=""""","=""0.1156""","="" 100                                                    ""","="""""
"=""3s2.3p5.3d""","=""3P*""","=""2""","=""""","=""34.38213""","=""""","=""""","=""0.2404""","=""  99                                                    ""","="""""
"=""3s2.3p5.3d""","=""3F*""","=""4""","=""""","=""35.61775""","=""""","=""""","=""1.2356""","="" 100                                                    ""","="""""
"=""3s2.3p5.3d""","=""3F*""","=""3""","=""""","=""35.83766""","=""""","=""""","=""0.2199""","=""  98                                                    ""","="""""
"=""3s2.3p5.3d""","=""3F*""","=""2""","=""""","=""36.05196""","=""""","=""""","=""0.2143""","=""  98                                                    ""","="""""
"=""3s2.3p5.3d""","=""1D*""","=""2""","=""""","=""38.04759""","=""""","=""""","=""1.9956""","=""  84             :    14  3s2.3p5.3d            3D*     ""","="""""
"=""3s2.3p5.3d""","=""3D*""","=""3""","=""""","=""38.11636""","=""""","=""""","=""0.0688""","=""  80             :    20  3s2.3p5.3d            1F*     ""","="""""
"=""3s2.3p5.3d""","=""3D*""","=""1""","=""""","=""38.34237""","=""""","=""""","=""0.2260""","="" 100                                                    ""","="""""
"=""3s2.3p5.3d""","=""3D*""","=""2""","=""""","=""38.36481""","=""""","=""""","=""0.0224""","=""  85             :    14  3s2.3p5.3d            1D*     ""","="""""
"=""3s2.3p5.3d""","=""1F*""","=""3""","=""""","=""38.61287""","=""""","=""""","=""0.2481""","=""  79             :    20  3s2.3p5.3d            3D*     ""","="""""
"=""3s2.3p5.3d""","=""1P*""","=""1""","=""""","=""49.01354""","=""""","=""""","=""10.4007""","="" 100                                                    ""","="""""
"=""3s2.3p5.4s""","=""3P*""","=""2""","=""""","=""53.85122""","=""""","=""""","=""4.8377""","="" 100                                                    ""","="""""
"=""3s2.3p5.4s""","=""3P*""","=""1""","=""""","=""54.16247""","=""""","=""""","=""0.3113""","=""  81             :    19  3s2.3p5.4s            1P*     ""","="""""
"=""3s2.3p5.4s""","=""3P*""","=""0""","=""""","=""54.56113""","=""""","=""""","=""0.3987""","="" 100                                                    ""","="""""
"=""3s2.3p5.4s""","=""1P*""","=""1""","=""""","=""55.01832""","=""""","=""""","=""0.4572""","=""  81             :    19  3s2.3p5.4s            3P*     ""","="""""
"=""3s2.3p5.4p""","=""3S""","=""1""","=""""","=""59.75886""","=""""","=""""","=""4.7405""","=""  97                                                    ""","="""""
"=""3s2.3p5.4p""","=""3D""","=""3""","=""""","=""60.50114""","=""""","=""""","=""0.7423""","=""  65             :    35  3s.3p6.3d             3D      ""","="""""
"=""3s2.3p5.4p""","=""3D""","=""2""","=""""","=""60.53227""","=""""","=""""","=""0.0311""","=""  47             :    41  3s.3p6.3d             3D      ""","="""""
"=""3s2.3p5.4p""","=""3D""","=""1""","=""""","=""61.16147""","=""""","=""""","=""0.6292""","=""  47             :    22  3s.3p6.3d             3D      ""","="""""
"=""3s.3p6.3d""","=""3D""","=""1""","=""""","=""60.61943""","=""""","=""""","=""-0.5420""","=""  75             :    23  3s2.3p5.4p            3D      ""","="""""
"=""3s.3p6.3d""","=""3D""","=""2""","=""""","=""60.94551""","=""""","=""""","=""0.3261""","=""  51             :    31  3s2.3p5.4p            1D      ""","="""""
"=""3s.3p6.3d""","=""3D""","=""3""","=""""","=""61.07054""","=""""","=""""","=""0.1250""","=""  65             :    35  3s2.3p5.4p            3D      ""","="""""
