Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Reference
"=""5d10.6s2""","=""1S""","=""0""","=""""","=""0.000000""","=""""","=""0""","=""""","=""L12967"""
"=""5d10.6s.6p""","=""3P*""","=""0""","=""""","=""6.131198""","=""""","=""""","=""6.131198""","=""L12967"""
"=""5d10.6s.6p""","=""3P*""","=""1""","=""""","=""6.496023""","=""""","=""""","=""0.36482""","=""L12967"""
"=""5d10.6s.6p""","=""3P*""","=""2""","=""""","=""7.653205""","=""""","=""""","=""1.15718""","=""L12967"""
"=""5d10.6s.6p""","=""1P*""","=""1""","=""""","=""9.381057""","=""""","=""""","=""1.72785""","=""L12967"""
"=""5d10.6s.7s""","=""3S""","=""1""","=""""","=""13.046768""","=""""","=""""","=""3.66571""","=""L12967"""
"=""5d10.6s.7s""","=""1S""","=""0""","=""""","=""13.390288""","=""""","=""""","=""0.34352""","=""L12967"""
"=""5d9.6s2.6p""","=""1*""","=""2""","=""""","=""13.6862""","=""""","=""""","=""0.2959""","=""L3466"""
"=""5d10.6s.6d""","=""1D""","=""2""","=""""","=""14.278715""","=""""","=""""","=""0.5925""","=""L12967"""
"=""5d10.6s.6d""","=""3D""","=""1""","=""""","=""14.401013""","=""""","=""""","=""0.12230""","=""L12967"""
"=""5d10.6s.6d""","=""3D""","=""2""","=""""","=""14.436244""","=""""","=""""","=""0.03523""","=""L12967"""
"=""5d10.6s.6d""","=""3D""","=""3""","=""""","=""14.485185""","=""""","=""""","=""0.04894""","=""L12967"""
"=""5d10.6p2""","=""3P""","=""0""","=""""","=""14.5567""","=""""","=""""","=""0.0715""","=""L3466"""
"=""5d10.6p2""","=""3P""","=""1""","=""""","=""15.5399""","=""""","=""""","=""0.983""","=""L3466"""
"=""5d10.6p2""","=""3P""","=""2""","=""""","=""15.9713""","=""""","=""""","=""0.431""","=""L3466"""
"=""5d10.6s.7p""","=""3P*""","=""0""","=""""","=""14.7989""","=""""","=""""","=""-1.172""","=""L3466"""
"=""5d10.6s.7p""","=""3P*""","=""1""","=""""","=""14.8255""","=""""","=""""","=""0.027""","=""L3466"""
"=""5d10.6s.7p""","=""3P*""","=""2""","=""""","=""15.1297""","=""""","=""""","=""0.304""","=""L3466"""
"=""5d10.6s.7p""","=""1P*""","=""1""","=""""","=""15.1731""","=""""","=""""","=""0.043""","=""L3466"""
"=""5d9.6s2.6p""","=""4*""","=""2""","=""""","=""15.5522""","=""""","=""""","=""0.379""","=""L3466"""
"=""5d9.6s2.6p""","=""5*""","=""1""","=""""","=""15.6473""","=""""","=""""","=""0.095""","=""L3466"""
"=""5d9.6s2.6p""","=""6*""","=""3""","=""""","=""15.9522""","=""""","=""""","=""0.305""","=""L3466"""
"=""5d9.6s2.6p""","=""7*""","=""2""","=""""","=""16.0136""","=""""","=""""","=""0.061""","=""L3466"""
"=""5d10.6s.8s""","=""3S""","=""1""","=""""","=""16.5603""","=""""","=""""","=""0.547""","=""L3466"""
"=""5d10.6s.8s""","=""1S""","=""0""","=""""","=""16.6501""","=""""","=""""","=""0.090""","=""L3466"""
"=""5d9.6s2.6p""","=""8*""","=""1""","=""""","=""16.6588""","=""""","=""""","=""0.009""","=""L3466"""
"=""5d10.6s.5f""","=""3F*""","=""3""","=""""","=""16.8761""","=""""","=""""","=""0.217""","=""L3466"""
"=""5d10.6s.5f""","=""3F*""","=""2""","=""""","=""16.8886""","=""""","=""""","=""0.012""","=""L3466"""
"=""5d10.6s.5f""","=""3F*""","=""4""","=""""","=""16.8904""","=""""","=""""","=""0.002""","=""L3466"""
"=""5d10.6s.5f""","=""1F*""","=""3""","=""""","=""16.8945""","=""""","=""""","=""0.004""","=""L3466"""
"=""5d10.6s.7d""","=""1D""","=""2""","=""""","=""16.9723""","=""""","=""""","=""0.078""","=""L3466"""
"=""5d10.6s.7d""","=""3D""","=""1""","=""""","=""17.1008""","=""""","=""""","=""0.128""","=""L3466"""
"=""5d10.6s.7d""","=""3D""","=""2""","=""""","=""17.1164""","=""""","=""""","=""0.016""","=""L3466"""
"=""5d10.6s.7d""","=""3D""","=""3""","=""""","=""17.1350""","=""""","=""""","=""0.019""","=""L3466"""
"=""5d10.6s.8p""","=""3P*""","=""0""","=""""","=""""","=""""","=""""","=""""","=""L3466"""
"=""5d10.6s.8p""","=""3P*""","=""1""","=""""","=""17.2791""","=""""","=""""","=""""","=""L3466"""
"=""5d10.6s.8p""","=""3P*""","=""2""","=""""","=""17.3955""","=""""","=""""","=""0.116""","=""L3466"""
"=""5d10.6s.8p""","=""1P*""","=""1""","=""""","=""17.4818""","=""""","=""""","=""0.086""","=""L3466"""
"=""5d10.6p2""","=""1D""","=""2""","=""""","=""17.6035""","=""""","=""""","=""0.122""","=""L3466"""
"=""5d9.6s2.6p""","=""10*""","=""3""","=""""","=""17.7026""","=""""","=""""","=""0.099""","=""L3466"""
"=""5d9.6s2.6p""","=""11*""","=""1""","=""""","=""17.8056""","=""""","=""""","=""0.103""","=""L3466"""
"=""5d9.6s2.6p""","=""12*""","=""2""","=""""","=""17.9891""","=""""","=""""","=""0.184""","=""L3466"""
"=""5d10.6s.9s""","=""3S""","=""1""","=""""","=""18.0292""","=""""","=""""","=""0.040""","=""L3466"""
"=""5d10.6s.9s""","=""1S""","=""0""","=""""","=""18.0510""","=""""","=""""","=""0.022""","=""L3466"""
"=""5d10.6s.6f""","=""3F*""","=""4""","=""""","=""18.1637""","=""""","=""""","=""0.113""","=""L3466"""
"=""5d10.6s.6f""","=""3F*""","=""2""","=""""","=""18.1665""","=""""","=""""","=""0.003""","=""L3466"""
"=""5d10.6s.6f""","=""3F*""","=""3""","=""""","=""18.1679""","=""""","=""""","=""0.001""","=""L3466"""
"=""5d10.6s.6f""","=""1F*""","=""3""","=""""","=""18.1690""","=""""","=""""","=""0.001""","=""L3466"""
"=""5d10.6s.5g""","=""1,3G""","=""3,4,5""","=""""","=""18.2337""","=""""","=""""","=""0.065""","=""L3466"""
"=""5d10.6s.8d""","=""3D""","=""1""","=""""","=""18.3003""","=""""","=""""","=""0.067""","=""L3466"""
"=""5d10.6s.8d""","=""3D""","=""2""","=""""","=""18.3065""","=""""","=""""","=""0.006""","=""L3466"""
"=""5d10.6s.8d""","=""3D""","=""3""","=""""","=""18.3183""","=""""","=""""","=""0.012""","=""L3466"""
"=""5d10.6s.9p""","=""3P*""","=""0""","=""""","=""""","=""""","=""""","=""""","=""L3466"""
"=""5d10.6s.9p""","=""3P*""","=""1""","=""""","=""18.3929""","=""""","=""""","=""""","=""L3466"""
"=""5d10.6s.9p""","=""3P*""","=""2""","=""""","=""18.4519""","=""""","=""""","=""0.059""","=""L3466"""
"=""5d10.6s.8d""","=""1D""","=""2""","=""""","=""18.4073""","=""""","=""""","=""-0.045""","=""L3466"""
"=""5d10.6s.9p""","=""1P*""","=""1""","=""""","=""18.4815""","=""""","=""""","=""0.074""","=""L3466"""
"=""5d10.6s.10s""","=""3S""","=""1""","=""""","=""18.7920""","=""""","=""""","=""0.311""","=""L3466"""
"=""5d10.6s.7f""","=""3F*""","=""2""","=""""","=""18.8585""","=""""","=""""","=""0.066""","=""L3466"""
"=""5d10.6s.7f""","=""3F*""","=""3,4""","=""""","=""18.8592""","=""""","=""""","=""0.001""","=""L3466"""
"=""5d10.6s.7f""","=""1F*""","=""3""","=""""","=""18.8630""","=""""","=""""","=""0.004""","=""L3466"""
"=""5d10.6s.6g""","=""1,3G""","=""3,4,5""","=""""","=""18.9039""","=""""","=""""","=""0.041""","=""L3466"""
"=""5d10.6s.9d""","=""3D""","=""1""","=""""","=""18.9471""","=""""","=""""","=""0.043""","=""L3466"""
