Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Leading percentages,Reference
"=""5d10.6s""","=""2S""","=""1/2""","=""""","=""0.00000""","=""""","=""0""","=""""","=""                                                            ""","=""L3138"""
"=""5d10.6p""","=""2P*""","=""1/2""","=""""","=""7.95469""","=""""","=""""","=""7.95469""","=""                                                            ""","=""L3138"""
"=""5d10.6p""","=""2P*""","=""3/2""","=""""","=""9.79155""","=""""","=""""","=""1.8369""","=""                                                            ""","=""L3138"""
"=""5d9.6s2""","=""2D""","=""5/2""","=""""","=""8.25012""","=""""","=""""","=""-1.5414""","=""                                                            ""","=""L3138"""
"=""5d9.6s2""","=""2D""","=""3/2""","=""""","=""10.48859""","=""""","=""""","=""2.2385""","=""                                                            ""","=""L3138"""
"=""5d9.(2D<5/2>).6s.6p.(3P*<0>)""","=""(5/2,0)*""","=""5/2""","=""""","=""15.04345""","=""""","=""""","=""4.5549""","=""  68         :    27  5d9.(2D<5/2>).6s.6p.(3P*<1>) (5/2,1)* ""","=""L3138,L418"""
"=""5d9.(2D<5/2>).6s.6p.(3P*<1>)""","=""(5/2,1)*""","=""7/2""","=""""","=""15.71903""","=""""","=""""","=""0.6756""","=""  90                                                        ""","=""L3138,L418"""
"=""5d9.(2D<5/2>).6s.6p.(3P*<1>)""","=""(5/2,1)*""","=""5/2""","=""""","=""15.79275""","=""""","=""""","=""0.0737""","=""  63         :    29  5d9.(2D<5/2>).6s.6p.(3P*<0>) (5/2,0)* ""","=""L3138,L418"""
"=""5d9.(2D<5/2>).6s.6p.(3P*<1>)""","=""(5/2,1)*""","=""3/2""","=""""","=""16.01421""","=""""","=""""","=""0.2215""","=""  81                                                        ""","=""L3138,L418"""
"=""5d9.(2D<5/2>).6s.6p.(3P*<2>)""","=""(5/2,2)*""","=""9/2""","=""""","=""17.07870""","=""""","=""""","=""1.0645""","="" 100                                                        ""","=""L3138,L418"""
"=""5d9.(2D<5/2>).6s.6p.(3P*<2>)""","=""(5/2,2)*""","=""5/2""","=""""","=""17.71887""","=""""","=""""","=""0.6402""","=""  84                                                        ""","=""L3138,L418"""
"=""5d9.(2D<5/2>).6s.6p.(3P*<2>)""","=""(5/2,2)*""","=""3/2""","=""""","=""17.74788""","=""""","=""""","=""0.0290""","=""  44         :    40  5d9.(2D<3/2>).6s.6p.(3P*<0>) (3/2,0)* ""","=""L3138,L418"""
"=""5d9.(2D<5/2>).6s.6p.(3P*<2>)""","=""(5/2,2)*""","=""7/2""","=""""","=""17.75579""","=""""","=""""","=""0.0079""","=""  99                                                        ""","=""L3138,L418"""
"=""5d9.(2D<5/2>).6s.6p.(3P*<2>)""","=""(5/2,2)*""","=""1/2""","=""""","=""17.77610""","=""""","=""""","=""0.0203""","=""  53         :    35  5d9.(2D<3/2>).6s.6p.(3P*<1>) (3/2,1)* ""","=""L3138,L418"""
"=""5d10.7s""","=""2S""","=""1/2""","=""""","=""17.26081""","=""""","=""""","=""-0.5153""","=""                                                            ""","=""L3138"""
"=""5d9.(2D<3/2>).6s.6p.(3P*<0>)""","=""(3/2,0)*""","=""3/2""","=""""","=""17.36047""","=""""","=""""","=""0.0997""","=""  36         :    38  5d9.(2D<3/2>).6s.6p.(3P*<1>) (3/2,1)* ""","=""L3138,L418"""
"=""5d10.6d""","=""2D""","=""3/2""","=""""","=""18.02260""","=""""","=""""","=""0.6621""","=""                                                            ""","=""L3138"""
"=""5d10.6d""","=""2D""","=""5/2""","=""""","=""18.18552""","=""""","=""""","=""0.1629""","=""                                                            ""","=""L3138"""
"=""5d9.(2D<3/2>).6s.6p.(3P*<1>)""","=""(3/2,1)*""","=""5/2""","=""""","=""18.22617""","=""""","=""""","=""0.0406""","=""  77         :     9  5d9.(2D<5/2>).6s.6p.(3P*<2>) (5/2,2)* ""","=""L3138,L418"""
"=""5d9.(2D<3/2>).6s.6p.(3P*<1>)""","=""(3/2,1)*""","=""3/2""","=""""","=""18.56916""","=""""","=""""","=""0.3430""","=""  50         :    20  5d9.(2D<5/2>).6s.6p.(3P*<2>) (5/2,2)* ""","=""L3138,L418"""
"=""5d9.(2D<3/2>).6s.6p.(3P*<1>)""","=""(3/2,1)*""","=""1/2""","=""""","=""18.70346""","=""""","=""""","=""0.1343""","=""  54         :    34  5d9.(2D<5/2>).6s.6p.(3P*<2>) (5/2,2)* ""","=""L3138,L418"""
"=""5d9.(2D<5/2>).6s.6p.(1P*<1>)""","=""(5/2,1)*""","=""3/2""","=""""","=""19.32436""","=""""","=""""","=""0.6209""","=""  53         :    21  5d10.7p                      2P*      ""","=""L3138,L418"""
"=""5d9.(2D<5/2>).6s.6p.(1P*<1>)""","=""(5/2,1)*""","=""7/2""","=""""","=""19.33206""","=""""","=""""","=""0.0077""","=""  78         :    16  5d9.(2D<3/2>).6s.6p.(3P*<2>) (3/2,2)* ""","=""L3138,L418"""
"=""5d9.(2D<5/2>).6s.6p.(1P*<1>)""","=""(5/2,1)*""","=""5/2""","=""""","=""19.78908""","=""""","=""""","=""0.4570""","=""  64         :    30  5d9.(2D<3/2>).6s.6p.(3P*<2>) (3/2,2)* ""","=""L3138,L418"""
"=""5d9.(2D<3/2>).6s.6p.(3P*<2>)""","=""(3/2,2)*""","=""1/2""","=""""","=""19.36984""","=""""","=""""","=""-0.4192""","=""  87                                                        ""","=""L3138,L418"""
"=""5d9.(2D<3/2>).6s.6p.(3P*<2>)""","=""(3/2,2)*""","=""3/2""","=""""","=""19.83896""","=""""","=""""","=""0.4691""","=""  77         :    16  5d10.7p                      2P*      ""","=""L3138,L418"""
"=""5d9.(2D<3/2>).6s.6p.(3P*<2>)""","=""(3/2,2)*""","=""7/2""","=""""","=""19.98713""","=""""","=""""","=""0.1482""","=""  83                                                        ""","=""L3138,L418"""
"=""5d9.(2D<3/2>).6s.6p.(3P*<2>)""","=""(3/2,2)*""","=""5/2""","=""""","=""20.12283""","=""""","=""""","=""0.1357""","=""  64         :    26  5d9.(2D<5/2>).6s.6p.(1P*<1>) (5/2,1)* ""","=""L3138,L418"""
"=""5d10.7p""","=""2P*""","=""1/2""","=""""","=""19.57258""","=""""","=""""","=""-0.5503""","=""  93         :     4  5d9.(2D<3/2>).6s.6p.(3P*<1>) (3/2,1)* ""","=""L3138,L418"""
"=""5d10.7p""","=""2P*""","=""3/2""","=""""","=""20.27638""","=""""","=""""","=""0.7038""","=""  62         :    24  5d9.(2D<5/2>).6s.6p.(1P*<1>) (5/2,1)* ""","=""L3138,L418"""
"=""5d9.(2D<3/2>).6s.6p.(1P*<1>)""","=""(3/2,1)*""","=""5/2""","=""""","=""21.55070""","=""""","=""""","=""1.2743""","=""  88                                                        ""","=""L3138,L418"""
"=""5d9.(2D<3/2>).6s.6p.(1P*<1>)""","=""(3/2,1)*""","=""1/2""","=""""","=""21.66533""","=""""","=""""","=""0.1146""","=""  89         :     7  5d9.(2D<3/2>).6s.6p.(3P*<1>) (3/2,1)* ""","=""L3138,L418"""
"=""5d9.(2D<3/2>).6s.6p.(1P*<1>)""","=""(3/2,1)*""","=""3/2""","=""""","=""22.12884""","=""""","=""""","=""0.4635""","=""  92                                                        ""","=""L3138,L418"""
"=""5d10.5f""","=""2F*""","=""7/2""","=""""","=""21.77154""","=""""","=""""","=""-0.3573""","=""                                                            ""","=""L3138"""
"=""5d10.5f""","=""2F*""","=""5/2""","=""""","=""21.94052""","=""""","=""""","=""0.1690""","=""                                                            ""","=""L3138"""
"=""5d10.8s""","=""2S""","=""1/2""","=""""","=""22.71345""","=""""","=""""","=""0.7729""","=""                                                            ""","=""L3138"""
"=""5d10.7d""","=""2D""","=""3/2""","=""""","=""23.10623""","=""""","=""""","=""0.3928""","=""                                                            ""","=""L3138"""
"=""5d10.7d""","=""2D""","=""5/2""","=""""","=""23.17992""","=""""","=""""","=""0.0737""","=""                                                            ""","=""L3138"""
"=""5d10.8p""","=""2P*""","=""1/2""","=""""","=""23.85602""","=""""","=""""","=""0.6761""","=""                                                            ""","=""L3138"""
"=""5d10.8p""","=""2P*""","=""3/2""","=""""","=""24.03431""","=""""","=""""","=""0.1783""","=""                                                            ""","=""L3138"""
"=""5d10.5g""","=""2G""","=""9/2""","=""""","=""24.92251""","=""""","=""""","=""0.8882""","=""                                                            ""","=""L3138"""
"=""5d10.5g""","=""2G""","=""7/2""","=""""","=""24.92302""","=""""","=""""","=""0.0005""","=""                                                            ""","=""L3138"""
"=""5d9.6p2""","=""1""","=""5/2""","=""""","=""24.98073""","=""""","=""""","=""0.0577""","=""                                                            ""","=""L3138"""
"=""5d10.6f""","=""2F*""","=""7/2""","=""""","=""24.99792""","=""""","=""""","=""0.0172""","=""                                                            ""","=""L3138"""
"=""5d10.6f""","=""2F*""","=""5/2""","=""""","=""25.01318""","=""""","=""""","=""0.0153""","=""                                                            ""","=""L3138"""
"=""5d10.9s""","=""2S""","=""1/2""","=""""","=""25.23525""","=""""","=""""","=""0.2221""","=""                                                            ""","=""L3138"""
"=""5d10.8d""","=""2D""","=""3/2""","=""""","=""25.45006""","=""""","=""""","=""0.2148""","=""                                                            ""","=""L3138"""
"=""5d10.8d""","=""2D""","=""5/2""","=""""","=""25.49579""","=""""","=""""","=""0.0457""","=""                                                            ""","=""L3138"""
"=""5d9.6s.6d""","=""1""","=""3/2""","=""""","=""25.60600""","=""""","=""""","=""0.1102""","=""                                                            ""","=""L3138"""
"=""5d9.6s.6d""","=""2""","=""3/2""","=""""","=""25.96273""","=""""","=""""","=""0.3567""","=""                                                            ""","=""L3138"""
"=""5d9.6p2""","=""3""","=""3/2""","=""""","=""26.10020""","=""""","=""""","=""0.1375""","=""                                                            ""","=""L3138"""
"=""5d9.6p2""","=""2""","=""5/2""","=""""","=""26.19167""","=""""","=""""","=""0.0915""","=""                                                            ""","=""L3138"""
"=""5d9.6s.6d""","=""3""","=""5/2""","=""""","=""26.20660""","=""""","=""""","=""0.0149""","=""                                                            ""","=""L3138"""
"=""5d9.6s.7s""","=""1""","=""7/2""","=""""","=""26.22649""","=""""","=""""","=""0.0199""","=""                                                            ""","=""L3138"""
"=""5d9.6s.6d""","=""4""","=""3/2""","=""""","=""26.27095""","=""""","=""""","=""0.0445""","=""                                                            ""","=""L3138"""
"=""5d10.6g""","=""2G""","=""7/2""","=""""","=""26.42918""","=""""","=""""","=""0.1582""","=""                                                            ""","=""L3138"""
"=""5d10.6h""","=""2H*""","=""9/2""","=""""","=""26.44726""","=""""","=""""","=""0.0181""","=""                                                            ""","=""L3138"""
"=""5d9.6p2""","=""4""","=""1/2""","=""""","=""26.45467""","=""""","=""""","=""0.0074""","=""                                                            ""","=""L3138"""
"=""5d10.7f""","=""2F*""","=""7/2""","=""""","=""26.46300""","=""""","=""""","=""0.0083""","=""                                                            ""","=""L3138"""
"=""5d10.7f""","=""2F*""","=""5/2""","=""""","=""26.47146""","=""""","=""""","=""0.0085""","=""                                                            ""","=""L3138"""
"=""5d9.6s.7s""","=""2""","=""5/2""","=""""","=""26.59108""","=""""","=""""","=""0.1196""","=""                                                            ""","=""L3138"""
"=""5d10.10s""","=""2S""","=""1/2""","=""""","=""26.60758""","=""""","=""""","=""0.0165""","=""                                                            ""","=""L3138"""
"=""5d9.6p2""","=""5""","=""3/2""","=""""","=""26.62287""","=""""","=""""","=""0.0153""","=""                                                            ""","=""L3138"""
"=""5d9.6p2""","=""6""","=""5/2""","=""""","=""26.73593""","=""""","=""""","=""0.1131""","=""                                                            ""","=""L3138"""
"=""5d10.9d""","=""2D""","=""3/2""","=""""","=""26.74815""","=""""","=""""","=""0.0122""","=""                                                            ""","=""L3138"""
"=""5d10.9d""","=""2D""","=""5/2""","=""""","=""26.77950""","=""""","=""""","=""0.0313""","=""                                                            ""","=""L3138"""
"=""5d9.6s.7s""","=""3""","=""3/2""","=""""","=""26.76846""","=""""","=""""","=""-0.0110""","=""                                                            ""","=""L3138"""
"=""5d9.6s.7s""","=""4""","=""5/2""","=""""","=""26.97644""","=""""","=""""","=""0.2080""","=""                                                            ""","=""L3138"""
"=""5d9.6s.6d""","=""5""","=""5/2""","=""""","=""26.99125""","=""""","=""""","=""0.0148""","=""                                                            ""","=""L3138"""
"=""5d9.6s.7d?""","=""1""","=""1/2""","=""""","=""27.12508""","=""""","=""""","=""0.1338""","=""                                                            ""","=""L3138"""
"=""5d9.6s.6d""","=""6""","=""5/2""","=""""","=""27.16494""","=""""","=""""","=""0.0399""","=""                                                            ""","=""L3138"""
"=""5d10.7g""","=""2G""","=""7/2""","=""""","=""27.34227""","=""""","=""""","=""0.1773""","=""                                                            ""","=""L3138"""
"=""5d10.7h""","=""2H*""","=""9/2""","=""""","=""27.35126""","=""""","=""""","=""0.0090""","=""                                                            ""","=""L3138"""
"=""5d9.6p2""","=""11""","=""3/2""","=""""","=""27.49827""","=""""","=""""","=""0.1470""","=""                                                            ""","=""L3138"""
"=""5d9.6s.7p""","=""2*""","=""3/2""","=""""","=""27.62041""","=""""","=""""","=""0.1221""","=""                                                            ""","=""L3138"""
"=""5d9.6s.6d""","=""7""","=""5/2""","=""""","=""27.69402""","=""""","=""""","=""0.0736""","=""                                                            ""","=""L3138"""
"=""5d9.6p2""","=""7""","=""3/2""","=""""","=""27.71723""","=""""","=""""","=""0.0232""","=""                                                            ""","=""L3138"""
"=""5d9.6p2""","=""8""","=""1/2""","=""""","=""27.86583""","=""""","=""""","=""0.1486""","=""                                                            ""","=""L3138"""
