Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Leading percentages,Reference
"=""5d10""","=""1S""","=""0""","=""""","=""0.00000""","=""""","=""0.00019""","=""""","="" 100                              ""","=""L13502"""
"=""5d9.6s""","=""(5/2,1/2)""","=""3""","=""""","=""9.30496""","=""""","=""0.00019""","=""9.3050""","="" 100                              ""","=""L13502"""
"=""5d9.6s""","=""(5/2,1/2)""","=""2""","=""""","=""9.75061""","=""""","=""0.00019""","=""0.4457""","=""  97                              ""","=""L13502"""
"=""5d9.6s""","=""(3/2,1/2)""","=""1""","=""""","=""11.61419""","=""""","=""0.00019""","=""1.8636""","="" 100                              ""","=""L13502"""
"=""5d9.6s""","=""(3/2,1/2)""","=""2""","=""""","=""11.99238""","=""""","=""0.00019""","=""0.3782""","=""  97                              ""","=""L13502"""
"=""5d9.6p""","=""(5/2,1/2)*""","=""2""","=""""","=""18.30408""","=""""","=""0.00019""","=""6.3117""","=""  96                              ""","=""L13502"""
"=""5d9.6p""","=""(5/2,1/2)*""","=""3""","=""""","=""18.57747""","=""""","=""0.00019""","=""0.2734""","=""  99                              ""","=""L13502"""
"=""5d9.6p""","=""(3/2,1/2)*""","=""2""","=""""","=""20.63365""","=""""","=""0.00019""","=""2.0562""","=""  79         :    19   (5/2,3/2)* ""","=""L13502"""
"=""5d9.6p""","=""(3/2,1/2)*""","=""1""","=""""","=""21.73269""","=""""","=""0.00019""","=""1.0990""","=""  53         :    46   (5/2,3/2)* ""","=""L13502"""
"=""5d9.6p""","=""(5/2,3/2)*""","=""1""","=""""","=""20.76711""","=""""","=""0.00019""","=""-0.9656""","=""  47         :    46   (3/2,1/2)* ""","=""L13502"""
"=""5d9.6p""","=""(5/2,3/2)*""","=""4""","=""""","=""20.78848""","=""""","=""0.00019""","=""0.0214""","="" 100                              ""","=""L13502"""
"=""5d9.6p""","=""(5/2,3/2)*""","=""2""","=""""","=""21.11863""","=""""","=""0.00019""","=""0.3301""","=""  76         :    20   (3/2,1/2)* ""","=""L13502"""
"=""5d9.6p""","=""(5/2,3/2)*""","=""3""","=""""","=""21.35911""","=""""","=""0.00019""","=""0.2405""","=""  99                              ""","=""L13502"""
"=""5d9.6p""","=""(3/2,3/2)*""","=""0""","=""""","=""22.69996""","=""""","=""0.00025""","=""1.3408""","=""                                  ""","=""L10932"""
"=""5d9.6p""","=""(3/2,3/2)*""","=""3""","=""""","=""23.26842""","=""""","=""0.00025""","=""0.5685""","="" 100                              ""","=""L10932"""
"=""5d9.6p""","=""(3/2,3/2)*""","=""1""","=""""","=""23.33760""","=""""","=""0.00025""","=""0.0692""","=""  93         :     7   (5/2,3/2)* ""","=""L10932"""
"=""5d9.6p""","=""(3/2,3/2)*""","=""2""","=""""","=""23.57465""","=""""","=""0.00025""","=""0.2370""","=""  99                              ""","=""L10932"""
"=""5d9.6d""","=""(5/2,3/2)""","=""1""","=""""","=""31.21959""","=""""","=""0.00025""","=""7.6449""","=""                                  ""","=""L10932"""
"=""5d9.6d""","=""(5/2,3/2)""","=""4""","=""""","=""31.51146""","=""""","=""0.00025""","=""0.2919""","=""                                  ""","=""L10932"""
"=""5d9.6d""","=""(5/2,3/2)""","=""2""","=""""","=""31.57049""","=""""","=""0.00025""","=""0.0590""","=""                                  ""","=""L10932"""
