Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Lande,Leading percentages,Reference
"=""4f13.(2F*<7/2>).6s<1/2>""","=""(7/2,1/2)*""","=""4""","=""""","=""0.000000""","=""""","=""0""","=""""","=""1.250""","="" 100     or  :   100             3F*       ""","=""L3974"""
"=""4f13.(2F*<7/2>).6s<1/2>""","=""(7/2,1/2)*""","=""3""","=""""","=""0.029378""","=""""","=""""","=""0.029378""","=""1.035""","=""         or  :    59             3F*       ""","="""""
"=""4f13.(2F*<5/2>).6s<1/2>""","=""(5/2,1/2)*""","=""2""","=""""","=""1.087302""","=""""","=""""","=""1.05792""","=""0.667""","="" 100     or  :   100             3F*       ""","="""""
"=""4f13.(2F*<5/2>).6s<1/2>""","=""(5/2,1/2)*""","=""3""","=""""","=""1.110585""","=""""","=""""","=""0.02328""","=""1.055""","=""         or  :    59             1F*       ""","="""""
"=""4f12.(3H).6s2""","=""3H""","=""6""","=""""","=""1.544507""","=""""","=""""","=""0.43392""","=""1.165""","=""  96                                       ""","="""""
"=""4f12.(3H).6s2""","=""3H""","=""5""","=""""","=""2.556436""","=""""","=""""","=""1.01193""","=""""","=""                                           ""","="""""
"=""4f12.(3H).6s2""","=""3H""","=""4""","=""""","=""3.091174""","=""""","=""""","=""0.53474""","=""""","=""  57                                       ""","="""""
"=""4f12.(3H<6>).5d.6s.(3D<1>)""","=""(6,1)""","=""5""","=""""","=""2.054104""","=""""","=""""","=""-1.03707""","=""1.374""","=""  64                                       ""","="""""
"=""4f12.(3H<6>).5d.6s.(3D<1>)""","=""(6,1)""","=""7""","=""""","=""2.432456""","=""""","=""""","=""0.37835""","=""1.02""","=""  86                                       ""","="""""
"=""4f12.(3H<6>).5d.6s.(3D<1>)""","=""(6,1)""","=""6""","=""""","=""2.771720""","=""""","=""""","=""0.33926""","=""1.085""","=""  55                                       ""","="""""
"=""4f13.(2F*<7/2>).5d<3/2>""","=""(7/2,3/2)*""","=""2""","=""""","=""2.185178""","=""""","=""""","=""-0.58654""","=""1.48""","=""  75     or  :    91             (2F*) 3P* ""","="""""
"=""4f13.(2F*<7/2>).5d<3/2>""","=""(7/2,3/2)*""","=""5""","=""""","=""2.508045""","=""""","=""""","=""0.32287""","=""1.020""","=""  95     or  :    55             (2F*) 3H* ""","="""""
"=""4f13.(2F*<7/2>).5d<3/2>""","=""(7/2,3/2)*""","=""3""","=""""","=""2.692161""","=""""","=""""","=""0.18412""","=""1.22""","=""  84     or  :    70             (2F*) 3D* ""","="""""
"=""4f13.(2F*<7/2>).5d<3/2>""","=""(7/2,3/2)*""","=""4""","=""""","=""2.784376""","=""""","=""""","=""0.09221""","=""""","=""  93     or  :    47             (2F*) 3F* ""","="""""
"=""4f12.(3F).6s2""","=""3F""","=""2""","=""""","=""""","=""""","=""""","=""""","=""""","=""  71                                       ""","="""""
"=""4f12.(3F).6s2""","=""3F""","=""4""","=""""","=""2.228529""","=""""","=""""","=""""","=""1.175""","=""                                           ""","="""""
"=""4f12.(3F).6s2""","=""3F""","=""3""","=""""","=""3.295347""","=""""","=""""","=""1.06682""","=""1.069""","=""  94                                       ""","="""""
"=""4f12.(3H<6>).5d.6s.(3D<2>)""","=""(6,2)""","=""4""","=""""","=""2.267841""","=""""","=""""","=""-1.02751""","=""1.25""","=""  64                                       ""","="""""
"=""4f12.(3H<6>).5d.6s.(3D<2>)""","=""(6,2)""","=""6""","=""""","=""2.421017""","=""""","=""""","=""0.15318""","=""1.313""","=""  44                                       ""","="""""
"=""4f12.(3H<6>).5d.6s.(3D<2>)""","=""(6,2)""","=""8""","=""""","=""2.440377""","=""""","=""""","=""0.01936""","=""1.09""","=""  91                                       ""","="""""
"=""4f12.(3H<6>).5d.6s.(3D<2>)""","=""(6,2)""","=""7""","=""""","=""2.734148""","=""""","=""""","=""0.29377""","=""1.209""","=""  79                                       ""","="""""
"=""4f12.(3H<6>).5d.6s.(3D<3>)""","=""(6,3)""","=""9""","=""""","=""2.537438""","=""""","=""""","=""-0.19671""","=""1.225""","="" 100                                       ""","="""""
"=""4f12.(3H<6>).5d.6s.(3D<3>)""","=""(6,3)""","=""3""","=""""","=""2.679083""","=""""","=""""","=""0.14165""","=""1.10""","=""  69                                       ""","="""""
"=""4f12.(3H<6>).5d.6s.(3D<3>)""","=""(6,3)""","=""8""","=""""","=""2.854648""","=""""","=""""","=""0.17557""","=""1.21""","=""  89                                       ""","="""""
"=""4f12.(3H<6>).5d.6s.(3D<3>)""","=""(6,3)""","=""5""","=""""","=""2.946961""","=""""","=""""","=""0.09231""","=""1.04""","=""  59                                       ""","="""""
"=""4f12.(3H<6>).5d.6s.(3D<3>)""","=""(6,3)""","=""6""","=""""","=""2.963772""","=""""","=""""","=""0.01681""","=""1.125""","=""  64                                       ""","="""""
"=""4f12.(3H<6>).5d.6s.(3D<3>)""","=""(6,3)""","=""7""","=""""","=""2.970860""","=""""","=""""","=""0.00709""","=""1.20""","=""  83                                       ""","="""""
"=""4f12.5d.6s""","=""""","=""5""","=""""","=""2.606393""","=""""","=""""","=""-0.36447""","=""1.178""","=""  88         :    11  4f12.6s2             ""","="""""
"=""4f13.(2F*<7/2>).5d<5/2>""","=""(7/2,5/2)*""","=""6""","=""""","=""2.620242""","=""""","=""""","=""0.01385""","=""1.167""","="" 100     or  :   100             (2F*) 3H* ""","="""""
"=""4f13.(2F*<7/2>).5d<5/2>""","=""(7/2,5/2)*""","=""2""","=""""","=""2.725020""","=""""","=""""","=""0.10478""","=""1.02""","=""  76     or  :    58             (2F*) 1D* ""","="""""
"=""4f13.(2F*<7/2>).5d<5/2>""","=""(7/2,5/2)*""","=""1""","=""""","=""2.745253""","=""""","=""""","=""0.02023""","=""1.325""","=""  72     or  :    78             (2F*) 3P* ""","="""""
"=""4f13.(2F*<7/2>).5d<5/2>""","=""(7/2,5/2)*""","=""4""","=""""","=""2.916615""","=""""","=""""","=""0.17136""","=""""","=""  93     or  :    44             (2F*) 3F* ""","="""""
"=""4f13.(2F*<7/2>).5d<5/2>""","=""(7/2,5/2)*""","=""3""","=""""","=""2.967528""","=""""","=""""","=""0.05091""","=""""","=""  79     or  :    34             (2F*) 1F* ""","="""""
"=""4f13.(2F*<7/2>).5d<5/2>""","=""(7/2,5/2)*""","=""5""","=""""","=""3.009493""","=""""","=""""","=""0.04196""","=""1.18""","=""  95     or  :    86             (2F*) 3G* ""","="""""
"=""4f12.5d.6s""","=""""","=""4""","=""""","=""2.765941""","=""""","=""""","=""-0.24355""","=""1.24""","=""  96         :     2  4f13.6p              ""","="""""
"=""4f12.5d.6s""","=""""","=""4""","=""""","=""2.951231""","=""""","=""""","=""0.18529""","=""1.08""","=""  89         :    10  4f13.6p              ""","="""""
"=""4f12.(3H<6>).5d.6s.(1D<2>)""","=""(6,2)""","=""8""","=""""","=""2.982946""","=""""","=""""","=""0.03172""","=""1.147""","=""  90                                       ""","="""""
"=""4f12.(3H<6>).5d.6s.(1D<2>)""","=""(6,2)""","=""5""","=""""","=""3.101434""","=""""","=""""","=""0.11849""","=""1.185""","=""                                           ""","="""""
"=""4f12.(3H<6>).5d.6s.(1D<2>)""","=""(6,2)""","=""7""","=""""","=""3.255361""","=""""","=""""","=""0.15393""","=""1.127""","=""                                           ""","="""""
"=""4f12.(3H<6>).5d.6s.(1D<2>)""","=""(6,2)""","=""6""","=""""","=""3.282888""","=""""","=""""","=""0.02753""","=""""","=""  48                                       ""","="""""
"=""""","=""""","=""2""","=""""","=""3.126821""","=""""","=""""","=""-0.15607""","=""""","=""                                           ""","="""""
"=""4f12.(3F<4>).5d.6s.(3D<1>)""","=""(4,1)""","=""3""","=""""","=""3.131533""","=""""","=""""","=""0.00471""","=""1.225""","=""  76                                       ""","="""""
"=""4f12.(3F<4>).5d.6s.(3D<1>)""","=""(4,1)""","=""4""","=""""","=""3.185924""","=""""","=""""","=""0.05439""","=""1.25""","=""  56                                       ""","="""""
"=""4f12.(3F<4>).5d.6s.(3D<1>)""","=""(4,1)""","=""5""","=""""","=""3.246956""","=""""","=""""","=""0.06103""","=""1.20""","=""  43                                       ""","="""""
"=""4f12.(3F<4>).5d.6s.(3D<2>)""","=""(4,2)""","=""2""","=""""","=""3.161445""","=""""","=""""","=""-0.08551""","=""0.89""","=""  74                                       ""","="""""
"=""4f12.(3F<4>).5d.6s.(3D<2>)""","=""(4,2)""","=""6""","=""""","=""3.311547""","=""""","=""""","=""0.15010""","=""1.19""","=""  55                                       ""","="""""
