Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Leading percentages,Reference
"=""4f13""","=""2F*""","=""7/2""","=""""","=""0.000000""","=""""","=""0""","=""""","=""                                                         ""","=""L3974"""
"=""4f13""","=""2F*""","=""5/2""","=""""","=""1.087840""","=""""","=""""","=""1.087840""","=""                                                         ""","="""""
"=""4f12.(3H<6>).5d<3/2>""","=""(6,3/2)""","=""9/2""","=""""","=""2.838924""","=""""","=""""","=""1.75108""","=""  84             or  :    81                    (3H) 4F  ""","="""""
"=""4f12.(3H<6>).5d<3/2>""","=""(6,3/2)""","=""15/2""","=""""","=""3.208567""","=""""","=""""","=""0.36964""","=""  96             or  :    55                    (3H) 2K  ""","="""""
"=""4f12.(3H<6>).5d<3/2>""","=""(6,3/2)""","=""11/2""","=""""","=""3.254883""","=""""","=""""","=""0.04632""","=""  72             or  :    78                    (3H) 4G  ""","="""""
"=""4f12.(3H<6>).5d<3/2>""","=""(6,3/2)""","=""13/2""","=""""","=""3.560934""","=""""","=""""","=""0.30605""","=""  92             or  :    33                    (3H) 4I  ""","="""""
"=""4f12.(3H<6>).6s<1/2>""","=""(6,1/2)""","=""13/2""","=""""","=""3.137129""","=""""","=""""","=""-0.42381""","=""  99             or  :    99                    (3H) 4H  ""","="""""
"=""4f12.(3H<6>).6s<1/2>""","=""(6,1/2)""","=""11/2""","=""""","=""3.213767""","=""""","=""""","=""0.07664""","=""  94             or  :    64                    (3H) 2H  ""","="""""
"=""4f12.(3H<6>).5d<5/2>""","=""(6,5/2)""","=""7/2""","=""""","=""3.415424""","=""""","=""""","=""0.20166""","=""  53             or  :    51                    (3H) 4F  ""","="""""
"=""4f12.(3H<6>).5d<5/2>""","=""(6,5/2)""","=""17/2""","=""""","=""3.416754""","=""""","=""""","=""0.00133""","=""  92             or  :    99                    (3H) 4K  ""","="""""
"=""4f12.(3H<6>).5d<5/2>""","=""(6,5/2)""","=""11/2""","=""""","=""3.785528""","=""""","=""""","=""0.36877""","=""  61             or  :    41                    (3H) 2H  ""","="""""
"=""4f12.(3H<6>).5d<5/2>""","=""(6,5/2)""","=""9/2""","=""""","=""3.785943""","=""""","=""""","=""0.00042""","=""  60             or  :    39                    (3H) 4G  ""","="""""
"=""4f12.(3H<6>).5d<5/2>""","=""(6,5/2)""","=""15/2""","=""""","=""3.801973""","=""""","=""""","=""0.01603""","=""  96             or  :    84                    (3H) 4I  ""","="""""
"=""4f12.(3H<6>).5d<5/2>""","=""(6,5/2)""","=""13/2""","=""""","=""3.883614""","=""""","=""""","=""0.08164""","=""  72             or  :    40                    (3H) 4H  ""","="""""
"=""4f12.(3F<4>).6s<1/2>""","=""(4,1/2)""","=""9/2""","=""""","=""3.848162""","=""""","=""""","=""-0.03545""","=""  63             or  :    63                    (3F) 4F  ""","="""""
"=""4f12.(3F<4>).6s<1/2>""","=""(4,1/2)""","=""7/2""","=""""","=""3.889209""","=""""","=""""","=""0.04105""","=""  58             or  :    42                    (3F) 2F  ""","="""""
"=""4f12.(3F<4>).5d<3/2>""","=""(4,3/2)""","=""5/2""","=""""","=""3.914243""","=""""","=""""","=""0.02503""","=""  44             or  :    22                    (1G) 2F  ""","="""""
"=""4f12.(3F<4>).5d<3/2>""","=""(4,3/2)""","=""7/2""","=""""","=""4.000087""","=""""","=""""","=""0.08584""","=""  47             or  :    22                    (3F) 4D  ""","="""""
"=""4f12.(3F<4>).5d<3/2>""","=""(4,3/2)""","=""9/2""","=""""","=""4.066394""","=""""","=""""","=""0.06631""","=""  52             or  :    22                    (3F) 4G  ""","="""""
"=""4f12.(3F<4>).5d<3/2>""","=""(4,3/2)""","=""11/2""","=""""","=""4.120754""","=""""","=""""","=""0.05436""","=""  30             or  :    19                    (3F) 4G  ""","="""""
"=""4f12.(3H<5>).5d<5/2>""","=""(5,5/2)""","=""5/2""","=""""","=""4.166539""","=""""","=""""","=""0.04579""","=""  42             or  :    61                    (3H) 4F  ""","="""""
