Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Lande,Leading percentages,Reference
"=""3d3.4s2""","=""a 4F""","=""3/2""","=""""","=""0.00000000""","=""""","=""0.00000025""","=""""","=""0.39848""","=""  92         :     5  3d3.(4F).4p2.(1S)     4F   ""","=""L20010,L193"""
"=""3d3.4s2""","=""a 4F""","=""5/2""","=""""","=""0.01703332""","=""""","=""0.00000017""","=""0.0170333""","=""1.02839""","=""  94         :     5  3d3.(4F).4p2.(1S)     4F   ""","=""L15916,L20010,L193"""
"=""3d3.4s2""","=""a 4F""","=""7/2""","=""""","=""0.04010046""","=""""","=""0.00000016""","=""0.0230671""","=""1.23821""","=""  92         :     5  3d3.(4F).4p2.(1S)     4F   ""","=""L15916,L20010,L193"""
"=""3d3.4s2""","=""a 4F""","=""9/2""","=""""","=""0.06855768""","=""""","=""0.00000025""","=""0.0284572""","=""1.33360""","=""  94         :     5  3d3.(4F).4p2.(1S)     4F   ""","=""L15916,L20010,L193"""
"=""3d4.(5D).4s""","=""a 6D""","=""1/2""","=""""","=""0.26188959""","=""""","=""0.00000025""","=""0.1933319""","=""3.33847""","=""  98                                             ""","=""L15916,L20010,L193"""
"=""3d4.(5D).4s""","=""a 6D""","=""3/2""","=""""","=""0.26696538""","=""""","=""0.00000025""","=""0.0050758""","=""1.86829""","=""  98                                             ""","=""L15916,L20010,L193"""
"=""3d4.(5D).4s""","=""a 6D""","=""5/2""","=""""","=""0.27526426""","=""""","=""0.00000025""","=""0.0082989""","=""1.65831""","=""  10                                             ""","=""L15916,L20010,L193"""
"=""3d4.(5D).4s""","=""a 6D""","=""7/2""","=""""","=""0.28657323""","=""""","=""0.00000025""","=""0.0113090""","=""1.58833""","=""  10                                             ""","=""L15916,L20010,L193"""
"=""3d4.(5D).4s""","=""a 6D""","=""9/2""","=""""","=""0.30063800""","=""""","=""0.00000025""","=""0.0140648""","=""1.55647""","=""  98                                             ""","=""L15916,L20010,L193"""
"=""3d4.(5D).4s""","=""a 4D""","=""1/2""","=""""","=""1.04308018""","=""""","=""0.00000025""","=""0.7424422""","=""0.00""","=""  94                                             ""","=""L15916,L20010,L14162"""
"=""3d4.(5D).4s""","=""a 4D""","=""3/2""","=""""","=""1.05091908""","=""""","=""0.00000016""","=""0.0078389""","=""1.19""","=""  94                                             ""","=""L15916,L20010,L14162"""
"=""3d4.(5D).4s""","=""a 4D""","=""5/2""","=""""","=""1.06360365""","=""""","=""0.00000017""","=""0.0126846""","=""1.35""","=""  94                                             ""","=""L15916,L20010,L14162"""
"=""3d4.(5D).4s""","=""a 4D""","=""7/2""","=""""","=""1.08061491""","=""""","=""0.00000025""","=""0.0170113""","=""1.39""","=""  94                                             ""","=""L15916,L20010,L14162"""
"=""3d3.4s2""","=""a 4P""","=""1/2""","=""""","=""1.18338392""","=""""","=""0.00000025""","=""0.1027690""","=""2.59""","=""  77         :    16  3d4.(3P2).4s          4P   ""","=""L15916,L20010,L14162"""
"=""3d3.4s2""","=""a 4P""","=""3/2""","=""""","=""1.19484056""","=""""","=""0.00000025""","=""0.0114566""","=""1.70""","=""  76         :    16  3d4.(3P2).4s          4P   ""","=""L15916,L20010,L14162"""
"=""3d3.4s2""","=""a 4P""","=""5/2""","=""""","=""1.21809838""","=""""","=""0.00000025""","=""0.0232578""","=""1.55""","=""  79         :    15  3d4.(3P2).4s          4P   ""","=""L15916,L20010,L14162"""
"=""3d3.4s2""","=""a 2G""","=""7/2""","=""""","=""1.3505004""","=""""","=""0.0000004""","=""0.1324020""","=""0.88""","=""  92         :     5  3d3.(2G).4p2.(1S)     2G   ""","=""L15916,L20010,L14162"""
"=""3d3.4s2""","=""a 2G""","=""9/2""","=""""","=""1.37629850""","=""""","=""0.00000025""","=""0.0257981""","=""1.13""","=""  90         :     5  3d3.(2G).4p2.(1S)     2G   ""","=""L15916,L20010,L14162"""
"=""3d3.4s2""","=""a 2P""","=""3/2""","=""""","=""1.7111742""","=""""","=""0.0000006""","=""0.3348757""","=""1.20""","=""  58         :    24  3d3.4s2               2D2  ""","=""L15916,L20010,L14162"""
"=""3d3.4s2""","=""a 2P""","=""1/2""","=""""","=""1.7123346""","=""""","=""0.0000004""","=""0.0011604""","=""0.64""","=""  79         :    13  3d4.(3P2).4s          2P   ""","=""L15916,L20010,L14162"""
"=""3d3.4s2""","=""2D2""","=""3/2""","=""""","=""1.7996004""","=""""","=""0.0000005""","=""0.0872658""","=""0.97""","=""  63         :    21  3d3.4s2               2P   ""","=""L15916,L20010,L14162"""
"=""3d3.4s2""","=""2D2""","=""5/2""","=""""","=""1.8038233""","=""""","=""0.0000004""","=""0.0042229""","=""1.17""","=""  86         :     3  3d4.(3D).4s           2D   ""","=""L15916,L20010,L14162"""
"=""3d4.(3H).4s""","=""a 4H""","=""7/2""","=""""","=""1.84859919""","=""""","=""0.00000025""","=""0.0447759""","=""0.65""","=""  96                                             ""","=""L15916,L20010,L14162"""
"=""3d4.(3H).4s""","=""a 4H""","=""9/2""","=""""","=""1.85348429""","=""""","=""0.00000025""","=""0.0048851""","=""0.94""","=""  94         :     1  3d3.4s2               2H   ""","=""L15916,L20010,L14162"""
"=""3d4.(3H).4s""","=""a 4H""","=""11/2""","=""""","=""1.85987915""","=""""","=""0.00000019""","=""0.0063949""","=""1.10""","=""  90         :     4  3d3.4s2               2H   ""","=""L15916,L20010,L14162"""
"=""3d4.(3H).4s""","=""a 4H""","=""13/2""","=""""","=""1.86756890""","=""""","=""0.00000025""","=""0.0076897""","=""1.18""","=""  96                                             ""","=""L15916,L20010,L14162"""
"=""3d4.(3P2).4s""","=""b 4P""","=""1/2""","=""""","=""1.86948173""","=""""","=""0.00000025""","=""0.0019128""","=""2.60""","=""  80         :    16  3d3.4s2               4P   ""","=""L15916,L20010,L14162"""
"=""3d4.(3P2).4s""","=""b 4P""","=""3/2""","=""""","=""1.89331087""","=""""","=""0.00000019""","=""0.0238291""","=""1.68""","=""  80         :    15  3d3.4s2               4P   ""","=""L15916,L20010,L14162"""
"=""3d4.(3P2).4s""","=""b 4P""","=""5/2""","=""""","=""1.93068628""","=""""","=""0.00000025""","=""0.0373754""","=""1.54""","=""  81         :    14  3d3.4s2               4P   ""","=""L15916,L20010,L14162"""
"=""3d3.4s2""","=""a 2H""","=""9/2""","=""""","=""1.8726306""","=""""","=""0.0000004""","=""-0.0580557""","=""0.90""","=""  86         :     5  3d4.(3H).4s           2H   ""","=""L15916,L20010,L14162"""
"=""3d3.4s2""","=""a 2H""","=""11/2""","=""""","=""1.8925980""","=""""","=""0.0000004""","=""0.0199674""","=""1.07""","=""  81         :     6  3d4.(3H).4s           2H   ""","=""L15916,L20010,L14162"""
"=""3d4.(3F2).4s""","=""b 4F""","=""3/2""","=""""","=""1.94218780""","=""""","=""0.00000016""","=""0.0495898""","=""0.39""","=""  96                                             ""","=""L15916,L20010,L14162"""
"=""3d4.(3F2).4s""","=""b 4F""","=""5/2""","=""""","=""1.94517098""","=""""","=""0.00000025""","=""0.0029832""","=""1.05""","=""  95                                             ""","=""L15916,L20010,L14162"""
"=""3d4.(3F2).4s""","=""b 4F""","=""7/2""","=""""","=""1.94955593""","=""""","=""0.00000014""","=""0.0043849""","=""1.22""","=""  95         :     1  3d4.(3G).4s           4G   ""","=""L15916,L20010,L14162"""
"=""3d4.(3F2).4s""","=""b 4F""","=""9/2""","=""""","=""1.95532863""","=""""","=""0.00000019""","=""0.0057727""","=""1.31""","=""  94         :     1  3d4.(3G).4s           4G   ""","=""L15916,L20010,L14162"""
"=""3d3.(4F).4s.4p.(3P*)""","=""z 6G*""","=""3/2""","=""""","=""2.0285661""","=""""","=""0.0000005""","=""0.0732375""","=""0.00""","="" 100                                             ""","=""L15916,L20010,L14162"""
"=""3d3.(4F).4s.4p.(3P*)""","=""z 6G*""","=""5/2""","=""""","=""2.0395246""","=""""","=""0.0000009""","=""0.010959""","=""0.78""","=""  98                                             ""","=""L15916,L20010,L14162"""
"=""3d3.(4F).4s.4p.(3P*)""","=""z 6G*""","=""7/2""","=""""","=""2.0547452""","=""""","=""0.0000004""","=""0.0152206""","=""1.10""","="" 100                                             ""","=""L15916,L20010,L14162"""
"=""3d3.(4F).4s.4p.(3P*)""","=""z 6G*""","=""9/2""","=""""","=""2.0741072""","=""""","=""0.0000005""","=""0.0193620""","=""1.22""","="" 100                                             ""","=""L15916,L20010,L14162"""
"=""3d3.(4F).4s.4p.(3P*)""","=""z 6G*""","=""11/2""","=""""","=""2.09746672""","=""""","=""0.00000025""","=""0.0233595""","=""1.26""","=""  98                                             ""","=""L15916,L20010,L14162"""
"=""3d3.(4F).4s.4p.(3P*)""","=""z 6G*""","=""13/2""","=""""","=""2.12465993""","=""""","=""0.00000025""","=""0.0271932""","=""1.43""","="" 100                                             ""","=""L15916,L20010,L14162"""
"=""3d4.(3G).4s""","=""a 4G""","=""5/2""","=""""","=""2.11454108""","=""""","=""0.00000025""","=""-0.0101189""","=""0.59""","=""  96                                             ""","=""L15916,L20010,L14162"""
"=""3d4.(3G).4s""","=""a 4G""","=""7/2""","=""""","=""2.12223095""","=""""","=""0.00000025""","=""0.0076899""","=""0.96""","=""  92                                             ""","=""L15916,L20010,L14162"""
"=""3d4.(3G).4s""","=""a 4G""","=""9/2""","=""""","=""2.13030555""","=""""","=""0.00000025""","=""0.0080746""","=""1.14""","=""  92                                             ""","=""L15916,L20010,L14162"""
"=""3d4.(3G).4s""","=""a 4G""","=""11/2""","=""""","=""2.13774423""","=""""","=""0.00000012""","=""0.0074387""","=""1.27""","=""  94                                             ""","=""L15916,L20010,L14162"""
"=""3d3.(4F).4s.4p.(3P*)""","=""z 6D*""","=""1/2""","=""""","=""2.24237226""","=""""","=""0.00000025""","=""0.1046280""","=""3.20""","=""  90         :     6  3d4.(5D).4p           6D*  ""","=""L15916,L20010,L14162"""
"=""3d3.(4F).4s.4p.(3P*)""","=""z 6D*""","=""3/2""","=""""","=""2.2473686""","=""""","=""0.0000004""","=""0.0049963""","=""1.76""","=""  88         :     6  3d4.(5D).4p           6D*  ""","=""L15916,L20010,L14162"""
"=""3d3.(4F).4s.4p.(3P*)""","=""z 6D*""","=""5/2""","=""""","=""2.25627573""","=""""","=""0.00000025""","=""0.0089071""","=""1.58""","=""  86         :     6  3d4.(5D).4p           6D*  ""","=""L15916,L20010,L14162"""
"=""3d3.(4F).4s.4p.(3P*)""","=""z 6D*""","=""7/2""","=""""","=""2.26919352""","=""""","=""0.00000025""","=""0.0129178""","=""1.56""","=""  85         :     6  3d4.(5D).4p           6D*  ""","=""L15916,L20010,L14162"""
"=""3d3.(4F).4s.4p.(3P*)""","=""z 6D*""","=""9/2""","=""""","=""2.28602611""","=""""","=""0.00000025""","=""0.0168326""","=""1.55""","=""  88         :     6  3d4.(5D).4p           6D*  ""","=""L15916,L20010,L14162"""
"=""3d3.(4F).4s.4p.(3P*)""","=""z 6F*""","=""1/2""","=""""","=""2.24660657""","=""""","=""0.00000025""","=""-0.0394195""","=""-0.44""","=""  96         :     3  3d4.(5D).4p           6F*  ""","=""L15916,L20010,L14162"""
"=""3d3.(4F).4s.4p.(3P*)""","=""z 6F*""","=""3/2""","=""""","=""2.2532980""","=""""","=""0.0000004""","=""0.0066914""","=""1.14""","=""  94         :     3  3d4.(5D).4p           6F*  ""","=""L15916,L20010,L14162"""
