Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Lande,Leading percentages,Reference
"=""3d4""","=""a 5D""","=""0""","=""""","=""0.0000000""","=""""","=""0.0000004""","=""""","=""""","="" 100                                                ""","=""L20009"""
"=""3d4""","=""a 5D""","=""1""","=""""","=""0.00447604""","=""""","=""0.00000015""","=""0.0044760""","=""""","="" 100                                                ""","=""L20009"""
"=""3d4""","=""a 5D""","=""2""","=""""","=""0.01322194""","=""""","=""0.00000012""","=""0.0087459""","=""""","="" 100                                                ""","=""L20009"""
"=""3d4""","=""a 5D""","=""3""","=""""","=""0.02588667""","=""""","=""0.00000010""","=""0.0126647""","=""""","="" 100                                                ""","=""L20009"""
"=""3d4""","=""a 5D""","=""4""","=""""","=""0.04204622""","=""""","=""0.00000016""","=""0.0161596""","=""""","="" 100                                                ""","=""L20009"""
"=""3d3.(4F).4s""","=""a 5F""","=""1""","=""""","=""0.32298380""","=""""","=""0.00000015""","=""0.2809376""","=""""","="" 100                                                ""","=""L20009"""
"=""3d3.(4F).4s""","=""a 5F""","=""2""","=""""","=""0.33317145""","=""""","=""0.00000011""","=""0.0101876""","=""0.97""","="" 100                                                ""","=""L20009,L8201"""
"=""3d3.(4F).4s""","=""a 5F""","=""3""","=""""","=""0.34826653""","=""""","=""0.00000010""","=""0.0150951""","=""1.20""","="" 100                                                ""","=""L20009,L8201"""
"=""3d3.(4F).4s""","=""a 5F""","=""4""","=""""","=""0.36803324""","=""""","=""0.00000012""","=""0.0197667""","=""1.30?""","="" 100                                                ""","=""L20009,L8201"""
"=""3d3.(4F).4s""","=""a 5F""","=""5""","=""""","=""0.3921580""","=""""","=""0.0000003""","=""0.0241248""","=""1.28?""","="" 100                                                ""","=""L20009,L8201"""
"=""3d3.(4F).4s""","=""a 3F""","=""2""","=""""","=""1.07126862""","=""""","=""0.00000012""","=""0.6791106""","=""0.65""","=""  93         :     5  3d4                  3F2      ""","=""L20009,L8201"""
"=""3d3.(4F).4s""","=""a 3F""","=""3""","=""""","=""1.09627457""","=""""","=""0.00000007""","=""0.0250060""","=""1.04""","=""  93         :     5  3d4                  3F2      ""","=""L20009,L8201"""
"=""3d3.(4F).4s""","=""a 3F""","=""4""","=""""","=""1.12799449""","=""""","=""0.00000010""","=""0.0317199""","=""1.22""","=""  92         :     6  3d4                  3F2      ""","=""L20009,L8201"""
"=""3d4""","=""a 3P2""","=""0""","=""""","=""1.4004649""","=""""","=""0.0000004""","=""0.2724704""","=""""","=""  54         :    37  3d4                  3P1      ""","=""L20009"""
"=""3d4""","=""a 3P2""","=""1""","=""""","=""1.42765133""","=""""","=""0.00000017""","=""0.0271864""","=""1.48""","=""  54         :    37  3d4                  3P1      ""","=""L20009,L8201"""
"=""3d4""","=""a 3P2""","=""2""","=""""","=""1.47643598""","=""""","=""0.00000017""","=""0.0487846""","=""1.49""","=""  54         :    37  3d4                  3P1      ""","=""L20009,L8201"""
"=""3d4""","=""a 3H""","=""4""","=""""","=""1.55539447""","=""""","=""0.00000015""","=""0.0789585""","=""0.83?""","=""  98                                                ""","=""L20009,L8201"""
"=""3d4""","=""a 3H""","=""5""","=""""","=""1.56486479""","=""""","=""0.00000016""","=""0.0094703""","=""1.02""","=""  98                                                ""","=""L20009,L8201"""
"=""3d4""","=""a 3H""","=""6""","=""""","=""1.57535312""","=""""","=""0.00000014""","=""0.0104883""","=""1.27?""","=""  99                                                ""","=""L20009,L8201"""
"=""3d4""","=""b 3F2""","=""2""","=""""","=""1.67265648""","=""""","=""0.00000014""","=""0.0973034""","=""0.59""","=""  68         :    24  3d4                  3F1      ""","=""L20009,L8201"""
"=""3d4""","=""b 3F2""","=""3""","=""""","=""1.67907412""","=""""","=""0.00000016""","=""0.0064176""","=""1.06""","=""  68         :    23  3d4                  3F1      ""","=""L20009,L8201"""
"=""3d4""","=""b 3F2""","=""4""","=""""","=""1.68729343""","=""""","=""0.00000011""","=""0.0082193""","=""1.19""","=""  67         :    23  3d4                  3F1      ""","=""L20009,L8201"""
"=""3d3.(4P).4s""","=""a 5P""","=""1""","=""""","=""1.67524961""","=""""","=""0.00000024""","=""-0.0120438""","=""2.39""","="" 100                                                ""","=""L20009,L8201"""
"=""3d3.(4P).4s""","=""a 5P""","=""2""","=""""","=""1.6855312""","=""""","=""0.0000004""","=""0.0102816""","=""1.78""","=""  99                                                ""","=""L20009,L8201"""
"=""3d3.(4P).4s""","=""a 5P""","=""3""","=""""","=""1.7037461""","=""""","=""0.0000003""","=""0.0182149""","=""1.62""","="" 100                                                ""","=""L20009,L8201"""
"=""3d4""","=""a 3G""","=""3""","=""""","=""1.79302842""","=""""","=""0.00000019""","=""0.0892823""","=""0.74""","=""  60         :    38  3d3.(2G).4s          3G       ""","=""L20009,L8201"""
"=""3d4""","=""a 3G""","=""4""","=""""","=""1.80472253""","=""""","=""0.00000012""","=""0.0116941""","=""1.00""","=""  60         :    38  3d3.(2G).4s          3G       ""","=""L20009,L8201"""
"=""3d4""","=""a 3G""","=""5""","=""""","=""1.81706384""","=""""","=""0.00000015""","=""0.0123413""","=""1.17""","=""  62         :    37  3d3.(2G).4s          3G       ""","=""L20009,L8201"""
"=""3d3.(2G).4s""","=""b 3G""","=""3""","=""""","=""2.02602377""","=""""","=""0.00000020""","=""0.2089599""","=""0.76""","=""  62         :    38  3d4                  3G       ""","=""L20009,L8201"""
"=""3d3.(2G).4s""","=""b 3G""","=""4""","=""""","=""2.03601013""","=""""","=""0.00000017""","=""0.0099864""","=""1.03""","=""  61         :    37  3d4                  3G       ""","=""L20009,L8201"""
"=""3d3.(2G).4s""","=""b 3G""","=""5""","=""""","=""2.04982878""","=""""","=""0.00000020""","=""0.0138186""","=""1.16""","=""  62         :    37  3d4                  3G       ""","=""L20009,L8201"""
"=""3d4""","=""a 1G2""","=""4""","=""""","=""2.22067040""","=""""","=""0.00000017""","=""0.1708416""","=""0.95""","=""  46         :    31  3d3.(2G).4s          1G       ""","=""L20009,L8201"""
"=""3d4""","=""a 3D""","=""1""","=""""","=""2.2651312""","=""""","=""0.0000004""","=""0.0444608""","=""0.49""","=""  51         :    30  3d3.(2D2).4s         3D       ""","=""L20009,L8201"""
"=""3d4""","=""a 3D""","=""2""","=""""","=""2.26815109""","=""""","=""0.00000024""","=""0.0030199""","=""1.13""","=""  48         :    28  3d3.(2D2).4s         3D       ""","=""L20009,L8201"""
"=""3d4""","=""a 3D""","=""3""","=""""","=""2.2755849""","=""""","=""0.0000004""","=""0.0074338""","=""1.30""","=""  64         :    28  3d3.(2D2).4s         3D       ""","=""L20009,L8201"""
"=""3d3.(2G).4s""","=""b 1G""","=""4""","=""""","=""2.36970128""","=""""","=""0.00000014""","=""0.0941164""","=""0.98""","=""  65         :    16  3d4                  1G1      ""","=""L20009,L8201"""
