Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Leading percentages,Reference
"=""3d3""","=""a 4F""","=""3/2""","=""""","=""0.00000""","=""""","=""0""","=""""","="" 100                                       ""","=""L7185"""
"=""3d3""","=""a 4F""","=""5/2""","=""""","=""0.01804""","=""""","=""""","=""0.01804""","="" 100                                       ""","="""""
"=""3d3""","=""a 4F""","=""7/2""","=""""","=""0.04234""","=""""","=""""","=""0.0243""","="" 100                                       ""","="""""
"=""3d3""","=""a 4F""","=""9/2""","=""""","=""0.07238""","=""""","=""""","=""0.0300""","="" 100                                       ""","="""""
"=""3d3""","=""a 4P""","=""1/2""","=""""","=""1.42753""","=""""","=""""","=""1.3552""","="" 100                                       ""","="""""
"=""3d3""","=""a 4P""","=""3/2""","=""""","=""1.43720""","=""""","=""""","=""0.0097""","=""  99                                       ""","="""""
"=""3d3""","=""a 4P""","=""5/2""","=""""","=""1.45926""","=""""","=""""","=""0.0221""","="" 100                                       ""","="""""
"=""3d3""","=""a 2G""","=""7/2""","=""""","=""1.48363""","=""""","=""""","=""0.0244""","="" 100                                       ""","="""""
"=""3d3""","=""a 2G""","=""9/2""","=""""","=""1.51100""","=""""","=""""","=""0.0274""","="" 100                                       ""","="""""
"=""3d3""","=""a 2P""","=""3/2""","=""""","=""1.92799""","=""""","=""""","=""0.4170""","=""  67             :    25  3d3         2D2  ""","="""""
"=""3d3""","=""a 2P""","=""1/2""","=""""","=""1.93165""","=""""","=""""","=""0.0037""","="" 100                                       ""","="""""
"=""3d3""","=""a 2D2""","=""3/2""","=""""","=""2.02472""","=""""","=""""","=""0.0931""","=""  52             :    32  3d3         2P   ""","="""""
"=""3d3""","=""a 2D2""","=""5/2""","=""""","=""2.03020""","=""""","=""""","=""0.0055""","=""  77             :    22  3d3         2D1  ""","="""""
"=""3d3""","=""a 2H""","=""9/2""","=""""","=""2.08429""","=""""","=""""","=""0.0541""","="" 100                                       ""","="""""
"=""3d3""","=""a 2H""","=""11/2""","=""""","=""2.10495""","=""""","=""""","=""0.0207""","="" 100                                       ""","="""""
"=""3d3""","=""a 2F""","=""7/2""","=""""","=""3.43781""","=""""","=""""","=""1.3329""","="" 100                                       ""","="""""
"=""3d3""","=""a 2F""","=""5/2""","=""""","=""3.45256""","=""""","=""""","=""0.0148""","="" 100                                       ""","="""""
"=""3d3""","=""b 2D1""","=""5/2""","=""""","=""5.24049""","=""""","=""""","=""1.7879""","=""  77             :    22  3d3         2D2  ""","="""""
"=""3d3""","=""b 2D1""","=""3/2""","=""""","=""5.25336""","=""""","=""""","=""0.0129""","=""  77             :    23  3d3         2D2  ""","="""""
"=""3d2.(3F).4s""","=""b 4F""","=""3/2""","=""""","=""5.448174""","=""""","=""""","=""0.19481""","=""                                           ""","="""""
