Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Reference
"=""3p6.3d""","=""2D""","=""3/2""","=""""","=""0.000000""","=""""","=""0""","=""""","=""L7185"""
"=""3p6.3d""","=""2D""","=""5/2""","=""""","=""0.077474""","=""""","=""""","=""0.077474""","="""""
"=""3p6.4s""","=""2S""","=""1/2""","=""""","=""18.367435""","=""""","=""""","=""18.28996""","="""""
"=""3p6.4p""","=""2P*""","=""1/2""","=""""","=""25.589560""","=""""","=""""","=""7.22212""","="""""
"=""3p6.4p""","=""2P*""","=""3/2""","=""""","=""25.746559""","=""""","=""""","=""0.15700""","="""""
"=""3p6.4d""","=""2D""","=""3/2""","=""""","=""36.439311""","=""""","=""""","=""10.69275""","="""""
"=""3p6.4d""","=""2D""","=""5/2""","=""""","=""36.457211""","=""""","=""""","=""0.01790""","="""""
"=""3p5.(2P*).3d2.(1G)""","=""2F*""","=""5/2""","=""""","=""39.564125""","=""""","=""""","=""3.10691""","="""""
"=""3p5.(2P*).3d2.(1G)""","=""2F*""","=""7/2""","=""""","=""39.765650""","=""""","=""""","=""0.20153""","="""""
"=""3p6.5s""","=""2S""","=""1/2""","=""""","=""40.693759""","=""""","=""""","=""0.92811""","="""""
"=""3p5.(2P*).3d2.(1D)""","=""2F*""","=""7/2""","=""""","=""41.18732""","=""""","=""""","=""0.49356""","="""""
"=""3p5.(2P*).3d2.(1D)""","=""2F*""","=""5/2""","=""""","=""41.784236""","=""""","=""""","=""0.59692""","="""""
"=""3p6.4f""","=""2F*""","=""7/2""","=""""","=""43.301779""","=""""","=""""","=""1.51754""","="""""
"=""3p6.4f""","=""2F*""","=""5/2""","=""""","=""43.354245""","=""""","=""""","=""0.05247""","="""""
"=""3p6.5p""","=""2P*""","=""1/2""","=""""","=""43.580509""","=""""","=""""","=""0.22626""","="""""
"=""3p6.5p""","=""2P*""","=""3/2""","=""""","=""43.644712""","=""""","=""""","=""0.06420""","="""""
"=""3p6.5d""","=""2D""","=""3/2""","=""""","=""48.103026""","=""""","=""""","=""4.45831""","="""""
"=""3p6.5d""","=""2D""","=""5/2""","=""""","=""48.111286""","=""""","=""""","=""0.00826""","="""""
"=""3p5.(2P*).3d2.(3F)""","=""2F*""","=""5/2""","=""""","=""49.114510""","=""""","=""""","=""1.00322""","="""""
"=""3p5.(2P*).3d2.(3F)""","=""2F*""","=""7/2""","=""""","=""49.344925""","=""""","=""""","=""0.23042""","="""""
"=""3p6.6s""","=""2S""","=""1/2""","=""""","=""50.071653""","=""""","=""""","=""0.72673""","="""""
"=""3p6.6p""","=""2P*""","=""1/2""","=""""","=""51.505528""","=""""","=""""","=""1.43388""","="""""
"=""3p6.6p""","=""2P*""","=""3/2""","=""""","=""51.537217""","=""""","=""""","=""0.03169""","="""""
"=""3p6.5g""","=""2G""","=""7/2""","=""""","=""51.622097""","=""""","=""""","=""0.08488""","="""""
"=""3p6.5g""","=""2G""","=""9/2""","=""""","=""51.622282""","=""""","=""""","=""0.00019""","="""""
"=""3p6.5f""","=""2F*""","=""5/2""","=""""","=""51.788088""","=""""","=""""","=""0.16581""","="""""
"=""3p6.5f""","=""2F*""","=""7/2""","=""""","=""51.848638""","=""""","=""""","=""0.06055""","="""""
"=""3p6.6d""","=""2D""","=""3/2""","=""""","=""53.846805""","=""""","=""""","=""1.99817""","="""""
"=""3p6.6d""","=""2D""","=""5/2""","=""""","=""53.851411""","=""""","=""""","=""0.00461""","="""""
"=""3p5.(2P*).3d2.(3P)""","=""2P*""","=""1/2""","=""""","=""54.30735""","=""""","=""""","=""0.45594""","="""""
"=""3p5.(2P*).3d2.(3P)""","=""2P*""","=""3/2""","=""""","=""54.48395""","=""""","=""""","=""0.1766""","="""""
"=""3p6.7s""","=""2S""","=""1/2""","=""""","=""54.934264""","=""""","=""""","=""0.45031""","="""""
"=""3p5.(2P*).3d2.(3F)""","=""2D*""","=""5/2""","=""""","=""55.06804""","=""""","=""""","=""0.13378""","="""""
