Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Lande,Leading percentages,Reference
"=""5d4.6s2""","=""5D""","=""0""","=""""","=""0.000000""","=""""","=""0.000012""","=""""","=""""","=""  69                                                    ""","=""L12177"""
"=""5d4.6s2""","=""5D""","=""1""","=""""","=""0.207090""","=""""","=""0.000012""","=""0.20709""","=""1.51""","=""  84                                                    ""","=""L12177"""
"=""5d4.6s2""","=""5D""","=""2""","=""""","=""0.412313""","=""""","=""0.000012""","=""0.20522""","=""1.48""","=""  88                                                    ""","=""L12177"""
"=""5d4.6s2""","=""5D""","=""3""","=""""","=""0.598844""","=""""","=""0.000012""","=""0.18653""","=""1.50""","=""  85                                                    ""","=""L12177"""
"=""5d4.6s2""","=""5D""","=""4""","=""""","=""0.771099""","=""""","=""0.000012""","=""0.17225""","=""1.49""","=""  77                                                    ""","=""L12177"""
"=""5d5.(6S).6s""","=""7S""","=""3""","=""""","=""0.365913""","=""""","=""0.000012""","=""-0.40519""","=""1.98""","=""  94                                                    ""","=""L12177"""
"=""5d4.6s2""","=""3P2""","=""0""","=""""","=""1.181329""","=""""","=""0.000012""","=""0.81542""","=""""","=""  47                         :    24               5D   ""","=""L12177"""
"=""5d4.6s2""","=""3P2""","=""1""","=""""","=""1.649870""","=""""","=""0.000012""","=""0.46854""","=""1.32""","=""  67                                                    ""","=""L12177"""
"=""5d4.6s2""","=""3P2""","=""2""","=""""","=""2.387137""","=""""","=""0.000012""","=""0.73727""","=""1.18""","=""  23                         :    20  5d5.(4G).6s  5G   ""","=""L12177"""
"=""5d4.6s2""","=""3H""","=""4""","=""""","=""1.507891""","=""""","=""0.000012""","=""-0.87925""","=""0.99""","=""  42                         :    19               3G   ""","=""L12177"""
"=""5d4.6s2""","=""3H""","=""5""","=""""","=""1.868433""","=""""","=""0.000012""","=""0.36054""","=""1.05""","=""  61                                                    ""","=""L12177"""
"=""5d4.6s2""","=""3H""","=""6""","=""""","=""2.108785""","=""""","=""0.000012""","=""0.24035""","=""1.4""","=""  80                                                    ""","=""L12177"""
"=""5d4.6s2""","=""3G""","=""3""","=""""","=""1.655011""","=""""","=""0.000012""","=""-0.45377""","=""0.92""","=""  49                         :    23               3F4  ""","=""L12177"""
"=""5d4.6s2""","=""3G""","=""4""","=""""","=""2.037223""","=""""","=""0.000012""","=""0.38221""","=""1.02""","=""  48                         :    19               3H   ""","=""L12177"""
"=""5d4.6s2""","=""3G""","=""5""","=""""","=""2.458116""","=""""","=""0.000012""","=""0.42089""","=""1.20""","=""  48  5d5.(4G).6s 5G         :    24  5d4.6s2      3G   ""","=""L12177"""
"=""5d4.6s2""","=""3F2""","=""2""","=""""","=""1.708218""","=""""","=""0.000012""","=""-0.74990""","=""1.09""","=""  33                         :    28               3D   ""","=""L12177"""
"=""5d4.6s2""","=""3F2""","=""4""","=""""","=""2.120999""","=""""","=""0.000012""","=""0.41278""","=""1.19""","=""  43                         :    22               3H   ""","=""L12177"""
"=""5d4.6s2""","=""3F2""","=""3""","=""""","=""2.194667""","=""""","=""0.000012""","=""0.07367""","=""1.02""","=""  52                         :    23               3G   ""","=""L12177"""
"=""5d4.6s2""","=""3D""","=""2""","=""""","=""1.856810""","=""""","=""0.000012""","=""-0.33786""","=""1.06""","=""  11                         :    46               3F4  ""","=""L12177"""
"=""5d4.6s2""","=""3D""","=""3""","=""""","=""1.916797""","=""""","=""0.000012""","=""0.05999""","=""1.17""","=""  36                         :    20  5d5.(2D3).6s 3D   ""","=""L12177"""
"=""5d4.6s2""","=""3D""","=""1""","=""""","=""2.241985""","=""""","=""0.000012""","=""0.32519""","=""0.7""","=""  46                         :    21  5d5.(2D3).6s 3D   ""","=""L12177"""
"=""5d5.(4G).6s""","=""5G""","=""2""","=""""","=""2.246202""","=""""","=""0.000012""","=""0.00422""","=""1.08""","=""  57                         :    15  5d4.6s2      3P2  ""","=""L12177"""
"=""5d5.(4G).6s""","=""5G""","=""3""","=""""","=""2.352539""","=""""","=""0.000012""","=""0.10634""","=""1.06""","=""  61                                                    ""","=""L12177"""
"=""5d5.(4G).6s""","=""5G""","=""4""","=""""","=""2.387469""","=""""","=""0.000012""","=""0.03493""","=""1.20""","=""  82                                                    ""","=""L12177"""
"=""5d5.(4G).6s""","=""5G""","=""5""","=""""","=""2.422033""","=""""","=""0.000012""","=""0.03456""","=""1.21""","=""  46                         :    22  5d4.6s2      3G   ""","=""L12177"""
"=""5d5.(4G).6s""","=""5G""","=""6""","=""""","=""2.436108""","=""""","=""0.000012""","=""0.01408""","=""1.32""","=""  92                                                    ""","=""L12177"""
"=""5d5.(6S).6s""","=""5S""","=""2""","=""""","=""2.266491""","=""""","=""0.000012""","=""-0.16962""","=""1.43""","=""  52                                                    ""","=""L12177"""
"=""5d4.6s.(6D).6p""","=""7F*""","=""0""","=""""","=""2.403983""","=""""","=""0.000012""","=""0.13749""","=""""","=""  77                                                    ""","=""L12177"""
"=""5d4.6s.(6D).6p""","=""7F*""","=""1""","=""""","=""2.487656""","=""""","=""0.000012""","=""0.08367""","=""1.54""","=""  70                                                    ""","=""L12177"""
"=""5d4.6s.(6D).6p""","=""7F*""","=""2""","=""""","=""2.659307""","=""""","=""0.000012""","=""0.17165""","=""1.48""","=""  77                                                    ""","=""L12177"""
"=""5d4.6s.(6D).6p""","=""7F*""","=""3""","=""""","=""2.857502""","=""""","=""0.000012""","=""0.19820""","=""1.53""","=""  89                                                    ""","=""L12177"""
"=""5d4.6s.(6D).6p""","=""7F*""","=""4""","=""""","=""3.070269""","=""""","=""0.000012""","=""0.21277""","=""1.50""","=""  93                                                    ""","=""L12177"""
"=""5d4.6s.(6D).6p""","=""7F*""","=""5""","=""""","=""3.307462""","=""""","=""0.000012""","=""0.23719""","=""1.46""","=""  89                                                    ""","=""L12177"""
"=""5d4.6s.(6D).6p""","=""7F*""","=""6""","=""""","=""3.675271""","=""""","=""0.000012""","=""0.36781""","=""""","=""  89                                                    ""","=""L12177"""
"=""5d5.(4P).6s""","=""5P""","=""3""","=""""","=""2.458319""","=""""","=""0.000012""","=""-1.21695""","=""1.28""","=""  36                         :    23  5d5.(4G).6s  5G   ""","=""L12177"""
"=""5d5.(4P).6s""","=""5P""","=""1""","=""""","=""2.532729""","=""""","=""0.000012""","=""0.07441""","=""2.1""","=""  65                                                    ""","=""L12177"""
"=""5d5.(4P).6s""","=""5P""","=""2""","=""""","=""2.601563""","=""""","=""0.000012""","=""0.06883""","=""""","=""  24  5d4.6s2 3P             :    23  5d5.(6S).6s  5S   ""","=""L12177"""
