Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Lande,Leading percentages,Reference
"=""5d4.(5D).6s""","=""6D""","=""1/2""","=""""","=""0.00000000""","=""""","=""0.00000007""","=""""","=""3.186""","=""  80                                 :     8  5d4.(3P2).6s         4P   ""","=""L12177"""
"=""5d4.(5D).6s""","=""6D""","=""3/2""","=""""","=""0.18831080""","=""""","=""0.00000010""","=""0.1883108""","=""1.839""","=""  90                                 :     4  5d4.(3P1).6s         4P   ""","=""L12177"""
"=""5d4.(5D).6s""","=""6D""","=""5/2""","=""""","=""0.39333652""","=""""","=""0.00000012""","=""0.2050257""","=""1.639""","=""  95                                 :     1  5d4.(3P1).6s         4P   ""","=""L12177"""
"=""5d4.(5D).6s""","=""6D""","=""7/2""","=""""","=""0.58474395""","=""""","=""0.00000012""","=""0.1914074""","=""1.563""","=""  94                                 :     2  5d4.(3F2).6s         4F   ""","=""L12177"""
"=""5d4.(5D).6s""","=""6D""","=""9/2""","=""""","=""0.76214141""","=""""","=""0.00000012""","=""0.1773975""","=""1.522""","=""  88                                 :     7  5d4.(3F2).6s         4F   ""","=""L12177"""
"=""5d5""","=""6S""","=""5/2""","=""""","=""0.91999511""","=""""","=""0.00000012""","=""0.1578537""","=""1.913""","=""  81                                 :    11  5d5                  4P   ""","=""L12177"""
"=""5d3.6s2""","=""4F""","=""3/2""","=""""","=""1.08006032""","=""""","=""0.00000014""","=""0.1600652""","=""0.624""","=""  54                                 :    12  5d4.(3F2).6s         4F   ""","=""L12177"""
"=""5d3.6s2""","=""4F""","=""5/2""","=""""","=""1.40114840""","=""""","=""0.00000014""","=""0.3210881""","=""1.084""","=""  55                                 :    19  5d4.(3F2).6s         4F   ""","=""L12177"""
"=""5d3.6s2""","=""4F""","=""7/2""","=""""","=""1.66286851""","=""""","=""0.00000014""","=""0.2617201""","=""1.186""","=""  40                                 :    26  5d4.(3F2).6s         4F   ""","=""L12177"""
"=""""","=""""","=""1/2""","=""""","=""1.09511870""","=""""","=""0.00000017""","=""-0.5677498""","=""2.383""","=""  30  5d4.(3P2).6s 4P                :    16  5d4.(5D).6s          6D   ""","=""L12177"""
"=""""","=""""","=""3/2""","=""""","=""1.31330076""","=""""","=""0.00000014""","=""0.2181821""","=""1.471""","=""  29  5d4.(3P2).6s 4P                :    17  5d3.6s2              4P   ""","=""L12177"""
"=""5d4.(5D).6s""","=""4D""","=""1/2""","=""""","=""1.63328563""","=""""","=""0.00000012""","=""0.3199849""","=""0.455""","=""  62                                 :    10  5d5                  4D   ""","=""L12177"""
"=""5d4.(5D).6s""","=""4D""","=""3/2""","=""""","=""1.81442642""","=""""","=""0.00000012""","=""0.1811408""","=""1.183""","=""  55                                 :    15  5d5                  4D   ""","=""L12177"""
"=""""","=""""","=""5/2""","=""""","=""1.66561240""","=""""","=""0.00000014""","=""-0.1488140""","=""1.526""","=""  25  5d4.(3P2).6s 4P                :    15  5d3.6s2              4P   ""","=""L12177"""
"=""""","=""""","=""9/2""","=""""","=""1.84205307""","=""""","=""0.00000015""","=""0.1764407""","=""1.234""","=""  24  5d4.(3F2).6s 4F                :    22  5d3.6s2              4F   ""","=""L12177"""
