Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Leading percentages,Reference
"=""5d4""","=""5D""","=""0""","=""""","=""0.000000""","=""""","=""0.000014""","=""""","=""  64                                 :    15  5d4                  3P1  ""","=""L10405"""
"=""5d4""","=""5D""","=""1""","=""""","=""0.279733""","=""""","=""0.000009""","=""0.27973""","=""  83                                 :     8  5d4                  3P1  ""","=""L10405"""
"=""5d4""","=""5D""","=""2""","=""""","=""0.553117""","=""""","=""0.000006""","=""0.27338""","=""  93                                                                    ""","=""L10405"""
"=""5d4""","=""5D""","=""3""","=""""","=""0.778349""","=""""","=""0.000006""","=""0.225232""","=""  91                                                                    ""","=""L10405"""
"=""5d4""","=""5D""","=""4""","=""""","=""0.953027""","=""""","=""0.000006""","=""0.174678""","=""  78                                 :    12  5d4                  3F2  ""","=""L10405"""
"=""5d4""","=""3P2""","=""0""","=""""","=""1.227977""","=""""","=""0.000009""","=""0.27495""","=""  35  5D                             :    30  5d4                  3P2  ""","=""L10405"""
"=""5d4""","=""3P2""","=""1""","=""""","=""1.597044""","=""""","=""0.000005""","=""0.36907""","=""  38                                 :    18  5d4                  3P1  ""","=""L10405"""
"=""5d4""","=""3P2""","=""2""","=""""","=""2.060751""","=""""","=""0.000004""","=""0.463707""","=""  36                                 :    16  5d4                  3P1  ""","=""L10405"""
"=""5d3.(4F).6s""","=""5F""","=""1""","=""""","=""1.359926""","=""""","=""0.000005""","=""-0.700825""","=""  82                                 :     5  5d3.(2D2).6s         3D   ""","=""L10405"""
"=""5d3.(4F).6s""","=""5F""","=""2""","=""""","=""1.540763""","=""""","=""0.000004""","=""0.180837""","=""  79                                                                    ""","=""L10405"""
"=""5d3.(4F).6s""","=""5F""","=""3""","=""""","=""1.864479""","=""""","=""0.000004""","=""0.323716""","=""  56                                 :    14  5d4                  3F2  ""","=""L10405"""
"=""5d3.(4F).6s""","=""5F""","=""4""","=""""","=""2.154895""","=""""","=""0.000004""","=""0.290416""","=""  73                                 :     8  5d4                  3H   ""","=""L10405"""
"=""5d3.(4F).6s""","=""5F""","=""5""","=""""","=""2.434064""","=""""","=""0.000005""","=""0.279169""","=""  69                                 :    15  5d3.(2G).6s          3G   ""","=""L10405"""
"=""5d4""","=""3H""","=""4""","=""""","=""1.698701""","=""""","=""0.000006""","=""-0.735363""","=""  52                                 :    16  5d4                  3G   ""","=""L10405"""
"=""5d4""","=""3H""","=""5""","=""""","=""2.073418""","=""""","=""0.000006""","=""0.374717""","=""  73                                 :    22  5d4                  3G   ""","=""L10405"""
"=""5d4""","=""3H""","=""6""","=""""","=""2.278941""","=""""","=""0.000007""","=""0.205523""","=""  81                                 :    17  5d4                  1I   ""","=""L10405"""
"=""5d4""","=""3F2""","=""2""","=""""","=""1.734804""","=""""","=""0.000005""","=""-0.544137""","=""  40                                 :    13  5d4                  3F1  ""","=""L10405"""
"=""5d4""","=""3F2""","=""3""","=""""","=""1.847340""","=""""","=""0.000004""","=""0.112536""","=""  37  5d3.(4F).6s 5F                 :    27  5d4                  3G   ""","=""L10405"""
"=""5d4""","=""3F2""","=""4""","=""""","=""2.278383""","=""""","=""0.000005""","=""0.431043""","=""  27                                 :    24  5d4                  3H   ""","=""L10405"""
"=""5d4""","=""3G""","=""3""","=""""","=""2.461318""","=""""","=""0.000004""","=""0.182935""","=""  36  3F2                            :    34  5d4                  3G   ""","=""L10405"""
"=""5d4""","=""3G""","=""4""","=""""","=""2.533311""","=""""","=""0.000005""","=""0.071993""","=""  46                                 :    18  5d4                  1G2  ""","=""L10405"""
"=""5d4""","=""3G""","=""5""","=""""","=""2.891039""","=""""","=""0.000005""","=""0.357728""","=""  57                                 :    22  5d3.(4F).6s          5F   ""","=""L10405"""
"=""5d4""","=""3D""","=""2""","=""""","=""2.566054""","=""""","=""0.000004""","=""-0.324985""","=""  22                                 :    18  5d4                  1D2  ""","=""L10405"""
"=""5d4""","=""3D""","=""3""","=""""","=""2.753947""","=""""","=""0.000004""","=""0.187893""","=""  64                                 :     8  5d3.(2D2).6s         3D   ""","=""L10405"""
"=""5d4""","=""3D""","=""1""","=""""","=""2.987665""","=""""","=""0.000005""","=""0.233718""","=""  70                                 :    15  5d3.(2D2).6s         3D   ""","=""L10405"""
"=""5d3.(4P).6s""","=""5P""","=""2""","=""""","=""2.846061""","=""""","=""0.000004""","=""-0.141604""","=""  38                                 :    16  5d4                  3P2  ""","=""L10405"""
"=""5d3.(4P).6s""","=""5P""","=""1""","=""""","=""2.861657""","=""""","=""0.000004""","=""0.015596""","=""  76                                 :    14  5d3.(2P).6s          3P   ""","=""L10405"""
"=""5d3.(4P).6s""","=""5P""","=""3""","=""""","=""3.3788831""","=""""","=""0.0000025""","=""0.517226""","=""  95                                                                    ""","=""L10405"""
"=""""","=""""","=""2""","=""""","=""3.036445""","=""""","=""0.000004""","=""-0.342438""","=""  19  5d3.(4F).6s 3F                 :    17  5d3.(4P).6s          5P   ""","=""L10405"""
"=""5d4""","=""1I""","=""6""","=""""","=""3.219100""","=""""","=""0.000010""","=""0.18266""","=""  83                                 :    16  5d4                  3H   ""","=""L10405"""
"=""5d4""","=""1G2""","=""4""","=""""","=""3.296559""","=""""","=""0.000004""","=""0.07746""","=""  37                                 :    24  5d3.(2G).6s          1G   ""","=""L10405"""
"=""5d2.6s2""","=""1S""","=""0""","=""""","=""3.437613""","=""""","=""0.000006""","=""0.141054""","=""  53                                 :    17  5d4                  1S2  ""","=""L10405"""
"=""5d3.(4F).6s""","=""3F""","=""2""","=""""","=""3.479362""","=""""","=""0.000004""","=""0.041749""","=""  48                                 :    22  5d4                  3D   ""","=""L10405"""
"=""5d3.(4F).6s""","=""3F""","=""3""","=""""","=""3.520047""","=""""","=""0.000004""","=""0.040685""","=""  45  5d3.(2G).6s 3G                 :    33  5d3.(4F).6s          3F   ""","=""L10405"""
"=""5d3.(4F).6s""","=""3F""","=""4""","=""""","=""4.6828559""","=""""","=""0.0000025""","=""1.162809""","=""  36                                 :    16  5d4                  1G1  ""","=""L10405"""
"=""5d3.(2H).6s""","=""3H""","=""4""","=""""","=""3.592745""","=""""","=""0.000004""","=""-1.090111""","=""  39                                 :    25  5d3.(2G).6s          3G   ""","=""L10405"""
"=""5d3.(2H).6s""","=""3H""","=""6""","=""""","=""4.392637""","=""""","=""0.000005""","=""0.799892""","=""  97                                                                    ""","=""L10405"""
"=""5d3.(2H).6s""","=""3H""","=""5""","=""""","=""4.575559""","=""""","=""0.000004""","=""0.182922""","=""  52                                 :    38  5d3.(2G).6s          3G   ""","=""L10405"""
"=""5d4""","=""1F""","=""3""","=""""","=""3.625953""","=""""","=""0.000005""","=""-0.949606""","=""  60                                 :    12  5d3.(2F).6s          1F   ""","=""L10405"""
"=""5d3.(2P).6s""","=""3P""","=""0""","=""""","=""3.659023""","=""""","=""0.000005""","=""0.033070""","=""  55                                 :    21  5d4                  3P2  ""","=""L10405"""
"=""5d3.(2P).6s""","=""3P""","=""2""","=""""","=""3.694836""","=""""","=""0.000004""","=""0.035813""","=""  28  5d3.(4P).6s 5P                 :    23  5d4                  3P1  ""","=""L10405"""
"=""5d3.(2P).6s""","=""3P""","=""1""","=""""","=""3.701641""","=""""","=""0.000004""","=""0.006805""","=""  33                                 :    20  5d3.(4P).6s          5P   ""","=""L10405"""
"=""5d3.(2G).6s""","=""3G""","=""4""","=""""","=""3.782419""","=""""","=""0.000004""","=""0.080778""","=""  35                                 :    21  5d4                  1G1  ""","=""L10405"""
"=""5d3.(2G).6s""","=""3G""","=""5""","=""""","=""3.869765""","=""""","=""0.000004""","=""0.087346""","=""  42  5d3.(2H).6s 3H                 :    30  5d3.(2G).6s          3G   ""","=""L10405"""
"=""5d3.(2G).6s""","=""3G""","=""3""","=""""","=""3.9453954""","=""""","=""0.0000025""","=""0.075630""","=""  35                                 :    34  5d3.(4F).6s          3F   ""","=""L10405"""
"=""""","=""""","=""1""","=""""","=""3.947481""","=""""","=""0.000004""","=""0.002086""","=""  23  5d3.(2P).6s 1P                 :    22  5d3.(2D2).6s         3D   ""","=""L10405"""
"=""""","=""""","=""4""","=""""","=""4.1697659""","=""""","=""0.0000025""","=""0.222285""","=""  27  5d3.(2H).6s 3H                 :    23  5d4                  3F1  ""","=""L10405"""
"=""""","=""""","=""2""","=""""","=""4.212033""","=""""","=""0.000004""","=""0.042267""","=""  17  5d4 3F2                        :    17  5d3.(2D2).6s         3D   ""","=""L10405"""
"=""""","=""""","=""3""","=""""","=""4.491509""","=""""","=""0.000004""","=""0.279476""","=""  22  5d4 3F2                        :    19  5d4                  3F1  ""","=""L10405"""
"=""""","=""""","=""2""","=""""","=""4.507236""","=""""","=""0.000004""","=""0.015727""","=""  16  5d4 3F2                        :    15  5d2.6s2              3F   ""","=""L10405"""
"=""""","=""""","=""4""","=""""","=""4.521368""","=""""","=""0.000004""","=""0.014132""","=""  28  5d4 3F1                        :    18  5d3.(2H).6s          3H   ""","=""L10405"""
"=""""","=""""","=""1""","=""""","=""4.687711""","=""""","=""0.000004""","=""0.166343""","=""  33  5d4 3P1                        :    29  5d3.(2P).6s          3P   ""","=""L10405"""
"=""5d3.(2D2).6s""","=""3D""","=""3""","=""""","=""4.875216""","=""""","=""0.000004""","=""0.187505""","=""  52                                 :    11  5d4                  3D   ""","=""L10405"""
"=""""","=""""","=""2""","=""""","=""4.878151""","=""""","=""0.000004""","=""0.002935""","=""  20  5d3.(2D2).6s 3D                :    17  5d3.(2P).6s          3P   ""","=""L10405"""
"=""5d3.(2H).6s""","=""1H""","=""5""","=""""","=""5.123343""","=""""","=""0.000004""","=""0.245192""","=""  88                                 :    11  5d3.(2G).6s          3G   ""","=""L10405"""
"=""5d3.(2F).6s""","=""3F""","=""2""","=""""","=""5.133438""","=""""","=""0.000004""","=""0.010095""","=""  39                                 :    18  5d4                  3F1  ""","=""L10405"""
"=""5d3.(2F).6s""","=""3F""","=""3""","=""""","=""5.283704""","=""""","=""0.000004""","=""0.150266""","=""  67                                 :    22  5d4                  3F1  ""","=""L10405"""
"=""5d3.(2F).6s""","=""3F""","=""4""","=""""","=""5.378218""","=""""","=""0.000004""","=""0.094514""","=""  67                                 :    13  5d4                  3F1  ""","=""L10405"""
"=""5d3.(2P).6s""","=""1P""","=""1""","=""""","=""5.154024""","=""""","=""0.000004""","=""-0.224194""","=""  50                                 :    14  5d3.(2D2).6s         3D   ""","=""L10405"""
"=""""","=""""","=""2""","=""""","=""5.627463""","=""""","=""0.000004""","=""0.473439""","=""  19  5d3.(2F).6s 3F                 :    17  5d3.(2D2).6s         3D   ""","=""L10405"""
"=""5d3.(4P).6s""","=""3P""","=""2""","=""""","=""5.735406""","=""""","=""0.000004""","=""0.107943""","=""  54                                 :    20  5d4                  3P2  ""","=""L10405"""
"=""5d3.(4P).6s""","=""3P""","=""1""","=""""","=""5.950677""","=""""","=""0.000005""","=""0.215271""","=""  44                                 :    20  5d4                  3P2  ""","=""L10405"""
"=""""","=""""","=""4""","=""""","=""5.849777""","=""""","=""0.000004""","=""-0.100900""","=""  34  5d3.(2G).6s 1G                 :    31  5d4                  1G2  ""","=""L10405"""
"=""5d4""","=""1D1""","=""2""","=""""","=""5.898898""","=""""","=""0.000004""","=""0.049121""","=""  28                                 :    15  5d2.6s2              3F   ""","=""L10405"""
"=""5d2.6s2""","=""3F""","=""2""","=""""","=""6.266111""","=""""","=""0.000005""","=""0.367213""","=""  31                                 :    19  5d4                  1D1  ""","=""L10405"""
"=""5d2.6s2""","=""3F""","=""3""","=""""","=""6.323533""","=""""","=""0.000004""","=""0.057422""","=""  43                                 :    21  5d3.(2F).6s          1F   ""","=""L10405"""
"=""5d2.6s2""","=""3F""","=""4""","=""""","=""6.889132""","=""""","=""0.000007""","=""0.565599""","=""  79                                 :     9  5d3.(2F).6s          3F   ""","=""L10405"""
"=""5d3.(2F).6s""","=""1F""","=""3""","=""""","=""6.517610""","=""""","=""0.000004""","=""-0.371522""","=""  39                                 :    27  5d2.6s2              3F   ""","=""L10405"""
"=""5d3.(2D1).6s""","=""3D""","=""2""","=""""","=""7.021572""","=""""","=""0.000006""","=""0.503962""","=""  66                                 :    20  5d3.(2D2).6s         3D   ""","=""L10405"""
"=""5d3.(2D1).6s""","=""3D""","=""1""","=""""","=""7.033919""","=""""","=""0.000007""","=""0.012347""","=""  65                                 :    32  5d3.(2D2).6s         3D   ""","=""L10405"""
"=""5d3.(2D1).6s""","=""3D""","=""3""","=""""","=""7.114822""","=""""","=""0.000005""","=""0.080903""","=""  60                                 :    22  5d3.(2F).6s          1F   ""","=""L10405"""
"=""5d3.(4F).6p""","=""5G*""","=""2""","=""""","=""7.095745""","=""""","=""0.000006""","=""-0.019077""","=""  72                                 :     9  5d3.(4F).6p          3F*  ""","=""L10405"""
"=""5d3.(4F).6p""","=""5G*""","=""3""","=""""","=""7.623585""","=""""","=""0.000005""","=""0.527840""","=""  83                                 :     6  5d3.(4F).6p          3F*  ""","=""L10405"""
"=""5d3.(4F).6p""","=""5G*""","=""4""","=""""","=""8.072121""","=""""","=""0.000005""","=""0.448536""","=""  70                                 :     7  5d3.(4F).6p          5F*  ""","=""L10405"""
"=""5d3.(4F).6p""","=""5G*""","=""5""","=""""","=""9.086760""","=""""","=""0.000006""","=""1.014639""","=""  59                                 :    13  5d3.(4F).6p          5F*  ""","=""L10405"""
"=""5d3.(4F).6p""","=""5G*""","=""6""","=""""","=""9.385258""","=""""","=""0.000007""","=""0.298498""","=""  79                                 :    18  5d3.(2G).6p          3H*  ""","=""L10405"""
"=""5d3.(4F).6p""","=""5F*""","=""1""","=""""","=""7.463335""","=""""","=""0.000006""","=""-1.921923""","=""  46                                 :    34  5d3.(4F).6p          5D*  ""","=""L10405"""
"=""5d3.(4F).6p""","=""5F*""","=""2""","=""""","=""8.320728""","=""""","=""0.000005""","=""0.857393""","=""  34                                 :    11  5d3.(2P).6p          3D*  ""","=""L10405"""
"=""5d3.(4F).6p""","=""5F*""","=""3""","=""""","=""8.330172""","=""""","=""0.000005""","=""0.009444""","=""  50                                 :    17  5d3.(4F).6p          5D*  ""","=""L10405"""
