Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Leading percentages,Reference
"=""5d2""","=""3F""","=""2""","=""""","=""0.00000""","=""""","=""0""","=""""","=""  90         :    10  5d2             1D         ""","=""L6650"""
"=""5d2""","=""3F""","=""3""","=""""","=""0.77424""","=""""","=""0.00006""","=""0.77424""","="" 100                                             ""","=""L6650"""
"=""5d2""","=""3F""","=""4""","=""""","=""1.42822""","=""""","=""0.00006""","=""0.65398""","=""  91         :     9  5d2             1G         ""","=""L6650"""
"=""5d2""","=""3P""","=""0""","=""""","=""1.59180""","=""""","=""0.00012""","=""0.1636""","=""  93         :     7  5d2             1S         ""","=""L6650"""
"=""5d2""","=""3P""","=""1""","=""""","=""2.02474""","=""""","=""0.00006""","=""0.4329""","="" 100                                             ""","=""L6650"""
"=""5d2""","=""3P""","=""2""","=""""","=""2.80395""","=""""","=""0.00006""","=""0.77921""","=""  67         :    32  5d2             1D         ""","=""L6650"""
"=""5d2""","=""1D""","=""2""","=""""","=""1.70373""","=""""","=""0.00006""","=""-1.10022""","=""  57         :    33  5d2             3P         ""","=""L6650"""
"=""5d2""","=""1G""","=""4""","=""""","=""2.77053""","=""""","=""0.00012""","=""1.0668""","=""  91         :     9  5d2             3F         ""","=""L6650"""
"=""5d2""","=""1S""","=""0""","=""""","=""5.34497""","=""""","=""0.00012""","=""2.5744""","=""  92         :     7  5d2             3P         ""","=""L6650"""
"=""5d.6s""","=""3D""","=""1""","=""""","=""7.25484""","=""""","=""0.00006""","=""1.9099""","="" 100                                             ""","=""L6650"""
"=""5d.6s""","=""3D""","=""2""","=""""","=""7.47569""","=""""","=""0.00006""","=""0.22085""","=""  89         :    11  5d.6s           1D         ""","=""L6650"""
"=""5d.6s""","=""3D""","=""3""","=""""","=""8.26450""","=""""","=""0.00006""","=""0.78881""","="" 100                                             ""","=""L6650"""
"=""5d.6s""","=""1D""","=""2""","=""""","=""9.04573""","=""""","=""0.00006""","=""0.78123""","=""  87         :    11  5d.6s           3D         ""","=""L6650"""
"=""5d.(2D<3/2>).6p""","=""(3/2,1/2)*""","=""2""","=""""","=""14.71231""","=""""","=""0.00006""","=""5.66658""","=""  99                                             ""","=""L6650"""
"=""5d.(2D<3/2>).6p""","=""(3/2,1/2)*""","=""1""","=""""","=""15.16647""","=""""","=""0.00006""","=""0.45416""","=""  96                                             ""","=""L6650"""
"=""5d.(2D<5/2>).6p""","=""(5/2,1/2)*""","=""2""","=""""","=""15.99360""","=""""","=""0.00006""","=""0.82713""","=""  96                                             ""","=""L6650"""
"=""5d.(2D<5/2>).6p""","=""(5/2,1/2)*""","=""3""","=""""","=""16.05341""","=""""","=""0.00006""","=""0.05981""","=""  91         :     8  5d.(2D<5/2>).6p (3/2,3/2)* ""","=""L6650"""
"=""5d.(2D<3/2>).6p""","=""(3/2,3/2)*""","=""2""","=""""","=""16.54321""","=""""","=""0.00006""","=""0.48980""","=""  97                                             ""","=""L6650"""
"=""5d.(2D<3/2>).6p""","=""(3/2,3/2)*""","=""3""","=""""","=""16.97192""","=""""","=""0.00006""","=""0.42871""","=""  82         :    12  5d.(2D<3/2>).6p (5/2,3/2)* ""","=""L6650"""
"=""5d.(2D<3/2>).6p""","=""(3/2,3/2)*""","=""1""","=""""","=""17.07378""","=""""","=""0.00006""","=""0.10186""","=""  97                                             ""","=""L6650"""
"=""5d.(2D<3/2>).6p""","=""(3/2,3/2)*""","=""0""","=""""","=""17.26506""","=""""","=""0.00006""","=""0.19128""","="" 100                                             ""","=""L6650"""
"=""5d.(2D<5/2>).6p""","=""(5/2,3/2)*""","=""4""","=""""","=""17.71832""","=""""","=""0.00006""","=""0.45326""","="" 100                                             ""","=""L6650"""
"=""5d.(2D<5/2>).6p""","=""(5/2,3/2)*""","=""2""","=""""","=""17.90207""","=""""","=""0.00006""","=""0.18375""","=""  92                                             ""","=""L6650"""
"=""5d.(2D<5/2>).6p""","=""(5/2,3/2)*""","=""3""","=""""","=""18.07292""","=""""","=""0.00006""","=""0.17085""","=""  91         :     8  5d.(2D<5/2>).6p (3/2,3/2)* ""","=""L6650"""
"=""5d.(2D<5/2>).6p""","=""(5/2,3/2)*""","=""1""","=""""","=""18.49350""","=""""","=""0.00006""","=""0.42058""","=""  99                                             ""","=""L6650"""
"=""6s.6p""","=""3P*""","=""0""","=""""","=""22.56967""","=""""","=""0.00006""","=""4.07617""","="" 100                                             ""","=""L6650"""
"=""6s.6p""","=""3P*""","=""1""","=""""","=""23.03096""","=""""","=""0.00006""","=""0.46129""","=""  93         :     7  6s.6p           1P*        ""","=""L6650"""
"=""6s.6p""","=""3P*""","=""2""","=""""","=""24.56229""","=""""","=""0.00006""","=""1.53133""","="" 100                                             ""","=""L6650"""
"=""6s.6p""","=""1P*""","=""1""","=""""","=""26.68297""","=""""","=""0.00006""","=""2.12068""","=""  93         :     7  6s.6p           3P*        ""","=""L6650"""
"=""5d.(2D<3/2>).5f""","=""(3/2,5/2)*""","=""4""","=""""","=""28.2109""","=""""","=""0.0005""","=""1.5279""","=""  69                                             ""","=""L11622"""
"=""5d.(2D<3/2>).5f""","=""(3/2,5/2)*""","=""2""","=""""","=""28.3554""","=""""","=""0.0005""","=""0.1445""","=""  94                                             ""","=""L11622"""
"=""5d.(2D<3/2>).5f""","=""(3/2,5/2)*""","=""3""","=""""","=""28.7904""","=""""","=""0.0005""","=""0.4350""","=""  71                                             ""","=""L11622"""
"=""5d.(2D<3/2>).5f""","=""(3/2,5/2)*""","=""1""","=""""","=""29.2680""","=""""","=""0.0005""","=""0.4776""","=""  79                                             ""","=""L11622"""
"=""5d.(2D<3/2>).5f""","=""(3/2,7/2)*""","=""4""","=""""","=""28.4178""","=""""","=""0.0005""","=""-0.8502""","=""  65                                             ""","=""L11622"""
"=""5d.(2D<3/2>).5f""","=""(3/2,7/2)*""","=""3""","=""""","=""28.5006""","=""""","=""0.0005""","=""0.0828""","=""  66                                             ""","=""L11622"""
"=""5d.(2D<3/2>).5f""","=""(3/2,7/2)*""","=""5""","=""""","=""28.6526""","=""""","=""0.0005""","=""0.1520""","=""  81                                             ""","=""L11622"""
"=""5d.(2D<3/2>).5f""","=""(3/2,7/2)*""","=""2""","=""""","=""28.9880""","=""""","=""0.0005""","=""0.3354""","=""  81                                             ""","=""L11622"""
"=""5d.(2D<5/2>).5f""","=""(5/2,7/2)*""","=""4""","=""""","=""29.2104""","=""""","=""0.0005""","=""0.2224""","=""  86                                             ""","=""L11622"""
"=""5d.(2D<5/2>).5f""","=""(5/2,7/2)*""","=""5""","=""""","=""29.7083""","=""""","=""0.0005""","=""0.4979""","=""  66                                             ""","=""L11622"""
"=""5d.(2D<5/2>).5f""","=""(5/2,7/2)*""","=""3""","=""""","=""30.0830""","=""""","=""0.0005""","=""0.3747""","=""  93                                             ""","=""L11622"""
"=""5d.(2D<5/2>).5f""","=""(5/2,7/2)*""","=""2""","=""""","=""30.1223""","=""""","=""0.0005""","=""0.0393""","=""  57                                             ""","=""L11622"""
"=""5d.(2D<5/2>).5f""","=""(5/2,7/2)*""","=""1""","=""""","=""30.8491""","=""""","=""0.0005""","=""0.7268""","=""  64                                             ""","=""L11592"""
"=""5d.(2D<5/2>).5f""","=""(5/2,5/2)*""","=""4""","=""""","=""29.5379""","=""""","=""0.0005""","=""-1.3112""","=""  81                                             ""","=""L11622"""
"=""5d.(2D<5/2>).5f""","=""(5/2,5/2)*""","=""2""","=""""","=""29.5984""","=""""","=""0.0005""","=""0.0605""","=""  57                                             ""","=""L11622"""
"=""5d.(2D<5/2>).5f""","=""(5/2,5/2)*""","=""3""","=""""","=""29.6888""","=""""","=""0.0005""","=""0.0904""","=""  84                                             ""","=""L11622"""
"=""5d.(2D<5/2>).5f""","=""(5/2,5/2)*""","=""1""","=""""","=""30.2037""","=""""","=""0.0005""","=""0.5149""","=""  91                                             ""","=""L11622"""
"=""5d.(2D<5/2>).5f""","=""(5/2,5/2)*""","=""5""","=""""","=""30.6413""","=""""","=""0.0005""","=""0.4376""","=""  52                                             ""","=""L11622"""
"=""5d.(2D<3/2>).7p""","=""(3/2,1/2)*""","=""2""","=""""","=""31.1339""","=""""","=""0.0005""","=""0.4926""","=""  99                                             ""","=""L11592"""
"=""5d.(2D<3/2>).7p""","=""(3/2,1/2)*""","=""1""","=""""","=""31.3428""","=""""","=""0.0005""","=""0.2089""","=""  66                                             ""","=""L11592"""
"=""5d.(2D<3/2>).7p""","=""(3/2,3/2)*""","=""2""","=""""","=""31.8253""","=""""","=""0.0005""","=""0.4825""","=""  97                                             ""","=""L11592"""
"=""5d.(2D<3/2>).7p""","=""(3/2,3/2)*""","=""3""","=""""","=""31.9749""","=""""","=""0.0005""","=""0.1496""","=""  96                                             ""","=""L11592"""
"=""5d.(2D<3/2>).7p""","=""(3/2,3/2)*""","=""1""","=""""","=""32.0844""","=""""","=""0.0005""","=""0.1095""","=""  88                                             ""","=""L11592"""
"=""5d.(2D<3/2>).7p""","=""(3/2,3/2)*""","=""0""","=""""","=""32.1243""","=""""","=""0.0005""","=""0.0399""","=""  99                                             ""","=""L11592"""
"=""5d.(2D<5/2>).7p""","=""(5/2,1/2)*""","=""2""","=""""","=""32.2402""","=""""","=""0.0005""","=""0.1159""","=""  93                                             ""","=""L11592"""
"=""5d.(2D<5/2>).7p""","=""(5/2,1/2)*""","=""3""","=""""","=""32.2840""","=""""","=""0.0005""","=""0.0438""","=""  94                                             ""","=""L11592"""
"=""5d.(2D<5/2>).7p""","=""(5/2,3/2)*""","=""3""","=""""","=""32.9467""","=""""","=""0.0005""","=""0.6627""","=""  95                                             ""","=""L11592"""
