Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Lande,Reference
"=""5s2.5p5""","=""2P*""","=""3/2""","=""""","=""0.000000""","=""""","=""0""","=""""","=""""","=""L6925"""
"=""5s2.5p5""","=""2P*""","=""1/2""","=""""","=""1.306423""","=""""","=""""","=""1.306423""","=""""","=""L6925"""
"=""5s.5p6""","=""2S""","=""1/2""","=""""","=""11.266919""","=""""","=""""","=""9.96050""","=""2.02""","=""L6925"""
"=""5s2.5p4.(3P<2>).6s""","=""2[2]""","=""5/2""","=""""","=""11.539016""","=""""","=""""","=""0.27210""","=""1.56""","=""L6925"""
"=""5s2.5p4.(3P<2>).6s""","=""2[2]""","=""3/2""","=""""","=""11.786481""","=""""","=""""","=""0.24747""","=""1.38""","=""L6925"""
"=""5s2.5p4.(3P<2>).5d""","=""2[2]""","=""5/2""","=""""","=""11.827688""","=""""","=""""","=""0.04121""","=""1.36""","=""L6925"""
"=""5s2.5p4.(3P<2>).5d""","=""2[2]""","=""3/2""","=""""","=""11.906634""","=""""","=""""","=""0.07895""","=""1.18""","=""L6925"""
"=""5s2.5p4.(3P<2>).5d""","=""2[3]""","=""7/2""","=""""","=""11.832763""","=""""","=""""","=""-0.07387""","=""1.420""","=""L6925"""
"=""5s2.5p4.(3P<2>).5d""","=""2[3]""","=""5/2""","=""""","=""13.201244""","=""""","=""""","=""1.36848""","=""""","=""L6925"""
"=""5s2.5p4.(3P<2>).5d""","=""2[1]""","=""1/2""","=""""","=""12.008884""","=""""","=""""","=""-1.19236""","=""0.50""","=""L6925"""
"=""5s2.5p4.(3P<2>).5d""","=""2[1]""","=""3/2""","=""""","=""13.057189""","=""""","=""""","=""1.04830""","=""1.15""","=""L6925"""
"=""5s2.5p4.(3P<2>).5d""","=""2[4]""","=""9/2""","=""""","=""12.324648""","=""""","=""""","=""-0.73254""","=""1.31""","=""L6925"""
"=""5s2.5p4.(3P<2>).5d""","=""2[4]""","=""7/2""","=""""","=""12.588819""","=""""","=""""","=""0.26417""","=""1.11""","=""L6925"""
"=""5s2.5p4.(3P<0>).6s""","=""2[0]""","=""1/2""","=""""","=""12.541929""","=""""","=""""","=""-0.04689""","=""2.43""","=""L6925"""
"=""5s2.5p4.(3P<1>).6s""","=""2[1]""","=""3/2""","=""""","=""12.745460""","=""""","=""""","=""0.20353""","=""1.59""","=""L6925"""
"=""5s2.5p4.(3P<1>).6s""","=""2[1]""","=""1/2""","=""""","=""13.254670""","=""""","=""""","=""0.50921""","=""1.79""","=""L6925"""
"=""5s2.5p4.(3P<1>).5d""","=""2[1]""","=""1/2""","=""""","=""12.925360""","=""""","=""""","=""-0.32931""","=""0.56""","=""L6925"""
"=""5s2.5p4.(3P<1>).5d""","=""2[1]""","=""3/2""","=""""","=""13.378453""","=""""","=""""","=""0.45309""","=""1.20""","=""L6925"""
"=""5s2.5p4.(3P<2>).5d""","=""2[0]""","=""1/2""","=""""","=""13.135822""","=""""","=""""","=""-0.24263""","=""1.36""","=""L6925"""
"=""5s2.5p4.(3P<0>).5d""","=""2[2]""","=""3/2""","=""""","=""13.313639""","=""""","=""""","=""0.17782""","=""0.67""","=""L6925"""
"=""5s2.5p4.(3P<0>).5d""","=""2[2]""","=""5/2""","=""""","=""13.391196""","=""""","=""""","=""0.07756""","=""1.22""","=""L6925"""
"=""5s2.5p4.(3P<1>).5d""","=""2[3]""","=""7/2""","=""""","=""13.442747""","=""""","=""""","=""0.05155""","=""1.15""","=""L6925"""
"=""5s2.5p4.(3P<1>).5d""","=""2[3]""","=""5/2""","=""""","=""14.227321""","=""""","=""""","=""0.78457""","=""1.10""","=""L6925"""
"=""5s2.5p4.(1D<2>).6s""","=""2[2]""","=""5/2""","=""""","=""13.584098""","=""""","=""""","=""-0.64322""","=""1.33""","=""L6925"""
"=""5s2.5p4.(1D<2>).6s""","=""2[2]""","=""3/2""","=""""","=""14.000896""","=""""","=""""","=""0.41680""","=""0.95""","=""L6925"""
