Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Lande,Reference
"=""5s2.5p4""","=""3P""","=""2""","=""""","=""0.000000""","=""""","=""0""","=""""","=""""","=""L10579"""
"=""5s2.5p4""","=""3P""","=""0""","=""""","=""1.008001""","=""""","=""""","=""1.008001""","=""""","=""L10579"""
"=""5s2.5p4""","=""3P""","=""1""","=""""","=""1.214346""","=""""","=""""","=""0.20635""","=""""","=""L10579"""
"=""5s2.5p4""","=""1D""","=""2""","=""""","=""2.119972""","=""""","=""""","=""0.90563""","=""""","=""L10579"""
"=""5s2.5p4""","=""1S""","=""0""","=""""","=""4.476194""","=""""","=""""","=""2.35622""","=""""","=""L10579"""
"=""5s.5p5""","=""3P*""","=""2""","=""""","=""12.182994""","=""""","=""""","=""7.70680""","=""""","=""L10579"""
"=""5s.5p5""","=""3P*""","=""1""","=""""","=""12.840820""","=""""","=""""","=""0.65783""","=""""","=""L10579"""
"=""5s.5p5""","=""3P*""","=""0""","=""""","=""13.431674""","=""""","=""""","=""0.59085""","=""""","=""L10579"""
"=""5s2.5p3.(4S*).5d""","=""5D*""","=""3""","=""""","=""13.837307""","=""""","=""""","=""0.40563""","=""""","=""L10579"""
"=""5s2.5p3.(4S*).5d""","=""5D*""","=""2""","=""""","=""13.868424""","=""""","=""""","=""0.03112""","=""""","=""L10579"""
"=""5s2.5p3.(4S*).5d""","=""5D*""","=""4""","=""""","=""13.919927""","=""""","=""""","=""0.05150""","=""""","=""L10579"""
"=""5s2.5p3.(4S*).5d""","=""5D*""","=""1""","=""""","=""13.942011""","=""""","=""""","=""0.02208""","=""""","=""L10579"""
"=""5s2.5p3.(4S*).5d""","=""5D*""","=""0""","=""""","=""13.972269""","=""""","=""""","=""0.03026""","=""""","=""L10579"""
"=""5s2.5p3.(4S*).5d""","=""3D*""","=""2""","=""""","=""14.535917""","=""""","=""""","=""0.56365""","=""""","=""L10579"""
"=""5s2.5p3.(4S*).5d""","=""3D*""","=""3""","=""""","=""15.030552""","=""""","=""""","=""0.49464""","=""""","=""L10579"""
"=""5s2.5p3.(4S*).5d""","=""3D*""","=""1""","=""""","=""15.116494""","=""""","=""""","=""0.08594""","=""""","=""L10579"""
"=""5s2.5p3.(2D*).5d""","=""1P*""","=""1""","=""""","=""14.757347""","=""""","=""""","=""-0.35915""","=""""","=""L10579"""
"=""5s2.5p3.(4S*).6s""","=""5S*""","=""2""","=""""","=""15.061097""","=""""","=""""","=""0.30375""","=""1.95""","=""L10579"""
"=""5s2.5p3.(2D*).5d""","=""3F*""","=""2""","=""""","=""15.459755""","=""""","=""""","=""0.39866""","=""""","=""L10579"""
"=""5s2.5p3.(2D*).5d""","=""3F*""","=""3""","=""""","=""15.636859""","=""""","=""""","=""0.17710""","=""""","=""L10579"""
"=""5s2.5p3.(2D*).5d""","=""3F*""","=""4""","=""""","=""16.139486""","=""""","=""""","=""0.50263""","=""""","=""L10579"""
"=""5s2.5p3.(4S*).6s""","=""3S*""","=""1""","=""""","=""15.574530""","=""""","=""""","=""-0.56496""","=""1.77""","=""L10579"""
"=""5s2.5p3.(2D*).5d""","=""3G*""","=""4""","=""""","=""15.842966""","=""""","=""""","=""0.26844""","=""""","=""L10579"""
"=""5s2.5p3.(2D*).5d""","=""3G*""","=""3""","=""""","=""15.913266""","=""""","=""""","=""0.07030""","=""""","=""L10579"""
"=""5s2.5p3.(2D*).5d""","=""3G*""","=""5""","=""""","=""16.385744""","=""""","=""""","=""0.47248""","=""""","=""L10579"""
"=""5s2.5p3.(2D*).5d""","=""1G*""","=""4""","=""""","=""16.454164""","=""""","=""""","=""0.06842""","=""""","=""L10579"""
"=""5s2.5p3.(2D*).5d""","=""3D*""","=""1""","=""""","=""16.518912""","=""""","=""""","=""0.06475""","=""0.38""","=""L10579"""
"=""5s2.5p3.(2D*).5d""","=""3D*""","=""2""","=""""","=""17.613725""","=""""","=""""","=""1.09481""","=""1.12""","=""L10579"""
"=""5s2.5p3.(2D*).5d""","=""3D*""","=""3""","=""""","=""17.749112""","=""""","=""""","=""0.13539""","=""1.22""","=""L10579"""
"=""5s2.5p3.(2D*).6s""","=""3D*""","=""2""","=""""","=""16.696632""","=""""","=""""","=""-1.05248""","=""1.18""","=""L10579"""
"=""5s2.5p3.(2D*).6s""","=""3D*""","=""1""","=""""","=""17.127858""","=""""","=""""","=""0.43123""","=""0.50""","=""L10579"""
"=""5s2.5p3.(2D*).6s""","=""3D*""","=""3""","=""""","=""17.191426""","=""""","=""""","=""0.06357""","=""1.33""","=""L10579"""
"=""5s2.5p3.(2P*).5d""","=""1D*""","=""2""","=""""","=""16.907413""","=""""","=""""","=""-0.28401""","=""0.90""","=""L10579"""
"=""5s2.5p3.(2P*).5d""","=""3P*""","=""0""","=""""","=""17.412067""","=""""","=""""","=""0.50465""","=""""","=""L10579"""
"=""5s2.5p3.(2P*).5d""","=""3P*""","=""1""","=""""","=""17.448412""","=""""","=""""","=""0.03635""","=""1.56""","=""L10579"""
"=""5s2.5p3.(2P*).5d""","=""3P*""","=""2""","=""""","=""18.647749""","=""""","=""""","=""1.19934""","=""""","=""L10579"""
"=""5s2.5p3.(2D*).6s""","=""1D*""","=""2""","=""""","=""17.735716""","=""""","=""""","=""-0.91203""","=""0.96""","=""L10579"""
"=""5s2.5p3.(2P*).5d""","=""3F*""","=""2""","=""""","=""18.014920""","=""""","=""""","=""0.27920""","=""0.81""","=""L10579"""
"=""5s2.5p3.(2P*).5d""","=""3F*""","=""3""","=""""","=""18.019976""","=""""","=""""","=""0.00506""","=""""","=""L10579"""
"=""5s2.5p3.(2P*).5d""","=""3F*""","=""4""","=""""","=""18.416057""","=""""","=""""","=""0.39608""","=""""","=""L10579"""
"=""5s2.5p3.(4S*).6p""","=""5P""","=""1""","=""""","=""18.198584""","=""""","=""""","=""-0.21747""","=""2.28""","=""L10579"""
"=""5s2.5p3.(4S*).6p""","=""5P""","=""2""","=""""","=""18.221018""","=""""","=""""","=""0.02243""","=""1.70""","=""L10579"""
"=""5s2.5p3.(4S*).6p""","=""5P""","=""3""","=""""","=""18.481279""","=""""","=""""","=""0.26026""","=""1.57""","=""L10579"""
"=""5s2.5p3.(2D*).5d""","=""3S*""","=""1""","=""""","=""18.324543""","=""""","=""""","=""-0.15674""","=""""","=""L10579"""
"=""5s2.5p3.(2D*).5d""","=""3P*""","=""2""","=""""","=""18.395552""","=""""","=""""","=""0.07101""","=""""","=""L10579"""
"=""5s2.5p3.(2D*).5d""","=""3P*""","=""1""","=""""","=""19.172838""","=""""","=""""","=""0.77729""","=""""","=""L10579"""
"=""5s2.5p3.(2D*).5d""","=""3P*""","=""0""","=""""","=""19.928448""","=""""","=""""","=""0.75561""","=""""","=""L10579"""
"=""5s2.5p3.(2D*).5d""","=""1F*""","=""3""","=""""","=""18.400847""","=""""","=""""","=""-1.52760""","=""""","=""L10579"""
"=""5s2.5p3.(4S*).6p""","=""3P""","=""1""","=""""","=""18.634961""","=""""","=""""","=""0.23411""","=""1.59""","=""L10579"""
"=""5s2.5p3.(4S*).6p""","=""3P""","=""2""","=""""","=""18.852755""","=""""","=""""","=""0.21779""","=""1.50""","=""L10579"""
"=""5s2.5p3.(4S*).6p""","=""3P""","=""0""","=""""","=""18.945798""","=""""","=""""","=""0.09304""","=""""","=""L10579"""
"=""5s2.5p3.(2P*).6s""","=""3P*""","=""0""","=""""","=""18.660280""","=""""","=""""","=""-0.28552""","=""""","=""L10579"""
"=""5s2.5p3.(2P*).6s""","=""3P*""","=""1""","=""""","=""18.781428""","=""""","=""""","=""0.12115""","=""1.47""","=""L10579"""
"=""5s2.5p3.(2P*).6s""","=""3P*""","=""2""","=""""","=""19.704573""","=""""","=""""","=""0.92315""","=""""","=""L10579"""
"=""5s2.5p3.(2P*).5d""","=""3D*""","=""2""","=""""","=""19.080325""","=""""","=""""","=""-0.62425""","=""""","=""L10579"""
"=""5s2.5p3.(2P*).5d""","=""3D*""","=""1""","=""""","=""19.267256""","=""""","=""""","=""0.18693""","=""""","=""L10579"""
"=""5s2.5p3.(2P*).5d""","=""3D*""","=""3""","=""""","=""19.390221""","=""""","=""""","=""0.12297""","=""""","=""L10579"""
