Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Reference
"=""5s2.5p2""","=""3P""","=""0""","=""""","=""0.00000""","=""""","=""0""","=""""","=""L7287"""
"=""5s2.5p2""","=""3P""","=""1""","=""""","=""1.15204""","=""""","=""""","=""1.15204""","=""L7287"""
"=""5s2.5p2""","=""3P""","=""2""","=""""","=""1.75149""","=""""","=""""","=""0.5995""","=""L7287"""
"=""5s2.5p2""","=""1D""","=""2""","=""""","=""3.52254""","=""""","=""""","=""1.7710""","=""L7287"""
"=""5s2.5p2""","=""1S""","=""0""","=""""","=""5.51363""","=""""","=""""","=""1.9911""","=""L7287"""
"=""5s.5p3""","=""5S*""","=""2""","=""""","=""11.42921""","=""""","=""""","=""5.9156""","=""L7287"""
"=""5s.5p3""","=""3D*""","=""1""","=""""","=""14.29368""","=""""","=""""","=""2.8645""","=""L7287"""
"=""5s.5p3""","=""3D*""","=""2""","=""""","=""14.39419""","=""""","=""""","=""0.1005""","=""L7287"""
"=""5s.5p3""","=""3D*""","=""3""","=""""","=""14.86806""","=""""","=""""","=""0.4739""","=""L7287"""
"=""5s.5p3""","=""3P*""","=""0""","=""""","=""16.54050""","=""""","=""""","=""1.6724""","=""L7287"""
"=""5s.5p3""","=""3P*""","=""1""","=""""","=""16.68520""","=""""","=""""","=""0.1447""","=""L7287"""
"=""5s.5p3""","=""3P*""","=""2""","=""""","=""16.70101""","=""""","=""""","=""0.0158""","=""L7287"""
"=""5s.5p3""","=""1D*""","=""2""","=""""","=""18.07776""","=""""","=""""","=""1.3768""","=""L7287"""
"=""5s.5p3""","=""3S*""","=""1""","=""""","=""19.28179""","=""""","=""""","=""1.2040""","=""L7287"""
"=""5s2.5p.(2P*).5d""","=""3F*""","=""2""","=""""","=""19.40437""","=""""","=""""","=""0.1226""","=""L7287"""
"=""5s2.5p.(2P*).5d""","=""3F*""","=""3""","=""""","=""19.91563""","=""""","=""""","=""0.5113""","=""L7287"""
"=""5s2.5p.(2P*).5d""","=""3F*""","=""4""","=""""","=""21.05244""","=""""","=""""","=""1.1368""","=""L7287"""
"=""5s.5p3""","=""1P*""","=""1""","=""""","=""21.03672""","=""""","=""""","=""-0.0157""","=""L7287"""
"=""5s2.5p.(2P*).5d""","=""3P*""","=""2""","=""""","=""21.19976""","=""""","=""""","=""0.1630""","=""L7287"""
"=""5s2.5p.(2P*).5d""","=""3P*""","=""0""","=""""","=""22.69223""","=""""","=""""","=""1.4925""","=""L7287"""
"=""5s2.5p.(2P*).5d""","=""3P*""","=""1""","=""""","=""22.83139""","=""""","=""""","=""0.1392""","=""L7287"""
"=""5s2.5p.(2P*).5d""","=""3D*""","=""1""","=""""","=""21.45816""","=""""","=""""","=""-1.3732""","=""L7287"""
"=""5s2.5p.(2P*).5d""","=""3D*""","=""2""","=""""","=""22.44167""","=""""","=""""","=""0.9835""","=""L7287"""
"=""5s2.5p.(2P*).5d""","=""3D*""","=""3""","=""""","=""22.58585""","=""""","=""""","=""0.1442""","=""L7287"""
"=""5s2.5p.(2P*).5d""","=""1D*""","=""2""","=""""","=""23.03564""","=""""","=""""","=""0.4498""","=""L7287"""
"=""5s2.5p.(2P*).4f""","=""3G""","=""3""","=""""","=""23.15364""","=""""","=""""","=""0.1180""","=""L7287"""
"=""5s2.5p.(2P*).4f""","=""3G""","=""4""","=""""","=""24.98842""","=""""","=""""","=""1.8348""","=""L7287"""
"=""5s2.5p.(2P*).4f""","=""3G""","=""5""","=""""","=""25.07975""","=""""","=""""","=""0.0913""","=""L7287"""
"=""5s2.5p.(2P*).4f""","=""3F""","=""3""","=""""","=""23.51531""","=""""","=""""","=""-1.5644""","=""L7287"""
