Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Lande,Reference
"=""4d.5s2""","=""a 2D""","=""3/2""","=""""","=""0.0000000""","=""""","=""0.0000000""","=""""","=""0.798""","=""L7610"""
"=""4d.5s2""","=""a 2D""","=""5/2""","=""""","=""0.06575514""","=""""","=""0.00000012""","=""0.06575514""","=""1.196""","=""L7610"""
"=""5s2.5p""","=""z 2P*""","=""1/2""","=""""","=""1.30545058""","=""""","=""0.00000012""","=""1.2396954""","=""0.63""","=""L7610"""
"=""5s2.5p""","=""z 2P*""","=""3/2""","=""""","=""1.40843037""","=""""","=""0.00000012""","=""0.1029798""","=""1.34""","=""L7610"""
"=""4d2.(3F).5s""","=""a 4F""","=""3/2""","=""""","=""1.35606353""","=""""","=""0.00000012""","=""-0.0523668""","=""0.402""","=""L7610"""
"=""4d2.(3F).5s""","=""a 4F""","=""5/2""","=""""","=""1.37357308""","=""""","=""0.00000012""","=""0.0175095""","=""1.033""","=""L7610"""
"=""4d2.(3F).5s""","=""a 4F""","=""7/2""","=""""","=""1.39828486""","=""""","=""0.00000012""","=""0.0247118""","=""1.242""","=""L7610"""
"=""4d2.(3F).5s""","=""a 4F""","=""9/2""","=""""","=""1.42979768""","=""""","=""0.00000025""","=""0.0315128""","=""1.337""","=""L7610"""
"=""4d.5s.(3D).5p""","=""z 4F*""","=""3/2""","=""""","=""1.85343904""","=""""","=""0.00000012""","=""0.4236414""","=""0.47""","=""L7610"""
"=""4d.5s.(3D).5p""","=""z 4F*""","=""5/2""","=""""","=""1.89023866""","=""""","=""0.00000012""","=""0.0367996""","=""1.08""","=""L7610"""
"=""4d.5s.(3D).5p""","=""z 4F*""","=""7/2""","=""""","=""1.94810445""","=""""","=""0.00000012""","=""0.0578658""","=""1.26""","=""L7610"""
"=""4d.5s.(3D).5p""","=""z 4F*""","=""9/2""","=""""","=""2.01280684""","=""""","=""0.00000025""","=""0.0647024""","=""1.33""","=""L7610"""
"=""4d2.(3P).5s""","=""a 4P""","=""1/2""","=""""","=""1.88724197""","=""""","=""0.00000025""","=""-0.1255649""","=""2.61""","=""L7610"""
"=""4d2.(3P).5s""","=""a 4P""","=""3/2""","=""""","=""1.90053704""","=""""","=""0.00000012""","=""0.0132951""","=""1.62""","=""L7610"""
"=""4d2.(3P).5s""","=""a 4P""","=""5/2""","=""""","=""1.91884554""","=""""","=""0.00000012""","=""0.0183085""","=""1.27""","=""L7610"""
"=""4d2.(3F).5s""","=""a 2F""","=""5/2""","=""""","=""1.90027370""","=""""","=""0.00000012""","=""-0.0185718""","=""1.15""","=""L7610"""
"=""4d2.(3F).5s""","=""a 2F""","=""7/2""","=""""","=""1.96694496""","=""""","=""0.00000012""","=""0.0666713""","=""1.17""","=""L7610"""
"=""4d2.(1D).5s""","=""b 2D""","=""3/2""","=""""","=""1.98300885""","=""""","=""0.00000012""","=""0.0160639""","=""0.86""","=""L7610"""
"=""4d2.(1D).5s""","=""b 2D""","=""5/2""","=""""","=""2.00344392""","=""""","=""0.00000012""","=""0.0204351""","=""1.22""","=""L7610"""
"=""4d.5s.(3D).5p""","=""z 2D*""","=""5/2""","=""""","=""1.99193807""","=""""","=""0.00000012""","=""-0.0115059""","=""1.203""","=""L7610"""
"=""4d.5s.(3D).5p""","=""z 2D*""","=""3/2""","=""""","=""2.00186598""","=""""","=""0.00000012""","=""0.0099279""","=""0.797""","=""L7610"""
