Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Lande,Leading percentages,Reference
"=""5s2""","=""a 1S""","=""0""","=""""","=""0.0000000""","=""""","=""0""","=""""","=""0""","=""  94         :     4  4d2   1S   ""","=""L10987"""
"=""4d.5s""","=""a 3D""","=""1""","=""""","=""0.1041713""","=""""","=""""","=""0.1041713""","=""0.495""","="" 100                             ""","=""L10987"""
"=""4d.5s""","=""a 3D""","=""2""","=""""","=""0.1295729""","=""""","=""""","=""0.025402""","=""1.162""","=""  98                             ""","=""L10987"""
"=""4d.5s""","=""a 3D""","=""3""","=""""","=""0.1797463""","=""""","=""""","=""0.050173""","=""1.332""","="" 100                             ""","=""L10987"""
"=""4d.5s""","=""a 1D""","=""2""","=""""","=""0.4086742""","=""""","=""""","=""0.228928""","=""1.000""","=""  80         :    18  4d2   1D   ""","=""L10987"""
"=""4d2""","=""a 3F""","=""2""","=""""","=""0.9922612""","=""""","=""""","=""0.583587""","=""0.668""","="" 100                             ""","=""L10987"""
"=""4d2""","=""a 3F""","=""3""","=""""","=""1.0325452""","=""""","=""""","=""0.040284""","=""1.087""","="" 100                             ""","=""L10987"""
"=""4d2""","=""a 3F""","=""4""","=""""","=""1.0840338""","=""""","=""""","=""0.051489""","=""1.256""","="" 100                             ""","=""L10987"""
"=""4d2""","=""a 3P""","=""0""","=""""","=""1.7213196""","=""""","=""""","=""0.637286""","=""0""","=""  99                             ""","=""L10987"""
"=""4d2""","=""a 3P""","=""1""","=""""","=""1.7380436""","=""""","=""""","=""0.016724""","=""1.497""","=""  99                             ""","=""L10987"""
"=""4d2""","=""a 3P""","=""2""","=""""","=""1.7479387""","=""""","=""""","=""0.009895""","=""1.41""","=""  86         :    10  4d2   1D   ""","=""L10987"""
"=""4d2""","=""b 1D""","=""2""","=""""","=""1.8390405""","=""""","=""""","=""0.091102""","=""1.10""","=""  70         :    15  4d.5s 1D   ""","=""L10987"""
"=""4d2""","=""a 1G""","=""4""","=""""","=""1.9444324""","=""""","=""""","=""0.105392""","=""0.999""","="" 100                             ""","=""L10987"""
"=""5s.5p""","=""z 3P*""","=""0""","=""""","=""2.9068173""","=""""","=""""","=""0.962385""","=""0""","=""  91         :     9  4d.5p 3P*  ""","=""L10987"""
"=""5s.5p""","=""z 3P*""","=""1""","=""""","=""2.9478787""","=""""","=""""","=""0.041061""","=""1.489""","=""  88         :    10  4d.5p 3P*  ""","=""L10987"""
"=""5s.5p""","=""z 3P*""","=""2""","=""""","=""3.0558535""","=""""","=""""","=""0.107975""","=""1.493""","=""  87         :    12  4d.5p 3P*  ""","=""L10987"""
"=""4d2""","=""1S""","=""0""","=""""","=""3.1083155""","=""""","=""""","=""0.052462""","=""""","=""  90         :     6  5p2   1S   ""","=""L10987"""
"=""4d.5p""","=""z 1D*""","=""2""","=""""","=""3.2418461""","=""""","=""""","=""0.133531""","=""0.912""","=""  73         :    25  4d.5p 3F*  ""","=""L10987"""
"=""4d.5p""","=""z 3F*""","=""2""","=""""","=""3.3757211""","=""""","=""""","=""0.133875""","=""0.764""","=""  74         :    25  4d.5p 1D*  ""","=""L10987"""
"=""4d.5p""","=""z 3F*""","=""3""","=""""","=""3.4135728""","=""""","=""""","=""0.037852""","=""1.082""","=""  98                             ""","=""L10987"""
"=""4d.5p""","=""z 3F*""","=""4""","=""""","=""3.5204293""","=""""","=""""","=""0.106857""","=""1.254""","="" 100                             ""","=""L10987"""
"=""4d.5p""","=""z 1P*""","=""1""","=""""","=""3.4116359""","=""""","=""""","=""-0.108793""","=""0.910""","=""  50         :    25  5s.5p 1P*  ""","=""L10987"""
"=""4d.5p""","=""z 3D*""","=""1""","=""""","=""3.5453635""","=""""","=""""","=""0.133728""","=""0.596""","=""  76         :    14  4d.5p 1P*  ""","=""L10987"""
"=""4d.5p""","=""z 3D*""","=""2""","=""""","=""3.5620673""","=""""","=""""","=""0.016704""","=""1.165""","=""  98                             ""","=""L10987"""
"=""4d.5p""","=""z 3D*""","=""3""","=""""","=""3.6220692""","=""""","=""""","=""0.060002""","=""1.333""","=""  97                             ""","=""L10987"""
"=""4d.5p""","=""y 3P*""","=""0""","=""""","=""3.9735433""","=""""","=""""","=""0.351474""","=""0""","=""  91         :     9  5s.5p 3P*  ""","=""L10987"""
"=""4d.5p""","=""y 3P*""","=""1""","=""""","=""3.9828751""","=""""","=""""","=""0.009332""","=""1.496""","=""  90         :     9  5s.5p 3P*  ""","=""L10987"""
"=""4d.5p""","=""y 3P*""","=""2""","=""""","=""4.0026340""","=""""","=""""","=""0.019759""","=""1.494""","=""  87         :    11  5s.5p 3P*  ""","=""L10987"""
"=""4d.5p""","=""z 1F*""","=""3""","=""""","=""4.1332274""","=""""","=""""","=""0.130593""","=""0.997""","=""  97                             ""","=""L10987"""
"=""5s.5p""","=""y 1P*""","=""1""","=""""","=""5.5258071""","=""""","=""""","=""1.392580""","=""0.998""","=""  61         :    32  4d.5p 1P*  ""","=""L10987"""
"=""4d.6s""","=""e 3D""","=""1""","=""""","=""6.8136859""","=""""","=""""","=""1.287879""","=""0.52""","=""  95                             ""","=""L10987"""
"=""4d.6s""","=""e 3D""","=""2""","=""""","=""6.8231417""","=""""","=""""","=""0.009456""","=""1.12""","=""  68         :    23  4d.6s 1D   ""","=""L10987"""
"=""4d.6s""","=""e 3D""","=""3""","=""""","=""6.8991803""","=""""","=""""","=""0.076039""","=""1.34""","=""  94                             ""","=""L10987"""
"=""4d.6s""","=""e 1D""","=""2""","=""""","=""6.9090842""","=""""","=""""","=""0.009904""","=""1.05""","=""  56         :    26  4d.6s 3D   ""","=""L10987"""
"=""5s.6s""","=""e 3S""","=""1""","=""""","=""7.2237209""","=""""","=""""","=""0.314637""","=""1.99""","=""  72         :    26  4d.5d 3S   ""","=""L10987"""
"=""4d.5d""","=""e 1F""","=""3""","=""""","=""7.2572038""","=""""","=""""","=""0.033483""","=""1.02""","=""  82         :     8  4d.5d 3G   ""","=""L10987"""
"=""4d.5d""","=""f 3D""","=""1""","=""""","=""7.2803995""","=""""","=""""","=""0.023196""","=""0.58""","=""  82         :    11  4d.5d 1P   ""","=""L10987"""
"=""4d.5d""","=""f 3D""","=""2""","=""""","=""7.3085740""","=""""","=""""","=""0.028175""","=""1.17""","=""  91         :     3  4d.6s 3D   ""","=""L10987"""
"=""4d.5d""","=""f 3D""","=""3""","=""""","=""7.3557196""","=""""","=""""","=""0.047146""","=""1.17""","=""  72         :    14  4d.7d 1F   ""","=""L10987"""
"=""5p2""","=""e 3P""","=""0""","=""""","=""7.2873479""","=""""","=""""","=""-0.068372""","=""0""","=""  83         :    16  4d.5d 3P   ""","=""L10987"""
"=""5p2""","=""e 3P""","=""1""","=""""","=""7.3333627""","=""""","=""""","=""0.046015""","=""1.49""","=""  79         :    17  4d.5d 3P   ""","=""L10987"""
"=""5p2""","=""e 3P""","=""2""","=""""","=""7.3981690""","=""""","=""""","=""0.064806""","=""1.38""","=""  73         :    18  4d.5d 3P   ""","=""L10987"""
"=""4d.5d""","=""e 3G""","=""3""","=""""","=""7.3373339""","=""""","=""""","=""-0.060835""","=""0.90""","=""  82         :    14  4d.5d 3D   ""","=""L10987"""
"=""4d.5d""","=""e 3G""","=""4""","=""""","=""7.3736680""","=""""","=""""","=""0.036334""","=""1.06""","=""  99                             ""","=""L10987"""
"=""4d.5d""","=""e 3G""","=""5""","=""""","=""7.4267175""","=""""","=""""","=""0.053049""","=""1.22""","="" 100                             ""","=""L10987"""
"=""4d.5d""","=""e 1P""","=""1""","=""""","=""7.4039449""","=""""","=""""","=""-0.022773""","=""0.99""","=""  84         :    12  4d.5d 3D   ""","=""L10987"""
"=""5p2""","=""f 1D""","=""2""","=""""","=""7.5054978""","=""""","=""""","=""0.101553""","=""1.09""","=""  28         :    30  4d.5d 3F   ""","=""L10987"""
"=""4d.5d""","=""f 3S""","=""1""","=""""","=""7.5880390""","=""""","=""""","=""0.082541""","=""1.97""","=""  73         :    25  5s.6s 3S   ""","=""L10987"""
"=""4d.5d""","=""e 3F""","=""2""","=""""","=""7.6049447""","=""""","=""""","=""0.016906""","=""0.69""","=""  64         :    15  5p2   1D   ""","=""L10987"""
