Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Leading percentages,Reference
"=""4s2.4p6""","=""1S""","=""0""","=""""","=""0.00000""","=""""","=""0.00022""","=""""","=""                                                ""","=""L5501"""
"=""4s2.4p5.4d""","=""3P*""","=""0""","=""""","=""25.99342""","=""""","=""0.00005""","=""25.9934""","="" 100     or  :   100  4p5.(2P*<3/2>).4d 2[1/2]* ""","=""L5501"""
"=""4s2.4p5.4d""","=""3P*""","=""1""","=""""","=""26.20655""","=""""","=""0.00004""","=""0.21313""","=""  98     or  :    67  4p5.(2P*<3/2>).4d 2[1/2]* ""","=""L5501"""
"=""4s2.4p5.4d""","=""3P*""","=""2""","=""""","=""26.63664""","=""""","=""0.00004""","=""0.43009""","=""  92     or  :    77  4p5.(2P*<3/2>).4d 2[3/2]* ""","=""L5501"""
"=""4s2.4p5.4d""","=""3F*""","=""4""","=""""","=""27.02336""","=""""","=""0.00006""","=""0.38672""","="" 100     or  :   100  4p5.(2P*<3/2>).4d 2[7/2]* ""","=""L5501"""
"=""4s2.4p5.4d""","=""3F*""","=""3""","=""""","=""27.30462""","=""""","=""0.00004""","=""0.28126""","=""  87     or  :    68  4p5.(2P*<3/2>).4d 2[7/2]* ""","=""L5501"""
"=""4s2.4p5.4d""","=""3F*""","=""2""","=""""","=""27.680195""","=""""","=""0.000022""","=""0.37558""","=""  73     or  :    75  4p5.(2P*<3/2>).4d 2[5/2]* ""","=""L5501"""
"=""4s2.4p5.4d""","=""3D*""","=""3""","=""""","=""28.570150""","=""""","=""0.000025""","=""0.88996""","=""  62     or  :    78  4p5.(2P*<3/2>).4d 2[5/2]* ""","=""L5501"""
"=""4s2.4p5.4d""","=""3D*""","=""1""","=""""","=""29.170929""","=""""","=""0.000016""","=""0.60078""","=""  97     or  :    49  4p5.(2P*<3/2>).4d 2[3/2]* ""","=""L5501"""
"=""4s2.4p5.4d""","=""3D*""","=""2""","=""""","=""29.434724""","=""""","=""0.000016""","=""0.26379""","=""  68     or  :    75  4p5.(2P*<1/2>).4d 2[3/2]* ""","=""L5501"""
"=""4s2.4p5.4d""","=""1D*""","=""2""","=""""","=""29.033835""","=""""","=""0.000016""","=""-0.40089""","=""  57     or  :    73  4p5.(2P*<1/2>).4d 2[5/2]* ""","=""L5501"""
"=""4s2.4p5.4d""","=""1F*""","=""3""","=""""","=""29.667427""","=""""","=""0.000020""","=""0.63359""","=""  54     or  :    88  4p5.(2P*<1/2>).4d 2[5/2]* ""","=""L5501"""
"=""4s2.4p5.(2P*<3/2>).5s""","=""2[3/2]*""","=""2""","=""""","=""31.765931""","=""""","=""0.000011""","=""2.09850""","="" 100     or  :   100  4p5.5s            3P*     ""","=""L5501"""
"=""4s2.4p5.(2P*<3/2>).5s""","=""2[3/2]*""","=""1""","=""""","=""32.051934""","=""""","=""0.000007""","=""0.28600""","=""  97     or  :    51  4p5.5s            1P*     ""","=""L5501"""
"=""4s2.4p5.(2P*<1/2>).5s""","=""2[1/2]*""","=""0""","=""""","=""33.277384""","=""""","=""0.000007""","=""1.225450""","="" 100     or  :   100  4p5.5s            3P*     ""","=""L5501"""
"=""4s2.4p5.(2P*<1/2>).5s""","=""2[1/2]*""","=""1""","=""""","=""33.471183""","=""""","=""0.000007""","=""0.193799""","=""  97     or  :    50  4p5.5s            3P*     ""","=""L5501"""
"=""4s2.4p5.4d""","=""1P*""","=""1""","=""""","=""34.840864""","=""""","=""0.000014""","=""1.36968""","=""  98     or  :    43  4p5.(2P*<1/2>).4d 2[3/2]* ""","=""L5501"""
"=""4s2.4p5.(2P*<3/2>).5p""","=""2[1/2]""","=""1""","=""""","=""36.488908""","=""""","=""0.000007""","=""1.64804""","=""  91     or  :    86  4p5.5p            3S      ""","=""L5501"""
"=""4s2.4p5.(2P*<3/2>).5p""","=""2[1/2]""","=""0""","=""""","=""38.191438""","=""""","=""0.000011""","=""1.70253""","=""  79     or  :    78  4p5.5p            3P      ""","=""L5501"""
"=""4s2.4p5.(2P*<3/2>).5p""","=""2[5/2]""","=""2""","=""""","=""37.028014""","=""""","=""0.000007""","=""-1.16342""","=""  88     or  :    59  4p5.5p            3D      ""","=""L5501"""
"=""4s2.4p5.(2P*<3/2>).5p""","=""2[5/2]""","=""3""","=""""","=""37.164018""","=""""","=""0.000011""","=""0.13600""","="" 100     or  :   100  4p5.5p            3D      ""","=""L5501"""
"=""4s2.4p5.(2P*<3/2>).5p""","=""2[3/2]""","=""1""","=""""","=""37.402559""","=""""","=""0.000009""","=""0.23854""","=""  95     or  :    46  4p5.5p            1P      ""","=""L5501"""
"=""4s2.4p5.(2P*<3/2>).5p""","=""2[3/2]""","=""2""","=""""","=""37.597284""","=""""","=""0.000007""","=""0.19473""","=""  88     or  :    68  4p5.5p            3P      ""","=""L5501"""
"=""4s2.4p5.(2P*<1/2>).5p""","=""2[3/2]""","=""1""","=""""","=""38.524583""","=""""","=""0.000014""","=""0.92730""","=""  93     or  :    65  4p5.5p            3D      ""","=""L5501"""
"=""4s2.4p5.(2P*<1/2>).5p""","=""2[3/2]""","=""2""","=""""","=""38.879703""","=""""","=""0.000010""","=""0.35512""","=""  99     or  :    40  4p5.5p            3D      ""","=""L5501"""
"=""4s2.4p5.(2P*<1/2>).5p""","=""2[1/2]""","=""1""","=""""","=""38.913829""","=""""","=""0.000011""","=""0.03413""","=""  89     or  :    64  4p5.5p            3P      ""","=""L5501"""
"=""4s2.4p5.(2P*<1/2>).5p""","=""2[1/2]""","=""0""","=""""","=""39.588623""","=""""","=""0.000010""","=""0.67479""","=""  79     or  :    78  4p5.5p            1S      ""","=""L5501"""
"=""4s2.4p5.(2P*<3/2>).5d""","=""2[1/2]*""","=""0""","=""""","=""44.407565""","=""""","=""0.000012""","=""4.81894""","="" 100     or  :   100  4p5.5d            3P*     ""","=""L5501"""
"=""4s2.4p5.(2P*<3/2>).5d""","=""2[1/2]*""","=""1""","=""""","=""44.502618""","=""""","=""0.000005""","=""0.09505""","=""  68     or  :    90  4p5.5d            3P*     ""","=""L5501"""
"=""4s2.4p5.(2P*<3/2>).5d""","=""2[7/2]*""","=""4""","=""""","=""44.643269""","=""""","=""0.000007""","=""0.140651""","="" 100     or  :   100  4p5.5d            3F*     ""","=""L5501"""
"=""4s2.4p5.(2P*<3/2>).5d""","=""2[7/2]*""","=""3""","=""""","=""44.709704""","=""""","=""0.000004""","=""0.066435""","=""  93     or  :    59  4p5.5d            3F*     ""","=""L5501"""
"=""4s2.4p5.(2P*<3/2>).5d""","=""2[3/2]*""","=""2""","=""""","=""44.664840""","=""""","=""0.000007""","=""-0.044864""","=""  97     or  :    67  4p5.5d            3P*     ""","=""L5501"""
"=""4s2.4p5.(2P*<3/2>).5d""","=""2[3/2]*""","=""1""","=""""","=""45.410366""","=""""","=""0.000011""","=""0.74553""","=""  56     or  :    50  4p5.5d            3D*     ""","=""L5501"""
"=""4s2.4p5.(2P*<3/2>).5d""","=""2[5/2]*""","=""2""","=""""","=""44.862741""","=""""","=""0.000006""","=""-0.54763""","=""  99     or  :    42  4p5.5d            1D*     ""","=""L5501"""
"=""4s2.4p5.(2P*<3/2>).5d""","=""2[5/2]*""","=""3""","=""""","=""44.952800""","=""""","=""0.000006""","=""0.090059""","=""  93     or  :    67  4p5.5d            3D*     ""","=""L5501"""
"=""4s2.4p5.(2P*<3/2>).4f""","=""2[3/2]""","=""1""","=""""","=""45.248269""","=""""","=""0.000025""","=""0.29547""","=""  90     or  :    90  4p5.4f            3D      ""","=""L5501"""
"=""4s2.4p5.(2P*<3/2>).4f""","=""2[3/2]""","=""2""","=""""","=""45.367584""","=""""","=""0.000020""","=""0.11932""","=""  69     or  :    82  4p5.4f            3D      ""","=""L5501"""
"=""4s2.4p5.(2P*<3/2>).6s""","=""2[3/2]*""","=""2""","=""""","=""45.413004""","=""""","=""0.000017""","=""0.04542""","="" 100     or  :   100  4p5.6s            3P*     ""","=""L5501"""
"=""4s2.4p5.(2P*<3/2>).6s""","=""2[3/2]*""","=""1""","=""""","=""45.513626""","=""""","=""0.000017""","=""0.10062""","=""  84     or  :    52  4p5.6s            1P*     ""","=""L5501"""
"=""4s2.4p5.(2P*<3/2>).4f""","=""2[5/2]""","=""3""","=""""","=""45.600617""","=""""","=""0.000014""","=""0.08699""","=""  84     or  :    67  4p5.4f            3D      ""","=""L5501"""
"=""4s2.4p5.(2P*<3/2>).4f""","=""2[5/2]""","=""2""","=""""","=""46.098859""","=""""","=""0.000009""","=""0.49824""","=""  77     or  :    60  4p5.4f            1D      ""","=""L5501"""
"=""4s2.4p5.(2P*<3/2>).4f""","=""2[9/2]""","=""5""","=""""","=""45.720668""","=""""","=""0.000020""","=""-0.37819""","="" 100     or  :   100  4p5.4f            3G      ""","=""L5501"""
"=""4s2.4p5.(2P*<3/2>).4f""","=""2[9/2]""","=""4""","=""""","=""45.779973""","=""""","=""0.000014""","=""0.05930""","=""  97     or  :    56  4p5.4f            3G      ""","=""L5501"""
"=""4s2.4p5.(2P*<3/2>).4f""","=""2[7/2]""","=""3""","=""""","=""46.032268""","=""""","=""0.000009""","=""0.25230""","=""  98     or  :    38  4p5.4f            3G      ""","=""L5501"""
"=""4s2.4p5.(2P*<3/2>).4f""","=""2[7/2]""","=""4""","=""""","=""46.074136""","=""""","=""0.000010""","=""0.04187""","=""  96     or  :    63  4p5.4f            3F      ""","=""L5501"""
"=""4s2.4p5.(2P*<1/2>).5d""","=""2[5/2]*""","=""2""","=""""","=""46.289823""","=""""","=""0.000004""","=""0.21569""","=""  98     or  :    67  4p5.5d            3F*     ""","=""L5501"""
"=""4s2.4p5.(2P*<1/2>).5d""","=""2[5/2]*""","=""3""","=""""","=""46.341837""","=""""","=""0.000005""","=""0.052014""","=""  99     or  :    36  4p5.5d            3F*     ""","=""L5501"""
"=""4s2.4p5.(2P*<1/2>).5d""","=""2[3/2]*""","=""2""","=""""","=""46.309344""","=""""","=""0.000005""","=""-0.032493""","=""  96     or  :    44  4p5.5d            3D*     ""","=""L5501"""
"=""4s2.4p5.(2P*<1/2>).5d""","=""2[3/2]*""","=""1""","=""""","=""46.848806""","=""""","=""0.000016""","=""0.53946""","=""  77     or  :    55  4p5.5d            1P*     ""","=""L5501"""
"=""4s2.4p5.(2P*<1/2>).6s""","=""2[1/2]*""","=""0""","=""""","=""46.946183""","=""""","=""0.000025""","=""0.09738""","="" 100     or  :   100  4p5.6s            3P*     ""","=""L5501"""
"=""4s2.4p5.(2P*<1/2>).6s""","=""2[1/2]*""","=""1""","=""""","=""47.010753""","=""""","=""0.000015""","=""0.06457""","=""  86     or  :    52  4p5.6s            3P*     ""","=""L5501"""
"=""4s2.4p5.(2P*<1/2>).4f""","=""2[5/2]""","=""3""","=""""","=""47.180545""","=""""","=""0.000010""","=""0.16979""","=""  74     or  :    41  4p5.4f            3F      ""","=""L5501"""
"=""4s2.4p5.(2P*<1/2>).4f""","=""2[5/2]""","=""2""","=""""","=""47.423093""","=""""","=""0.000006""","=""0.24255""","=""  67     or  :    45  4p5.4f            3F      ""","=""L5501"""
