Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Lande,Leading percentages,Reference
"=""4f14.6s2""","=""1S""","=""0""","=""""","=""0.0000000""","=""""","=""0""","=""""","=""""","=""  99                                                                  ""","=""L3974"""
"=""4f14.6s.6p""","=""3P*""","=""0""","=""""","=""2.1434933""","=""""","=""""","=""2.1434933""","=""""","="" 100                                                                  ""","="""""
"=""4f14.6s.6p""","=""3P*""","=""1""","=""""","=""2.2307246""","=""""","=""""","=""0.087231""","=""1.49282""","=""  98                                                                  ""","="""""
"=""4f14.6s.6p""","=""3P*""","=""2""","=""""","=""2.4437767""","=""""","=""""","=""0.213052""","=""1.50""","="" 100                                                                  ""","="""""
"=""4f13.(2F*<7/2>).5d<3/2>.6s2""","=""(7/2,3/2)*""","=""2""","=""""","=""2.8750098""","=""""","=""""","=""0.431233""","=""1.45""","=""  79                                                                  ""","="""""
"=""4f13.(2F*<7/2>).5d<3/2>.6s2""","=""(7/2,3/2)*""","=""5""","=""""","=""3.2061919""","=""""","=""""","=""0.331182""","=""1.04""","=""  96                                                                  ""","="""""
"=""4f13.(2F*<7/2>).5d<3/2>.6s2""","=""(7/2,3/2)*""","=""3""","=""""","=""3.4028254""","=""""","=""""","=""0.196633""","=""1.22""","=""  92                                                                  ""","="""""
"=""4f13.(2F*<7/2>).5d<3/2>.6s2""","=""(7/2,3/2)*""","=""4""","=""""","=""3.4944341""","=""""","=""""","=""0.091609""","=""1.14""","=""  90                                                                  ""","="""""
"=""4f14.5d.6s""","=""3D""","=""1""","=""""","=""3.0362617""","=""""","=""""","=""-0.458172""","=""0.50""","=""  99                                                                  ""","="""""
"=""4f14.5d.6s""","=""3D""","=""2""","=""""","=""3.0688504""","=""""","=""""","=""0.032589""","=""1.16""","=""  97                                                                  ""","="""""
"=""4f14.5d.6s""","=""3D""","=""3""","=""""","=""3.1331925""","=""""","=""""","=""0.064342""","=""1.34""","=""  99                                                                  ""","="""""
"=""4f14.6s.6p""","=""1P*""","=""1""","=""""","=""3.1080634""","=""""","=""""","=""-0.025129""","=""1.035""","=""  73                                                                  ""","="""""
"=""4f13.(2F*<7/2>).5d<5/2>.6s2""","=""(7/2,5/2)*""","=""6""","=""""","=""3.3866183""","=""""","=""""","=""0.278555""","=""1.16""","="" 100                                                                  ""","="""""
"=""4f13.(2F*<7/2>).5d<5/2>.6s2""","=""(7/2,5/2)*""","=""2""","=""""","=""3.4958535""","=""""","=""""","=""0.109235""","=""1.02""","=""  80                                                                  ""","="""""
"=""4f13.(2F*<7/2>).5d<5/2>.6s2""","=""(7/2,5/2)*""","=""1""","=""""","=""3.5778137""","=""""","=""""","=""0.081960""","=""1.2635""","=""  48                  :    22   (2F*<5/2>) (5/2,3/2)*                 ""","="""""
"=""4f13.(2F*<7/2>).5d<5/2>.6s2""","=""(7/2,5/2)*""","=""4""","=""""","=""3.6916243""","=""""","=""""","=""0.113811""","=""1.09""","=""  90                                                                  ""","="""""
"=""4f13.(2F*<7/2>).5d<5/2>.6s2""","=""(7/2,5/2)*""","=""3""","=""""","=""3.7452378""","=""""","=""""","=""0.053613""","=""1.08""","=""  91                                                                  ""","="""""
"=""4f13.(2F*<7/2>).5d<5/2>.6s2""","=""(7/2,5/2)*""","=""5""","=""""","=""3.7845822""","=""""","=""""","=""0.039344""","=""1.18""","=""  96                                                                  ""","="""""
"=""4f14.5d.6s""","=""1D""","=""2""","=""""","=""3.4315931""","=""""","=""""","=""-0.352989""","=""1.01""","=""  95                                                                  ""","="""""
"=""4f13.(2F*<7/2>).6s2.6p<1/2>""","=""(7/2,1/2)""","=""3""","=""""","=""3.9755883""","=""""","=""""","=""0.543995""","=""1.23""","=""  89                                                                  ""","="""""
"=""4f13.(2F*<7/2>).6s2.6p<1/2>""","=""(7/2,1/2)""","=""4""","=""""","=""4.0014161""","=""""","=""""","=""0.025828""","=""""","=""  92                                                                  ""","="""""
"=""4f14.6s.7s""","=""3S""","=""1""","=""""","=""4.0536252""","=""""","=""""","=""0.052209""","=""2.01""","=""                                                                      ""","="""""
"=""4f14.6s.7s""","=""1S""","=""0""","=""""","=""4.258938""","=""""","=""""","=""0.205313""","=""""","=""                                                                      ""","="""""
"=""4f13.(2F*<7/2>).6s2.6p<3/2>""","=""(7/2,3/2)""","=""5""","=""""","=""4.361613""","=""""","=""""","=""0.10268""","=""""","=""  93                                                                  ""","="""""
"=""4f13.(2F*<7/2>).6s2.6p<3/2>""","=""(7/2,3/2)""","=""2""","=""""","=""4.363869""","=""""","=""""","=""0.00226""","=""1.05""","=""  92                                                                  ""","="""""
