Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Lande,Leading percentages,Reference
"=""4f14.6s""","=""2S""","=""1/2""","=""""","=""0.000000""","=""""","=""0""","=""""","=""1.998""","=""                                                                                    ""","=""L3974"""
"=""4f13.(2F*).6s2""","=""2F*""","=""7/2""","=""""","=""2.655587""","=""""","=""""","=""2.655587""","=""1.145""","=""  98                :     1  (2F*<7/2>).5d2.(1S)            1[7/2]*                 ""","="""""
"=""4f13.(2F*).6s2""","=""2F*""","=""5/2""","=""""","=""3.913943""","=""""","=""""","=""1.25836""","=""0.862""","=""  90                :     7  (2F*<7/2>)5d.6s.(3D)           3[7/2]*                 ""","="""""
"=""4f14.5d""","=""2D""","=""3/2""","=""""","=""2.846776""","=""""","=""""","=""-1.06717""","=""0.802""","=""                                                                                    ""","="""""
"=""4f14.5d""","=""2D""","=""5/2""","=""""","=""3.016869""","=""""","=""""","=""0.17009""","=""1.202""","=""                                                                                    ""","="""""
"=""4f13.(2F*<7/2>).5d.6s.(3D)""","=""3[3/2]*""","=""5/2""","=""""","=""3.317696""","=""""","=""""","=""0.30083""","=""1.570""","=""  95                :     2                                 (2F*<7/2>)(3D) 3[5/2]*  ""","="""""
"=""4f13.(2F*<7/2>).5d.6s.(3D)""","=""3[3/2]*""","=""3/2""","=""""","=""3.565535""","=""""","=""""","=""0.24784""","=""1.440""","=""  62                :    27                                 (2F*<7/2>)(1D) 1[3/2]*  ""","="""""
"=""4f13.(2F*<7/2>).5d.6s.(3D)""","=""3[3/2]*""","=""1/2""","=""""","=""4.172547""","=""""","=""""","=""0.60701""","=""1.320""","=""  77                :    13                                 (2F*<5/2>)(3D) 3[1/2]*  ""","="""""
"=""4f14.6p""","=""2P*""","=""1/2""","=""""","=""3.355238""","=""""","=""""","=""-0.81731""","=""0.667""","=""                                                                                    ""","="""""
"=""4f14.6p""","=""2P*""","=""3/2""","=""""","=""3.768156""","=""""","=""""","=""0.41292""","=""1.333""","=""                                                                                    ""","="""""
"=""4f13.(2F*<7/2>).5d.6s.(3D)""","=""3[11/2]*""","=""9/2""","=""""","=""3.747339""","=""""","=""""","=""-0.02082""","=""0.935""","=""  96                :     2                                 (2F*<7/2>)(3D) 3[9/2]*  ""","="""""
"=""4f13.(2F*<7/2>).5d.6s.(3D)""","=""3[11/2]*""","=""11/2""","=""""","=""3.789303""","=""""","=""""","=""0.04196""","=""1.112""","=""  92                :     4                                 (2F*<7/2>)(1D) 1[11/2]* ""","="""""
"=""4f13.(2F*<7/2>).5d.6s.(3D)""","=""3[11/2]*""","=""13/2""","=""""","=""3.921817""","=""""","=""""","=""0.13251""","=""1.230""","="" 100                                                                                ""","="""""
"=""4f13.(2F*<7/2>).5d.6s.(3D)""","=""3[5/2]*""","=""7/2""","=""""","=""3.965002""","=""""","=""""","=""0.04319""","=""1.331""","=""  69                :    28                                 (2F*<7/2>)(3D) 3[7/2]*  ""","="""""
"=""4f13.(2F*<7/2>).5d.6s.(3D)""","=""3[5/2]*""","=""5/2""","=""""","=""4.013505""","=""""","=""""","=""0.04850""","=""1.170""","=""  66                :    24                                 (2F*<7/2>)(3D) 3[7/2]*  ""","="""""
"=""4f13.(2F*<7/2>).5d.6s.(3D)""","=""3[5/2]*""","=""3/2""","=""""","=""4.089196""","=""""","=""""","=""0.07569""","=""0.866""","=""  85                :    10                                 (2F*<7/2>)(3D) 3[3/2]*  ""","="""""
"=""4f13.(2F*<7/2>).5d.6s.(3D)""","=""3[7/2]*""","=""9/2""","=""""","=""4.097962""","=""""","=""""","=""0.00877""","=""1.264""","=""  71                :    23                                 (2F*<7/2>)(3D) 3[9/2]*  ""","="""""
"=""4f13.(2F*<7/2>).5d.6s.(3D)""","=""3[7/2]*""","=""5/2""","=""""","=""4.263787""","=""""","=""""","=""0.16582""","=""1.007""","=""  51                :    29                                 (2F*<7/2>)(3D) 3[5/2]*  ""","="""""
"=""4f13.(2F*<7/2>).5d.6s.(3D)""","=""3[7/2]*""","=""7/2""","=""""","=""4.346762""","=""""","=""""","=""0.08298""","=""1.124""","=""  56                :    26                                 (2F*<7/2>)(3D) 3[9/2]*  ""","="""""
"=""4f13.(2F*<7/2>).5d.6s.(3D)""","=""3[9/2]*""","=""7/2""","=""""","=""4.152811""","=""""","=""""","=""-0.19395""","=""0.991""","=""  65                :    15                                 (2F*<7/2>)(3D) 3[7/2]*  ""","="""""
"=""4f13.(2F*<7/2>).5d.6s.(3D)""","=""3[9/2]*""","=""9/2""","=""""","=""4.341819""","=""""","=""""","=""0.18901""","=""1.158""","=""  67                :    27                                 (2F*<7/2>)(3D) 3[7/2]*  ""","="""""
"=""4f13.(2F*<7/2>).5d.6s.(3D)""","=""3[9/2]*""","=""11/2""","=""""","=""4.442562""","=""""","=""""","=""0.10074""","=""1.214""","=""  77                :    20                                 (2F*<7/2>)(1D) 1[11/2]* ""","="""""
"=""4f13.(2F*<7/2>).5d.6s.(1D)""","=""1[3/2]*""","=""3/2""","=""""","=""4.286800""","=""""","=""""","=""-0.15576""","=""1.434""","=""  53                :    27                                 (2F*<5/2>)(3D) 3[1/2]*  ""","="""""
"=""4f13.(2F*<7/2>).5d.6s.(1D)""","=""1[11/2]*""","=""11/2""","=""""","=""4.312784""","=""""","=""""","=""0.02598""","=""1.119""","=""  70                :    18                                 (2F*<7/2>)(3D) 3[9/2]*  ""","="""""
"=""4f13.(2F*<7/2>).5d.6s.(1D)""","=""1[5/2]*""","=""5/2""","=""""","=""4.597035""","=""""","=""""","=""0.28425""","=""1.113""","=""  74                :    17                                 (2F*<7/2>)(3D) 3[7/2]*  ""","="""""
"=""4f13.(2F*<7/2>).5d.6s.(1D)""","=""1[7/2]*""","=""7/2""","=""""","=""4.651464""","=""""","=""""","=""0.05443""","=""1.119""","=""  80                :     9  (2F*<7/2>).5d2.(1D)            1[7/2]*                 ""","="""""
"=""4f13.(2F*<7/2>).5d.6s.(1D)""","=""1[9/2]*""","=""9/2""","=""""","=""4.753805""","=""""","=""""","=""0.10234""","=""1.093""","=""  81                :    11  (2F*<7/2>).5d2.(1D)            1[9/2]*                 ""","="""""
"=""4f13.(2F*<5/2>).5d.6s.(3D)""","=""3[1/2]*""","=""1/2""","=""""","=""4.882360""","=""""","=""""","=""0.12856""","=""1.850""","=""  80                :    13                                 (2F*<5/2>)(1D) 1[1/2]*  ""","="""""
"=""4f13.(2F*<5/2>).5d.6s.(3D)""","=""3[9/2]*""","=""7/2""","=""""","=""4.963809""","=""""","=""""","=""0.08145""","=""0.720""","=""  94                :     4                                 (2F*<7/2>)(3D) 3[9/2]*  ""","="""""
"=""4f13.(2F*<5/2>).5d.6s.(3D)""","=""3[9/2]*""","=""9/2""","=""""","=""5.073174""","=""""","=""""","=""0.10936""","=""0.967""","=""  87                :     8                                 (2F*<5/2>)(1D) 1[9/2]*  ""","="""""
"=""4f13.(2F*<5/2>).5d.6s.(3D)""","=""3[9/2]*""","=""11/2""","=""""","=""5.320798""","=""""","=""""","=""0.24762""","=""1.115""","=""  98                :     1                                 (2F*<7/2>)(3D) 3[9/2]*  ""","="""""
"=""4f13.(2F*<5/2>).5d.6s.(3D)""","=""3[3/2]*""","=""5/2""","=""""","=""5.167504""","=""""","=""""","=""-0.15329""","=""1.193""","=""  68                :    26                                 (2F*<5/2>)(3D) 3[5/2]*  ""","="""""
"=""4f13.(2F*<5/2>).5d.6s.(3D)""","=""3[3/2]*""","=""3/2""","=""""","=""5.168709""","=""""","=""""","=""0.00120""","=""0.784""","=""  46                :    47                                 (2F*<5/2>)(3D) 3[5/2]*  ""","="""""
"=""4f13.(2F*<5/2>).5d.6s.(3D)""","=""3[3/2]*""","=""1/2""","=""""","=""5.332286""","=""""","=""""","=""0.16358""","=""0.15""","=""  91                :     9                                 (2F*<5/2>)(1D) 1[1/2]*  ""","="""""
"=""4f13.(2F*<5/2>).5d.6s.(3D)""","=""3[5/2]*""","=""3/2""","=""""","=""5.340631""","=""""","=""""","=""0.00835""","=""0.96""","=""  43                :    34                                 (2F*<5/2>)(3D) 3[3/2]*  ""","="""""
"=""4f13.(2F*<5/2>).5d.6s.(3D)""","=""3[5/2]*""","=""5/2""","=""""","=""5.449900""","=""""","=""""","=""0.10927""","=""0.99""","=""  46                :    33                                 (2F*<5/2>)(3D) 3[7/2]*  ""","="""""
"=""4f13.(2F*<5/2>).5d.6s.(3D)""","=""3[5/2]*""","=""7/2""","=""""","=""5.509614""","=""""","=""""","=""0.05971""","=""1.10""","=""  53                :    40                                 (2F*<5/2>)(3D) 3[7/2]*  ""","="""""
"=""4f13.(2F*<5/2>).5d.6s.(3D)""","=""3[7/2]*""","=""5/2""","=""""","=""5.516988""","=""""","=""""","=""0.00737""","=""0.734""","=""  63                :    22                                 (2F*<5/2>)(3D) 3[5/2]*  ""","="""""
"=""4f13.(2F*<5/2>).5d.6s.(3D)""","=""3[7/2]*""","=""7/2""","=""""","=""5.632580""","=""""","=""""","=""0.11559""","=""1.150""","=""  48                :    41                                 (2F*<5/2>)(3D) 3[5/2]*  ""","="""""
