Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Leading percentages,Reference
"=""4f14""","=""1S""","=""0""","=""""","=""0.000000""","=""""","=""0""","=""""","=""                                                     ""","=""L3974"""
"=""4f13.(2F*<7/2>).5d<3/2>""","=""(7/2,3/2)*""","=""2""","=""""","=""4.139312""","=""""","=""""","=""4.139312""","=""  79     or  :    91                            3P*  ""","="""""
"=""4f13.(2F*<7/2>).5d<3/2>""","=""(7/2,3/2)*""","=""5""","=""""","=""4.589926""","=""""","=""""","=""0.45061""","=""  96     or  :    54                            3H*  ""","="""""
"=""4f13.(2F*<7/2>).5d<3/2>""","=""(7/2,3/2)*""","=""3""","=""""","=""4.852888""","=""""","=""""","=""0.26296""","=""  94     or  :    56                            3D*  ""","="""""
"=""4f13.(2F*<7/2>).5d<3/2>""","=""(7/2,3/2)*""","=""4""","=""""","=""4.979209""","=""""","=""""","=""0.12632""","=""  93     or  :    47                            3F*  ""","="""""
"=""4f13.(2F*<7/2>).6s<1/2>""","=""(7/2,1/2)*""","=""4""","=""""","=""4.296812""","=""""","=""""","=""-0.68240""","="" 100     or  :   100                            3F*  ""","="""""
"=""4f13.(2F*<7/2>).6s<1/2>""","=""(7/2,1/2)*""","=""3""","=""""","=""4.338289""","=""""","=""""","=""0.04148""","="" 100     or  :    54                            1F*  ""","="""""
"=""4f13.(2F*<7/2>).5d<5/2>""","=""(7/2,5/2)*""","=""6""","=""""","=""4.845971""","=""""","=""""","=""0.50768""","="" 100     or  :   100                            3H*  ""","="""""
"=""4f13.(2F*<7/2>).5d<5/2>""","=""(7/2,5/2)*""","=""1""","=""""","=""4.924750""","=""""","=""""","=""0.07878""","=""  67     or  :    81                            3P*  ""","="""""
"=""4f13.(2F*<7/2>).5d<5/2>""","=""(7/2,5/2)*""","=""2""","=""""","=""4.995084""","=""""","=""""","=""0.07033""","=""  81     or  :    57                            1D*  ""","="""""
"=""4f13.(2F*<7/2>).5d<5/2>""","=""(7/2,5/2)*""","=""4""","=""""","=""5.260040""","=""""","=""""","=""0.26496""","=""  92     or  :    46                            3F*  ""","="""""
"=""4f13.(2F*<7/2>).5d<5/2>""","=""(7/2,5/2)*""","=""3""","=""""","=""5.333696""","=""""","=""""","=""0.07366""","=""  93     or  :    40                            1F*  ""","="""""
"=""4f13.(2F*<7/2>).5d<5/2>""","=""(7/2,5/2)*""","=""5""","=""""","=""5.408532""","=""""","=""""","=""0.07484""","=""  95     or  :    83                            3G*  ""","="""""
"=""4f13.(2F*<5/2>).6s<1/2>""","=""(5/2,1/2)*""","=""2""","=""""","=""5.561136""","=""""","=""""","=""0.15260""","="" 100     or  :   100                            3F*  ""","="""""
"=""4f13.(2F*<5/2>).6s<1/2>""","=""(5/2,1/2)*""","=""3""","=""""","=""5.605033""","=""""","=""""","=""0.04390""","="" 100     or  :    54                            3F*  ""","="""""
"=""4f13.(2F*<5/2>).5d<5/2>""","=""(5/2,5/2)*""","=""0""","=""""","=""5.613614""","=""?""","=""""","=""0.00858""","="" 100     or  :   100                            3P*  ""","="""""
"=""4f13.(2F*<5/2>).5d<5/2>""","=""(5/2,5/2)*""","=""1""","=""""","=""6.202858""","=""""","=""""","=""0.58924""","=""  84     or  :    83                            3D*  ""","="""""
"=""4f13.(2F*<5/2>).5d<5/2>""","=""(5/2,5/2)*""","=""5""","=""""","=""6.243529""","=""""","=""""","=""0.04067""","=""  98     or  :    43                            3H*  ""","="""""
"=""4f13.(2F*<5/2>).5d<5/2>""","=""(5/2,5/2)*""","=""2""","=""""","=""6.380646""","=""""","=""""","=""0.13712""","=""  95     or  :    48                            3F*  ""","="""""
"=""4f13.(2F*<5/2>).5d<5/2>""","=""(5/2,5/2)*""","=""3""","=""""","=""6.586387""","=""""","=""""","=""0.20574""","=""  96     or  :    39                            3F*  ""","="""""
"=""4f13.(2F*<5/2>).5d<5/2>""","=""(5/2,5/2)*""","=""4""","=""""","=""6.662398""","=""""","=""""","=""0.07601""","=""  96     or  :    57                            3G*  ""","="""""
"=""4f13.(2F*<5/2>).5d<3/2>""","=""(5/2,3/2)*""","=""4""","=""""","=""5.834315""","=""""","=""""","=""-0.82808""","=""  93     or  :    80                            3H*  ""","="""""
"=""4f13.(2F*<5/2>).5d<3/2>""","=""(5/2,3/2)*""","=""2""","=""""","=""6.002654""","=""""","=""""","=""0.16834""","=""  95     or  :    40                            3F*  ""","="""""
"=""4f13.(2F*<5/2>).5d<3/2>""","=""(5/2,3/2)*""","=""3""","=""""","=""6.395326""","=""""","=""""","=""0.39267""","=""  97     or  :    52                            3G*  ""","="""""
"=""4f13.(2F*<5/2>).5d<3/2>""","=""(5/2,3/2)*""","=""1""","=""""","=""6.616440""","=""""","=""""","=""0.22111""","=""  72     or  :    89                            1P*  ""","="""""
"=""4f13.(2F*<7/2>).6p<1/2>""","=""(7/2,1/2)""","=""3""","=""""","=""8.944263""","=""""","=""""","=""2.32782""","=""  98     or  :    69  4f13.(2F*<7/2>).6p<1/2>3D      ""","="""""
"=""4f13.(2F*<7/2>).6p<1/2>""","=""(7/2,1/2)""","=""4""","=""""","=""8.987239""","=""""","=""""","=""0.04298""","=""  99     or  :    46  4f13.(2F*<7/2>).6p<1/2>3G      ""","="""""
"=""4f13.(2F*<7/2>).6p<3/2>""","=""(7/2,3/2)""","=""5""","=""""","=""9.673303""","=""""","=""""","=""0.68606""","="" 100     or  :   100  4f13.(2F*<7/2>).6p<3/2>3G      ""","="""""
"=""4f13.(2F*<7/2>).6p<3/2>""","=""(7/2,3/2)""","=""2""","=""""","=""9.693511""","=""""","=""""","=""0.02021""","=""  99     or  :    49  4f13.(2F*<7/2>).6p<3/2>1D      ""","="""""
