Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Leading percentages,Reference
"=""4f13""","=""2F*""","=""7/2""","=""""","=""0.00000""","=""""","=""0""","=""""","=""                                               ""","=""L3974"""
"=""4f13""","=""2F*""","=""5/2""","=""""","=""1.26637""","=""""","=""""","=""1.26637""","=""                                               ""","="""""
"=""4f12.(3H<6>).5d<3/2>""","=""(6,3/2)""","=""9/2""","=""""","=""9.73638""","=""""","=""""","=""8.4700""","=""  85             or  :    78          (3H) 4F  ""","="""""
"=""4f12.(3H<6>).5d<3/2>""","=""(6,3/2)""","=""15/2""","=""""","=""10.18972""","=""""","=""""","=""0.4533""","=""  97             or  :    53          (3H) 2K  ""","="""""
"=""4f12.(3H<6>).5d<3/2>""","=""(6,3/2)""","=""11/2""","=""""","=""10.25016""","=""""","=""""","=""0.0604""","=""  80             or  :    77          (3H) 4G  ""","="""""
"=""4f12.(3H<6>).5d<3/2>""","=""(6,3/2)""","=""13/2""","=""""","=""10.60630""","=""""","=""""","=""0.3561""","=""  93             or  :    34          (3H) 4I  ""","="""""
"=""4f12.(3H<6>).5d<5/2>""","=""(6,5/2)""","=""7/2""","=""""","=""10.45771""","=""""","=""""","=""-0.1486""","=""  42             or  :    46          (3H) 4F  ""","="""""
"=""4f12.(3H<6>).5d<5/2>""","=""(6,5/2)""","=""17/2""","=""""","=""10.55414""","=""""","=""""","=""0.0964""","=""  99             or  :    99          (3H) 4K  ""","="""""
"=""4f12.(3H<6>).5d<5/2>""","=""(6,5/2)""","=""9/2""","=""""","=""10.92525""","=""""","=""""","=""0.3711""","=""  52             or  :    31          (3H) 4G  ""","="""""
"=""4f12.(3H<6>).5d<5/2>""","=""(6,5/2)""","=""11/2""","=""""","=""10.93234""","=""""","=""""","=""0.0071""","=""  51             or  :    28          (3H) 2H  ""","="""""
"=""4f12.(3H<6>).5d<5/2>""","=""(6,5/2)""","=""15/2""","=""""","=""11.01938""","=""""","=""""","=""0.0870""","=""  97             or  :    83          (3H) 4I  ""","="""""
"=""4f12.(3H<6>).5d<5/2>""","=""(6,5/2)""","=""13/2""","=""""","=""11.08698""","=""""","=""""","=""0.0676""","=""  63             or  :    38          (3H) 4H  ""","="""""
"=""4f12.(3F<4>).5d<3/2>""","=""(4,3/2)""","=""5/2""","=""""","=""10.95052""","=""""","=""""","=""-0.1365""","=""  45             or  :    22          (3F) 4D  ""","="""""
"=""4f12.(3F<4>).5d<3/2>""","=""""","=""7/2""","=""""","=""11.09914""","=""""","=""""","=""0.1486""","=""  37  (4,3/2)    or  :    21          (3F) 4D  ""","="""""
"=""4f12.(3F<4>).5d<3/2>""","=""""","=""9/2""","=""""","=""11.16424""","=""""","=""""","=""0.0651""","=""  44  (4,3/2)    or  :    23          (3H) 4G  ""","="""""
"=""4f12.(3H<6>).5d<5/2>""","=""""","=""11/2""","=""""","=""11.26201""","=""""","=""""","=""0.0978""","=""  23  (6,5/2)    or  :    20          (3H) 2H  ""","="""""
"=""4f12.(3H<5>).5d<5/2>""","=""(5,5/2)""","=""15/2""","=""""","=""""","=""""","=""""","=""""","=""  99             or  :    59          (3H) 4K  ""","="""""
"=""4f12.(3H<5>).5d<5/2>""","=""(5,5/2)""","=""13/2""","=""""","=""""","=""""","=""""","=""""","=""  91             or  :    58          (3H) 4I  ""","="""""
"=""4f12.(3H<5>).5d<5/2>""","=""(5,5/2)""","=""5/2""","=""""","=""11.34236""","=""""","=""""","=""""","=""  40             or  :    59          (3H) 4F  ""","="""""
"=""4f12.(3H<5>).5d<5/2>""","=""(5,5/2)""","=""7/2""","=""""","=""11.89963""","=""""","=""""","=""0.5573""","=""  47             or  :    30          (3H) 4G  ""","="""""
"=""4f12.(3H<5>).5d<5/2>""","=""(5,5/2)""","=""9/2""","=""""","=""12.09998""","=""""","=""""","=""0.2004""","=""  64             or  :    24          (3H) 4G  ""","="""""
"=""4f12.(3H<5>).5d<5/2>""","=""(5,5/2)""","=""11/2""","=""""","=""12.29680""","=""""","=""""","=""0.1968""","=""  76             or  :    43          (3H) 4H  ""","="""""
"=""4f12.(3H<5>).5d<3/2>""","=""(5,3/2)""","=""7/2""","=""""","=""11.34858""","=""""","=""""","=""-0.9482""","=""  47             or  :    55          (3H) 2F  ""","="""""
"=""4f12.(3H<5>).5d<3/2>""","=""(5,3/2)""","=""13/2""","=""""","=""11.39809""","=""""","=""""","=""0.0495""","=""  81             or  :    49          (3H) 4K  ""","="""""
"=""4f12.(3H<5>).5d<3/2>""","=""(5,3/2)""","=""11/2""","=""""","=""11.78818""","=""""","=""""","=""0.3901""","=""  81             or  :    42          (3H) 4I  ""","="""""
"=""4f12.(3H<5>).5d<3/2>""","=""(5,3/2)""","=""9/2""","=""""","=""11.80524""","=""""","=""""","=""0.0171""","=""  61             or  :    45          (3H) 2G  ""","="""""
"=""4f12.(3F<4>).5d<5/2>""","=""(4,5/2)""","=""11/2""","=""""","=""11.54056""","=""""","=""""","=""-0.2647""","=""  55             or  :    47          (3F) 4G  ""","="""""
"=""4f12.(3F<4>).5d<5/2>""","=""(4,5/2)""","=""9/2""","=""""","=""11.70251""","=""""","=""""","=""0.1620""","=""  54                 :    33          (3F) 4F  ""","="""""
"=""4f12.(3F<4>).5d<3/2>""","=""""","=""5/2""","=""""","=""11.71632""","=""""","=""""","=""0.0138""","=""  27  (4,3/2)    or  :    27          (3F) 4P  ""","="""""
