Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Leading percentages,Reference
"=""3d10.4s""","=""2S""","=""1/2""","=""""","=""0.000000""","=""""","=""0""","=""""","=""                                                ""","=""L9171"""
"=""3d10.4p""","=""2P*""","=""1/2""","=""""","=""6.010878""","=""""","=""""","=""6.010878""","=""                                                ""","="""""
"=""3d10.4p""","=""2P*""","=""3/2""","=""""","=""6.119245""","=""""","=""""","=""0.10837""","=""                                                ""","="""""
"=""3d9.4s2""","=""2D""","=""5/2""","=""""","=""7.776593""","=""""","=""""","=""1.65735""","=""                                                ""","="""""
"=""3d9.4s2""","=""2D""","=""3/2""","=""""","=""8.113729""","=""""","=""""","=""0.33714""","=""                                                ""","="""""
"=""3d10.5s""","=""2S""","=""1/2""","=""""","=""10.964809""","=""""","=""""","=""2.85108""","=""                                                ""","="""""
"=""3d10.4d""","=""2D""","=""3/2""","=""""","=""12.015276""","=""""","=""""","=""1.05047""","=""                                                ""","="""""
"=""3d10.4d""","=""2D""","=""5/2""","=""""","=""12.021557""","=""""","=""""","=""0.00628""","=""                                                ""","="""""
"=""3d10.5p""","=""2P*""","=""1/2""","=""""","=""12.56777""","=""""","=""""","=""0.54621""","=""                                                ""","="""""
"=""3d10.5p""","=""2P*""","=""3/2""","=""""","=""12.59821""","=""""","=""""","=""0.0304""","=""                                                ""","="""""
"=""3d9.(2D).4s.4p.(3P*)""","=""4P*""","=""5/2""","=""""","=""12.85736""","=""""","=""""","=""0.2591""","=""  98                                            ""","="""""
"=""3d9.(2D).4s.4p.(3P*)""","=""4P*""","=""3/2""","=""""","=""13.05835""","=""""","=""""","=""0.2010""","=""  96                                            ""","="""""
"=""3d9.(2D).4s.4p.(3P*)""","=""4P*""","=""1/2""","=""""","=""13.20789""","=""""","=""""","=""0.1495""","=""  98                                            ""","="""""
"=""3d9.(2D).4s.4p.(3P*)""","=""4F*""","=""9/2""","=""""","=""13.23902""","=""""","=""""","=""0.0311""","="" 100                                            ""","="""""
"=""3d9.(2D).4s.4p.(3P*)""","=""4F*""","=""7/2""","=""""","=""13.24801""","=""""","=""""","=""0.0090""","=""  89         :     8  3d9.(2D).4s.4p.(3P*) 2F*  ""","="""""
"=""3d9.(2D).4s.4p.(3P*)""","=""4F*""","=""5/2""","=""""","=""13.29961""","=""""","=""""","=""0.0516""","=""  82         :    16  3d9.(2D).4s.4p.(3P*) 2F*  ""","="""""
"=""3d9.(2D).4s.4p.(3P*)""","=""4F*""","=""3/2""","=""""","=""13.41855""","=""""","=""""","=""0.1189""","=""  97                                            ""","="""""
