Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Leading percentages,Reference
"=""3d10""","=""1S""","=""0""","=""""","=""0.0000""","=""""","=""0""","=""""","=""                                              ""","=""L9171"""
"=""3d9.4s""","=""3D""","=""3""","=""""","=""9.68271""","=""""","=""""","=""9.68271""","=""                                              ""","="""""
"=""3d9.4s""","=""3D""","=""2""","=""""","=""9.82867""","=""""","=""""","=""0.1460""","=""                                              ""","="""""
"=""3d9.4s""","=""3D""","=""1""","=""""","=""10.02415""","=""""","=""""","=""0.1955""","=""                                              ""","="""""
"=""3d9.4s""","=""1D""","=""2""","=""""","=""10.35272""","=""""","=""""","=""0.3286""","=""                                              ""","="""""
"=""3d9.4p""","=""3P*""","=""2""","=""""","=""17.09326""","=""""","=""""","=""6.7405""","=""  98                                          ""","="""""
"=""3d9.4p""","=""3P*""","=""1""","=""""","=""17.36659""","=""""","=""""","=""0.2733""","=""  97                                          ""","="""""
"=""3d9.4p""","=""3P*""","=""0""","=""""","=""17.53044""","=""""","=""""","=""0.1639""","="" 100                                          ""","="""""
"=""3d9.4p""","=""3F*""","=""3""","=""""","=""17.43897""","=""""","=""""","=""-0.0915""","=""  71             :    26  3d9.4p         1F*  ""","="""""
"=""3d9.4p""","=""3F*""","=""4""","=""""","=""17.52231""","=""""","=""""","=""0.0833""","="" 100                                          ""","="""""
"=""3d9.4p""","=""3F*""","=""2""","=""""","=""17.66568""","=""""","=""""","=""0.1434""","=""  96                                          ""","="""""
"=""3d9.4p""","=""1F*""","=""3""","=""""","=""17.91587""","=""""","=""""","=""0.2502""","=""  67             :    18  3d9.4p         3F*  ""","="""""
"=""3d9.4p""","=""1D*""","=""2""","=""""","=""18.00795""","=""""","=""""","=""0.0921""","=""  62             :    34  3d9.4p         3D*  ""","="""""
"=""3d9.4p""","=""3D*""","=""3""","=""""","=""18.09755""","=""""","=""""","=""0.0896""","=""  82             :    11  3d9.4p         3F*  ""","="""""
"=""3d9.4p""","=""3D*""","=""1""","=""""","=""18.29650""","=""""","=""""","=""0.1990""","=""  97                                          ""","="""""
"=""3d9.4p""","=""3D*""","=""2""","=""""","=""18.33993""","=""""","=""""","=""0.0434""","=""  61             :    37  3d9.4p         1D*  ""","="""""
"=""3d9.4p""","=""1P*""","=""1""","=""""","=""18.28750""","=""""","=""""","=""-0.0524""","=""  98                                          ""","="""""
"=""3d8.4s2""","=""3F""","=""4""","=""""","=""23.59931""","=""""","=""""","=""5.3118""","=""                                              ""","="""""
"=""3d8.4s2""","=""3F""","=""3""","=""""","=""23.89965""","=""""","=""""","=""0.3003""","=""                                              ""","="""""
"=""3d8.4s2""","=""3F""","=""2""","=""""","=""24.09054""","=""""","=""""","=""0.1909""","=""                                              ""","="""""
"=""3d8.4s2""","=""1D""","=""2""","=""""","=""25.79383""","=""""","=""""","=""1.7033""","=""                                              ""","="""""
"=""3d8.4s2""","=""3P""","=""2""","=""""","=""26.25062""","=""""","=""""","=""0.4568""","=""                                              ""","="""""
"=""3d8.4s2""","=""3P""","=""1""","=""""","=""26.27482""","=""""","=""""","=""0.0242""","=""                                              ""","="""""
"=""3d8.4s2""","=""3P""","=""0""","=""""","=""26.32684""","=""""","=""""","=""0.0520""","=""                                              ""","="""""
"=""3d9.4d""","=""3S""","=""1""","=""""","=""26.57688""","=""""","=""""","=""0.2500""","=""                                              ""","="""""
"=""3d9.(2D<5/2>).5s""","=""(5/2,1/2)""","=""3""","=""""","=""26.64148""","=""""","=""""","=""0.0646""","=""                                              ""","="""""
"=""3d9.(2D<5/2>).5s""","=""(5/2,1/2)""","=""2""","=""""","=""26.69882""","=""""","=""""","=""0.0573""","=""                                              ""","="""""
"=""3d9.4d""","=""3G""","=""4""","=""""","=""26.83818""","=""""","=""""","=""0.1394""","=""                                              ""","="""""
"=""3d9.4d""","=""3G""","=""5""","=""""","=""26.85589""","=""""","=""""","=""0.0177""","=""                                              ""","="""""
"=""3d9.4d""","=""3G""","=""3""","=""""","=""27.23746""","=""""","=""""","=""0.3816""","=""                                              ""","="""""
"=""3d9.4d""","=""3P""","=""1""","=""""","=""26.89159""","=""""","=""""","=""-0.3459""","=""                                              ""","="""""
"=""3d9.4d""","=""3P""","=""2""","=""""","=""26.91372""","=""""","=""""","=""0.0221""","=""                                              ""","="""""
"=""3d9.4d""","=""3P""","=""0""","=""""","=""27.08162""","=""""","=""""","=""0.1679""","=""                                              ""","="""""
"=""3d9.4d""","=""3D""","=""3""","=""""","=""26.98588""","=""""","=""""","=""-0.0957""","=""                                              ""","="""""
"=""3d9.4d""","=""3D""","=""2""","=""""","=""27.09554""","=""""","=""""","=""0.1097""","=""                                              ""","="""""
"=""3d9.4d""","=""3D""","=""1""","=""""","=""27.27734""","=""""","=""""","=""0.1818""","=""                                              ""","="""""
"=""3d9.(2D<3/2>).5s""","=""(3/2,1/2)""","=""1""","=""""","=""26.98686""","=""""","=""""","=""-0.2905""","=""                                              ""","="""""
"=""3d9.(2D<3/2>).5s""","=""(3/2,1/2)""","=""2""","=""""","=""27.00956""","=""""","=""""","=""0.0227""","=""                                              ""","="""""
"=""3d9.4d""","=""3F""","=""3""","=""""","=""27.03358""","=""""","=""""","=""0.0240""","=""                                              ""","="""""
"=""3d9.4d""","=""3F""","=""4""","=""""","=""27.03370""","=""""","=""""","=""0.0001""","=""                                              ""","="""""
"=""3d9.4d""","=""3F""","=""2""","=""""","=""27.44311""","=""""","=""""","=""0.4094""","=""                                              ""","="""""
"=""3d9.4d""","=""1P""","=""1""","=""""","=""27.14131""","=""""","=""""","=""-0.3018""","=""                                              ""","="""""
"=""3d9.4d""","=""1G""","=""4""","=""""","=""27.19717""","=""""","=""""","=""0.0559""","=""                                              ""","="""""
"=""3d9.4d""","=""1D""","=""2""","=""""","=""27.35938""","=""""","=""""","=""0.1622""","=""                                              ""","="""""
"=""3d8.4s2""","=""1G""","=""4""","=""""","=""27.40698""","=""""","=""""","=""0.0476""","=""                                              ""","="""""
"=""3d9.4d""","=""1F""","=""3""","=""""","=""27.41832""","=""""","=""""","=""0.0113""","=""                                              ""","="""""
"=""3d9.4d""","=""1S""","=""0""","=""""","=""28.59150""","=""""","=""""","=""1.1732""","=""                                              ""","="""""
"=""3d8.4s2""","=""1S""","=""0""","=""""","=""28.91366""","=""""","=""""","=""0.3222""","=""                                              ""","="""""
