Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Leading percentages,Reference
"=""3p6.3d9""","=""2D""","=""5/2""","=""""","=""0.00000""","=""""","=""0""","=""""","="" 100                                       ""","=""L9171"""
"=""3p6.3d9""","=""2D""","=""3/2""","=""""","=""0.34208""","=""""","=""""","=""0.34208""","="" 100                                       ""","="""""
"=""3p6.3d8.(3F).4s""","=""4F""","=""9/2""","=""""","=""15.96046""","=""""","=""""","=""15.6184""","="" 100                                       ""","="""""
"=""3p6.3d8.(3F).4s""","=""4F""","=""7/2""","=""""","=""16.16334""","=""""","=""""","=""0.2029""","=""  96             :     4  3d8.(3F).4s 2F   ""","="""""
"=""3p6.3d8.(3F).4s""","=""4F""","=""5/2""","=""""","=""16.34168""","=""""","=""""","=""0.1783""","=""  98                                       ""","="""""
"=""3p6.3d8.(3F).4s""","=""4F""","=""3/2""","=""""","=""16.46229""","=""""","=""""","=""0.1206""","=""  99                                       ""","="""""
"=""3p6.3d8.(3F).4s""","=""2F""","=""7/2""","=""""","=""16.85580""","=""""","=""""","=""0.3935""","=""  96             :     4  3d8.(3F).4s 4F   ""","="""""
"=""3p6.3d8.(3F).4s""","=""2F""","=""5/2""","=""""","=""17.16926""","=""""","=""""","=""0.3135""","=""  97             :     2  3d8.(1D).4s 2D   ""","="""""
"=""3p6.3d8.(1D).4s""","=""2D""","=""5/2""","=""""","=""18.37194""","=""""","=""""","=""1.2027""","=""  51             :    48  3d8.(3P).4s 4P   ""","="""""
"=""3p6.3d8.(1D).4s""","=""2D""","=""3/2""","=""""","=""18.49730""","=""""","=""""","=""0.1254""","=""  80             :    15  3d8.(3P).4s 4P   ""","="""""
"=""3p6.3d8.(3P).4s""","=""4P""","=""3/2""","=""""","=""18.75255""","=""""","=""""","=""0.2553""","=""  85             :    15  3d8.(1D).4s 2D   ""","="""""
"=""3p6.3d8.(3P).4s""","=""4P""","=""1/2""","=""""","=""18.77027""","=""""","=""""","=""0.0177""","="" 100                                       ""","="""""
"=""3p6.3d8.(3P).4s""","=""4P""","=""5/2""","=""""","=""18.79282""","=""""","=""""","=""0.0225""","=""  52             :    47  3d8.(1D).4s 2D   ""","="""""
"=""3p6.3d8.(3P).4s""","=""2P""","=""3/2""","=""""","=""19.47479""","=""""","=""""","=""0.6820""","=""  96             :     4  3d8.(1D).4s 2D   ""","="""""
"=""3p6.3d8.(3P).4s""","=""2P""","=""1/2""","=""""","=""19.58076""","=""""","=""""","=""0.1060""","="" 100                                       ""","="""""
"=""3p6.3d8.(1G).4s""","=""2G""","=""9/2""","=""""","=""19.94732""","=""""","=""""","=""0.3666""","="" 100                                       ""","="""""
"=""3p6.3d8.(1G).4s""","=""2G""","=""7/2""","=""""","=""19.95141""","=""""","=""""","=""0.0041""","="" 100                                       ""","="""""
"=""3p6.3d8.(1S).4s""","=""2S""","=""1/2""","=""""","=""24.71861""","=""""","=""""","=""4.7672""","="" 100                                       ""","="""""
"=""3p6.3d8.(3F).4p""","=""4D*""","=""7/2""","=""""","=""24.96037""","=""""","=""""","=""0.2418""","=""  91             :     4  3d8.(3P).4p 4D*  ""","="""""
"=""3p6.3d8.(3F).4p""","=""4D*""","=""5/2""","=""""","=""25.25367""","=""""","=""""","=""0.2933""","=""  90             :     5  3d8.(3P).4p 4D*  ""","="""""
"=""3p6.3d8.(3F).4p""","=""4D*""","=""3/2""","=""""","=""25.47293""","=""""","=""""","=""0.2193""","=""  91             :     6  3d8.(3P).4p 4D*  ""","="""""
"=""3p6.3d8.(3F).4p""","=""4D*""","=""1/2""","=""""","=""25.60435""","=""""","=""""","=""0.1314""","=""  92             :     7  3d8.(3P).4p 4D*  ""","="""""
"=""3p6.3d8.(3F).4p""","=""4G*""","=""9/2""","=""""","=""25.34820""","=""""","=""""","=""-0.2562""","=""  60             :    24  3d8.(3F).4p 2G*  ""","="""""
"=""3p6.3d8.(3F).4p""","=""4G*""","=""11/2""","=""""","=""25.44912""","=""""","=""""","=""0.1009""","="" 100                                       ""","="""""
"=""3p6.3d8.(3F).4p""","=""4G*""","=""7/2""","=""""","=""25.53963""","=""""","=""""","=""0.0905""","=""  78             :    12  3d8.(3F).4p 4F*  ""","="""""
"=""3p6.3d8.(3F).4p""","=""4G*""","=""5/2""","=""""","=""25.68646""","=""""","=""""","=""0.1468""","=""  91             :     7  3d8.(3F).4p 4F*  ""","="""""
"=""3p6.3d8.(3F).4p""","=""4F*""","=""9/2""","=""""","=""25.75611""","=""""","=""""","=""0.0696""","=""  81             :    15  3d8.(3F).4p 2G*  ""","="""""
"=""3p6.3d8.(3F).4p""","=""4F*""","=""7/2""","=""""","=""25.90294""","=""""","=""""","=""0.1468""","=""  67             :    17  3d8.(3F).4p 2F*  ""","="""""
"=""3p6.3d8.(3F).4p""","=""4F*""","=""5/2""","=""""","=""26.02416""","=""""","=""""","=""0.1212""","=""  78             :     7  3d8.(3F).4p 4G*  ""","="""""
"=""3p6.3d8.(3F).4p""","=""4F*""","=""3/2""","=""""","=""26.05988""","=""""","=""""","=""0.0357""","=""  82             :    11  3d8.(3F).4p 2D*  ""","="""""
"=""3p6.3d8.(3F).4p""","=""2G*""","=""9/2""","=""""","=""25.90898""","=""""","=""""","=""-0.1509""","=""  61             :    35  3d8.(3F).4p 4G*  ""","="""""
"=""3p6.3d8.(3F).4p""","=""2G*""","=""7/2""","=""""","=""26.18416""","=""""","=""""","=""0.2752""","=""  71             :    20  3d8.(3F).4p 2F*  ""","="""""
"=""3p6.3d8.(3F).4p""","=""2D*""","=""5/2""","=""""","=""26.23130""","=""""","=""""","=""0.0471""","=""  73             :    14  3d8.(3F).4p 2F*  ""","="""""
"=""3p6.3d8.(3F).4p""","=""2D*""","=""3/2""","=""""","=""26.46812""","=""""","=""""","=""0.2368""","=""  72             :    15  3d8.(3F).4p 4F*  ""","="""""
"=""3p6.3d8.(3F).4p""","=""2F*""","=""7/2""","=""""","=""26.26279""","=""""","=""""","=""-0.2053""","=""  61             :    18  3d8.(3F).4p 2G*  ""","="""""
"=""3p6.3d8.(3F).4p""","=""2F*""","=""5/2""","=""""","=""26.55336""","=""""","=""""","=""0.2906""","=""  77             :    13  3d8.(3F).4p 2D*  ""","="""""
"=""3p6.3d8.(3P).4p""","=""4P*""","=""3/2""","=""""","=""27.45335""","=""""","=""""","=""0.9000""","=""  76             :    10  3d8.(1D).4p 2P*  ""","="""""
"=""3p6.3d8.(3P).4p""","=""4P*""","=""5/2""","=""""","=""27.49193""","=""""","=""""","=""0.0386""","=""  75             :    13  3d8.(1D).4p 2D*  ""","="""""
"=""3p6.3d8.(3P).4p""","=""4P*""","=""1/2""","=""""","=""27.53937""","=""""","=""""","=""0.0474""","=""  91             :     6  3d8.(1D).4p 2P*  ""","="""""
"=""3p6.3d8.(1D).4p""","=""2F*""","=""5/2""","=""""","=""27.72403""","=""""","=""""","=""0.1847""","=""  77             :    11  3d8.(3P).4p 4P*  ""","="""""
"=""3p6.3d8.(1D).4p""","=""2F*""","=""7/2""","=""""","=""27.90047""","=""""","=""""","=""0.1764""","=""  79             :    10  3d8.(3P).4p 4D*  ""","="""""
"=""3p6.3d8.(1D).4p""","=""2D*""","=""3/2""","=""""","=""27.89615""","=""""","=""""","=""-0.0043""","=""  46             :    19  3d8.(3P).4p 4P*  ""","="""""
"=""3p6.3d8.(1D).4p""","=""2D*""","=""5/2""","=""""","=""28.02665""","=""""","=""""","=""0.1305""","=""  77             :    11  3d8.(3P).4p 4P*  ""","="""""
"=""3p6.3d8.(1D).4p""","=""2P*""","=""1/2""","=""""","=""27.94777""","=""""","=""""","=""-0.0789""","=""  61             :    27  3d8.(3P).4p 2P*  ""","="""""
"=""3p6.3d8.(1D).4p""","=""2P*""","=""3/2""","=""""","=""28.10535""","=""""","=""""","=""0.1576""","=""  50             :    33  3d8.(1D).4p 2D*  ""","="""""
"=""3p6.3d8.(3P).4p""","=""4D*""","=""5/2""","=""""","=""28.41257""","=""""","=""""","=""0.3072""","=""  70             :    18  3d8.(3P).4p 2D*  ""","="""""
"=""3p6.3d8.(3P).4p""","=""4D*""","=""3/2""","=""""","=""28.42101""","=""""","=""""","=""0.0084""","=""  83             :     5  3d8.(3F).4p 4D*  ""","="""""
"=""3p6.3d8.(3P).4p""","=""4D*""","=""1/2""","=""""","=""28.42372""","=""""","=""""","=""0.0027""","=""  91             :     6  3d8.(3F).4p 4D*  ""","="""""
"=""3p6.3d8.(3P).4p""","=""4D*""","=""7/2""","=""""","=""28.50123""","=""""","=""""","=""0.0775""","=""  84             :     6  3d8.(1D).4p 2F*  ""","="""""
"=""3p6.3d8.(3P).4p""","=""2D*""","=""5/2""","=""""","=""28.72627""","=""""","=""""","=""0.2250""","=""  75             :    21  3d8.(3P).4p 4D*  ""","="""""
"=""3p6.3d8.(3P).4p""","=""2D*""","=""3/2""","=""""","=""28.88064""","=""""","=""""","=""0.1544""","=""  74             :    13  3d8.(3P).4p 2P*  ""","="""""
"=""3p6.3d8.(3P).4p""","=""2P*""","=""3/2""","=""""","=""28.79480""","=""""","=""""","=""-0.0858""","=""  65             :    19  3d8.(3P).4p 2D*  ""","="""""
"=""3p6.3d8.(3P).4p""","=""2P*""","=""1/2""","=""""","=""29.07354""","=""""","=""""","=""0.2787""","=""  64             :    25  3d8.(1D).4p 2P*  ""","="""""
"=""3p6.3d8.(1G).4p""","=""2H*""","=""9/2""","=""""","=""28.88596""","=""""","=""""","=""-0.1876""","=""  99                                       ""","="""""
"=""3p6.3d8.(1G).4p""","=""2H*""","=""11/2""","=""""","=""29.08954""","=""""","=""""","=""0.2036""","="" 100                                       ""","="""""
"=""3p6.3d8.(1G).4p""","=""2F*""","=""7/2""","=""""","=""29.11176""","=""""","=""""","=""0.0222""","=""  82             :    13  3d8.(1D).4p 2F*  ""","="""""
"=""3p6.3d8.(1G).4p""","=""2F*""","=""5/2""","=""""","=""29.27382""","=""""","=""""","=""0.1621""","=""  89             :     7  3d8.(1D).4p 2F*  ""","="""""
"=""3p6.3d8.(3P).4p""","=""2S*""","=""1/2""","=""""","=""29.25723""","=""""","=""""","=""-0.0166""","=""  90             :     6  3d8.(1D).4p 2P*  ""","="""""
"=""3p6.3d8.(3P).4p""","=""4S*""","=""3/2""","=""""","=""29.28198""","=""""","=""""","=""0.0248""","=""  98                                       ""","="""""
"=""3p6.3d8.(1G).4p""","=""2G*""","=""7/2""","=""""","=""30.04385""","=""""","=""""","=""0.7619""","=""  98                                       ""","="""""
"=""3p6.3d8.(1G).4p""","=""2G*""","=""9/2""","=""""","=""30.08353""","=""""","=""""","=""0.0397""","=""  99                                       ""","="""""
"=""3p6.3d8.(1S).4p""","=""2P*""","=""1/2""","=""""","=""34.06420""","=""""","=""""","=""3.9807""","=""  98                                       ""","="""""
"=""3p6.3d8.(1S).4p""","=""2P*""","=""3/2""","=""""","=""34.32932""","=""""","=""""","=""0.2651""","=""  98                                       ""","="""""
"=""3p6.3d8.(3F).4d""","=""4D""","=""7/2""","=""""","=""37.70324""","=""""","=""""","=""3.3739""","=""  92             :     6  3d8.(3F).4d 4F   ""","="""""
"=""3p6.3d8.(3F).4d""","=""4D""","=""5/2""","=""""","=""37.98504""","=""""","=""""","=""0.2818""","=""  43             :    47  3d8.(3F).4d 4P   ""","="""""
"=""3p6.3d8.(3F).4d""","=""4D""","=""1/2""","=""""","=""38.08294""","=""""","=""""","=""0.0979""","=""  80             :    12  3d8.(3F).4d 4P   ""","="""""
"=""3p6.3d8.(3F).4d""","=""4D""","=""3/2""","=""""","=""38.13747""","=""""","=""""","=""0.0545""","=""  44             :    27  3d8.(3F).4d 4P   ""","="""""
"=""3p6.3d8.(3F).4d""","=""4P""","=""5/2""","=""""","=""37.77543""","=""""","=""""","=""-0.3620""","=""  52             :    45  3d8.(3F).4d 4D   ""","="""""
