Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Leading percentages,Reference
"=""3p6.3d8""","=""3F""","=""4""","=""""","=""0.0000""","=""""","=""0""","=""""","="" 100                                        ""","=""L9171"""
"=""3p6.3d8""","=""3F""","=""3""","=""""","=""0.3057""","=""""","=""""","=""0.3057""","="" 100                                        ""","="""""
"=""3p6.3d8""","=""3F""","=""2""","=""""","=""0.5004""","=""""","=""""","=""0.195""","=""  98             :     2  3d8          1D   ""","="""""
"=""3p6.3d8""","=""1D""","=""2""","=""""","=""2.2813""","=""""","=""""","=""1.781""","=""  79             :    20  3d8          3P   ""","="""""
"=""3p6.3d8""","=""3P""","=""2""","=""""","=""2.8099""","=""""","=""""","=""0.529""","=""  80             :    19  3d8          1D   ""","="""""
"=""3p6.3d8""","=""3P""","=""1""","=""""","=""2.8649""","=""""","=""""","=""0.055""","="" 100                                        ""","="""""
"=""3p6.3d8""","=""3P""","=""0""","=""""","=""2.9149""","=""""","=""""","=""0.050""","="" 100                                        ""","="""""
"=""3p6.3d8""","=""1G""","=""4""","=""""","=""3.7939""","=""""","=""""","=""0.879""","="" 100                                        ""","="""""
"=""3p6.3d8""","=""1S""","=""0""","=""""","=""8.6670""","=""""","=""""","=""4.873""","="" 100                                        ""","="""""
"=""3p6.3d7.(4F).4s""","=""5F""","=""5""","=""""","=""24.66811""","=""""","=""""","=""16.0011""","=""  99             :     1  3d7.(2G).4s  3G   ""","="""""
"=""3p6.3d7.(4F).4s""","=""5F""","=""4""","=""""","=""24.87669""","=""""","=""""","=""0.2086""","=""  99             :     1  3d7.(4F).4s  3F   ""","="""""
"=""3p6.3d7.(4F).4s""","=""5F""","=""3""","=""""","=""25.04142""","=""""","=""""","=""0.1647""","=""  99             :     1  3d7.(4F).4s  3F   ""","="""""
"=""3p6.3d7.(4F).4s""","=""5F""","=""2""","=""""","=""25.16000""","=""""","=""""","=""0.1186""","=""  99             :     1  3d7.(2D2).4s 3D   ""","="""""
"=""3p6.3d7.(4F).4s""","=""5F""","=""1""","=""""","=""25.23676""","=""""","=""""","=""0.0768""","=""  99             :     1  3d7.(2D2).4s 3D   ""","="""""
"=""3p6.3d7.(4F).4s""","=""3F""","=""4""","=""""","=""25.87737""","=""""","=""""","=""0.6406""","=""  98             :     1  3d7.(4F).4s  5F   ""","="""""
"=""3p6.3d7.(4F).4s""","=""3F""","=""3""","=""""","=""26.15726""","=""""","=""""","=""0.2799""","=""  99             :     1  3d7.(4F).4s  5F   ""","="""""
"=""3p6.3d7.(4F).4s""","=""3F""","=""2""","=""""","=""26.34310""","=""""","=""""","=""0.1858""","=""  99             :     1  3d7.(2D2).4s 1D   ""","="""""
"=""3p6.3d7.(4P).4s""","=""5P""","=""3""","=""""","=""27.47878""","=""""","=""""","=""1.1357""","=""  99             :     1  3d7.(2D2).4s 3D   ""","="""""
"=""3p6.3d7.(4P).4s""","=""5P""","=""2""","=""""","=""27.52971""","=""""","=""""","=""0.0509""","=""  93             :     7  3d7.(2P).4s  3P   ""","="""""
"=""3p6.3d7.(4P).4s""","=""5P""","=""1""","=""""","=""27.64102""","=""""","=""""","=""0.1113""","=""  96             :     4  3d7.(2P).4s  3P   ""","="""""
"=""3p6.3d7.(2G).4s""","=""3G""","=""5""","=""""","=""28.06183""","=""""","=""""","=""0.4208""","=""  96             :     2  3d7.(2H).4s  3H   ""","="""""
"=""3p6.3d7.(2G).4s""","=""3G""","=""4""","=""""","=""28.16863""","=""""","=""""","=""0.1068""","=""  92             :     4  3d7.(2G).4s  1G   ""","="""""
"=""3p6.3d7.(2G).4s""","=""3G""","=""3""","=""""","=""28.30994""","=""""","=""""","=""0.1413""","="" 100                                        ""","="""""
"=""3p6.3d7.(2P).4s""","=""3P""","=""2""","=""""","=""28.57025""","=""""","=""""","=""0.2603""","=""  46             :    43  3d7.(4P).4s  3P   ""","="""""
"=""3p6.3d7.(2P).4s""","=""3P""","=""0""","=""""","=""28.65545""","=""""","=""""","=""0.0852""","=""  56             :    44  3d7.(4P).4s  3P   ""","="""""
"=""3p6.3d7.(2P).4s""","=""3P""","=""1""","=""""","=""28.88161""","=""""","=""""","=""0.2262""","=""  54             :    38  3d7.(4P).4s  3P   ""","="""""
"=""3p6.3d7.(4P).4s""","=""3P""","=""1""","=""""","=""28.59252""","=""""","=""""","=""-0.2891""","=""  46             :    30  3d7.(2P).4s  3P   ""","="""""
"=""3p6.3d7.(4P).4s""","=""3P""","=""2""","=""""","=""28.76395""","=""""","=""""","=""0.1714""","=""  55             :    36  3d7.(2P).4s  3P   ""","="""""
"=""3p6.3d7.(4P).4s""","=""3P""","=""0""","=""""","=""29.08440""","=""""","=""""","=""0.3204""","=""  56             :    44  3d7.(2P).4s  3P   ""","="""""
"=""3p6.3d7.(2G).4s""","=""1G""","=""4""","=""""","=""28.74336""","=""""","=""""","=""-0.3410""","=""  87             :     6  3d7.(2H).4s  3H   ""","="""""
"=""3p6.3d7.(2H).4s""","=""3H""","=""6""","=""""","=""29.11719""","=""""","=""""","=""0.3738""","="" 100                                        ""","="""""
"=""3p6.3d7.(2H).4s""","=""3H""","=""5""","=""""","=""29.22673""","=""""","=""""","=""0.1095""","=""  94             :     4  3d7.(2H).4s  1H   ""","="""""
"=""3p6.3d7.(2H).4s""","=""3H""","=""4""","=""""","=""29.38037""","=""""","=""""","=""0.1536""","=""  90             :     8  3d7.(2G).4s  1G   ""","="""""
"=""3p6.3d7.(2D2).4s""","=""3D""","=""3""","=""""","=""29.21050""","=""""","=""""","=""-0.1699""","=""  76             :    23  3d7.(2D1).4s 3D   ""","="""""
"=""3p6.3d7.(2D2).4s""","=""3D""","=""2""","=""""","=""29.38821""","=""""","=""""","=""0.1777""","=""  64             :    17  3d7.(2D1).4s 3D   ""","="""""
"=""3p6.3d7.(2D2).4s""","=""3D""","=""1""","=""""","=""29.73670""","=""""","=""""","=""0.3485""","=""  44             :    39  3d7.(2P).4s  1P   ""","="""""
"=""3p6.3d7.(2P).4s""","=""1P""","=""1""","=""""","=""29.24827""","=""""","=""""","=""-0.4884""","=""  43             :    29  3d7.(2D2).4s 3D   ""","="""""
"=""3p6.3d7.(2H).4s""","=""1H""","=""5""","=""""","=""29.81152""","=""""","=""""","=""0.5633""","=""  95             :     3  3d7.(2H).4s  3H   ""","="""""
"=""3p6.3d7.(2D2).4s""","=""1D""","=""2""","=""""","=""29.98301""","=""""","=""""","=""0.1715""","=""  68             :    18  3d7.(2D1).4s 1D   ""","="""""
"=""3p6.3d7.(2F).4s""","=""3F""","=""2""","=""""","=""31.67569""","=""""","=""""","=""1.6927""","="" 100                                        ""","="""""
"=""3p6.3d7.(2F).4s""","=""3F""","=""3""","=""""","=""31.71060""","=""""","=""""","=""0.0349""","=""  99             :     1  3d7.(2F).4s  1F   ""","="""""
"=""3p6.3d7.(2F).4s""","=""3F""","=""4""","=""""","=""31.76912""","=""""","=""""","=""0.0585""","="" 100                                        ""","="""""
"=""3p6.3d7.(2F).4s""","=""1F""","=""3""","=""""","=""32.34497""","=""""","=""""","=""0.5759""","=""  99             :     1  3d7.(2F).4s  3F   ""","="""""
"=""3p6.3d7.(4F).4p""","=""5F*""","=""4""","=""""","=""35.20321""","=""""","=""""","=""2.8582""","=""  49             :    42  3d7.(4F).4p  5D*  ""","="""""
"=""3p6.3d7.(4F).4p""","=""5F*""","=""5""","=""""","=""35.22583""","=""""","=""""","=""0.0226""","=""  88             :     9  3d7.(4F).4p  5G*  ""","="""""
"=""3p6.3d7.(4F).4p""","=""5F*""","=""3""","=""""","=""35.41021""","=""""","=""""","=""0.1844""","=""  67             :    26  3d7.(4F).4p  5D*  ""","="""""
"=""3p6.3d7.(4F).4p""","=""5F*""","=""2""","=""""","=""35.57552""","=""""","=""""","=""0.1653""","=""  80             :    14  3d7.(4F).4p  5D*  ""","="""""
"=""3p6.3d7.(4F).4p""","=""5F*""","=""1""","=""""","=""35.69360""","=""""","=""""","=""0.1181""","=""  92             :     6  3d7.(4F).4p  5D*  ""","="""""
"=""3p6.3d7.(2D1).4s""","=""3D""","=""1""","=""""","=""35.40030""","=""""","=""""","=""-0.2933""","=""  81             :    19  3d7.(2D2).4s 3D   ""","="""""
"=""3p6.3d7.(2D1).4s""","=""3D""","=""2""","=""""","=""35.44517""","=""""","=""""","=""0.0449""","=""  79             :    20  3d7.(2D2).4s 3D   ""","="""""
"=""3p6.3d7.(2D1).4s""","=""3D""","=""3""","=""""","=""35.53082""","=""""","=""""","=""0.0857""","=""  77             :    23  3d7.(2D2).4s 3D   ""","="""""
"=""3p6.3d7.(4F).4p""","=""5D*""","=""4""","=""""","=""35.57642""","=""""","=""""","=""0.0456""","=""  45             :    35  3d7.(4F).4p  5F*  ""","="""""
"=""3p6.3d7.(4F).4p""","=""5D*""","=""3""","=""""","=""35.79475""","=""""","=""""","=""0.2183""","=""  57             :    17  3d7.(4F).4p  5F*  ""","="""""
"=""3p6.3d7.(4F).4p""","=""5D*""","=""2""","=""""","=""35.94606""","=""""","=""""","=""0.1513""","=""  61             :    22  3d7.(4F).4p  5G*  ""","="""""
"=""3p6.3d7.(4F).4p""","=""5D*""","=""1""","=""""","=""36.04270""","=""""","=""""","=""0.0966""","=""  81             :    12  3d7.(4P).4p  5D*  ""","="""""
"=""3p6.3d7.(4F).4p""","=""5D*""","=""0""","=""""","=""36.08217""","=""""","=""""","=""0.0395""","=""  86             :    13  3d7.(4P).4p  5D*  ""","="""""
"=""3p6.3d7.(4F).4p""","=""5G*""","=""6""","=""""","=""35.76943""","=""""","=""""","=""-0.3127""","=""  99             :     1  3d7.(2G).4p  3H*  ""","="""""
"=""3p6.3d7.(4F).4p""","=""5G*""","=""5""","=""""","=""35.81938""","=""""","=""""","=""0.0500""","=""  70             :    18  3d7.(4F).4p  3G*  ""","="""""
"=""3p6.3d7.(4F).4p""","=""5G*""","=""4""","=""""","=""35.93397""","=""""","=""""","=""0.1146""","=""  72             :    14  3d7.(4F).4p  5F*  ""","="""""
"=""3p6.3d7.(4F).4p""","=""5G*""","=""3""","=""""","=""36.00797""","=""""","=""""","=""0.0740""","=""  72             :    14  3d7.(4F).4p  5F*  ""","="""""
"=""3p6.3d7.(4F).4p""","=""5G*""","=""2""","=""""","=""36.04600""","=""""","=""""","=""0.0380""","=""  71             :    13  3d7.(4F).4p  5D*  ""","="""""
"=""3p6.3d7.(2D1).4s""","=""1D""","=""2""","=""""","=""36.09262""","=""""","=""""","=""0.0466""","=""  77             :    21  3d7.(2D2).4s 1D   ""","="""""
"=""3p6.3d7.(4F).4p""","=""3G*""","=""5""","=""""","=""36.29293""","=""""","=""""","=""0.2003""","=""  78             :    21  3d7.(4F).4p  5G*  ""","="""""
"=""3p6.3d7.(4F).4p""","=""3G*""","=""4""","=""""","=""36.59622""","=""""","=""""","=""0.3033""","=""  87             :    11  3d7.(4F).4p  5G*  ""","="""""
"=""3p6.3d7.(4F).4p""","=""3G*""","=""3""","=""""","=""36.79798""","=""""","=""""","=""0.2018""","=""  80             :    14  3d7.(4F).4p  3D*  ""","="""""
"=""3p6.3d7.(4F).4p""","=""3F*""","=""4""","=""""","=""36.38479""","=""""","=""""","=""-0.4132""","=""  87             :     4  3d7.(2G).4p  3F*  ""","="""""
"=""3p6.3d7.(4F).4p""","=""3F*""","=""3""","=""""","=""36.61169""","=""""","=""""","=""0.2269""","=""  80             :     8  3d7.(4F).4p  3D*  ""","="""""
"=""3p6.3d7.(4F).4p""","=""3F*""","=""2""","=""""","=""36.79314""","=""""","=""""","=""0.1814""","=""  86             :     5  3d7.(2G).4p  3F*  ""","="""""
