Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Lande,Reference
"=""4d2.(3F).5s""","=""a 4F""","=""3/2""","=""""","=""0.000000""","=""""","=""0""","=""""","=""0.398""","=""L3465"""
"=""4d2.(3F).5s""","=""a 4F""","=""5/2""","=""""","=""0.039014""","=""""","=""""","=""0.039014""","=""1.023""","=""L3465"""
"=""4d2.(3F).5s""","=""a 4F""","=""7/2""","=""""","=""0.094654""","=""""","=""""","=""0.05564""","=""1.235""","=""L3465"""
"=""4d2.(3F).5s""","=""a 4F""","=""9/2""","=""""","=""0.164020""","=""""","=""""","=""0.06937""","=""1.324""","=""L3465"""
"=""4d3""","=""b 4F""","=""3/2""","=""""","=""0.318913""","=""""","=""""","=""0.15489""","=""0.413""","=""L3465"""
"=""4d3""","=""b 4F""","=""5/2""","=""""","=""0.358940""","=""""","=""""","=""0.04003""","=""1.025""","=""L3465"""
"=""4d3""","=""b 4F""","=""7/2""","=""""","=""0.409103""","=""""","=""""","=""0.05016""","=""1.227""","=""L3465"""
"=""4d3""","=""b 4F""","=""9/2""","=""""","=""0.465890""","=""""","=""""","=""0.05679""","=""1.326""","=""L3465"""
"=""4d2.(1D).5s""","=""a 2D""","=""3/2""","=""""","=""0.526722""","=""""","=""""","=""0.06083""","=""0.812""","=""L3465"""
"=""4d2.(1D).5s""","=""a 2D""","=""5/2""","=""""","=""0.558611""","=""""","=""""","=""0.03189""","=""1.172""","=""L3465"""
"=""4d2.(3P).5s""","=""a 2P""","=""1/2""","=""""","=""0.709733""","=""""","=""""","=""0.15112""","=""0.690""","=""L3465"""
"=""4d2.(3P).5s""","=""a 2P""","=""3/2""","=""""","=""0.757754""","=""""","=""""","=""0.04802""","=""1.304""","=""L3465"""
"=""4d2.(3F).5s""","=""a 2F""","=""5/2""","=""""","=""0.713271""","=""""","=""""","=""-0.04448""","=""0.883""","=""L3465"""
"=""4d2.(3F).5s""","=""a 2F""","=""7/2""","=""""","=""0.801881""","=""""","=""""","=""0.08861""","=""1.144""","=""L3465"""
"=""4d2.(3P).5s""","=""a 4P""","=""1/2""","=""""","=""0.931452""","=""""","=""""","=""0.12957""","=""2.656""","=""L3465"""
"=""4d2.(3P).5s""","=""a 4P""","=""3/2""","=""""","=""0.959144""","=""""","=""""","=""0.02769""","=""1.720""","=""L3465"""
"=""4d2.(3P).5s""","=""a 4P""","=""5/2""","=""""","=""0.999085""","=""""","=""""","=""0.03994""","=""1.585""","=""L3465"""
"=""4d3""","=""a 2G""","=""7/2""","=""""","=""0.971756""","=""""","=""""","=""-0.02733""","=""0.887""","=""L3465"""
"=""4d3""","=""a 2G""","=""9/2""","=""""","=""1.010818""","=""""","=""""","=""0.03906""","=""1.107""","=""L3465"""
"=""4d3""","=""b 4P""","=""1/2""","=""""","=""1.184433""","=""""","=""""","=""0.17362""","=""2.649""","=""L3465"""
"=""4d3""","=""b 4P""","=""3/2""","=""""","=""1.207953""","=""""","=""""","=""0.02352""","=""1.721""","=""L3465"""
"=""4d3""","=""b 4P""","=""5/2""","=""""","=""1.235955""","=""""","=""""","=""0.02800""","=""1.593""","=""L3465"""
"=""4d3""","=""a 2H""","=""9/2""","=""""","=""1.485884""","=""""","=""""","=""0.24993""","=""0.910""","=""L3465"""
"=""4d3""","=""a 2H""","=""11/2""","=""""","=""1.532403""","=""""","=""""","=""0.04652""","=""1.091""","=""L3465"""
"=""4d3""","=""b 2D""","=""3/2""","=""""","=""1.664922""","=""""","=""""","=""0.13252""","=""0.800""","=""L3465"""
"=""4d3""","=""b 2D""","=""5/2""","=""""","=""1.755976""","=""""","=""""","=""0.09105""","=""1.209""","=""L3465"""
"=""4d2.(1G).5s""","=""b 2G""","=""7/2""","=""""","=""1.743188""","=""""","=""""","=""-0.01279""","=""0.890""","=""L3465"""
"=""4d2.(1G).5s""","=""b 2G""","=""9/2""","=""""","=""1.759392""","=""""","=""""","=""0.01620""","=""1.103""","=""L3465"""
"=""4d.5s2""","=""c 2D""","=""3/2""","=""""","=""1.772805""","=""""","=""""","=""0.01341""","=""0.807""","=""L3465"""
"=""4d.5s2""","=""c 2D""","=""5/2""","=""""","=""1.826705""","=""""","=""""","=""0.05390""","=""1.188""","=""L3465"""
"=""4d3""","=""b 2F""","=""7/2""","=""""","=""2.409415""","=""""","=""""","=""0.58271""","=""1.153""","=""L3465"""
"=""4d3""","=""b 2F""","=""5/2""","=""""","=""2.419532""","=""""","=""""","=""0.01012""","=""0.855""","=""L3465"""
"=""4d3""","=""b 2P""","=""1/2""","=""""","=""2.431769""","=""""","=""""","=""0.01224""","=""0.514""","=""L3465"""
"=""4d3""","=""b 2P""","=""3/2""","=""""","=""2.489640""","=""""","=""""","=""0.05787""","=""1.326""","=""L3465"""
"=""4d2.(1S).5s""","=""a 2S""","=""1/2""","=""""","=""3.124596""","=""""","=""""","=""0.63496""","=""1.990""","=""L3465"""
"=""4d3""","=""d 2D""","=""5/2""","=""""","=""3.426998""","=""""","=""""","=""0.30240""","=""""","=""L807"""
"=""4d3""","=""d 2D""","=""3/2""","=""""","=""3.434357""","=""""","=""""","=""0.00736""","=""""","=""L807"""
"=""4d2.(3F).5p""","=""z 4G*""","=""5/2""","=""""","=""3.469553""","=""""","=""""","=""0.03520""","=""0.664""","=""L3465"""
"=""4d2.(3F).5p""","=""z 4G*""","=""7/2""","=""""","=""3.584264""","=""""","=""""","=""0.11471""","=""0.998""","=""L3465"""
"=""4d2.(3F).5p""","=""z 4G*""","=""9/2""","=""""","=""3.699672""","=""""","=""""","=""0.11541""","=""1.164""","=""L3465"""
"=""4d2.(3F).5p""","=""z 4G*""","=""11/2""","=""""","=""3.818185""","=""""","=""""","=""0.11851""","=""1.275""","=""L3465"""
"=""4d2.(3F).5p""","=""z 2F*""","=""5/2""","=""""","=""3.658150""","=""""","=""""","=""-0.16004""","=""0.841""","=""L3465"""
"=""4d2.(3F).5p""","=""z 2F*""","=""7/2""","=""""","=""3.789174""","=""""","=""""","=""0.13102""","=""1.132""","=""L3465"""
"=""4d2.(3F).5p""","=""z 4F*""","=""3/2""","=""""","=""3.691952""","=""""","=""""","=""-0.09722""","=""0.700""","=""L3465"""
"=""4d2.(3F).5p""","=""z 4F*""","=""5/2""","=""""","=""3.787901""","=""""","=""""","=""0.09595""","=""1.046""","=""L3465"""
"=""4d2.(3F).5p""","=""z 4F*""","=""7/2""","=""""","=""3.874417""","=""""","=""""","=""0.08652""","=""1.238""","=""L3465"""
"=""4d2.(3F).5p""","=""z 4F*""","=""9/2""","=""""","=""3.950941""","=""""","=""""","=""0.07652""","=""1.321""","=""L3465"""
"=""4d2.(3F).5p""","=""z 2D*""","=""3/2""","=""""","=""3.773506""","=""""","=""""","=""-0.17744""","=""0.589""","=""L3465"""
"=""4d2.(3F).5p""","=""z 2D*""","=""5/2""","=""""","=""3.863353""","=""""","=""""","=""0.08985""","=""1.117""","=""L3465"""
"=""4d2.(3F).5p""","=""z 4D*""","=""1/2""","=""""","=""3.965170""","=""""","=""""","=""0.10182""","=""0.016""","=""L3465"""
"=""4d2.(3F).5p""","=""z 4D*""","=""3/2""","=""""","=""3.999322""","=""""","=""""","=""0.03415""","=""1.166""","=""L3465"""
"=""4d2.(3F).5p""","=""z 4D*""","=""5/2""","=""""","=""4.043709""","=""""","=""""","=""0.04439""","=""1.342""","=""L3465"""
"=""4d2.(3F).5p""","=""z 4D*""","=""7/2""","=""""","=""4.079013""","=""""","=""""","=""0.03530""","=""1.408""","=""L3465"""
"=""4d2.(3P).5p""","=""y 2D*""","=""3/2""","=""""","=""4.089461""","=""""","=""""","=""0.01045""","=""0.810""","=""L3465"""
"=""4d2.(3P).5p""","=""y 2D*""","=""5/2""","=""""","=""4.143484""","=""""","=""""","=""0.05402""","=""1.195""","=""L3465"""
"=""4d2.(3F).5p""","=""z 2G*""","=""7/2""","=""""","=""4.275647""","=""""","=""""","=""0.13216""","=""0.889""","=""L3465"""
"=""4d2.(3F).5p""","=""z 2G*""","=""9/2""","=""""","=""4.362463""","=""""","=""""","=""0.08682""","=""1.109""","=""L3465"""
"=""4d2.(3P).5p""","=""z 2S*""","=""1/2""","=""""","=""4.315894""","=""""","=""""","=""-0.04657""","=""1.956""","=""L3465"""
"=""4d2.(1D).5p""","=""z 2P*""","=""3/2""","=""""","=""4.452869""","=""""","=""""","=""0.13697""","=""1.340""","=""L3465"""
"=""4d2.(1D).5p""","=""z 2P*""","=""1/2""","=""""","=""4.487803""","=""""","=""""","=""0.03493""","=""0.610""","=""L3465"""
"=""4d2.(3P).5p""","=""y 4D*""","=""1/2""","=""""","=""4.492820""","=""""","=""""","=""0.00502""","=""0.144""","=""L3465"""
"=""4d2.(3P).5p""","=""y 4D*""","=""3/2""","=""""","=""4.542595""","=""""","=""""","=""0.04978""","=""1.038""","=""L3465"""
"=""4d2.(3P).5p""","=""y 4D*""","=""5/2""","=""""","=""4.608644""","=""""","=""""","=""0.06605""","=""1.140""","=""L3465"""
"=""4d2.(3P).5p""","=""y 4D*""","=""7/2""","=""""","=""4.716544""","=""""","=""""","=""0.10790""","=""1.306""","=""L3465"""
"=""4d.5s.(3D).5p""","=""y 4F*""","=""3/2""","=""""","=""4.519446""","=""""","=""""","=""-0.19710""","=""0.579""","=""L3465"""
"=""4d.5s.(3D).5p""","=""y 4F*""","=""5/2""","=""""","=""4.571173""","=""""","=""""","=""0.05173""","=""1.091""","=""L3465"""
"=""4d.5s.(3D).5p""","=""y 4F*""","=""7/2""","=""""","=""4.640699""","=""""","=""""","=""0.06953""","=""1.266""","=""L3465"""
"=""4d.5s.(3D).5p""","=""y 4F*""","=""9/2""","=""""","=""4.791260""","=""""","=""""","=""0.15056""","=""1.321""","=""L3465"""
"=""4d2.(1G).5p""","=""y 2F*""","=""5/2""","=""""","=""4.630352""","=""""","=""""","=""-0.16091""","=""0.975""","=""L3465"""
"=""4d2.(1G).5p""","=""y 2F*""","=""7/2""","=""""","=""4.685064""","=""""","=""""","=""0.05471""","=""1.212""","=""L3465"""
"=""4d2.(3P).5p""","=""z 4S*""","=""3/2""","=""""","=""4.671942""","=""""","=""""","=""-0.01312""","=""1.908""","=""L3465"""
"=""4d.5s.(3D).5p""","=""z 4P*""","=""1/2""","=""""","=""4.719260""","=""""","=""""","=""0.04732""","=""2.448""","=""L3465"""
