Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Reference
"=""4p6.4d""","=""2D""","=""3/2""","=""""","=""0.000000""","=""""","=""0.000025""","=""""","=""L11645"""
"=""4p6.4d""","=""2D""","=""5/2""","=""""","=""0.15507""","=""""","=""0.00005""","=""0.15507""","=""L11645"""
"=""4p6.5s""","=""2S""","=""1/2""","=""""","=""4.743431""","=""""","=""0.000012""","=""4.58836""","=""L11645"""
"=""4p6.5p""","=""2P*""","=""1/2""","=""""","=""10.163791""","=""""","=""0.000014""","=""5.42036""","=""L11645"""
"=""4p6.5p""","=""2P*""","=""3/2""","=""""","=""10.471873""","=""""","=""0.000012""","=""0.30808""","=""L11645"""
"=""4p6.5d""","=""2D""","=""3/2""","=""""","=""18.182580""","=""""","=""0.000004""","=""7.71071""","=""L11645"""
"=""4p6.5d""","=""2D""","=""5/2""","=""""","=""18.225982""","=""""","=""0.000004""","=""0.043402""","=""L11645"""
"=""4p6.6s""","=""2S""","=""1/2""","=""""","=""18.909202""","=""""","=""0.000025""","=""0.68322""","=""L11645"""
"=""4p6.4f""","=""2F*""","=""5/2""","=""""","=""19.721763""","=""""","=""0.000009""","=""0.81256""","=""L11645"""
"=""4p6.4f""","=""2F*""","=""7/2""","=""""","=""19.724263""","=""""","=""0.000009""","=""0.00250""","=""L11645"""
"=""4p6.6p""","=""2P*""","=""1/2""","=""""","=""21.053721""","=""""","=""0.000005""","=""1.32946""","=""L11645"""
"=""4p6.6p""","=""2P*""","=""3/2""","=""""","=""21.178374""","=""""","=""0.000004""","=""0.124653""","=""L11645"""
"=""4p6.6d""","=""2D""","=""3/2""","=""""","=""24.519747""","=""""","=""0.000004""","=""3.341373""","=""L11645"""
"=""4p6.6d""","=""2D""","=""5/2""","=""""","=""24.540246""","=""""","=""0.000004""","=""0.020499""","=""L11645"""
"=""4p6.7s""","=""2S""","=""1/2""","=""""","=""24.812175""","=""""","=""0.000007""","=""0.271929""","=""L11645"""
"=""4p6.5f""","=""2F*""","=""5/2""","=""""","=""24.934975""","=""""","=""0.000007""","=""0.122800""","=""L11645"""
"=""4p6.5f""","=""2F*""","=""7/2""","=""""","=""24.940990""","=""""","=""0.000007""","=""0.006015""","=""L11645"""
"=""4p6.5g""","=""2G""","=""7/2""","=""""","=""25.647919""","=""""","=""0.000016""","=""0.70693""","=""L11645"""
"=""4p6.5g""","=""2G""","=""9/2""","=""""","=""25.647952""","=""""","=""0.000016""","=""0.00003""","=""L11645"""
"=""4p6.7p""","=""2P*""","=""1/2""","=""""","=""25.885838""","=""""","=""0.000024""","=""0.23789""","=""L11645"""
"=""4p6.7p""","=""2P*""","=""3/2""","=""""","=""25.949603""","=""""","=""0.000017""","=""0.06377""","=""L11645"""
"=""4p6.6f""","=""2F*""","=""5/2""","=""""","=""27.824521""","=""""","=""0.000004""","=""1.87492""","=""L11645"""
"=""4p6.6f""","=""2F*""","=""7/2""","=""""","=""27.832978""","=""""","=""0.000005""","=""0.008457""","=""L11645"""
"=""4p6.8s""","=""2S""","=""1/2""","=""""","=""27.873319""","=""""","=""0.000014""","=""0.04034""","=""L11645"""
"=""4p6.6g""","=""2G""","=""7/2""","=""""","=""28.327892""","=""""","=""0.000009""","=""0.45457""","=""L11645"""
"=""4p6.6g""","=""2G""","=""9/2""","=""""","=""28.327920""","=""""","=""0.000009""","=""0.00003""","=""L11645"""
"=""4p6.6h""","=""2H*""","=""9/2""","=""""","=""28.360625""","=""""","=""0.000016""","=""0.03270""","=""L11645"""
"=""4p6.6h""","=""2H*""","=""11/2""","=""""","=""28.360625""","=""""","=""0.000016""","=""0.00000""","=""L11645"""
"=""4p6.7g""","=""2G""","=""7/2""","=""""","=""29.945452""","=""""","=""0.000012""","=""1.58483""","=""L11645"""
"=""4p6.7g""","=""2G""","=""9/2""","=""""","=""29.945472""","=""""","=""0.000012""","=""0.00002""","=""L11645"""
"=""4p6.8g""","=""2G""","=""7/2""","=""""","=""30.995471""","=""""","=""0.000016""","=""1.05000""","=""L11645"""
"=""4p6.8g""","=""2G""","=""9/2""","=""""","=""30.995484""","=""""","=""0.000016""","=""0.00001""","=""L11645"""
"=""4p6.9g""","=""2G""","=""7/2""","=""""","=""31.71518""","=""""","=""0.00006""","=""0.71970""","=""L11645"""
"=""4p6.9g""","=""2G""","=""9/2""","=""""","=""31.71534""","=""""","=""0.00011""","=""0.0002""","=""L11645"""
"=""Zr V (4p6 1S<0>)""","=""Limit""","=""---""","=""""","=""34.41836""","=""""","=""0.00006""","=""""","=""L11645"""
